,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,1250.0647,1403.592,732.9476,1170.7682,1029.725,1286.6642,867.00604,1218.8179,973.06104,1170.5125,1262.4548,1171.3335,1350.6727,988.56885,1519.3558,1098.2566,1087.0619,994.86053,1620.6207,1233.0553,1287.3713,1096.8341,1346.1602,1046.3783,1177.9835,1201.4755,1157.9174,1403.0624,1015.0065,1159.9413,1177.3844
2000-01-10,1300.1,1112.7477,1118.435,1353.1989,1046.0026,1270.4447,1055.4001,1221.5857,1221.3628,1181.6089,1089.2969,1342.4875,1331.626,1129.1531,1289.587,1058.4117,1128.8118,1296.9116,1299.33,1169.4786,1057.8134,1287.2736,1288.9751,1429.6626,1183.6107,1202.2925,1162.927,1618.7303,1081.7549,942.75104,1209.059
2000-01-11,1181.0298,1161.1577,1226.7375,1240.7324,1089.1802,1192.1816,1157.8011,1185.4773,1109.8099,1168.6642,1207.6768,1326.0803,1296.9324,1117.5209,1252.7589,1135.3792,1063.2448,1063.2258,1251.9956,1129.7905,1115.5885,1103.4828,1338.3556,1258.964,1147.5464,1198.8069,1171.8453,1375.2898,1130.964,1208.3295,1186.885
2000-01-12,1168.4879,1156.473,1219.3092,1225.6176,1097.3228,1189.2137,1150.1041,1186.9294,1092.2861,1172.8069,1198.7288,1336.6741,1294.6423,1126.2936,1253.6146,1126.391,1058.8823,1061.9625,1257.4552,1130.0444,1119.4626,1104.4647,1337.6161,1210.7224,1151.3652,1193.7152,1168.7682,1364.9594,1109.8052,1177.8429,1181.3987
2000-01-13,1183.3625,1170.7167,1229.8365,1238.7517,1110.0358,1202.5005,1164.2673,1201.2449,1105.7811,1187.2943,1212.2388,1351.2877,1308.3405,1141.8564,1267.2914,1143.0083,1073.6095,1075.8248,1273.6582,1145.1385,1134.4885,1121.4209,1352.0111,1219.9158,1166.4456,1208.7462,1186.3904,1378.4628,1122.0836,1189.503,1195.5171
2000-01-14,1199.264,1184.4685,1240.7992,1253.6064,1119.8264,1215.0459,1178.5532,1213.8242,1121.446,1199.4863,1226.1895,1362.2937,1321.1188,1154.0829,1279.4169,1159.761,1087.7306,1088.5442,1287.1277,1158.6597,1147.2189,1136.4697,1365.1038,1237.9008,1179.2362,1223.2875,1202.8558,1392.6859,1137.387,1206.1301,1209.3173
2000-01-15,1209.6027,1192.5917,1247.7651,1263.7157,1124.0864,1222.2833,1187.3677,1220.4935,1132.3169,1205.5873,1234.987,1366.8916,1328.3932,1159.5881,1285.9177,1170.0237,1096.0126,1095.6503,1293.7507,1166.0017,1153.6492,1144.5481,1372.3438,1254.1143,1185.7067,1231.8955,1212.2461,1401.815,1148.5427,1219.2458,1217.5712
2000-01-16,1308.5983,950.67694,1084.2863,1336.5651,1181.2594,1127.9733,1215.4476,1186.3027,1223.7775,1202.2828,1181.7057,1518.7402,1432.9266,1286.0128,1018.6268,1207.1315,1106.0619,1163.7871,905.4737,1062.125,734.6341,1166.0886,1364.1747,1071.8063,1153.864,1229.8087,1226.2115,1375.8479,1268.7637,1273.999,1185.4987
2000-01-17,791.49164,1186.2183,1141.7179,1168.4818,1216.4949,1207.8276,1185.2839,1182.357,1171.6345,1187.053,1342.9882,1355.8883,1321.0088,1188.9604,1277.7761,1159.4026,999.09296,1264.929,1209.5056,1123.1273,1109.8135,1260.2887,1417.8804,1137.7946,1149.3838,1220.8527,978.07275,1146.8643,1185.9652,1457.193,1191.5116
2000-01-18,1188.2096,1168.9088,1231.9922,1246.589,1097.5717,1199.5796,1165.1449,1194.0038,1115.589,1177.6128,1214.49,1335.874,1304.6514,1127.6508,1260.8416,1144.0006,1071.3164,1071.1636,1262.1029,1138.628,1124.8193,1113.494,1346.6666,1258.56,1156.8025,1206.9688,1181.7599,1381.934,1135.5986,1211.4883,1194.467
2000-01-19,1242.1387,1402.137,737.91547,1163.0413,1035.7155,1286.1359,857.0425,1220.999,966.8327,1174.3008,1258.4103,1178.9489,1350.5834,995.1949,1521.1251,1094.4752,1083.2931,995.3935,1620.2302,1234.5995,1291.0503,1098.981,1347.0522,1018.6938,1181.635,1199.852,1157.7249,1398.1996,1003.62573,1142.9862,1175.277
2000-01-20,1301.6136,1111.6449,1121.6115,1357.6027,1038.8298,1268.3702,1055.0907,1217.3839,1226.7689,1176.0142,1090.5128,1333.6228,1328.6022,1120.9727,1286.0007,1058.8942,1127.4298,1294.4357,1292.6577,1165.6895,1053.401,1280.447,1285.8546,1451.657,1178.035,1201.203,1156.4476,1620.6418,1088.4609,955.2314,1208.171
2000-01-21,1176.5288,1160.3962,1224.2535,1234.8005,1094.4713,1192.1505,1155.5719,1187.6968,1102.749,1172.2053,1204.7722,1332.7601,1297.2734,1123.4191,1254.6218,1132.7842,1062.6907,1064.0818,1256.3566,1131.5118,1119.0565,1105.754,1339.5216,1236.5654,1150.9935,1197.9319,1172.2206,1371.715,1122.0132,1194.7943,1185.722
2000-01-22,1169.1382,1153.0874,1218.9772,1228.4028,1087.5576,1185.2881,1148.4005,1180.156,1096.2388,1164.4895,1197.9824,1324.7738,1290.1743,1114.9935,1247.4342,1124.3689,1055.1187,1056.864,1247.7007,1123.6013,1111.0674,1096.8456,1332.0088,1233.2802,1142.9773,1190.2236,1163.0918,1364.9724,1116.2549,1189.6548,1178.504
2000-01-23,1158.5665,1142.9067,1211.4836,1219.0999,1078.3745,1175.7802,1138.3011,1169.8757,1086.6956,1154.0646,1188.3613,1314.2079,1280.3662,1103.7607,1237.617,1112.5192,1044.5885,1046.93,1236.0347,1112.7716,1100.2583,1084.6747,1321.6884,1227.0635,1132.1296,1179.4812,1150.4749,1355.3672,1107.6128,1181.5293,1168.4196
2000-01-24,1144.8322,1129.7797,1201.7682,1206.9589,1066.7007,1163.5398,1125.238,1156.7041,1074.214,1140.7438,1175.8953,1300.793,1267.75,1089.466,1225.0311,1097.1929,1031.018,1034.1661,1221.1392,1098.879,1086.441,1069.0707,1308.4358,1218.4362,1118.262,1165.6284,1134.2439,1342.9027,1096.2386,1170.6921,1155.4054
2000-01-25,1131.4836,1118.9336,1192.7036,1194.1038,1060.2789,1153.7931,1113.6501,1147.4325,1060.4786,1132.0677,1164.417,1293.737,1257.9053,1081.2885,1216.0321,1083.6082,1019.9312,1024.482,1211.6538,1088.7654,1077.3306,1057.8937,1298.5306,1199.4808,1109.1,1154.144,1121.5442,1331.0637,1082.3628,1154.7666,1144.4321
