,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,6207.111,6157.2534,6161.204,6225.538,6231.822,6144.681,6189.62,6163.954,6191.4883,6190.086,6152.0576,6247.2373,6150.0522,6220.231,6086.5425,6108.215,6233.2134,6251.8564,6213.7134,6238.4087,6167.141,6125.2866,6236.729,6141.016,6210.729,6128.6333,6246.7285,6194.1187,6170.897,6211.1577,6186.5576
2021-11-25,6224.1465,6175.505,6179.2417,6244.994,6251.0986,6162.5205,6209.578,6180.095,6211.164,6208.336,6170.254,6269.3164,6166.579,6242.084,6107.1343,6126.303,6254.4307,6270.7056,6234.388,6254.0415,6184.446,6142.824,6255.784,6160.59,6229.489,6147.471,6262.2925,6211.263,6189.567,6226.685,6205.0776
2021-11-26,6244.56,6198.574,6202.457,6265.1,6272.9453,6182.9663,6228.758,6200.5996,6237.1377,6229.5225,6189.866,6291.9844,6183.584,6263.779,6125.6187,6149.719,6276.9844,6291.409,6254.5146,6275.764,6206.3916,6164.9097,6278.2793,6185.269,6247.4194,6167.8945,6283.1094,6233.759,6209.833,6246.0664,6226.2935
2021-11-27,6264.3916,6219.148,6223.7856,6279.9595,6291.057,6197.606,6244.3125,6219.3257,6253.2656,6247.79,6206.709,6301.5503,6196.9775,6276.352,6138.4336,6171.089,6290.0454,6307.614,6270.3384,6296.0317,6226.4155,6184.235,6296.154,6206.9224,6262.421,6184.079,6303.8345,6252.073,6226.4854,6263.587,6243.4
2021-11-28,6279.2705,6236.2227,6240.559,6290.521,6306.44,6208.5894,6254.329,6238.167,6258.6855,6260.807,6221.0635,6303.583,6210.443,6278.237,6145.559,6187.9756,6293.691,6318.552,6282.9224,6316.1016,6242.5776,6200.9746,6308.5225,6222.712,6277.9453,6195.027,6322.0137,6264.269,6240.1445,6283.5776,6256.3164
2021-11-29,6249.472,6205.3516,6209.3965,6262.0435,6276.1074,6180.026,6225.009,6211.191,6225.5127,6231.2524,6193.4907,6272.6265,6185.824,6248.5684,6118.24,6156.751,6261.545,6289.128,6253.9424,6287.282,6212.9087,6171.508,6276.988,6189.199,6250.8145,6166.768,6293.907,6233.86,6211.1094,6257.5376,6226.912
2021-11-30,6201.888,6156.0776,6160.019,6218.4497,6228.9185,6137.2046,6180.026,6165.7095,6181.399,6185.6895,6148.6978,6232.747,6145.4624,6206.5444,6077.2017,6107.2964,6219.5234,6244.632,6207.725,6241.296,6165.674,6124.6035,6229.597,6137.505,6205.2915,6123.46,6247.517,6188.5957,6165.1494,6212.548,6181.548
2021-12-01,6150.968,6103.542,6108.062,6170.5103,6176.5864,6089.314,6130.943,6116.398,6134.8325,6136.519,6099.3,6186.582,6099.5713,6161.378,6032.0186,6055.2695,6174.2573,6196.2646,6156.9937,6189.878,6115.5654,6073.84,6178.136,6082.916,6153.715,6076.563,6198.3325,6139.96,6114.096,6162.3774,6132.1562
2021-12-02,6103.4155,6057.395,6062.387,6124.7397,6129.312,6044.5884,6083.2236,6074.0107,6088.45,6090.8545,6053.07,6137.1133,6056.0103,6113.317,5986.4155,6009.6006,6126.547,6149.3457,6108.9375,6145.7524,6071.5547,6029.3687,6130.19,6033.9443,6105.056,6031.975,6156.4033,6095.458,6065.173,6120.8213,6086.148
2021-12-03,6051.624,6006.5454,6011.62,6078.2603,6077.176,5997.75,6035.96,6027.3,6035.5044,6042.3867,6002.9126,6083.182,6009.8813,6060.9,5939.1084,5958.5527,6075.362,6098.2056,6060.674,6097.084,6022.986,5980.5493,6081.414,5980.441,6057.568,5985.6333,6108.3237,6047.331,6017.342,6076.977,6036.951
2021-12-04,6003.018,5955.1646,5959.741,6034.5317,6027.2246,5951.7803,5993.08,5976.8486,5985.4717,5993.6875,5952.022,6039.761,5968.48,6014.9795,5898.101,5906.592,6032.127,6053.049,6016.5615,6047.953,5972.6997,5931.629,6032.7026,5926.5195,6014.1445,5939.2476,6059.471,5997.593,5974.2544,6031.2104,5989.6543
2021-12-05,5958.8696,5906.535,5911.378,5996.1895,5982.398,5913.694,5947.6567,5925.723,5945.9453,5949.803,5909.788,6013.8936,5934.255,5987.6567,5865.534,5858.1636,6000.3994,6015.3804,5972.093,5997.3877,5922.3003,5883.7334,5989.746,5877.781,5973.2007,5902.2944,6012.781,5953.2734,5932.41,5983.634,5947.463
2021-12-06,5953.9917,5898.815,5904.5986,5991.7837,5975.0356,5912.4517,5940.802,5917.584,5945.5093,5942.28,5905.267,6015.5547,5928.1045,5986.713,5863.802,5850.4497,5997.27,6012.753,5966.3325,5988.1025,5911.719,5874.1587,5985.6235,5872.052,5966.7397,5899.114,6005.7295,5951.737,5927.3877,5967.3164,5941.9595
2021-12-07,5995.343,5940.569,5945.789,6028.678,6016.4336,5949.5405,5980.589,5957.9194,5983.8384,5982.492,5945.3223,6051.321,5963.6797,6023.991,5898.6646,5892.453,6035.0303,6050.303,6005.882,6029.845,5953.979,5915.134,6024.992,5914.6704,6006.4385,5935.5527,6044.9536,5989.882,5966.2085,6010.6455,5981.339
2021-12-08,6017.5728,5963.3,5968.3853,6049.3726,6039.2,5970.8936,6002.3374,5979.542,6006.1025,6004.1953,5967.385,6073.2925,5983.4375,6045.766,5919.024,5915.085,6056.813,6071.5947,6027.8115,6051.775,5976.3667,5937.053,6047.143,5938.3706,6027.724,5955.9326,6066.1997,6011.6987,5987.8916,6032.253,6003.1177
