,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,1113.3389,1088.6742,1120.7589,1034.8878,1072.6938,1113.2401,1070.3734,1031.2997,1076.1508,1113.2816,1113.1967,1104.0195,999.39966,1008.0024,1097.2878,1066.3269,1105.4124,1091.9232,1030.3074,1056.8904,1074.7389,1070.5365,1096.3099,1099.5713,1045.166,1024.5905,1080.7775,1110.298,1094.2218,1136.3015,1077.9993
2000-01-10,1089.0436,1065.8839,1099.0996,1017.9435,1048.3649,1089.47,1043.2607,1012.1561,1053.3903,1088.4286,1094.555,1078.9415,976.1898,983.525,1071.9044,1043.5529,1076.0878,1072.3502,1005.0468,1029.4716,1050.1849,1045.6625,1078.3546,1075.734,1014.97577,1004.2943,1054.1986,1086.0215,1071.4371,1108.2223,1054.2584
2000-01-11,1100.5433,1078.4951,1111.3424,1030.3269,1061.9048,1100.3334,1054.5548,1024.0071,1064.131,1102.2776,1106.5121,1090.9567,989.50244,995.3394,1085.8053,1056.4438,1089.3075,1084.7495,1017.0242,1042.7502,1064.1187,1058.2181,1091.402,1088.9484,1027.3912,1015.5029,1070.013,1097.1788,1084.1777,1120.0154,1066.7758
2000-01-12,1115.7095,1094.607,1126.7701,1045.1027,1079.061,1115.0204,1070.0846,1038.8749,1077.886,1119.4546,1121.0831,1106.5728,1006.8251,1010.9418,1103.5487,1072.7102,1107.1216,1100.2279,1032.8353,1060.1763,1081.731,1074.9387,1106.8163,1105.7783,1044.6328,1029.6809,1088.5629,1111.9054,1100.0581,1135.7089,1082.8142
2000-01-13,1127.9603,1106.6821,1137.6875,1054.7675,1091.6052,1126.7856,1082.9128,1049.3398,1089.1992,1131.3591,1130.7236,1118.2034,1019.33264,1023.2901,1116.5568,1084.5255,1120.7743,1110.8542,1045.0272,1073.6251,1094.6188,1088.0529,1116.8951,1118.1511,1059.2454,1039.8663,1100.7642,1123.1655,1111.6062,1147.8368,1094.7137
2000-01-14,1133.7429,1111.2235,1141.4678,1056.7128,1096.2928,1132.326,1089.9167,1052.4735,1094.7009,1135.5778,1133.3185,1123.6521,1023.45874,1029.0026,1121.3583,1088.8292,1127.6014,1114.097,1050.7567,1079.6998,1099.49,1093.6271,1119.0385,1122.8689,1066.96,1043.9556,1106.2756,1128.5331,1115.8792,1153.475,1099.5437
2000-01-15,1130.9974,1107.2185,1137.9713,1051.7871,1092.2797,1129.7262,1088.1261,1048.2739,1092.6047,1131.7596,1129.3296,1121.3357,1018.9238,1025.9312,1117.2391,1084.8832,1124.9951,1109.6597,1048.2008,1076.5992,1095.0431,1089.8488,1113.9741,1118.95,1064.8369,1040.784,1103.2441,1126.5475,1112.1605,1151.6989,1096.1643
2000-01-16,1117.5326,1093.4087,1125.1919,1039.4958,1077.6335,1117.0201,1074.2794,1035.6808,1080.392,1117.9656,1117.4816,1108.0104,1004.3903,1012.2993,1102.2947,1071.0237,1110.004,1096.6384,1034.4524,1061.5779,1079.8744,1075.3157,1101.2031,1104.4307,1049.2738,1028.7748,1086.5818,1113.9106,1098.7175,1139.08,1082.4646
2000-01-17,1100.2471,1076.4943,1109.0294,1025.8032,1059.5344,1100.2383,1055.552,1021.0224,1064.0773,1099.7695,1103.0986,1090.2013,986.85913,994.8698,1083.5206,1054.0317,1089.4376,1081.3469,1016.3801,1042.0021,1061.8427,1057.1888,1086.7823,1086.7264,1028.3135,1013.8149,1066.4882,1096.6873,1081.9504,1120.0897,1065.1134
2000-01-18,1098.3044,1074.7141,1107.3167,1024.5607,1057.6161,1098.1614,1053.2692,1019.54486,1062.0822,1097.6797,1101.5491,1087.9363,985.0298,992.91406,1081.4326,1052.2306,1086.9048,1079.9103,1014.2562,1039.7372,1059.9281,1055.2313,1085.4908,1084.9026,1025.585,1012.1979,1064.4415,1094.5094,1080.0685,1116.7987,1063.1434
2000-01-19,1103.2704,1079.1438,1111.4534,1027.3954,1062.3306,1103.1155,1059.0085,1023.10724,1066.8989,1102.3887,1104.8901,1092.9448,989.5001,997.988,1086.4072,1056.6155,1093.054,1083.4996,1019.35095,1045.3263,1064.772,1060.3589,1088.5532,1089.5215,1031.9521,1016.2494,1069.4294,1099.3324,1084.4764,1122.3508,1067.823
