,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,6775.7515,6810.027,6814.9775,6782.5103,6809.168,6695.5713,6744.1177,6751.043,6760.203,6766.4575,6737.433,6786.078,6685.1406,6762.0063,6638.387,6764.696,6776.1597,6850.3423,6800.2017,6807.584,6791.017,6753.351,6876.3086,6834.5063,6791.1523,6678.4355,6823.2563,6755.6797,6786.5674,6796.059,6773.473
2019-06-21,6777.8374,6810.9307,6815.6772,6784.207,6810.543,6696.726,6742.6265,6751.8296,6763.8486,6767.867,6738.801,6793.8022,6685.2373,6765.447,6639.852,6765.477,6781.0513,6852.157,6800.568,6808.784,6791.7344,6754.9604,6878.857,6836.1074,6792.499,6680.0967,6823.86,6757.346,6786.9585,6796.605,6775.076
2019-06-22,6793.155,6828.985,6834.058,6799.3867,6825.5967,6712.0684,6753.787,6768.0356,6777.051,6783.799,6755.28,6811.273,6699.2427,6778.633,6656.233,6784.0063,6795.924,6869.9033,6815.066,6824.4043,6809.1196,6772.6416,6898.297,6856.5923,6807.265,6693.754,6839.1777,6771.49,6804.0693,6812.277,6791.019
2019-06-23,6820.3174,6865.038,6870.802,6827.5645,6853.91,6740.868,6778.032,6800.293,6805.416,6814.444,6786.73,6836.7314,6727.653,6803.2,6686.108,6820.8965,6821.9834,6902.9,6845.2476,6854.6416,6843.833,6807.5156,6933.377,6895.7188,6836.6167,6718.057,6869.8804,6798.623,6838.024,6843.741,6821.605
2019-06-24,6850.999,6905.3003,6911.1367,6858.0273,6884.433,6771.8438,6805.9556,6835.5083,6835.5977,6847.6187,6821.237,6859.457,6759.421,6830.966,6718.0933,6861.5566,6850.411,6938.099,6878.545,6887.484,6882.072,6844.8345,6970.9375,6937.944,6862.4033,6743.787,6903.6934,6828.9683,6875.458,6878.3086,6854.6704
2019-06-25,6859.5723,6916.8047,6922.8994,6866.9595,6893.432,6781.0376,6813.1284,6845.813,6844.464,6857.3657,6831.2017,6866.881,6768.4434,6838.704,6727.6265,6873.36,6858.514,6948.5923,6888.1147,6897.105,6893.169,6855.849,6982.0425,6950.4307,6870.982,6751.489,6913.492,6837.606,6886.339,6888.3706,6864.325
2019-06-26,6866.792,6926.8125,6932.954,6873.9233,6900.628,6788.3022,6816.8013,6854.5405,6851.6025,6865.3774,6839.3745,6870.74,6775.8066,6844.6987,6734.8325,6883.516,6864.782,6956.9043,6895.838,6905.096,6902.6187,6864.8604,6990.675,6960.6787,6876.2246,6757.275,6921.904,6845.0156,6895.18,6896.977,6872.0234
2019-06-27,6863.2,6922.724,6928.9277,6870.185,6897.131,6784.783,6813.7627,6850.9453,6847.497,6861.705,6835.442,6865.8335,6772.4775,6840.7583,6730.9336,6879.4644,6860.503,6952.8433,6892.214,6901.595,6898.7227,6860.8135,6986.055,6956.1133,6872.9375,6754.0156,6918.5166,6841.8086,6891.159,6893.39,6868.2144
2019-06-28,6859.889,6918.4204,6924.501,6867.4595,6894.055,6781.7646,6812.224,6847.0977,6844.8936,6858.1367,6832.1465,6863.0835,6769.611,6838.922,6728.185,6874.932,6858.2656,6949.0728,6889.6387,6897.9204,6894.703,6856.564,6982.2207,6951.4165,6871.1357,6751.5654,6914.864,6838.5146,6888.015,6889.7886,6864.9663
2019-06-29,6852.785,6909.4917,6915.3677,6859.6587,6886.534,6773.893,6804.7754,6839.0796,6838.332,6850.3667,6823.8276,6856.2007,6761.914,6831.879,6719.4907,6865.824,6851.672,6940.4175,6881.0703,6890.395,6885.9443,6847.89,6972.764,6941.456,6862.4,6744.7646,6907.254,6831.758,6878.424,6881.7495,6856.913
2019-06-30,6843.767,6897.1484,6903.0117,6850.3364,6877.235,6764.581,6799.314,6828.225,6827.2217,6840.1016,6813.2773,6848.5825,6752.659,6822.647,6709.9995,6853.401,6841.4287,6929.6733,6871.2295,6880.331,6874.227,6836.489,6961.3516,6928.5654,6855.077,6736.975,6896.88,6822.3154,6867.3345,6871.3706,6846.8247
2019-07-01,6840.1743,6893.2236,6899.2373,6847.733,6874.4927,6761.851,6798.1997,6824.9956,6825.7534,6837.0713,6810.0684,6846.616,6749.934,6820.744,6707.3076,6849.4834,6839.857,6926.4688,6868.5337,6877.2393,6870.6973,6833.003,6957.852,6924.602,6853.971,6734.74,6893.716,6819.41,6864.1406,6868.1636,6843.9756
2019-07-02,6844.8945,6898.5063,6904.065,6851.79,6878.287,6765.587,6799.2104,6829.197,6829.9985,6841.16,6814.7505,6849.63,6753.7954,6825.7676,6711.297,6854.436,6844.608,6930.6626,6872.8403,6881.176,6875.426,6837.328,6962.6934,6929.5938,6855.4927,6737.961,6897.862,6823.629,6868.9053,6872.3174,6848.0947
2019-07-03,6841.259,6892.421,6898.08,6848.694,6874.66,6762.1104,6798.43,6824.1216,6826.461,6836.9546,6810.4893,6851.9736,6749.84,6823.2563,6708.338,6848.3555,6842.167,6926.7773,6868.703,6876.8154,6869.8486,6832.68,6959.052,6924.2217,6854.7007,6735.765,6892.8086,6819.405,6863.7466,6867.155,6844.3096
2019-07-04,6856.3994,6911.667,6917.453,6863.8335,6889.7964,6777.3438,6810.4805,6841.146,6842.059,6853.325,6827.344,6866.669,6764.6616,6836.94,6724.1807,6867.8867,6856.572,6944.394,6884.301,6892.9165,6888.1865,6851.1104,6978.04,6945.034,6867.5327,6748.8247,6909.005,6833.774,6881.568,6883.717,6860.54
2019-07-05,6869.6597,6928.9204,6935.0107,6876.6772,6903.061,6790.7363,6820.2983,6856.4634,6853.999,6867.7563,6841.9927,6877.4937,6777.777,6847.6123,6737.8066,6885.619,6867.743,6959.883,6897.864,6907.2964,6904.6436,6867.582,6994.3936,6963.66,6878.7188,6759.9653,6923.6113,6846.7446,6897.4443,6898.7017,6874.6377
