,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,3174.4673,3223.4556,3213.9917,3225.7634,3172.4548,3189.9702,3183.8115,3190.4688,3206.952,3165.8982,3209.6423,3165.8113,3180.7878,3228.9697,3193.7085,3185.768,3185.2754,3197.3093,3191.827,3167.5632,3180.1296,3165.947,3191.6191,3165.2708,3209.6558,3179.148,3177.6772,3192.766,3181.7834,3189.711,3189.5867
798,3176.4834,3225.3638,3216.3647,3227.3352,3173.9114,3191.6655,3185.889,3191.5981,3208.1057,3167.5725,3211.2659,3167.1775,3182.6838,3231.1853,3194.5237,3187.011,3186.936,3199.3154,3193.6313,3168.9912,3181.7,3167.5076,3193.0908,3166.9885,3211.3167,3180.8389,3177.8647,3194.664,3183.3342,3192.3767,3191.2231
799,3182.4854,3231.8154,3222.9424,3233.3457,3180.015,3198.1753,3191.767,3196.3555,3213.9177,3173.1921,3217.1685,3172.4495,3188.5837,3237.4194,3200.3147,3192.799,3193.2788,3205.9185,3199.7202,3174.991,3187.2415,3173.5247,3199.0974,3172.7769,3217.3687,3186.899,3182.6494,3200.9285,3189.32,3198.9504,3197.1804
800,3191.9612,3242.0996,3233.2646,3243.004,3189.876,3208.638,3201.0085,3204.0425,3223.395,3182.1448,3226.6228,3180.9255,3197.9312,3247.2166,3209.8767,3202.202,3203.47,3216.4114,3209.4246,3184.6855,3196.1,3183.1982,3208.7864,3182.002,3227.0637,3196.5972,3190.7385,3210.8958,3198.944,3209.1562,3206.7227
801,3199.708,3250.8179,3241.506,3251.4368,3198.6516,3217.7827,3208.4397,3210.89,3232.1035,3189.7202,3234.7834,3188.3418,3205.676,3255.0796,3219.0642,3210.7317,3212.3674,3225.156,3217.6467,3193.3179,3203.6917,3191.661,3217.3638,3189.816,3235.4373,3204.9404,3199.0583,3219.2917,3207.364,3216.9487,3214.9595
802,3208.4036,3260.314,3250.9404,3260.4019,3207.8362,3227.4963,3216.8958,3218.051,3240.9834,3197.984,3243.5413,3196.213,3214.2727,3264.0413,3228.104,3219.5205,3221.8271,3234.667,3226.6067,3202.3477,3211.8872,3200.6436,3226.3801,3198.3328,3244.419,3213.9185,3206.8066,3228.4854,3216.3008,3226.209,3223.7944
803,3216.8835,3269.7222,3260.0476,3269.3992,3217.1313,3237.249,3225.084,3225.3018,3250.0981,3206.1643,3252.2864,3204.1187,3222.7058,3272.7122,3237.563,3228.491,3231.3203,3244.0967,3235.4812,3211.489,3220.0457,3209.6655,3235.484,3206.7676,3253.39,3222.8704,3215.1711,3237.5679,3225.2766,3234.9785,3232.6187
804,3228.3164,3282.1416,3272.4941,3281.0723,3229.07,3249.8953,3236.2292,3234.5981,3261.5698,3216.976,3263.71,3214.364,3233.9875,3284.5261,3249.153,3239.8682,3243.6384,3256.532,3247.2002,3223.2134,3230.7466,3221.359,3247.1992,3217.908,3265.1042,3234.5876,3224.9705,3249.6033,3236.9097,3247.2705,3244.1401
805,3240.7146,3295.8262,3285.8545,3294.105,3242.5015,3264.02,3248.229,3245.0708,3274.6775,3228.8782,3276.3982,3225.8132,3246.2935,3297.2368,3262.677,3252.7917,3257.3816,3270.2446,3260.1099,3236.418,3242.595,3234.424,3260.3599,3230.1787,3278.1191,3247.5823,3236.8062,3262.8264,3249.9082,3260.2178,3256.942
806,3250.1533,3306.4475,3295.8967,3304.3772,3253.1804,3275.1584,3257.2832,3253.411,3285.2827,3238.1062,3286.339,3234.8464,3255.729,3306.8179,3273.8606,3263.1804,3268.1902,3280.8975,3270.1265,3246.9314,3251.843,3244.732,3270.8071,3239.6975,3288.319,3257.745,3246.9624,3273.0552,3260.1646,3269.715,3266.9753
