,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.77826256,0.77441496,0.78463256,0.78102684,0.77587545,0.7811556,0.77766454,0.7841393,0.782264,0.7833979,0.77075744,0.7798076,0.77595305,0.7801167,0.77798903,0.77553403,0.77790225,0.778172,0.7761653,0.7765171,0.77697086,0.773527,0.77726567,0.76931417,0.77485013,0.7762245,0.77771544,0.7720271,0.7719512,0.7725461,0.7771381
1,0.774606,0.77069575,0.7805301,0.7770822,0.7718095,0.7770921,0.77339494,0.77975076,0.778205,0.7790227,0.76659083,0.77572244,0.7721846,0.7764171,0.7740813,0.77127576,0.7738763,0.77420366,0.7724267,0.7724667,0.7729396,0.76857185,0.7723088,0.7639493,0.769129,0.7712873,0.7727795,0.76630855,0.7665566,0.7672061,0.77274907
2,0.7692896,0.7653007,0.7749047,0.77151287,0.7661549,0.771463,0.7677169,0.7739741,0.7725613,0.7732753,0.7615367,0.77056944,0.7676908,0.7710264,0.76919436,0.76624596,0.7691211,0.7693335,0.7684072,0.7679065,0.7685517,0.76444906,0.7681911,0.7597709,0.7648225,0.76733744,0.768845,0.76234925,0.7628971,0.76389265,0.7679431
3,0.76333225,0.75923586,0.769184,0.7656007,0.76009876,0.76535934,0.76150495,0.76760334,0.76621205,0.766904,0.7553638,0.7642027,0.7619077,0.7646097,0.7629232,0.7597675,0.762705,0.7629911,0.76216435,0.7614532,0.7621621,0.75806266,0.76151085,0.75344837,0.758149,0.76086056,0.7622565,0.75567317,0.7561679,0.75734323,0.76162523
4,0.7572837,0.7535351,0.76324004,0.7596283,0.7538587,0.7589059,0.7547976,0.76060927,0.75915504,0.75988954,0.7484603,0.7569016,0.75508773,0.75706506,0.7552177,0.7519346,0.7546915,0.75493324,0.7540181,0.7530308,0.753764,0.74922377,0.7526257,0.7446935,0.7490118,0.7514226,0.7528058,0.7460067,0.746369,0.74758047,0.7538582
5,0.75088763,0.7472475,0.7567968,0.7532991,0.74735427,0.7523077,0.7480339,0.7536422,0.75231993,0.7531327,0.7419127,0.7500888,0.748767,0.7493638,0.74811655,0.74480605,0.74752665,0.74780107,0.74608624,0.7451318,0.74618936,0.74139524,0.7451168,0.7373066,0.7414919,0.7438012,0.74535,0.73846996,0.73891187,0.7403933,0.7467683
6,0.7449165,0.7414496,0.7509978,0.74780214,0.7417606,0.74639416,0.74278736,0.74839056,0.7472824,0.7483479,0.736729,0.745219,0.7436911,0.7442167,0.7432033,0.7400986,0.7431163,0.74411213,0.7424904,0.7416707,0.7431546,0.73847973,0.74265033,0.73503155,0.73934054,0.7418324,0.74368656,0.73688716,0.7375839,0.7392554,0.7427526
7,0.7404258,0.7368167,0.74632394,0.7426973,0.73634875,0.74278224,0.7387229,0.74442357,0.7435873,0.7446823,0.73414826,0.7424605,0.7423072,0.74339724,0.7421964,0.7393443,0.742665,0.74424946,0.7434981,0.7426463,0.74469584,0.7399074,0.74467915,0.7373926,0.7416662,0.74477077,0.74717295,0.7403789,0.74149567,0.74314225,0.74196756
8,0.74038035,0.7365486,0.7461401,0.74250543,0.73573005,0.7423699,0.73868906,0.744753,0.74403346,0.7450062,0.7345047,0.74294186,0.7428007,0.7442659,0.74298215,0.7405199,0.74393004,0.74530244,0.7452376,0.74439836,0.7463432,0.7421386,0.7464558,0.73918,0.7433678,0.746685,0.7489382,0.74199986,0.7433288,0.74495655,0.7428811
9,0.7453329,0.7412457,0.7509136,0.74762094,0.74082756,0.74744976,0.7435361,0.749401,0.74850184,0.7494025,0.738811,0.74726486,0.74701023,0.74847895,0.7471576,0.7444544,0.7478193,0.7492421,0.74867046,0.74789995,0.7498882,0.74546915,0.74966395,0.7424187,0.7468457,0.7499981,0.7522856,0.74546814,0.746685,0.74825394,0.7469339
