,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,9665.299,9677.605,9632.066,9608.725,9644.959,9604.246,9649.723,9600.367,9681.635,9606.337,9653.595,9662.826,9645.64,9645.822,9660.354,9557.721,9640.495,9619.873,9617.806,9623.813,9640.457,9632.774,9669.355,9619.316,9633.412,9623.936,9591.51,9641.262,9661.491,9596.379,9633.627
2021-11-25,9571.049,9581.769,9538.346,9515.271,9551.051,9511.808,9555.395,9509.23,9586.428,9513.584,9560.567,9568.763,9552.737,9551.699,9564.327,9467.514,9545.748,9525.778,9524.4375,9531.124,9546.456,9540.249,9574.345,9527.842,9539.16,9530.424,9499.605,9549.144,9565.545,9505.443,9540.16
2021-11-26,9486.821,9495.888,9454.5625,9431.715,9467.151,9429.302,9471.123,9428.138,9501.3545,9430.759,9477.58,9484.848,9469.829,9467.611,9478.232,9387.232,9460.88,9441.689,9441.026,9448.374,9462.416,9457.444,9489.366,9446.384,9454.796,9446.837,9417.643,9467.156,9479.628,9424.525,9456.678
2021-11-27,9412.928,9420.296,9381.024,9358.364,9393.57,9357.027,9397.217,9357.365,9426.727,9358.165,9404.925,9411.385,9397.21,9393.863,9402.406,9317.152,9386.221,9367.922,9367.88,9375.865,9388.654,9384.681,9414.74,9375.225,9380.64,9373.481,9345.916,9395.578,9404.064,9353.9,9383.48
2021-11-28,9343.781,9350.985,9312.418,9290.011,9324.5625,9288.778,9327.924,9289.028,9356.844,9289.82,9336.082,9341.769,9328.567,9324.728,9333.158,9249.568,9317.521,9298.905,9299.286,9307.477,9319.779,9317.09,9345.305,9306.89,9312.06,9304.98,9277.724,9326.594,9334.441,9285.714,9314.728
2021-11-29,9318.14,9313.715,9285.309,9262.362,9300.199,9268.471,9303.325,9280.815,9331.327,9267.8,9317.514,9323.031,9308.688,9300.132,9293.652,9240.769,9282.57,9273.226,9275.032,9286.435,9292.977,9287.801,9316.305,9295.715,9280.038,9278.439,9261.09,9317.28,9299.846,9277.445,9291.314
2021-11-30,9285.722,9290.578,9254.494,9232.18,9266.852,9232.429,9269.951,9234.924,9298.242,9233.066,9279.608,9284.669,9271.997,9266.875,9272.37,9195.931,9258.026,9240.938,9241.918,9250.877,9261.701,9259.512,9286.378,9252.218,9253.214,9247.245,9222.116,9271.78,9274.304,9231.713,9257.395
2021-12-01,9193.009,9208.252,9164.044,9142.651,9173.195,9136.337,9176.041,9127.598,9204.176,9138.374,9180.927,9184.843,9174.848,9173.226,9192.202,9090.411,9174.597,9148.485,9148.87,9155.213,9170.491,9172.692,9196.25,9147.608,9167.296,9156.444,9122.737,9164.376,9189.001,9124.686,9163.296
2021-12-02,9071.573,9087.987,9043.781,9022.92,9051.837,9015.852,9054.222,9005.441,9081.398,9017.915,9059.161,9061.705,9053.594,9051.688,9072.337,8969.687,9055.131,9027.303,9028.274,9034.546,9049.654,9054.386,9074.698,9025.818,9047.678,9036.294,9001.862,9041.188,9067.845,9002.796,9042.285
2021-12-03,8969.794,8980.203,8941.98,8921.184,8950.858,8917.888,8952.783,8913.403,8978.731,8918.953,8961.311,8962.774,8955.327,8950.453,8963.528,8878.319,8949.275,8925.6875,8927.915,8936.008,8947.602,8952.631,8970.849,8932.291,8943.439,8934.904,8905.764,8947.765,8961.001,8910.909,8942.118
2021-12-04,8911.696,8914.182,8883.221,8862.215,8893.69,8863.908,8895.305,8867.519,8920.276,8863.75,8908.157,8909.052,8901.396,8893.068,8896.044,8832.4795,8885.166,8867.649,8871.087,8881.431,8888.849,8892.888,8910.298,8884.403,8881.376,8876.586,8854.263,8900.754,8896.602,8865.067,8885.746
2021-12-05,8910.41,8902.629,8880.461,8858.898,8893.494,8867.073,8894.987,8881.441,8919.326,8865.427,8913.05,8914.034,8905.06,8892.704,8882.487,8845.643,8875.48,8866.288,8870.857,8883.985,8886.442,8887.884,8906.117,8895.695,8874.256,8874.301,8860.667,8913.899,8887.516,8878.8955,8886.313
2021-12-06,8939.206,8929.856,8908.79,8887.031,8922.411,8896.202,8923.995,8912.317,8948.485,8894.365,8942.699,8944.021,8934.437,8921.638,8909.366,8876.083,8902.755,8895.013,8899.584,8913.085,8914.963,8915.493,8934.582,8926.155,8901.888,8902.663,8890.303,8944.926,8915.266,8909.699,8915.241
2021-12-07,8994.269,8978.806,8962.511,8940.204,8978.035,8953.246,8979.76,8975.972,9004.349,8950.595,9001.268,9003.269,8992.109,8977.246,8957.041,8938.669,8952.354,8949.916,8954.832,8969.89,8969.156,8967.142,8988.134,8988.215,8952.949,8956.593,8949.297,9008.634,8965.962,8973.182,8971.121
2021-12-08,9052.596,9040.131,9020.788,8998.421,9035.951,9009.579,9037.934,9029.373,9063.202,9007.436,9057.61,9060.235,9048.639,9035.303,9018.869,8991.654,9012.655,9008.146,9012.393,9026.526,9027.595,9025.294,9047.526,9042.358,9012.434,9014.654,9004.701,9062.795,9026.857,9026.491,9028.605
2021-12-09,9104.9,9092.117,9072.614,9050.027,9088.204,9061.395,9090.387,9081.714,9116.08,9059.27,9109.946,9113.159,9100.778,9087.635,9070.719,9043.395,9064.265,9060.342,9064.316,9078.435,9079.666,9076.331,9099.937,9094.59,9064.062,9066.423,9056.63,9115.595,9079.182,9078.72,9080.693
2021-12-10,9141.497,9133.139,9109.547,9087.0625,9124.271,9095.642,9126.647,9111.456,9152.92,9094.201,9143.769,9147.349,9135.0205,9123.836,9112.552,9073.064,9104.182,9096.898,9100.173,9113.02,9116.606,9113.729,9137.913,9125.447,9102.831,9103.104,9089.487,9146.002,9119.322,9108.427,9116.304
