,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,263.89154,269.79306,323.96573,336.30154,255.77548,326.69385,243.80023,309.09433,181.20978,299.53976,304.62515,203.37668,308.66336,256.83768,268.31076,368.6993,306.30444,254.59337,307.81927,303.6809,242.11014,315.20154,215.8888,320.27444,309.84088,320.23828,284.7229,262.01294,214.98859,317.73883,283.19977
2000-01-10,263.89154,269.79306,323.96573,336.30154,255.77548,326.69385,243.80023,309.09433,181.20978,299.53976,304.62515,203.37668,308.66336,256.83768,268.31076,368.6993,306.30444,254.59337,307.81927,303.6809,242.11014,315.20154,215.8888,320.27444,309.84088,320.23828,284.7229,262.01294,214.98859,317.73883,283.19977
2000-01-11,263.89154,269.79306,323.96573,336.30154,255.77548,326.69385,243.80023,309.09433,181.20978,299.53976,304.62515,203.37668,308.66336,256.83768,268.31076,368.6993,306.30444,254.59337,307.81927,303.6809,242.11014,315.20154,215.8888,320.27444,309.84088,320.23828,284.7229,262.01294,214.98859,317.73883,283.19977
2000-01-12,263.89154,269.79306,323.96573,336.30154,255.77548,326.69385,243.80023,309.09433,181.20978,299.53976,304.62515,203.37668,308.66336,256.83768,268.31076,368.6993,306.30444,254.59337,307.81927,303.6809,242.11014,315.20154,215.8888,320.27444,309.84088,320.23828,284.7229,262.01294,214.98859,317.73883,283.19977
2000-01-13,263.89154,269.79306,323.96573,336.30154,255.77548,326.69385,243.80023,309.09433,181.20978,299.53976,304.62515,203.37668,308.66336,256.83768,268.31076,368.6993,306.30444,254.59337,307.81927,303.6809,242.11014,315.20154,215.8888,320.27444,309.84088,320.23828,284.7229,262.01294,214.98859,317.73883,283.19977
2000-01-14,393.70575,554.96246,422.06128,210.35306,715.06146,222.70055,263.05453,436.17233,408.3827,438.8192,550.4691,411.07727,833.25903,588.0964,579.9443,410.52338,524.661,615.4719,399.22583,389.019,261.76743,718.86816,-1.251247,853.4108,639.6062,399.20554,675.29755,506.3615,582.883,127.20654,471.01257
2000-01-15,494.92807,232.83905,416.9055,405.522,339.403,164.61348,404.9255,440.55133,-14.370631,376.92706,414.57104,-34.78286,458.0549,471.93088,441.5084,592.47375,728.5157,172.9197,413.693,434.37912,-86.2603,330.7607,270.39066,370.79813,331.0669,267.01096,277.15106,328.14554,718.0898,404.94748,352.2536
2000-01-16,265.982,271.63925,325.99582,338.31216,257.88736,328.8597,245.91017,311.51614,183.32918,301.67865,306.84583,205.62628,310.85428,258.94455,270.10632,371.07938,308.17816,256.66965,309.91086,305.84454,244.17693,317.2015,217.9223,322.637,311.77612,322.28116,286.97635,264.43613,216.90239,320.15622,285.32126
2000-01-17,268.10043,273.5728,328.06207,340.36172,260.02097,331.02725,248.04181,313.87814,185.47473,303.82864,309.05872,207.86836,313.04407,261.07425,272.00092,373.40384,310.12814,258.77457,312.0236,308.0139,246.27817,319.25134,220.00073,324.95505,313.77255,324.35773,289.21344,266.80344,218.88963,322.51404,287.4598
2000-01-18,271.75317,276.91745,331.6265,343.89804,263.6986,334.75998,251.71696,317.93497,189.17409,307.53244,312.86768,211.72685,316.81573,264.74524,275.27963,377.39642,313.49866,262.40408,315.66534,311.7504,249.90257,322.78958,223.58762,328.93872,317.2211,327.93884,293.06256,270.87057,222.32358,326.56335,291.14536
2000-01-19,273.69858,279.50815,333.64157,345.9426,265.57205,336.39862,253.59766,318.89758,191.11835,309.27264,314.40952,213.28705,318.4352,266.62814,277.9944,378.3863,315.95718,264.3421,317.52322,313.44107,251.92436,324.97177,225.72858,330.07074,319.518,329.9258,294.51016,271.89883,224.76791,327.52847,292.96323
2000-01-20,274.53778,280.22675,334.45367,346.74524,266.42255,337.27777,254.44675,319.9036,191.96994,310.13815,315.3151,214.20432,319.32547,267.47614,278.68796,379.37393,316.6911,265.1759,318.36508,314.3181,252.7514,325.7664,226.53845,331.04727,320.28183,330.74374,295.4318,272.90372,225.51909,328.53253,293.81903
2000-01-21,276.06488,281.6409,335.94598,348.227,267.95856,338.83157,255.9819,321.57703,193.51596,311.6821,316.8981,215.80818,320.89514,269.0096,280.07736,381.02148,318.11276,266.69324,319.88635,315.87457,254.26855,327.25137,228.04237,332.69373,321.7324,332.24274,297.02972,274.58243,226.96634,330.2029,295.3572
2000-01-22,278.36456,283.79617,338.19727,350.46323,270.26852,341.1599,258.29105,324.0567,195.84332,313.99942,319.2662,218.20691,323.24487,271.31625,282.2012,383.46527,320.27585,268.97818,322.17435,318.2086,256.55597,329.4972,230.31473,335.14084,323.93192,334.50208,299.41592,277.0727,229.16641,332.67868,297.6685
2000-01-23,281.78223,286.99197,341.5419,353.78506,273.70218,344.62418,261.72305,327.7544,199.30229,317.4459,322.79028,221.77661,326.74197,274.7449,285.34915,387.10757,323.48413,272.37457,325.57516,321.68008,259.95474,332.83218,233.68982,338.78705,327.1963,337.8595,302.96802,280.78485,232.43036,336.36996,301.10504
2000-01-24,286.97153,291.8267,346.61755,358.82565,278.91833,349.89096,266.9364,333.3948,204.55502,322.6836,328.15167,227.20753,332.0591,279.9527,290.10654,392.66342,328.34085,277.5309,330.74097,326.958,265.11322,337.88943,238.80916,344.34485,332.14273,342.95547,308.37494,286.4464,237.3722,342.00064,306.32605
2000-01-25,290.69577,296.1537,350.38394,362.61374,282.5715,353.30096,270.5968,336.1741,208.29736,326.1967,331.4838,230.58139,335.46384,283.61395,294.54648,395.4472,332.52902,281.2375,334.36157,330.4284,268.91205,341.83408,242.72725,347.2858,336.18008,346.6971,311.6169,289.3039,241.5701,344.7797,309.9195
2000-01-26,290.8776,296.8968,350.64462,362.90475,282.69446,353.2381,270.72562,335.5231,208.46346,326.21588,331.32687,230.42169,335.37482,283.74554,295.39975,394.8368,333.16946,281.4222,334.48483,330.4014,269.15768,342.22253,243.0702,346.77945,336.67975,346.93246,311.37952,288.696,242.17938,344.13284,309.99994
2000-01-27,289.0005,295.21945,348.81927,361.09583,280.80014,351.30176,268.83295,333.37643,206.56107,324.3004,329.34436,228.41302,333.41678,281.85538,293.76443,392.72632,331.47125,279.55737,332.60886,328.46564,267.29977,340.41953,241.23889,344.6812,334.9312,345.096,309.3703,286.5474,240.44641,341.99036,308.09842
