,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,589.281,428.34088,192.68404,424.9452,809.7644,439.47794,492.76654,403.20117,384.943,433.6672,333.44876,517.4669,365.26773,522.0343,470.5597,459.9012,483.58368,443.11304,446.9432,385.57785,418.2971,536.0148,499.81635,508.83356,476.0513,484.18008,577.1705,416.63617,381.74844,482.79794,460.28378
2000-01-10,589.281,428.34088,192.68404,424.9452,809.7644,439.47794,492.76654,403.20117,384.943,433.6672,333.44876,517.4669,365.26773,522.0343,470.5597,459.9012,483.58368,443.11304,446.9432,385.57785,418.2971,536.0148,499.81635,508.83356,476.0513,484.18008,577.1705,416.63617,381.74844,482.79794,460.28378
2000-01-11,589.281,428.34088,192.68404,424.9452,809.7644,439.47794,492.76654,403.20117,384.943,433.6672,333.44876,517.4669,365.26773,522.0343,470.5597,459.9012,483.58368,443.11304,446.9432,385.57785,418.2971,536.0148,499.81635,508.83356,476.0513,484.18008,577.1705,416.63617,381.74844,482.79794,460.28378
2000-01-12,589.281,428.34088,192.68404,424.9452,809.7644,439.47794,492.76654,403.20117,384.943,433.6672,333.44876,517.4669,365.26773,522.0343,470.5597,459.9012,483.58368,443.11304,446.9432,385.57785,418.2971,536.0148,499.81635,508.83356,476.0513,484.18008,577.1705,416.63617,381.74844,482.79794,460.28378
2000-01-13,589.281,428.34088,192.68404,424.9452,809.7644,439.47794,492.76654,403.20117,384.943,433.6672,333.44876,517.4669,365.26773,522.0343,470.5597,459.9012,483.58368,443.11304,446.9432,385.57785,418.2971,536.0148,499.81635,508.83356,476.0513,484.18008,577.1705,416.63617,381.74844,482.79794,460.28378
2000-01-14,576.0994,985.94275,1509.005,624.3342,532.8163,596.019,902.317,224.84096,760.52545,1350.7134,1734.2205,1063.519,983.96387,1091.233,785.4013,1024.0789,1511.5254,161.39897,1392.9958,970.8304,1749.155,35.58911,571.50385,31.946651,777.2591,970.9078,405.4342,673.1948,749.5127,225.99078,832.4092
2000-01-15,1055.3206,1082.2588,1829.5085,630.0372,227.48254,711.39606,1384.3849,560.0117,1114.8743,1092.3641,1652.7933,721.5564,747.44525,737.86383,822.261,380.63068,951.4128,1455.0847,1025.8706,605.47675,1154.8014,231.24199,269.2902,138.1015,517.9464,1345.9244,338.24078,548.1676,716.6719,625.29895,822.4573
2000-01-16,589.927,429.7959,194.32005,426.23163,810.5117,440.62158,493.77686,404.5392,386.4216,434.64023,335.08978,518.3977,366.98206,522.7691,471.34836,460.99194,484.61206,444.04022,448.1786,386.98837,419.608,537.11395,500.41116,509.67178,476.79947,484.98676,577.74304,417.95572,383.38208,483.74887,461.3868
2000-01-17,590.5716,431.30103,196.00009,427.52872,811.2611,441.8503,494.79703,405.88797,387.95724,435.65952,336.76224,519.3141,368.73938,523.5195,472.1487,462.1596,485.6452,444.98663,449.43784,388.4681,420.98752,538.2479,501.0807,510.53333,477.56543,485.8408,578.35126,419.38657,385.05414,484.7532,462.52655
2000-01-18,591.6813,433.90158,198.90083,429.7642,812.5519,443.98056,496.55545,408.2124,390.6115,437.42255,339.6475,520.8896,371.7724,524.814,473.52863,464.20477,487.4252,446.61957,451.60995,391.02798,423.3749,540.2068,502.24664,512.02094,478.8873,487.31943,579.40454,421.864,387.93958,486.49194,464.49597
