,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,9675.085,9655.881,9627.746,9713.568,9669.348,9702.701,9658.386,9627.614,9660.192,9612.647,9715.62,9626.212,9696.89,9648.688,9698.932,9665.591,9692.999,9615.737,9605.702,9694.533,9687.251,9680.257,9684.996,9682.426,9630.8,9734.803,9681.898,9691.723,9651.667,9666.644,9668.551
2021-11-25,9577.53,9555.994,9531.983,9612.012,9569.866,9600.32,9556.341,9525.475,9563.58,9517.786,9615.379,9530.256,9599.26,9552.855,9599.17,9568.089,9593.007,9521.109,9511.369,9586.326,9589.776,9580.189,9588.239,9586.844,9535.033,9631.4795,9580.031,9598.004,9556.426,9572.376,9570.204
2021-11-26,9490.028,9466.237,9446.458,9520.726,9480.793,9508.44,9464.496,9435.707,9477.131,9433.251,9525.497,9444.715,9512.058,9467.008,9509.64,9480.612,9503.155,9436.949,9427.246,9489.432,9502.461,9490.574,9501.795,9501.388,9449.344,9538.888,9488.589,9514.312,9471.237,9488.221,9482.214
2021-11-27,9412.922,9386.969,9371.477,9440.08,9402.465,9427.422,9384.648,9361.039,9401.166,9359.338,9446.317,9369.884,9435.597,9391.475,9430.692,9403.504,9423.805,9363.535,9353.629,9404.218,9425.638,9411.748,9425.977,9426.373,9374.054,9457.381,9407.936,9440.95,9396.42,9414.481,9405.036
2021-11-28,9342.802,9315.872,9301.089,9367.912,9330.298,9354.043,9315.41,9292.019,9330.854,9288.813,9374.158,9298.688,9363.875,9322.128,9359.197,9333.522,9352.631,9292.488,9283.756,9325.756,9355.091,9339.236,9354.984,9356.503,9304.332,9382.768,9335.02,9372.022,9326.948,9345.035,9333.907
2021-11-29,9300.39,9264.617,9276.874,9314.4795,9294.448,9307.186,9258.739,9259.592,9298.586,9273.748,9332.111,9281.87,9338.754,9285.658,9313.462,9290.007,9301.348,9285.263,9265.899,9286.369,9318.134,9302.274,9329.085,9328.013,9272.601,9341.734,9287.333,9348.779,9296.884,9322.944,9299.238
2021-11-30,9280.792,9251.421,9242.353,9302.224,9267.971,9288.678,9251.353,9232.765,9270.636,9231.723,9310.89,9240.746,9303.94,9261.85,9295.496,9271.411,9288.115,9236.494,9226.631,9257.914,9293.796,9276.433,9295.463,9297.349,9244.674,9317.568,9269.853,9314.596,9267.799,9287.431,9272.612
2021-12-01,9201.843,9178.937,9146.271,9229.937,9179.564,9208.323,9186.952,9146.509,9182.063,9127.026,9228.739,9136.526,9206.449,9178.751,9217.282,9193.707,9215.525,9123.731,9125.585,9162.174,9209.127,9188.469,9199.912,9206.058,9156.605,9229.804,9191.039,9220.078,9178.62,9190.985,9184.887
2021-12-02,9080.812,9057.256,9022.472,9106.603,9054.021,9083.766,9069.302,9026.206,9059.411,9001.831,9104.635,9010.341,9080.358,9058.367,9094.191,9073.065,9093.71,8996.608,9001.913,9025.731,9086.641,9062.446,9075.237,9083.729,9034.952,9100.502,9065.632,9098.788,9057.207,9068.616,9061.145
2021-12-03,8969.481,8940.264,8919.864,8987.148,8943.329,8970.733,8952.0,8921.267,8952.89,8903.608,8991.356,8910.422,8975.584,8950.993,8979.437,8961.366,8976.604,8901.62,8903.138,8918.474,8977.48,8950.757,8971.015,8979.659,8929.46,8984.08,8948.076,8998.545,8952.864,8968.281,8952.994
2021-12-04,8899.565,8863.823,8862.033,8908.609,8876.622,8899.221,8873.012,8858.718,8889.686,8851.853,8920.73,8861.526,8916.356,8885.532,8906.474,8890.79,8900.1,8854.83,8849.889,8858.378,8910.983,8883.097,8911.693,8919.258,8866.965,8912.442,8872.962,8942.23,8891.638,8912.435,8888.382
2021-12-05,8883.707,8840.426,8862.398,8883.611,8867.222,8881.923,8844.235,8851.374,8882.885,8860.375,8905.763,8870.694,8916.331,8874.706,8888.096,8873.91,8876.701,8870.468,8855.733,8853.499,8900.097,8872.815,8910.751,8915.67,8860.456,8899.201,8853.294,8943.005,8886.529,8914.392,8880.01
2021-12-06,8910.568,8866.493,8891.956,8909.873,8895.968,8908.809,8868.666,8879.13,8911.268,8891.289,8933.467,8900.509,8946.386,8902.044,8915.13,8900.549,8902.801,8902.736,8885.949,8881.352,8927.929,8901.565,8940.354,8944.381,8888.638,8928.362,8880.717,8972.015,8914.831,8943.808,8908.251
2021-12-07,8957.513,8909.64,8948.987,8952.909,8948.493,8955.371,8907.04,8930.369,8963.879,8953.394,8982.308,8960.69,9004.257,8951.426,8961.651,8946.76,8946.01,8969.592,8945.9,8933.52,8978.243,8953.833,8997.077,8998.589,8940.948,8980.526,8927.602,9028.116,8967.794,9001.047,8960.116
2021-12-08,9020.684,8975.7295,9007.86,9020.342,9011.578,9019.455,8973.073,8990.243,9024.686,9010.105,9046.634,9014.817,9064.355,9012.545,9026.676,9010.098,9012.164,9024.76,9002.813,8992.114,9040.385,9017.45,9056.818,9058.128,9001.177,9046.731,8994.177,9085.65,9027.423,9058.686,9021.578
2021-12-09,9073.069,9028.53,9061.148,9073.883,9065.792,9072.241,9024.235,9042.164,9077.607,9063.849,9100.327,9068.878,9118.637,9064.563,9079.994,9062.334,9065.023,9079.204,9055.948,9043.606,9093.309,9071.887,9110.507,9110.8545,9053.663,9102.631,9048.515,9137.852,9079.781,9111.329,9074.713
