,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,406.86267,349.5724,279.275,450.7121,337.81638,402.10947,434.3801,486.51794,418.63928,206.1368,490.3158,430.59174,376.88922,412.12335,268.03143,572.7676,367.96704,425.4059,511.09134,273.55612,449.31384,417.82217,252.6381,490.6082,645.67584,442.61066,311.49554,351.43112,571.72876,471.86633,410.19833
2000-01-10,406.86267,349.5724,279.275,450.7121,337.81638,402.10947,434.3801,486.51794,418.63928,206.1368,490.3158,430.59174,376.88922,412.12335,268.03143,572.7676,367.96704,425.4059,511.09134,273.55612,449.31384,417.82217,252.6381,490.6082,645.67584,442.61066,311.49554,351.43112,571.72876,471.86633,410.19833
2000-01-11,406.86267,349.5724,279.275,450.7121,337.81638,402.10947,434.3801,486.51794,418.63928,206.1368,490.3158,430.59174,376.88922,412.12335,268.03143,572.7676,367.96704,425.4059,511.09134,273.55612,449.31384,417.82217,252.6381,490.6082,645.67584,442.61066,311.49554,351.43112,571.72876,471.86633,410.19833
2000-01-12,406.86267,349.5724,279.275,450.7121,337.81638,402.10947,434.3801,486.51794,418.63928,206.1368,490.3158,430.59174,376.88922,412.12335,268.03143,572.7676,367.96704,425.4059,511.09134,273.55612,449.31384,417.82217,252.6381,490.6082,645.67584,442.61066,311.49554,351.43112,571.72876,471.86633,410.19833
2000-01-13,406.86267,349.5724,279.275,450.7121,337.81638,402.10947,434.3801,486.51794,418.63928,206.1368,490.3158,430.59174,376.88922,412.12335,268.03143,572.7676,367.96704,425.4059,511.09134,273.55612,449.31384,417.82217,252.6381,490.6082,645.67584,442.61066,311.49554,351.43112,571.72876,471.86633,410.19833
2000-01-14,209.19933,721.692,1606.1841,291.69482,481.26007,-41.98459,-153.28534,61.93332,-300.12875,4.217655,736.12384,377.703,64.463356,360.25037,-504.0671,1050.2003,443.04938,100.181,913.14685,-71.19769,-130.29161,-129.70903,-249.78256,518.41547,287.17685,458.0218,213.58585,60.896988,-48.766224,474.24362,260.14755
2000-01-15,-944.27264,243.34814,242.25533,291.15063,-886.87054,608.7807,838.025,704.10333,-171.48302,410.88477,339.3997,1578.0847,-77.84968,508.98975,656.54956,368.2319,-256.56393,625.2877,774.7649,209.87286,818.2975,159.26823,681.3093,5.19584,648.41693,202.61772,269.04468,-77.08739,735.933,1470.0715,365.85855
2000-01-16,408.16415,350.6079,281.52405,452.3238,339.19214,403.72922,436.42773,487.5003,420.4816,208.45677,491.84732,431.78357,379.32858,413.65573,270.27493,574.1581,370.0361,427.04123,513.3248,275.51526,450.82394,418.89108,254.65569,492.22235,645.77045,444.90756,313.76407,352.6992,573.9806,474.03662,411.90417
2000-01-17,409.73825,351.86484,283.79144,454.08234,340.78516,405.49863,438.5794,488.68994,422.38232,210.87999,493.56192,433.17963,381.82132,415.27658,272.73987,575.62286,372.2526,428.75055,515.5661,277.554,452.48846,420.19363,256.82462,494.02655,645.9136,447.24896,316.2184,354.10498,576.3103,476.301,413.7416
2000-01-18,412.47305,354.0666,287.6986,457.13486,343.5653,408.5709,442.30157,490.77426,425.66547,215.06898,496.54657,435.61868,386.12216,418.0829,277.02148,578.1582,376.09494,431.7068,519.4265,281.08002,455.381,422.47748,260.586,497.1656,646.1683,451.28857,320.4745,356.54935,580.33545,480.21567,416.9273
