,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,455.1565,324.25784,456.9632,259.315,376.6202,473.9557,356.95273,424.82333,504.54593,224.01537,407.5471,447.4985,183.2332,454.91473,184.31042,411.81342,86.16425,282.96405,121.45762,417.71396,428.2809,322.00937,350.7256,398.70975,169.01892,439.1183,465.32083,570.5692,430.20975,210.92728,354.63715
2000-01-10,455.1565,324.25784,456.9632,259.315,376.6202,473.9557,356.95273,424.82333,504.54593,224.01537,407.5471,447.4985,183.2332,454.91473,184.31042,411.81342,86.16425,282.96405,121.45762,417.71396,428.2809,322.00937,350.7256,398.70975,169.01892,439.1183,465.32083,570.5692,430.20975,210.92728,354.63715
2000-01-11,455.1565,324.25784,456.9632,259.315,376.6202,473.9557,356.95273,424.82333,504.54593,224.01537,407.5471,447.4985,183.2332,454.91473,184.31042,411.81342,86.16425,282.96405,121.45762,417.71396,428.2809,322.00937,350.7256,398.70975,169.01892,439.1183,465.32083,570.5692,430.20975,210.92728,354.63715
2000-01-12,455.1565,324.25784,456.9632,259.315,376.6202,473.9557,356.95273,424.82333,504.54593,224.01537,407.5471,447.4985,183.2332,454.91473,184.31042,411.81342,86.16425,282.96405,121.45762,417.71396,428.2809,322.00937,350.7256,398.70975,169.01892,439.1183,465.32083,570.5692,430.20975,210.92728,354.63715
2000-01-13,455.1565,324.25784,456.9632,259.315,376.6202,473.9557,356.95273,424.82333,504.54593,224.01537,407.5471,447.4985,183.2332,454.91473,184.31042,411.81342,86.16425,282.96405,121.45762,417.71396,428.2809,322.00937,350.7256,398.70975,169.01892,439.1183,465.32083,570.5692,430.20975,210.92728,354.63715
2000-01-14,635.7357,-44.44563,-189.23975,-82.06567,677.659,333.99686,930.06146,253.55981,468.80838,-310.24667,485.28268,631.5024,79.68976,138.74918,170.98781,32.287598,569.8011,-301.20068,-448.43857,392.32568,149.22293,396.3422,154.73314,42.18323,240.94441,129.69095,858.535,1.7780366,203.20279,-216.87428,212.81894
2000-01-15,389.64847,891.1377,168.05075,1020.2202,-115.68283,565.81903,666.3434,443.3671,927.10046,505.48154,1246.9657,585.5856,369.61127,196.18718,-349.1178,450.32513,312.44147,-110.71123,161.82498,919.4906,254.79228,393.57928,795.5524,237.33437,128.16302,9.281345,640.5777,687.7438,911.7386,104.04867,446.8967
2000-01-16,455.78818,326.61566,458.93292,261.28723,378.38406,476.1716,359.1325,426.8871,506.11612,225.81232,409.18127,449.5723,185.08273,457.15823,186.76701,413.77008,88.25249,285.09293,123.76286,419.60968,429.93182,323.7949,352.63687,400.73206,171.30135,441.51367,466.86343,572.51807,431.77466,213.26869,356.59042
2000-01-17,456.48566,329.1229,461.07095,263.3382,380.29703,478.57422,361.4536,429.12054,507.8178,227.75061,410.9913,451.84274,187.19044,459.5895,189.42558,415.8839,90.41835,287.38925,126.27093,421.74048,431.6976,325.77243,354.7535,402.943,173.77908,444.1141,468.52475,574.55066,433.57553,215.77536,358.70865
2000-01-18,457.69815,333.4649,464.78143,266.8837,383.61606,482.74237,365.47458,432.99545,510.7703,231.11192,414.13843,455.78748,190.86449,463.80798,194.03885,419.551,94.1611,291.3732,130.62491,425.44986,434.75708,329.21054,358.4331,406.78174,178.07797,448.62692,471.40594,578.06525,436.71707,220.11987,362.3844
