,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,7030.548,6973.595,6947.372,6876.3296,6976.676,6992.459,6929.9536,6916.6,6913.416,6836.7334,6888.0684,6920.761,7010.562,6960.52,6944.103,6910.4614,6869.684,6861.911,6901.803,6905.653,6973.16,6927.5283,6886.191,6907.1357,6918.081,6848.757,6949.269,6896.029,6992.6235,6926.7954,6926.427
2019-06-21,7038.876,6983.164,6958.065,6885.3267,6987.939,7000.8726,6936.4106,6923.4243,6921.6006,6845.829,6897.8076,6927.43,7017.631,6969.436,6953.3438,6918.422,6878.839,6871.873,6909.5566,6912.1055,6981.755,6935.8115,6898.2764,6915.964,6926.568,6858.911,6954.516,6903.259,6999.0483,6935.2446,6934.91
2019-06-22,7044.189,6996.1953,6972.1724,6895.2754,6988.3403,7008.2393,6940.36,6931.2046,6927.802,6854.908,6906.116,6930.5923,7026.5806,6979.4062,6962.0654,6927.3687,6888.642,6883.8193,6919.838,6915.3584,6999.9478,6949.746,6908.393,6925.006,6934.1826,6871.4,6963.143,6909.9316,7007.064,6943.7876,6943.7036
2019-06-23,7006.665,6967.4805,6942.5513,6865.084,6949.274,6976.0615,6908.049,6905.349,6893.6465,6824.901,6872.7773,6897.1255,6995.5933,6947.685,6929.8496,6894.5825,6858.468,6851.5923,6889.098,6881.9976,6975.15,6920.6743,6875.49,6894.974,6900.9336,6840.6943,6936.9517,6878.3403,6975.604,6912.085,6912.291
2019-06-24,6945.9556,6913.072,6885.7773,6811.124,6895.0024,6920.718,6853.13,6859.3877,6836.1006,6772.19,6816.754,6843.153,6940.793,6891.3564,6874.1025,6837.204,6804.6553,6795.213,6833.4585,6827.8516,6921.3833,6864.4155,6818.8564,6842.1104,6844.15,6784.314,6889.3623,6824.312,6919.383,6856.8794,6857.4053
2019-06-25,6881.236,6857.6895,6828.6265,6756.104,6837.3647,6864.07,6795.662,6811.9995,6775.521,6718.5923,6758.3623,6786.575,6884.2773,6833.237,6816.141,6778.1226,6749.8037,6736.4995,6776.438,6770.6396,6867.2407,6806.887,6762.2407,6788.142,6785.379,6727.107,6838.49,6768.126,6860.9155,6800.02,6800.718
2019-06-26,6824.5366,6807.379,6779.0874,6708.326,6785.4214,6813.962,6744.4746,6771.2065,6722.0664,6671.7383,6706.58,6737.028,6834.7373,6783.92,6764.791,6726.4233,6702.355,6686.6636,6726.536,6720.4062,6821.485,6757.5728,6712.1636,6741.1567,6734.499,6678.0317,6794.059,6718.8794,6809.5176,6750.971,6751.199
2019-06-27,6775.2617,6761.862,6733.9697,6665.9263,6739.4087,6767.909,6699.139,6735.513,6675.1084,6630.1636,6660.7456,6694.276,6789.8096,6740.383,6719.8516,6680.66,6660.088,6641.3975,6681.9937,6679.362,6780.43,6713.4966,6666.571,6699.604,6690.536,6634.8413,6755.071,6677.5044,6764.219,6708.268,6707.4463
2019-06-28,6746.284,6730.2305,6702.975,6638.9756,6712.693,6736.684,6676.4883,6713.746,6646.5063,6603.9775,6631.2725,6674.12,6759.231,6713.2275,6694.494,6655.264,6633.135,6611.599,6656.4736,6659.6943,6748.8066,6684.5933,6635.8345,6673.5654,6664.673,6604.2295,6727.6436,6655.1963,6742.1294,6682.4087,6680.5386
2019-06-29,6744.328,6711.123,6690.018,6630.519,6712.734,6732.487,6676.9277,6706.913,6643.2744,6596.799,6620.684,6672.5513,6747.82,6704.6167,6690.6533,6649.094,6625.0093,6600.3843,6648.9478,6659.763,6729.3604,6670.006,6629.204,6666.252,6659.1885,6593.8535,6712.99,6650.8496,6737.838,6675.648,6672.995
2019-06-30,6800.347,6761.774,6740.0938,6678.2573,6765.042,6784.7524,6727.414,6747.5796,6696.293,6643.4775,6672.4287,6721.645,6801.509,6754.167,6740.3896,6700.776,6672.5317,6651.0537,6699.0054,6708.1157,6775.461,6719.6294,6679.4404,6713.101,6709.5234,6642.6426,6758.7563,6697.867,6789.2397,6724.3003,6722.553
2019-07-01,6849.8945,6806.5293,6785.229,6720.6436,6811.353,6830.527,6770.364,6783.321,6743.4277,6684.887,6718.483,6762.0537,6848.4316,6798.212,6783.952,6744.773,6714.8213,6696.5664,6741.8086,6748.5854,6818.2803,6763.448,6725.155,6754.608,6753.645,6687.872,6799.6978,6739.409,6831.364,6767.2065,6766.152
2019-07-02,6893.988,6854.481,6829.668,6761.4062,6851.588,6871.6025,6809.1284,6818.0723,6785.4575,6724.162,6763.543,6800.3984,6893.11,6840.6646,6825.1963,6787.1353,6755.241,6740.805,6783.4897,6786.6562,6863.6455,6808.737,6766.397,6794.138,6795.331,6730.9263,6841.8276,6779.035,6872.388,6808.2114,6807.881
