,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,10160.296,9958.471,10079.377,9817.701,9975.138,9837.287,9815.367,9942.156,10133.914,9992.879,9988.635,9859.569,9869.641,9850.42,9984.451,9885.21,9904.292,9860.302,10083.598,10020.493,10114.2705,9884.342,9931.552,9898.005,9992.771,9832.946,10007.852,10048.619,9833.115,10004.01,9952.223
798,10126.185,9927.951,10068.74,9804.39,9934.228,9817.685,9803.013,9899.508,10086.396,9950.17,9956.953,9823.982,9845.358,9828.138,9938.751,9853.974,9873.732,9838.156,10038.04,9971.1875,10072.045,9847.865,9907.261,9860.504,9960.507,9802.882,9974.102,10028.843,9819.379,9970.858,9921.025
799,10066.528,9875.636,10028.5,9775.244,9867.226,9776.885,9771.089,9834.693,10018.534,9885.599,9900.111,9769.59,9795.099,9788.586,9878.194,9805.785,9821.407,9794.94,9964.482,9897.536,10005.517,9802.501,9860.576,9803.97,9903.358,9759.448,9915.515,9980.806,9785.503,9916.027,9868.297
800,10019.68,9836.148,9964.206,9743.498,9821.484,9734.999,9730.433,9798.546,9988.265,9850.172,9853.301,9738.749,9743.88,9756.647,9859.889,9777.684,9781.997,9754.234,9915.948,9858.714,9964.327,9794.721,9817.583,9773.231,9857.371,9739.164,9870.16,9922.755,9744.011,9877.721,9829.65
801,10026.099,9843.077,9942.019,9739.444,9834.297,9731.422,9721.234,9817.486,10014.26,9869.513,9857.656,9754.242,9739.781,9760.193,9890.134,9790.773,9788.999,9753.3955,9931.339,9882.074,9980.455,9822.196,9817.502,9790.387,9862.613,9755.052,9876.99,9911.438,9735.595,9887.485,9837.572
802,10056.093,9868.694,9976.282,9757.902,9865.034,9756.167,9743.979,9843.74,10038.497,9895.416,9887.169,9776.493,9770.094,9780.458,9908.026,9810.822,9814.587,9778.029,9964.356,9910.94,10009.155,9833.053,9843.698,9812.948,9891.824,9770.955,9906.167,9944.315,9759.024,9913.014,9862.896
803,10078.382,9888.359,9988.892,9768.133,9890.586,9770.6875,9754.754,9869.053,10065.566,9920.674,9908.245,9797.696,9788.005,9795.172,9932.826,9829.55,9834.267,9793.674,9992.5205,9939.871,10034.832,9852.071,9860.68,9835.082,9913.094,9788.209,9928.1045,9960.757,9770.584,9933.854,9882.806
804,10107.252,9913.525,10011.425,9783.065,9922.362,9791.353,9771.659,9899.036,10096.249,9950.49,9935.954,9822.903,9813.42,9814.393,9959.392,9851.953,9859.432,9815.221,10027.252,9973.727,10065.989,9871.416,9883.861,9861.163,9940.8545,9807.931,9956.3955,9985.905,9788.371,9959.941,9908.063
805,10138.322,9940.673,10034.421,9798.795,9956.822,9813.21,9789.256,9931.877,10130.155,9983.17,9965.696,9850.485,9840.317,9835.045,9989.111,9876.44,9886.579,9838.147,10064.995,10010.8955,10099.951,9893.304,9908.559,9889.761,9970.694,9829.688,9986.87,10012.191,9806.94,9988.201,9935.353
806,10169.831,9968.002,10061.836,9815.856,9990.8955,9836.6,9809.047,9963.331,10161.647,10014.398,9996.129,9876.963,9869.057,9856.095,10015.581,9900.048,9913.897,9862.245,10102.117,10046.201,10133.006,9912.01,9934.381,9917.052,10001.096,9850.019,10017.692,10041.395,9827.625,10016.258,9962.677
807,10197.569,9992.079,10085.574,9830.7705,10020.969,9857.066,9826.277,9991.204,10189.647,10042.079,10022.894,9900.415,9894.208,9874.615,10039.24,9920.949,9937.962,9883.373,10134.915,10077.513,10162.243,9928.8125,9957.029,9941.247,10027.85,9868.085,10044.837,10066.856,9845.65,10041.017,9986.765
808,10221.221,10012.532,10107.389,9843.911,10046.273,9874.984,9841.717,10014.256,10212.408,10064.943,10045.819,9919.836,9916.214,9890.446,10058.001,9938.3,9958.398,9901.715,10162.4375,10103.293,10186.639,9941.796,9976.636,9961.221,10050.714,9882.821,10067.949,10089.545,9861.731,10061.895,10007.168
809,10241.887,10030.548,10123.494,9854.594,10069.006,9889.752,9853.8,10035.736,10234.377,10086.306,10065.657,9937.879,9934.378,9904.201,10077.04,9954.34,9976.408,9917.13,10187.324,10127.537,10208.956,9955.657,9993.192,9979.909,10070.596,9896.947,10088.204,10107.533,9874.435,10080.566,10025.247
810,10263.5205,10049.408,10140.264,9865.75,10092.8125,9905.178,9866.401,10058.26,10257.435,10108.708,10086.414,9956.794,9953.3545,9918.595,10097.048,9971.153,9995.265,9933.244,10213.4,10152.966,10232.347,9970.24,10010.5,9999.511,10091.404,9911.7705,10109.408,10126.306,9887.69,10100.125,10044.176
811,10290.954,10073.605,10155.835,9878.353,10124.202,9923.025,9879.666,10089.395,10290.683,10139.781,10112.362,9982.845,9975.367,9936.692,10127.519,9994.172,10019.472,9952.5,10248.081,10188.5205,10263.935,9993.585,10031.343,10026.746,10117.6045,9932.976,10136.413,10146.572,9901.906,10125.754,10068.661
812,10329.0,10106.921,10182.362,9897.17,10166.681,9949.25,9900.408,10130.348,10333.31,10180.57,10148.674,10017.178,10007.656,9961.922,10165.358,10024.619,10052.782,9980.224,10294.789,10234.956,10306.075,10021.753,10061.185,10062.464,10154.109,9960.295,10173.767,10177.745,9923.858,10160.574,10102.2
813,10367.931,10140.592,10218.128,9918.762,10208.317,9978.663,9925.734,10168.363,10370.849,10218.286,10186.402,10049.176,10043.785,9987.968,10196.362,10053.21,10086.416,10010.374,10340.163,10277.459,10346.287,10043.229,10093.365,10095.415,10191.757,9984.6045,10211.817,10215.001,9950.228,10194.948,10135.785
814,10394.284,10163.096,10248.245,9934.979,10235.255,10000.342,9945.686,10191.4375,10392.102,10241.063,10212.335,10068.694,10070.362,10005.759,10212.068,10070.81,10108.873,10032.008,10369.22,10302.802,10371.516,10052.739,10116.28,10115.26,10217.442,9998.569,10237.457,10243.891,9970.753,10217.361,10158.022
815,10413.556,10180.078,10259.478,9943.912,10257.222,10012.951,9955.137,10213.177,10415.235,10262.757,10230.582,10086.875,10085.909,10018.474,10233.206,10086.883,10125.858,10045.594,10393.511,10327.597,10393.608,10068.878,10130.948,10134.275,10235.865,10013.336,10256.423,10258.312,9980.859,10235.314,10175.193
816,10432.124,10195.904,10281.294,9955.5,10276.069,10028.399,9969.476,10229.165,10429.784,10278.528,10248.893,10100.41,10104.846,10031.024,10243.735,10099.1045,10141.647,10060.957,10413.819,10345.104,10411.183,10075.066,10147.2,10148.011,10253.983,10022.921,10274.477,10279.037,9995.587,10251.017,10190.81
