,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,9991.51,10125.396,10015.482,10205.4375,10069.937,10125.395,9994.939,10020.198,10099.762,10172.674,10098.458,10100.868,10090.007,9981.91,9972.967,9984.519,9886.19,10019.626,9992.999,9888.639,10077.399,10096.759,10086.268,10116.24,9963.295,10056.642,10021.064,10153.944,10097.349,10129.196,10054.502
798,9946.414,10056.321,9963.415,10161.489,10020.477,10079.29,9948.284,9972.215,10036.949,10115.78,10050.963,10049.464,10035.765,9929.453,9928.432,9929.81,9842.023,9986.265,9937.599,9841.003,10026.309,10036.793,10032.165,10055.723,9913.545,10006.521,9976.336,10101.114,10034.761,10081.619,10003.21
799,9884.487,9963.449,9894.731,10088.409,9947.452,10016.186,9879.026,9905.078,9949.803,10031.242,9976.796,9968.171,9955.766,9862.011,9862.007,9856.48,9776.601,9928.273,9863.38,9780.434,9961.712,9953.0,9950.007,9971.281,9843.798,9937.54,9900.057,10029.549,9951.367,10014.002,9930.071
800,9861.502,9932.707,9874.638,10036.778,9910.501,9993.17,9843.298,9877.725,9915.681,9987.468,9932.04,9917.32,9915.407,9845.808,9827.198,9832.699,9743.102,9883.261,9839.418,9767.257,9948.426,9919.035,9904.302,9937.297,9815.111,9911.608,9843.151,10004.866,9925.355,9984.499,9897.6875
801,9888.977,9976.905,9909.481,10049.366,9934.911,10021.492,9865.893,9905.524,9952.897,10014.913,9950.982,9936.598,9942.243,9882.879,9848.45,9868.016,9764.64,9889.922,9875.265,9801.668,9985.738,9953.86,9928.408,9972.6,9843.778,9941.94,9853.817,10038.146,9966.383,10010.929,9925.889
802,9909.101,10005.48,9929.482,10083.6455,9962.865,10041.825,9892.701,9928.385,9981.978,10047.705,9982.481,9971.891,9972.817,9901.005,9874.398,9890.368,9789.853,9918.851,9897.845,9817.355,10002.144,9982.317,9961.638,10001.171,9867.645,9964.499,9890.886,10060.595,9991.362,10034.792,9951.903
803,9934.136,10043.304,9957.65,10111.392,9991.659,10067.365,9919.96,9955.347,10017.082,10080.966,10011.193,10003.225,10004.372,9928.922,9900.509,9920.2705,9815.617,9940.554,9928.117,9842.529,10029.047,10015.981,9993.733,10035.115,9895.636,9992.364,9919.611,10089.671,10025.445,10061.806,9981.085
804,9961.688,10084.293,9987.708,10146.209,10025.077,10095.402,9951.722,9985.453,10056.033,10119.753,10045.811,10041.346,10040.978,9958.103,9931.018,9952.58,9845.595,9968.566,9960.803,9868.61,10056.789,10053.545,10031.729,10072.946,9926.94,10023.093,9956.232,10121.338,10062.084,10092.308,10014.125
805,9992.325,10130.04,10021.36,10183.888,10061.826,10126.595,9986.622,10018.835,10099.278,10162.373,10083.58,10082.88,10081.239,9990.922,9964.517,9988.653,9878.548,9998.741,9997.294,9898.002,10088.085,10095.206,10073.349,10114.911,9961.637,10057.251,9995.751,10156.629,10103.0205,10126.038,10050.646
806,10020.178,10171.156,10051.246,10221.351,10096.537,10154.898,10019.676,10049.511,10138.834,10202.755,10120.181,10123.377,10119.252,10019.601,9996.3,10020.998,9909.73,10029.276,10029.993,9923.502,10115.135,10133.477,10113.196,10153.422,9993.557,10088.351,10035.436,10188.464,10139.577,10157.281,10084.541
