,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,8967.391,9121.488,9270.349,9120.596,9157.693,9116.752,9147.398,9130.248,9158.008,9212.89,9151.247,9164.888,9263.589,9114.034,9242.451,9215.15,9044.993,9161.174,9041.386,9105.14,9088.6045,9001.361,9075.983,9085.028,9081.581,9178.18,9165.345,9006.976,9086.667,9179.046,9128.5205
1,8919.916,9076.824,9229.995,9076.307,9110.289,9067.894,9096.439,9084.284,9110.32,9161.435,9100.344,9113.183,9210.061,9058.512,9185.182,9155.447,8983.648,9097.881,8972.67,9043.646,9025.038,8938.109,9009.811,9002.551,8989.029,9100.597,9057.278,8892.55,8983.178,9072.829,9064.175
2,8811.925,8960.72,9115.264,8963.7705,8993.543,8948.349,8974.846,8964.839,8991.328,9048.008,8987.664,8999.634,9099.203,8949.6455,9077.236,9047.7295,8876.861,8992.039,8871.3955,8952.335,8937.027,8848.772,8919.013,8910.684,8900.313,9013.111,8973.262,8814.704,8904.953,8993.864,8961.401
3,8692.575,8830.622,8985.59,8839.022,8867.864,8819.954,8845.213,8831.788,8853.994,8918.83,8858.806,8868.282,8971.448,8824.3,8952.584,8923.076,8752.555,8867.441,8758.606,8840.451,8825.441,8747.551,8817.304,8832.557,8831.646,8927.757,8918.566,8770.813,8846.235,8934.985,8851.861
4,8611.941,8739.188,8891.032,8744.465,8776.09,8725.67,8749.6045,8736.06,8757.207,8829.46,8773.313,8777.774,8884.388,8739.908,8869.762,8841.459,8672.441,8788.695,8693.863,8775.151,8762.74,8689.82,8760.368,8780.4795,8782.865,8881.189,8875.772,8732.789,8809.831,8899.778,8778.436
5,8571.079,8693.776,8843.447,8696.118,8734.211,8682.942,8702.814,8688.582,8709.019,8787.499,8730.175,8733.747,8842.267,8700.185,8830.294,8803.194,8633.084,8752.053,8665.036,8739.923,8731.593,8659.657,8728.351,8750.839,8754.424,8852.622,8848.0205,8702.266,8780.913,8870.601,8740.623
6,8594.11,8717.235,8863.481,8717.044,8755.234,8704.705,8724.708,8710.851,8732.195,8810.793,8756.007,8758.836,8867.984,8726.645,8857.459,8831.259,8661.556,8782.185,8694.862,8769.872,8763.171,8691.799,8762.144,8785.794,8791.1045,8890.639,8887.33,8742.093,8822.76,8914.202,8769.603
7,8623.215,8745.995,8889.391,8743.227,8784.93,8735.46,8754.138,8740.571,8762.909,8844.17,8787.715,8790.751,8901.528,8760.91,8892.629,8867.511,8695.986,8820.919,8732.823,8805.845,8801.128,8728.248,8800.232,8824.661,8831.073,8931.8545,8929.385,8783.481,8866.309,8958.893,8804.53
8,8691.593,8814.08,8956.992,8811.829,8853.508,8806.254,8825.492,8811.988,8836.057,8915.294,8859.478,8863.6455,8974.735,8833.935,8966.298,8942.01,8768.626,8896.381,8804.18,8875.554,8872.237,8797.7,8871.903,8895.9,8902.954,9005.132,9002.751,8854.965,8939.793,9034.224,8876.184
9,8742.018,8864.594,9007.648,8861.606,8904.128,8857.823,8876.175,8861.432,8885.41,8960.941,8902.75,8909.014,9015.406,8872.586,9003.222,8977.639,8804.36,8927.707,8830.043,8896.472,8889.73,8810.596,8881.973,8901.151,8903.947,9002.306,8995.489,8842.129,8925.06,9016.962,8904.345
