,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,10043.931,10017.056,9971.975,9974.748,10052.495,10007.183,9968.564,10116.393,10024.695,9942.714,10076.562,9990.365,10175.951,10087.477,9953.193,10004.891,9991.308,10088.083,10051.627,10178.391,9960.646,9899.681,9910.977,10142.477,10040.445,9974.847,10012.128,10060.988,10201.116,10060.794,10032.723
798,9997.417,9980.4,9930.222,9936.006,10020.522,9970.473,9942.493,10070.522,9989.404,9894.573,10022.987,9968.943,10141.66,10048.004,9931.501,9963.083,9955.926,10048.823,10027.296,10141.269,9925.414,9867.413,9883.43,10087.601,10003.8,9945.571,9965.846,10027.447,10163.642,10012.42,9995.471
799,9926.9375,9918.998,9870.255,9875.39,9959.175,9912.904,9887.487,9997.491,9935.536,9824.2,9944.702,9915.645,10064.3125,9976.355,9880.598,9895.266,9902.757,9977.089,9977.198,10067.076,9870.973,9816.434,9831.65,10004.414,9941.243,9891.793,9897.467,9972.453,10093.074,9944.594,9932.449
800,9887.976,9874.834,9842.854,9838.545,9902.759,9877.687,9830.039,9950.965,9905.065,9789.775,9906.469,9849.83,9977.276,9916.097,9821.004,9849.978,9874.134,9916.075,9926.431,9994.764,9839.033,9784.612,9785.518,9958.358,9894.3955,9845.381,9862.72,9934.772,10030.021,9916.637,9886.134
801,9908.83,9884.711,9865.261,9853.773,9902.655,9891.968,9824.379,9967.58,9920.444,9814.23,9933.721,9836.113,9964.244,9920.546,9810.551,9863.718,9890.49,9919.975,9922.537,9991.326,9853.6455,9796.743,9786.635,9982.914,9902.957,9846.049,9885.428,9945.14,10031.398,9944.442,9895.412
802,9937.225,9913.836,9886.952,9879.626,9937.03,9916.617,9858.147,9999.645,9942.443,9840.66,9963.097,9873.189,10014.412,9958.276,9844.56,9894.388,9911.581,9958.042,9952.624,10034.651,9876.371,9818.844,9815.012,10016.458,9933.424,9875.565,9911.666,9970.42,10070.147,9967.674,9925.753
803,9964.767,9937.072,9910.814,9903.066,9959.334,9938.862,9877.637,10027.7295,9963.444,9868.494,9994.064,9891.319,10041.352,9984.743,9862.118,9920.312,9932.416,9984.49,9970.489,10061.321,9897.51,9838.497,9833.946,10048.962,9956.961,9895.046,9938.614,9991.372,10095.94,9994.889,9949.519
804,9997.342,9966.408,9937.991,9931.3955,9989.796,9965.787,9905.592,10062.06,9988.406,9900.601,10029.774,9919.358,10081.247,10019.792,9888.591,9952.386,9956.917,10019.645,9995.804,10098.544,9922.845,9862.399,9859.519,10087.416,9987.022,9921.469,9969.932,10017.471,10130.807,10025.345,9979.722
805,10033.044,9998.148,9968.01,9962.309,10022.275,9995.161,9935.141,10099.4375,10015.736,9935.97,10069.117,9948.624,10123.1875,10057.374,9916.338,9987.226,9983.802,10057.3125,10022.62,10138.078,9950.536,9888.451,9886.838,10129.56,10019.476,9949.678,10004.379,10045.783,10168.053,10059.106,10012.358
806,10067.207,10029.839,9995.993,9992.319,10056.255,10023.706,9966.902,10135.997,10041.9795,9969.237,10106.112,9981.313,10169.029,10095.997,9946.942,10021.569,10009.43,10096.112,10051.254,10179.942,9977.273,9913.848,9915.238,10169.896,10052.111,9979.076,10036.948,10073.8125,10206.791,10090.187,10045.077
807,10097.492,10057.796,10020.876,10018.88,10086.079,10048.966,9994.7,10168.326,10064.902,9998.788,10138.977,10009.812,10209.078,10129.962,9973.655,10051.91,10032.157,10130.223,10076.331,10216.64,10000.951,9936.314,9940.183,10205.653,10080.88,10004.889,10065.86,10098.564,10240.814,10117.863,10073.918
808,10122.53,10081.442,10041.15,10041.013,10111.91,10070.026,10019.093,10195.375,10082.326,10022.986,10165.884,10035.267,10244.5,10159.121,9997.382,10077.401,10050.908,10159.538,10098.269,10248.612,10020.623,9955.079,9961.719,10235.219,10105.304,10027.203,10089.605,10119.408,10270.197,10140.249,10098.311
