,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,9995.516,10176.937,10083.482,10153.015,10158.484,9936.562,10089.497,9973.03,10091.3545,10051.307,10142.076,9949.213,10073.484,10100.47,10122.711,10074.783,10038.187,10009.691,10087.979,10152.377,10132.771,10005.203,10181.012,10009.675,10098.093,10174.107,10047.673,10070.487,9960.297,10147.618,10076.237
798,9980.117,10124.941,10032.461,10109.025,10136.705,9914.912,10056.737,9961.727,10031.33,10028.651,10147.365,9914.713,10036.363,10071.238,10075.9795,10022.781,10002.239,9975.428,10067.479,10127.917,10095.824,9965.968,10139.998,9961.978,10076.2705,10132.023,9981.635,10048.2,9927.816,10107.863,10041.855
799,9923.557,10051.836,9956.351,10031.601,10071.486,9856.521,9990.41,9914.44,9955.507,9972.324,10096.5205,9851.782,9969.582,10003.472,9999.606,9941.085,9930.662,9912.28,10013.725,10070.639,10024.5625,9899.539,10065.062,9890.206,10016.535,10054.868,9900.687,9988.124,9863.06,10039.868,9975.197
800,9834.334,10021.336,9916.402,9970.024,9979.243,9779.613,9924.626,9835.68,9940.017,9902.831,9965.73,9798.414,9914.289,9925.083,9947.684,9890.853,9861.266,9857.781,9944.423,10003.73,9958.5205,9850.676,10001.33,9851.411,9936.994,9988.872,9889.313,9909.046,9800.167,9988.77,9912.948
801,9804.094,10051.018,9940.661,9977.714,9952.97,9760.716,9920.6455,9807.0,9983.903,9888.397,9897.499,9801.98,9919.17,9911.964,9962.422,9910.918,9858.25,9860.59,9928.247,9992.093,9958.007,9860.517,10005.42,9873.368,9916.958,9992.788,9940.329,9889.64,9797.372,9997.932,9912.085
802,9851.788,10076.227,9970.419,10016.972,10003.375,9803.432,9959.885,9848.667,10003.115,9927.5625,9962.113,9835.323,9953.982,9956.854,9997.381,9946.014,9899.907,9894.45,9966.925,10030.325,9998.17,9892.512,10045.197,9901.911,9961.025,10033.917,9958.607,9933.575,9835.1045,10031.138,9949.861
803,9869.614,10105.536,10000.324,10045.841,10024.699,9822.959,9983.657,9863.258,10034.71,9946.733,9974.391,9858.55,9978.732,9980.314,10026.5205,9977.568,9925.672,9917.684,9985.016,10050.105,10024.053,9917.586,10072.834,9930.027,9980.9375,10062.352,9992.708,9953.671,9858.412,10056.71,9974.038
804,9901.189,10138.396,10035.299,10083.382,10060.107,9854.135,10017.045,9890.05,10067.272,9976.359,10007.523,9889.378,10011.322,10015.47,10062.731,10015.804,9961.548,9948.707,10013.575,10079.883,10059.487,9949.425,10109.56,9963.115,10012.909,10100.201,10026.984,9985.738,9890.88,10089.4,10007.2295
805,9933.445,10174.802,10073.705,10123.768,10096.6455,9886.484,10052.458,9917.284,10104.015,10007.276,10039.677,9922.407,10046.289,10052.337,10102.015,10057.503,9999.655,9981.91,10043.266,10111.084,10097.242,9983.8125,10148.905,9999.412,10046.061,10140.729,10065.897,10019.015,9925.363,10124.677,10042.572
806,9971.747,10208.352,10110.172,10164.823,10138.84,9923.165,10090.08,9950.105,10135.757,10041.793,10083.645,9956.391,10082.096,10092.868,10140.839,10098.055,10039.956,10016.197,10076.751,10145.464,10136.788,10018.257,10189.418,10034.024,10083.751,10182.498,10098.839,10056.734,9961.836,10160.166,10079.6455
807,10004.915,10238.217,10142.518,10200.965,10175.493,9955.071,10123.037,9978.489,10164.236,10071.878,10121.237,9986.264,10113.581,10128.24,10175.114,10133.933,10075.277,10046.325,10105.892,10175.464,10171.484,10048.615,10225.028,10064.716,10116.528,10219.201,10128.484,10089.542,9993.798,10191.441,10112.166
808,10035.338,10262.386,10169.144,10231.818,10208.72,9983.758,10151.793,10004.687,10186.398,10098.744,10157.6455,10011.919,10140.557,10159.603,10203.946,10163.857,10106.026,10072.248,10132.032,10202.092,10201.549,10074.329,10255.627,10090.04,10146.034,10250.747,10151.26,10119.035,10021.625,10217.997,10140.364
809,10057.876,10285.938,10194.2,10258.713,10234.052,10006.021,10175.687,10023.818,10209.746,10119.938,10181.253,10033.982,10163.874,10184.735,10229.871,10191.269,10131.705,10094.458,10152.427,10223.376,10226.913,10097.098,10281.926,10113.761,10168.869,10277.827,10175.88,10141.922,10044.8545,10241.411,10164.112
810,10081.337,10310.667,10220.482,10286.866,10260.456,10029.232,10200.66,10043.7295,10234.304,10142.055,10205.704,10057.067,10188.2705,10210.97,10257.028,10220.005,10158.55,10117.696,10173.697,10245.594,10253.434,10120.935,10309.443,10138.642,10192.679,10306.157,10201.799,10165.784,10069.137,10265.927,10188.943
811,10103.295,10346.718,10257.266,10322.4375,10286.804,10053.271,10229.955,10061.741,10273.116,10165.705,10220.902,10085.658,10218.723,10239.861,10292.878,10258.882,10190.298,10146.316,10195.963,10269.953,10285.322,10151.743,10343.496,10173.259,10217.195,10341.148,10243.756,10190.493,10097.839,10297.418,10218.714
812,10140.484,10392.656,10305.289,10371.894,10329.536,10091.269,10272.644,10092.986,10320.297,10202.318,10255.66,10125.902,10261.371,10283.714,10341.372,10310.707,10236.32,10186.746,10230.904,10307.035,10331.063,10193.946,10391.459,10218.623,10256.103,10390.4795,10294.093,10229.546,10139.454,10340.749,10261.487
813,10190.297,10432.57,10349.21,10422.71,10384.076,10138.29,10319.917,10135.892,10356.971,10246.439,10315.106,10168.108,10305.736,10335.196,10388.855,10360.077,10286.889,10229.405,10273.754,10350.738,10380.51,10236.238,10441.821,10260.42,10304.471,10442.358,10331.887,10277.863,10185.194,10384.488,10307.849
814,10232.065,10454.734,10375.371,10457.251,10428.396,10175.6875,10354.375,10172.416,10373.857,10280.865,10371.687,10197.378,10336.263,10374.567,10419.527,10390.988,10323.498,10259.163,10307.613,10384.264,10415.79,10264.251,10476.789,10285.548,10343.068,10478.433,10348.09,10316.287,10218.318,10413.686,10341.007
