,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2526.2754,2503.0752,2506.7542,2501.2483,2542.4207,2526.2715,2487.3796,2521.0623,2504.0288,2538.41,2534.4263,2548.219,2505.899,2514.4917,2519.4084,2513.1055,2493.8162,2514.4114,2522.523,2519.791,2485.3572,2533.6545,2522.3464,2474.5361,2516.4158,2506.8313,2533.7515,2476.6426,2515.4055,2525.3015,2514.4421
2021-11-25,2537.3784,2514.4053,2517.4885,2512.3271,2553.764,2537.2766,2497.7937,2532.1072,2515.204,2548.8933,2545.7947,2559.1584,2516.5193,2525.4639,2530.3718,2524.2595,2504.5164,2525.7573,2533.964,2531.4963,2495.8784,2545.0789,2533.834,2485.0325,2527.3572,2517.4775,2545.2659,2488.0935,2526.5466,2536.5063,2525.5002
2021-11-26,2548.702,2525.913,2528.452,2523.637,2565.2244,2548.5627,2508.3938,2543.343,2526.5789,2559.7085,2557.429,2570.3213,2527.5002,2536.6296,2541.569,2535.8296,2515.279,2537.4094,2545.6726,2543.5627,2506.7217,2556.755,2545.3965,2495.9119,2538.4363,2528.3252,2557.1672,2499.8533,2537.9602,2547.904,2536.805
2021-11-27,2554.371,2531.6716,2533.9478,2529.3062,2570.9463,2554.2253,2513.7002,2548.9675,2532.2722,2565.1423,2563.2651,2575.9124,2533.0261,2542.2173,2547.1794,2541.6553,2520.6448,2543.2573,2551.5427,2549.6318,2512.1714,2562.6084,2551.1646,2501.3887,2543.9749,2533.758,2563.1533,2505.7603,2543.6833,2553.6094,2542.472
2021-11-28,2553.0034,2530.2283,2532.6167,2527.9285,2569.4792,2552.898,2512.3945,2547.575,2530.8728,2563.925,2561.8706,2574.564,2531.7898,2540.846,2545.8325,2540.388,2519.2346,2541.9026,2550.1497,2548.2385,2510.9304,2561.1985,2549.6448,2500.1882,2542.5642,2532.4277,2561.8171,2504.3748,2542.3384,2552.1973,2541.1138
2021-11-29,2542.3992,2519.361,2522.3345,2517.3142,2558.6135,2542.3826,2502.4248,2536.9932,2520.1782,2553.939,2550.9878,2564.1084,2521.6443,2530.3523,2535.3547,2529.757,2508.979,2531.0723,2539.2166,2537.0332,2500.8826,2550.26,2538.6172,2490.177,2532.0696,2522.2341,2550.829,2493.412,2531.703,2541.4644,2530.5364
2021-11-30,2526.9524,2503.6409,2507.3972,2501.9019,2542.9119,2527.0315,2487.9558,2521.6543,2504.6519,2539.2668,2535.1511,2548.8872,2506.7708,2515.1082,2520.094,2514.1062,2494.1992,2515.2324,2523.2742,2520.6697,2486.1702,2534.3562,2522.75,2475.4563,2516.9116,2507.4358,2534.7026,2477.434,2516.169,2525.9036,2515.1384
2021-12-01,2509.3503,2485.7583,2490.4216,2484.386,2524.9983,2509.579,2471.4854,2504.2,2486.9739,2522.5835,2517.1597,2531.5544,2489.9092,2497.7417,2502.7222,2496.3535,2477.3174,2497.222,2505.1375,2502.129,2469.4678,2516.2815,2504.6536,2458.7617,2499.6511,2490.599,2516.4028,2459.3064,2498.492,2508.1943,2497.6265
2021-12-02,2487.3738,2463.5076,2469.2935,2462.5898,2502.6511,2487.8245,2450.9592,2482.4624,2464.9368,2501.7524,2494.766,2509.9312,2468.9248,2476.0803,2481.056,2474.2317,2456.2478,2474.763,2482.5251,2479.0938,2448.6619,2493.7812,2482.112,2437.9668,2478.1597,2469.6257,2493.607,2436.7666,2476.4377,2486.137,2475.8076
2021-12-03,2469.022,2445.069,2451.7102,2444.4595,2484.1328,2469.628,2433.8857,2464.406,2446.5964,2484.2126,2476.1006,2491.8867,2451.3093,2458.039,2462.9678,2455.5854,2438.8357,2455.9492,2463.6345,2459.843,2431.2153,2475.0425,2463.5247,2420.459,2460.3706,2452.176,2474.4539,2417.96,2457.9788,2467.8108,2457.609
2021-12-04,2458.9734,2434.9888,2442.1013,2434.5522,2473.9856,2459.681,2424.5442,2454.5298,2436.5605,2474.6226,2465.9033,2482.0115,2441.6987,2448.1633,2453.0713,2445.4114,2429.286,2445.6667,2453.3052,2449.3486,2421.6887,2464.8027,2453.3447,2410.9067,2450.6365,2442.6323,2464.0007,2407.698,2447.883,2457.7866,2447.6597
2021-12-05,2455.036,2431.0706,2438.3425,2430.6794,2470.054,2455.7659,2420.899,2450.681,2432.6416,2470.8162,2461.9045,2478.143,2437.887,2444.3054,2449.1907,2441.357,2425.605,2441.6116,2449.248,2445.207,2417.9214,2460.7932,2449.4248,2407.1052,2446.8633,2438.905,2459.8538,2403.6624,2443.9094,2453.8792,2443.7588
2021-12-06,2458.642,2434.7346,2441.7922,2434.2395,2473.775,2459.2979,2424.2732,2454.2546,2436.2632,2474.1692,2465.5474,2481.6858,2441.241,2447.8682,2452.7332,2444.8755,2429.142,2445.2478,2452.9314,2448.9001,2421.2686,2464.462,2453.1956,2410.4172,2450.422,2442.345,2463.5022,2407.3018,2447.4966,2457.506,2447.3179
