,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,627.81976,548.14557,525.42236,559.8584,646.3712,584.0012,537.8059,550.2228,551.79425,557.6619,602.0369,539.27435,559.8479,557.4815,581.6041,624.9052,566.8409,660.5068,546.8708,584.3516,609.3703,554.8904,595.2511,591.35736,474.60147,574.8594,631.24493,578.6075,588.7982,599.4489,577.0418
2000-01-10,571.4015,576.05676,555.1435,603.962,527.33496,620.47675,562.46246,605.82623,540.7165,566.51044,576.97144,549.96014,599.6407,653.61554,594.05505,571.6449,545.056,588.98126,535.6702,523.0105,614.8417,570.4373,541.1856,622.36597,521.1513,599.61334,514.4216,564.8445,578.9896,548.61346,571.4987
2000-01-11,599.45306,595.94214,565.64764,615.3279,618.4745,627.7718,588.0976,595.89343,574.4359,589.516,640.0494,580.4475,595.22266,598.6267,594.7354,594.61926,600.51526,628.2572,569.5088,601.465,624.0877,589.0535,622.24146,615.2965,548.3181,578.42126,526.1043,586.9793,616.36206,612.164,596.4345
2000-01-12,578.1906,575.3722,545.15356,596.3099,598.1759,608.01196,566.9791,575.1693,552.9664,566.8508,621.18964,558.7088,574.9474,577.26733,573.9391,574.42615,579.58997,607.74744,547.1971,580.7063,603.77606,568.0314,601.36993,594.6013,526.36676,557.7642,502.6452,566.74445,596.04724,592.0719,575.6106
2000-01-13,576.17017,573.5286,543.41815,594.6374,596.30273,606.2696,565.00903,573.309,551.15546,564.727,619.49396,556.73505,573.0615,575.3368,572.0328,572.6017,577.7061,605.9424,545.1765,578.8221,601.9719,566.0456,599.5363,592.76746,524.43286,555.98236,500.49915,565.00244,594.2005,590.2816,573.7385
2000-01-14,582.44904,579.76483,549.77405,600.4483,602.3843,612.3065,571.29126,579.59064,557.84644,571.46124,625.2098,563.29065,579.09717,581.795,578.27734,578.6853,584.0404,612.2067,551.91394,585.0803,608.148,572.2708,605.92236,599.0608,531.1326,562.34436,507.5393,571.2422,600.3126,596.3946,580.0427
2000-01-15,588.5098,585.64996,555.6553,605.8948,608.1832,617.9656,577.31604,585.5198,564.0147,577.92615,630.6055,569.50507,584.8813,587.90436,584.2193,584.4541,590.0261,618.0799,558.2936,591.01385,613.9599,578.2652,611.9018,604.98206,537.41876,568.2675,514.2385,577.0448,606.11707,602.14655,585.9987
2000-01-16,588.2598,585.3179,555.24347,605.56226,607.89777,617.623,577.03955,585.1871,563.5731,577.63635,630.3045,569.1746,584.6122,587.5714,583.91766,584.14404,589.6947,617.7227,557.95,590.69855,613.6205,578.0085,611.53406,604.63367,537.0378,567.878,513.89777,576.6604,605.8121,601.8125,585.66754
2000-01-17,581.1258,578.21765,547.99255,598.9419,600.98254,610.74854,569.8941,578.03674,555.9476,569.9807,623.8001,561.7153,577.7451,580.22296,576.814,577.2139,582.4849,610.58594,550.28357,583.5766,606.5853,570.934,604.2604,597.462,529.4037,560.6248,505.88593,569.54785,598.85333,594.85376,578.49066
2000-01-18,571.0986,568.38116,538.07526,589.81006,591.3328,601.25415,559.9022,568.1248,545.51196,559.2576,614.77704,551.34644,568.1517,570.0186,566.91876,567.6013,572.48413,600.73914,539.6323,573.67816,596.85913,561.00525,594.22644,587.55743,518.87317,550.66473,494.73166,559.7805,589.18524,585.2219,568.54004
