,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2511.8845,2495.7285,2507.2083,2514.0,2504.5293,2493.2935,2519.523,2501.8965,2497.2644,2503.179,2507.5483,2502.4702,2499.5715,2520.0098,2500.3774,2511.0386,2503.052,2515.6506,2503.587,2496.553,2499.164,2480.1526,2512.834,2524.022,2501.9937,2474.6516,2506.5479,2522.4377,2518.8994,2500.386,2504.9817
2021-11-25,2522.6223,2506.066,2518.05,2525.3691,2516.5132,2504.2903,2530.6492,2512.63,2508.5312,2514.1865,2518.621,2513.2778,2510.7441,2531.098,2511.679,2522.2954,2514.362,2526.595,2514.6475,2507.6802,2510.0464,2491.05,2523.9612,2535.3274,2513.068,2485.0085,2517.0596,2533.0203,2529.6533,2511.618,2515.991
2021-11-26,2533.4612,2516.6304,2529.1707,2536.9768,2528.6616,2515.698,2542.1055,2523.5298,2520.1738,2525.3777,2529.6726,2524.2463,2521.912,2542.3313,2523.3108,2533.72,2525.7622,2537.8184,2525.8508,2519.0222,2521.2637,2502.189,2535.2139,2546.7766,2524.395,2495.33,2527.827,2543.787,2540.7097,2523.2024,2527.2043
2021-11-27,2538.8735,2521.9265,2534.753,2542.7986,2534.7456,2521.4473,2547.8657,2528.984,2526.0366,2530.9841,2535.1753,2529.735,2527.4756,2547.9492,2529.1584,2539.4392,2531.4578,2543.4514,2531.456,2524.71,2526.9043,2507.775,2540.8394,2552.5037,2530.0784,2500.4636,2533.2285,2549.1765,2546.262,2529.032,2532.823
2021-11-28,2537.4707,2520.6548,2533.438,2541.376,2533.1758,2520.18,2546.532,2527.6182,2524.7034,2529.5747,2533.64,2528.3496,2525.938,2546.519,2527.8032,2537.9893,2529.9485,2542.1223,2530.0156,2523.2983,2525.6138,2506.4275,2539.3875,2551.0332,2528.7063,2499.0303,2531.9478,2547.8474,2544.981,2527.6938,2531.4338
2021-11-29,2527.1682,2510.7642,2523.0652,2530.4648,2521.624,2509.665,2535.8743,2517.3286,2513.907,2518.9944,2522.965,2517.9756,2515.1726,2535.877,2516.9824,2527.171,2519.055,2531.6494,2519.377,2512.602,2515.2043,2495.9878,2528.6968,2540.165,2518.0857,2489.0642,2521.893,2537.7156,2534.7095,2516.9326,2520.8713
2021-11-30,2512.3147,2496.372,2507.944,2514.652,2505.0266,2494.2412,2520.3303,2502.4363,2498.14,2503.7197,2507.744,2502.988,2499.8015,2520.5125,2501.1958,2511.563,2503.432,2516.388,2504.0586,2497.1423,2499.989,2480.8179,2513.2957,2524.5078,2502.6672,2474.8325,2507.2427,2523.016,2519.6887,2501.2283,2505.5764
2021-12-01,2495.3835,2480.0037,2490.7717,2496.706,2486.2053,2476.7886,2502.7166,2485.4878,2480.3025,2486.3777,2490.386,2485.9438,2482.277,2503.0261,2483.3008,2493.829,2485.6682,2499.056,2486.6526,2479.609,2482.7388,2463.585,2495.771,2506.7083,2485.1697,2458.5718,2490.593,2506.28,2502.6213,2483.448,2488.1992
2021-12-02,2474.29,2459.609,2469.3977,2474.4153,2462.8955,2455.106,2480.835,2464.3843,2458.1711,2464.848,2468.8118,2464.7476,2460.495,2481.2678,2461.062,2471.8013,2463.6226,2477.4841,2465.041,2457.8574,2461.2876,2442.1475,2473.9805,2484.5942,2463.4255,2438.3174,2469.855,2485.4202,2481.3494,2461.3743,2466.5967
2021-12-03,2456.8555,2442.6023,2451.5537,2455.9207,2443.7322,2436.907,2462.5674,2446.8792,2439.6814,2447.0515,2451.1833,2447.2048,2442.6768,2463.2693,2442.493,2453.6013,2445.5173,2459.4788,2447.2197,2439.8613,2443.3413,2424.3088,2455.9924,2466.3438,2445.3496,2421.7324,2452.5393,2468.071,2463.531,2442.9429,2448.6804
