,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,553.3112,531.6791,555.6128,530.08826,591.92096,569.96106,599.7844,556.0099,499.66946,541.0703,520.58954,589.8616,557.4422,573.0811,542.88544,569.3105,587.2372,526.28156,585.13855,577.79144,568.9269,534.03406,569.90515,523.11487,549.0852,553.8977,545.90906,533.5169,511.57846,518.74347,552.2479
2000-01-10,538.66425,589.61005,524.734,546.45636,568.741,552.7481,602.32996,476.8926,537.7494,504.7197,552.22675,571.5,537.74475,523.8141,539.93616,559.7243,507.6745,555.6675,540.7201,583.6992,581.35565,535.3815,580.3471,526.9619,588.19946,554.94293,521.13965,532.59955,564.61487,557.3364,548.6077
2000-01-11,538.43665,563.22656,555.9132,568.0278,579.77545,570.5433,601.4847,526.1686,532.6977,543.3892,569.4765,577.4578,551.5197,562.97687,551.99274,568.51874,542.9682,575.4987,585.49884,566.8678,564.56134,540.8382,567.4024,537.6934,569.55853,551.78265,558.01636,545.9779,555.26794,538.54785,558.7362
2000-01-12,518.3726,542.93835,535.38025,548.3424,560.2379,551.02386,582.63776,505.76285,511.7831,523.08307,550.23126,557.9205,531.0161,543.02386,531.89624,549.47534,521.87823,555.825,566.01996,546.86176,544.2003,520.3249,547.9735,517.5584,550.1422,531.2546,538.17236,526.5649,535.35425,518.1688,538.7809
2000-01-13,516.86,541.1357,533.5189,546.60925,558.6295,549.40875,581.05273,504.04126,509.913,521.33997,548.6983,556.28503,529.30676,541.3878,530.1781,547.9771,519.9769,554.10645,564.3009,545.15607,542.40063,518.58966,546.4197,515.8923,548.4728,529.488,536.56854,525.02515,533.6936,516.5017,537.09784
2000-01-14,523.35565,547.29016,539.68335,552.59644,564.75116,555.5042,586.8991,510.36356,516.2351,527.58386,554.8083,562.3556,535.695,547.6453,536.3657,554.0443,526.32825,560.1115,570.2242,551.3345,548.57477,524.9319,552.57184,522.18036,554.44476,535.79877,542.8268,531.1887,539.8934,522.8911,543.2826
2000-01-15,529.1512,553.09216,545.54535,558.2276,570.3667,561.1096,592.30615,516.2179,522.2125,533.40295,560.35144,567.9626,541.583,553.3805,542.12445,559.53046,532.35333,565.74225,575.79706,557.0717,554.39526,530.8142,558.1647,527.96405,560.0088,541.68207,548.5349,536.77826,545.6097,528.7469,549.00757
2000-01-16,528.59607,552.75604,545.23737,557.88983,569.93726,560.6896,591.9216,515.8052,521.87665,533.0172,559.88556,567.55743,541.15045,552.9373,541.73804,559.05597,532.02704,565.3935,575.46497,556.6806,554.0535,530.4045,557.70087,527.52985,559.64154,541.2946,548.0754,536.30524,545.19147,528.29315,548.60364
2000-01-17,521.16223,545.74,538.21063,551.05927,562.9452,553.726,585.24475,508.58493,514.66907,525.8885,552.9022,560.62274,533.85455,545.78796,534.6728,552.11786,524.78687,558.54156,568.70935,549.6296,547.0077,523.15967,550.66754,520.34546,552.8265,534.0919,540.9229,529.25696,538.1102,520.99023,541.54114
2000-01-18,511.22308,536.0501,528.46606,541.6512,553.4441,544.2555,576.1353,498.731,504.70276,516.12646,543.47235,551.17444,523.9188,536.0831,525.0038,542.77124,514.7605,549.1194,559.3982,539.9796,537.29816,513.27026,541.1668,510.57852,543.4839,524.22034,531.2399,519.75006,528.46454,511.0835,531.9008
