,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2456.0933,2497.9968,2479.2505,2484.7563,2489.7385,2494.3289,2469.7505,2504.1797,2469.2424,2513.6682,2453.1814,2493.9763,2470.5508,2446.7295,2482.9822,2492.0188,2466.6677,2473.6584,2496.6855,2447.1248,2480.169,2509.8328,2453.596,2510.2554,2480.9822,2468.0386,2474.936,2478.0771,2485.9717,2474.8267,2479.9753
2021-11-25,2468.6553,2512.5447,2493.13,2498.1467,2506.4512,2510.031,2485.916,2520.87,2480.6094,2527.4836,2465.2905,2508.2214,2483.4236,2458.3867,2496.736,2503.5466,2478.6414,2487.437,2509.7837,2461.3044,2496.311,2525.693,2467.5842,2524.2334,2494.525,2480.8625,2490.1035,2493.24,2505.3901,2488.086,2494.0881
2021-11-26,2478.2458,2521.9812,2503.0679,2508.8706,2514.1567,2517.8254,2491.2393,2528.117,2489.2268,2534.817,2475.4734,2517.4155,2493.01,2467.05,2506.0989,2512.9368,2486.944,2495.7441,2517.9438,2468.8828,2503.1753,2534.596,2475.1548,2533.0168,2504.0352,2488.962,2498.5635,2503.167,2512.2126,2496.755,2502.6228
2021-11-27,2482.5605,2525.8801,2507.4026,2513.7988,2516.5752,2520.462,2492.1777,2530.237,2493.0908,2537.449,2480.283,2521.203,2497.2727,2470.8987,2510.0752,2517.2834,2490.5059,2499.0232,2521.2332,2471.6033,2505.1309,2537.9358,2477.9155,2536.577,2508.1414,2492.2551,2501.7312,2507.2908,2513.6218,2500.3533,2505.999
2021-11-28,2478.9893,2520.7288,2503.0562,2510.2983,2508.748,2513.4463,2483.3074,2522.1475,2489.8215,2531.5632,2477.332,2516.1316,2493.4658,2467.44,2505.4734,2514.3638,2486.5908,2493.7607,2516.3887,2465.5227,2497.2185,2531.4775,2472.0454,2531.4543,2503.787,2487.58,2495.5117,2501.9763,2503.229,2495.7,2500.6187
2021-11-29,2466.1777,2505.53,2488.758,2496.7524,2490.6064,2496.522,2465.296,2503.9324,2478.2139,2516.7747,2465.1816,2501.24,2480.284,2455.4988,2491.1995,2502.7332,2474.1968,2479.23,2502.63,2450.2427,2479.57,2514.6072,2457.1035,2516.7893,2489.795,2474.134,2479.366,2486.154,2481.686,2481.8625,2485.7356
2021-11-30,2451.054,2489.22,2472.5237,2480.2693,2474.1333,2480.644,2450.903,2487.8025,2464.5747,2502.4653,2449.9412,2485.302,2464.962,2441.6365,2475.4617,2488.431,2460.3877,2464.2576,2488.1902,2436.0117,2464.0762,2497.8235,2442.5203,2501.3235,2474.0894,2459.9163,2463.358,2469.0903,2464.3914,2466.9487,2470.3904
2021-12-01,2433.036,2469.245,2452.9692,2460.7915,2452.8645,2460.3638,2431.4788,2466.7976,2448.3088,2484.3772,2432.0828,2465.7659,2446.631,2425.0479,2456.3433,2471.605,2443.6665,2445.9807,2470.3914,2418.2915,2443.8423,2476.7817,2424.7263,2482.2837,2455.1096,2442.4294,2443.273,2448.2908,2441.4966,2448.7083,2451.4329
2021-12-02,2410.8325,2444.6768,2428.8936,2436.8904,2426.8738,2435.4932,2407.7507,2441.0686,2428.2722,2462.1877,2410.0505,2441.737,2424.0532,2404.6172,2432.8174,2451.0254,2423.171,2423.7634,2448.5156,2396.5515,2419.066,2450.9392,2402.89,2458.8745,2431.7468,2420.931,2418.613,2422.8835,2414.354,2426.2732,2428.1936
2021-12-03,2396.5103,2430.6106,2413.878,2420.6072,2415.9846,2424.435,2400.9812,2431.0637,2415.1653,2451.636,2394.4087,2428.0393,2409.4998,2391.4717,2418.7666,2436.7976,2410.732,2411.8782,2436.4385,2386.174,2409.6426,2437.9705,2392.3306,2445.846,2417.4163,2408.9136,2406.3462,2408.0762,2406.4075,2413.3384,2415.7122
