,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2443.5942,2470.4648,2481.624,2472.1763,2458.8057,1622.6603,2471.8958,2466.157,2483.2534,2482.805,2469.2695,2449.7473,2462.0908,2468.3843,2467.163,2475.6982,2428.5227,2456.3933,2469.9246,2462.3938,2473.5051,2460.114,2469.9941,2458.516,1514.152,2459.477,2445.7551,2464.623,2472.0393,2440.6494,2404.0615
2021-11-25,2454.9775,2481.9004,2493.4941,2483.7874,2470.1865,1623.2682,2483.361,2477.7153,2495.1462,2494.507,2480.7175,2461.146,2473.399,2479.6506,2478.6096,2487.4795,2439.5505,2467.369,2481.229,2473.7585,2484.9463,2471.8154,2481.2737,2469.9595,1515.1053,2471.083,2457.0557,2475.895,2483.6716,2451.9397,2414.8
2021-11-26,2467.3115,2495.1643,2506.974,2497.2705,2482.7908,1623.5065,2496.1401,2490.692,2508.7913,2507.9678,2493.5884,2474.5667,2486.3262,2492.5916,2491.4707,2500.8198,2451.6597,2480.1472,2494.385,2487.0076,2498.4866,2484.404,2495.034,2483.165,1515.4088,2484.1309,2469.7937,2488.6924,2497.185,2464.1672,2426.9878
2021-11-27,2473.6187,2502.0774,2513.9612,2504.3018,2489.2764,1623.5668,2502.726,2497.3953,2515.883,2514.968,2500.2366,2481.5908,2493.036,2499.3167,2498.114,2507.7285,2457.8752,2486.81,2501.2458,2493.921,2505.5815,2490.8271,2502.2993,2490.0386,1515.4576,2490.8738,2476.3813,2495.3208,2504.233,2470.4172,2433.3025
2021-11-28,2472.5623,2501.5442,2513.2322,2503.768,2488.3855,1623.2554,2501.8816,2496.5947,2515.2354,2514.353,2499.4592,2481.1787,2492.3982,2498.716,2497.3298,2506.978,2456.9534,2486.335,2500.7476,2493.4326,2505.2126,2489.6848,2502.185,2489.4648,1514.9277,2490.0815,2475.63,2494.632,2503.7007,2469.367,2432.6409
2021-11-29,2461.6895,2490.7966,2502.0146,2492.8528,2477.5713,1622.5859,2491.0115,2485.6423,2504.0232,2503.331,2488.6277,2470.502,2481.7415,2488.1091,2486.493,2495.8328,2446.459,2476.0488,2490.1396,2482.7715,2494.5176,2478.4885,2491.7275,2478.6985,1513.8639,2479.0889,2464.9343,2483.9958,2492.7678,2458.5867,2422.497
2021-11-30,2445.3853,2473.7827,2484.5625,2475.5645,2461.0725,1622.0178,2474.33,2468.7585,2486.4385,2486.0034,2471.8933,2453.3955,2465.0537,2471.4414,2469.7664,2478.5435,2430.5437,2459.6838,2473.2905,2465.816,2477.2986,2461.796,2474.454,2461.7207,1513.0243,2462.1228,2448.3894,2467.4272,2475.4458,2442.4214,2406.7148
2021-12-01,2427.2107,2455.0632,2465.2883,2456.5525,2442.757,1621.2683,2455.8225,2450.0688,2467.0571,2466.9102,2453.359,2434.632,2446.6323,2453.063,2451.2446,2459.444,2412.839,2441.6682,2454.7563,2447.1733,2458.4243,2443.1646,2455.6262,2443.0232,1511.8878,2443.3455,2430.0872,2449.1074,2456.3997,2424.3945,2389.2756
2021-12-02,2404.8313,2432.006,2441.5579,2433.1443,2420.1982,1620.3529,2433.01,2427.0562,2443.197,2443.3977,2430.514,2411.5269,2423.9258,2430.4153,2428.4248,2435.9387,2391.022,2419.4404,2431.9136,2424.2007,2435.1714,2420.2256,2432.4194,2419.9907,1510.5035,2420.2236,2407.5479,2426.5193,2432.9507,2402.1875,2367.7937
2021-12-03,2385.6582,2411.3184,2420.5796,2412.1448,2400.5752,1620.036,2413.0608,2406.8645,2421.9573,2422.419,2410.413,2390.603,2403.729,2410.2034,2408.3682,2415.2017,2372.1467,2399.3972,2411.3486,2403.4983,2414.0193,2400.6694,2410.8704,2399.3923,1510.1268,2399.9146,2387.7131,2406.506,2411.9019,2383.1526,2348.793
