,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,547.3997,575.4904,560.90466,575.99396,591.61914,583.44684,577.43475,558.6702,567.42303,525.56665,555.73615,579.5269,587.0387,596.4769,592.9405,546.29877,550.24005,602.6032,593.70386,545.77185,636.4868,574.8187,587.7047,592.0094,558.95825,579.7842,579.5329,567.41876,566.841,617.7583,575.85333
2000-01-10,531.61395,583.62445,562.36053,562.2806,550.6736,565.9636,559.4491,534.42505,540.66943,537.32947,518.5495,567.812,531.6665,558.9289,574.5357,543.20984,545.27374,605.2748,554.73096,567.6254,616.0917,558.4102,561.3783,577.9693,511.18423,564.33545,584.1777,553.5024,579.5737,639.25616,561.3958
2000-01-11,561.0686,586.47766,582.47437,604.5878,585.6797,585.27747,577.67944,564.52496,591.40955,533.2216,568.4319,597.27655,590.2524,602.6139,563.4855,577.34155,561.98224,604.722,588.3298,572.571,624.4387,591.30164,604.0075,592.525,570.4885,576.5391,551.86743,550.793,572.1848,612.2391,581.52637
2000-01-12,536.76544,563.7151,559.8452,582.7607,562.93506,560.05634,552.89905,540.97577,565.9517,506.55267,543.432,572.6051,566.48425,579.147,538.9017,554.55304,538.628,580.8263,564.7648,548.33405,601.54425,568.106,580.4228,569.9726,546.07635,553.11536,527.1039,525.34,549.26764,588.0777,557.6387
2000-01-13,533.1685,560.45905,556.7311,579.8371,559.6048,556.00854,548.8272,537.5999,561.77454,502.47253,539.60913,568.49567,562.8604,575.63916,535.11304,551.3677,535.39685,577.14874,561.23926,544.6487,597.8484,564.8026,576.8801,566.6991,542.26654,549.7418,523.45807,521.54834,546.128,584.2188,554.05316
2000-01-14,538.3513,565.4722,561.9152,584.96124,564.48145,560.9599,553.49915,542.7904,566.6253,507.9853,544.7784,573.0818,567.7859,580.60236,540.1622,556.53644,540.7248,582.03815,566.1979,549.6685,602.26276,569.93964,581.86975,571.6224,547.1916,554.85944,528.77966,526.90924,551.3732,588.9681,559.0798
2000-01-15,544.9823,571.7007,568.14355,590.9863,570.6814,567.79706,560.16833,549.24176,573.50006,515.2462,551.58167,579.7225,574.25793,587.00555,546.8583,562.81055,547.148,588.52905,572.61414,556.2618,608.442,576.291,588.31256,577.79926,553.8137,561.2603,535.54706,533.8313,557.66724,595.5091,565.5904
2000-01-16,545.773,572.3514,568.6839,591.4409,571.3996,568.86444,561.31036,549.9168,574.6556,516.21606,552.49023,580.89923,575.1133,587.7937,547.77106,563.3885,547.71985,589.4215,573.4152,557.13055,609.4415,576.9406,589.11145,578.4744,554.76733,561.9516,536.3331,534.6896,558.2116,596.52234,566.40656
2000-01-17,540.02,566.7683,562.8919,585.70575,565.97644,563.42505,556.1906,544.1379,569.34375,510.12173,546.778,575.8826,569.6638,582.2896,542.1913,557.62335,541.7728,584.0189,567.9161,551.57263,604.5884,571.2202,583.5873,573.0012,549.3372,556.2547,530.42426,528.7405,552.3484,591.3004,560.83636
2000-01-18,530.30304,557.535,553.53766,576.57367,556.8724,553.68585,546.80505,534.5755,559.64307,499.59897,536.9096,566.5901,560.2802,572.9414,532.5212,548.24036,532.1317,574.63794,558.554,542.01514,595.8405,561.78174,574.1766,563.88153,539.8049,546.7878,520.48505,518.6296,542.8851,581.97516,551.34
