,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2338.4553,2320.5403,2492.1323,2300.4756,2222.9526,2379.9536,2360.3706,2352.6497,2358.1714,2370.2202,2241.2249,2451.9727,2262.714,2263.857,2249.596,2274.007,2258.3738,2427.5818,2331.502,2452.1128,2474.8274,2289.4116,2201.5918,2277.395,2211.931,2353.756,2356.989,2264.271,2344.1106,2316.4636,2326.6536
2021-11-25,2345.3984,2326.9653,2502.7458,2306.634,2227.6099,2387.732,2367.737,2359.7183,2364.6553,2377.1602,2246.2,2461.1252,2268.337,2269.3938,2255.0972,2279.48,2263.674,2436.3813,2338.141,2461.3738,2483.8274,2295.6426,2206.0503,2283.56,2216.3604,2360.0354,2364.0618,2269.813,2350.7478,2322.5366,2333.2732
2021-11-26,2348.1733,2329.3665,2507.2456,2308.9658,2229.4404,2391.0552,2370.5095,2362.4,2366.7532,2379.4998,2248.1335,2464.5789,2270.5037,2271.5159,2257.4355,2281.5833,2265.7659,2439.9907,2340.466,2465.0415,2486.9028,2298.3281,2207.7612,2286.1304,2217.7874,2362.0784,2366.724,2272.007,2353.129,2324.7874,2335.802
2021-11-27,2343.724,2324.6958,2501.1,2304.6301,2226.2942,2386.611,2365.4026,2357.4707,2361.195,2373.8645,2244.6533,2458.233,2266.6833,2267.6484,2254.2588,2277.7983,2262.3323,2434.6128,2335.0374,2458.9814,2479.7598,2294.9092,2204.6816,2282.4402,2213.9614,2356.6501,2361.7214,2268.3704,2348.1357,2320.3867,2331.208
2021-11-28,2331.3015,2312.8398,2482.847,2293.188,2217.947,2373.2332,2351.742,2344.389,2348.1008,2360.1416,2235.5093,2441.307,2256.4092,2257.343,2244.7354,2267.7168,2252.7373,2419.1135,2322.206,2442.3232,2462.1396,2284.3193,2196.4678,2271.6792,2204.9626,2344.081,2348.4824,2258.3032,2335.401,2309.0215,2318.9993
2021-11-29,2318.767,2300.7798,2464.4285,2281.697,2209.3994,2359.7473,2337.9304,2331.238,2335.0234,2346.379,2226.3267,2424.2385,2246.0461,2247.0398,2235.147,2257.5933,2243.0654,2403.4658,2309.3784,2425.4941,2444.4893,2273.6248,2188.2053,2260.8145,2195.9722,2331.5369,2335.248,2248.176,2322.6482,2297.5793,2306.7158
2021-11-30,2302.95,2285.7441,2440.8867,2267.377,2198.622,2342.4355,2320.8274,2314.8596,2319.2178,2329.6633,2214.8147,2403.1062,2233.0857,2234.1577,2222.827,2244.919,2230.9128,2383.6497,2293.6414,2404.3499,2423.0422,2259.854,2177.859,2246.942,2185.1091,2316.286,2318.7075,2235.4314,2306.975,2283.3757,2291.3875
2021-12-01,2283.7024,2267.6072,2412.623,2249.7622,2185.7686,2321.5083,2300.142,2294.79,2299.3896,2308.9556,2200.2156,2377.53,2217.2678,2218.2585,2207.849,2229.3093,2216.088,2359.8,2273.3916,2378.8752,2396.5454,2243.1643,2165.1248,2230.1638,2171.1228,2296.8994,2298.276,2219.907,2287.578,2265.706,2272.5774
2021-12-02,2273.7393,2258.213,2397.9802,2240.7258,2179.001,2310.6406,2289.1052,2284.4268,2289.3662,2298.2324,2193.3906,2364.0547,2209.0984,2210.0945,2200.0857,2221.3574,2208.3086,2347.2798,2264.282,2365.525,2382.8794,2234.53,2158.596,2221.4363,2164.5247,2287.1057,2287.8423,2211.773,2277.5833,2256.762,2262.9314
2021-12-03,2267.3806,2252.4626,2388.1018,2235.3455,2174.6807,2303.3213,2282.443,2278.2195,2284.254,2292.4983,2189.21,2355.9023,2204.0608,2205.2942,2194.907,2216.5593,2203.4314,2339.1255,2259.0293,2357.1235,2375.4153,2228.5347,2154.6458,2215.676,2161.0117,2282.7441,2281.7046,2206.726,2271.9497,2251.663,2257.114
2021-12-04,2266.5857,2251.9976,2386.0225,2235.176,2174.074,2301.7903,2282.2896,2277.987,2285.4124,2293.39,2188.9143,2355.6692,2203.7144,2205.1172,2193.8445,2216.2915,2202.9993,2337.8655,2259.5,2356.163,2376.4033,2227.1216,2154.4175,2214.6125,2161.821,2283.7107,2281.4268,2206.269,2272.3289,2251.642,2256.8186
2021-12-05,2272.0552,2257.6096,2393.219,2240.5254,2178.3848,2306.9082,2289.0886,2284.1082,2292.5432,2300.788,2193.002,2363.874,2208.4841,2209.793,2197.5015,2220.8875,2207.2656,2344.4846,2265.8777,2363.8413,2385.604,2231.0698,2158.2524,2219.0425,2166.7397,2290.2732,2287.6262,2210.8284,2278.6187,2257.1536,2262.515
2021-12-06,2300.7407,2284.8367,2435.9915,2266.2805,2197.6619,2338.6245,2319.7031,2313.5508,2320.3835,2330.3442,2213.7817,2401.6113,2231.8262,2233.0325,2220.1582,2243.7397,2229.3547,2380.3748,2293.845,2401.8481,2423.527,2256.469,2176.903,2244.3464,2185.9316,2317.2266,2317.4373,2233.8894,2306.6108,2282.6074,2290.088
2021-12-07,2317.5415,2300.6116,2461.3132,2281.3083,2208.8596,2357.332,2337.5225,2330.74,2336.4517,2347.4219,2225.9243,2423.6658,2245.4602,2246.6064,2233.4905,2257.0918,2242.2515,2401.4902,2310.1216,2424.1233,2445.5442,2271.4631,2187.8042,2259.2202,2196.9946,2332.829,2334.8499,2247.37,2322.8853,2297.4253,2306.1904
2021-12-08,2325.171,2307.6892,2472.7136,2288.2146,2213.9026,2365.7468,2345.6406,2338.6235,2344.034,2355.39,2231.482,2433.7502,2251.6897,2252.8457,2239.4863,2263.2227,2248.1062,2411.021,2317.7437,2434.2278,2455.8154,2278.188,2192.7969,2265.9204,2202.212,2340.2405,2342.8423,2253.4976,2330.4297,2304.2544,2313.5632
2021-12-09,2328.845,2311.279,2477.9902,2291.663,2216.3936,2369.615,2349.7383,2342.5566,2348.139,2359.6428,2234.2102,2438.8237,2254.7632,2255.95,2242.2507,2266.2515,2250.953,2415.5547,2321.6968,2439.1655,2461.2446,2281.2288,2195.265,2269.0615,2205.0398,2344.1897,2346.839,2256.4915,2334.3184,2307.6987,2317.2285
2021-12-10,2335.387,2317.6763,2487.4153,2297.7842,2220.833,2376.505,2356.9988,2349.537,2355.3982,2367.1582,2239.053,2447.8352,2260.2332,2261.441,2247.1665,2271.6335,2256.0037,2423.6238,2328.6794,2447.945,2470.8643,2286.6646,2199.6462,2274.653,2210.0425,2351.221,2353.9272,2261.7915,2341.2014,2313.8235,2323.738
2021-12-11,2343.4448,2325.3923,2499.3982,2305.1125,2226.3418,2385.2637,2365.8843,2357.9443,2363.5852,2375.8542,2244.903,2458.819,2266.8672,2268.0256,2253.3772,2278.088,2262.2205,2433.768,2336.743,2458.8245,2482.0469,2293.595,2204.9138,2281.689,2215.6519,2358.9788,2362.3503,2268.3157,2349.2961,2321.088,2331.5928
2021-12-12,2352.5603,2333.843,2513.2732,2313.2366,2232.4326,2395.4167,2375.616,2367.274,2372.2434,2385.0964,2251.4512,2470.9133,2274.272,2275.3252,2260.56,2285.297,2269.1907,2445.3105,2345.5493,2470.992,2494.0388,2301.727,2210.784,2289.75,2221.5684,2367.3486,2371.6997,2275.5994,2358.1006,2329.1082,2340.3193
2021-12-13,2357.364,2338.2898,2520.7566,2317.4517,2235.6965,2400.8958,2380.6194,2372.1074,2376.5376,2389.7175,2254.8735,2477.1528,2278.1313,2279.1296,2264.4229,2289.0598,2272.826,2451.4434,2350.0425,2477.4187,2500.0356,2306.0942,2213.8435,2294.0684,2224.4983,2371.5388,2376.5156,2279.4287,2362.5706,2333.247,2344.859
2021-12-14,2359.2705,2339.716,2523.864,2319.0505,2236.763,2403.2302,2382.424,2373.9312,2377.94,2391.248,2256.2195,2479.4326,2279.596,2280.6125,2266.0835,2290.5156,2274.2751,2453.9006,2351.6606,2479.8257,2502.097,2308.0342,2215.022,2295.8376,2225.4685,2372.956,2378.416,2280.9255,2364.2092,2334.7642,2346.5764
2021-12-15,2352.1748,2333.1074,2513.1787,2312.63,2232.069,2395.4058,2374.843,2366.5884,2370.8882,2383.8271,2251.063,2469.9746,2273.7964,2274.8215,2260.5315,2284.8213,2268.8464,2444.9873,2344.565,2470.3713,2492.4907,2301.7937,2210.394,2289.6094,2220.6296,2366.0857,2370.9827,2275.2324,2357.1865,2328.4172,2339.7102
2021-12-16,2348.9004,2329.971,2508.3464,2309.6199,2229.8584,2391.8762,2371.2285,2363.1404,2367.454,2380.216,2248.6675,2465.4922,2271.0881,2272.1123,2258.025,2282.1719,2266.319,2440.886,2341.201,2465.9607,2487.847,2299.005,2208.236,2286.7698,2218.2744,2362.8071,2367.5042,2272.5774,2353.8374,2325.4292,2336.494
2021-12-17,2346.4153,2327.687,2504.5195,2307.44,2228.18,2389.0825,2368.5361,2360.6213,2365.2043,2377.7546,2246.9058,2462.1677,2269.081,2270.158,2256.056,2280.2437,2264.4075,2437.695,2338.9148,2462.616,2484.645,2296.7617,2206.6604,2284.555,2216.7454,2360.706,2365.008,2270.5862,2351.4827,2323.2876,2334.1377
2021-12-18,2345.5564,2326.9897,2502.9614,2306.817,2227.583,2387.94,2367.7583,2359.8894,2364.8967,2377.3147,2246.3616,2461.2012,2268.4556,2269.6008,2255.269,2279.665,2263.784,2436.5127,2338.408,2461.4788,2484.0317,2295.8179,2206.1868,2283.698,2216.5508,2360.4014,2364.3347,2269.937,2350.943,2322.7031,2333.4346
2021-12-19,2345.473,2327.0667,2502.697,2306.7998,2227.6196,2387.7087,2367.894,2359.8896,2365.0632,2377.5159,2246.3096,2461.322,2268.4407,2269.5588,2255.1,2279.6116,2263.7576,2436.4128,2338.4268,2461.469,2484.2578,2295.601,2206.1545,2283.5679,2216.6562,2360.4216,2364.2932,2269.907,2351.0178,2322.7107,2333.4243
2021-12-20,2348.278,2329.6294,2507.1692,2309.1763,2229.5557,2390.9678,2370.83,2362.6467,2367.3057,2380.0305,2248.2534,2464.9548,2270.666,2271.6807,2257.3816,2281.7334,2265.8818,2440.061,2340.839,2465.2424,2487.55,2298.2292,2207.8882,2286.1255,2218.167,2362.5461,2366.9758,2272.1233,2353.4907,2325.036,2336.014
