,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,1617.2798,1615.1556,1598.7649,1605.7817,1621.4747,1622.0618,1618.4963,1608.6229,1612.9838,1613.8804,1617.9459,1599.3763,1598.2297,1616.128,1615.9915,1616.0918,1621.3613,1609.3474,1606.0841,1615.3142,1600.2307,1616.6013,1618.2372,1620.1417,1624.2961,1611.1271,1611.0176,1608.9434,1612.2218,1602.748,1612.5312
2019-06-21,1621.5035,1619.6547,1602.3967,1609.9272,1625.9763,1626.9169,1623.3182,1613.4026,1617.6091,1619.2428,1623.4534,1604.0029,1603.127,1620.9858,1621.055,1621.1049,1627.0201,1613.8002,1612.656,1620.3856,1605.3363,1621.6888,1623.346,1624.3115,1630.1918,1616.6255,1616.7432,1613.7719,1616.6536,1608.0735,1617.4761
2019-06-22,1628.0643,1626.7031,1608.7362,1616.8556,1633.1545,1634.549,1630.5865,1620.6996,1624.4814,1626.8751,1631.9364,1611.0519,1610.2557,1628.4592,1628.0973,1628.224,1634.1522,1620.9756,1619.3777,1626.4523,1611.8427,1628.8829,1630.1503,1631.929,1637.6375,1624.053,1624.0569,1621.1653,1624.0115,1615.2245,1624.6211
2019-06-23,1637.5857,1636.5105,1618.1173,1627.2521,1642.9539,1643.9589,1640.133,1630.3993,1633.4554,1636.4468,1641.6011,1620.2739,1619.8923,1638.1847,1636.8855,1637.1008,1642.5831,1630.8419,1626.2843,1634.1299,1621.0035,1638.2843,1639.1906,1642.7073,1645.7743,1633.1437,1632.0304,1630.7638,1633.8964,1624.5613,1633.8651
2019-06-24,1646.6066,1645.4224,1627.4988,1636.8883,1651.2537,1652.1637,1648.5884,1638.979,1641.5024,1644.2015,1648.5305,1628.3052,1628.689,1646.8658,1644.7349,1645.1399,1650.1115,1639.7172,1632.3721,1641.094,1629.4336,1646.1713,1647.592,1652.4133,1652.0967,1640.5293,1638.6921,1639.2905,1642.7655,1632.9922,1642.0214
2019-06-25,1647.3596,1646.119,1628.5347,1637.6204,1651.7513,1652.8228,1649.006,1639.6058,1642.1619,1644.6163,1648.9282,1628.868,1629.3691,1647.5493,1645.3619,1645.7516,1650.7092,1640.3812,1632.8569,1641.613,1630.0385,1646.593,1648.2607,1653.1731,1652.4244,1640.9127,1639.2329,1639.9492,1643.422,1633.6282,1642.6205
2019-06-26,1645.385,1644.1052,1626.4607,1635.5363,1649.8857,1650.9286,1647.2798,1637.67,1640.296,1642.7693,1647.2896,1627.0535,1627.3892,1645.5865,1643.5232,1643.9187,1648.9131,1638.4363,1631.2336,1639.9684,1628.1057,1644.8198,1646.3463,1651.0696,1650.8496,1639.1674,1637.5658,1638.0216,1641.4642,1631.6511,1640.7563
2019-06-27,1645.0005,1643.693,1626.12,1635.1553,1649.4757,1650.4768,1646.8077,1637.215,1639.8489,1642.2567,1646.7615,1626.6105,1626.9016,1645.1283,1643.0205,1643.4343,1648.3123,1638.0195,1630.4832,1639.43,1627.5928,1644.2968,1645.8081,1650.7196,1650.2362,1638.6072,1636.962,1637.5641,1641.0612,1631.1447,1640.2716
2019-06-28,1645.0907,1643.8633,1626.184,1635.2424,1649.6206,1650.5691,1646.9047,1637.3275,1640.0573,1642.5613,1646.6963,1626.7023,1627.062,1645.1931,1643.2152,1643.6265,1648.5658,1638.0477,1631.042,1639.7537,1627.9674,1644.467,1646.0449,1650.6273,1650.5001,1638.876,1637.2312,1637.631,1641.2042,1631.4983,1640.4454
2019-06-29,1645.3319,1644.1139,1626.4487,1635.3842,1649.8224,1650.9846,1647.306,1637.6951,1640.4716,1642.9868,1647.2659,1627.0734,1627.5186,1645.5952,1643.7725,1644.1229,1649.3856,1638.3358,1632.2823,1640.4441,1628.4574,1644.9681,1646.6652,1650.7087,1651.3129,1639.4684,1638.11,1638.0361,1641.4343,1631.9714,1640.9158
2019-06-30,1645.5553,1644.6106,1626.5745,1635.6871,1650.4597,1651.7164,1648.0045,1638.2932,1640.9924,1643.8104,1648.5095,1627.6978,1627.9681,1646.2488,1644.3868,1644.5671,1649.9801,1638.8829,1632.8629,1640.7944,1628.699,1645.5376,1647.0061,1651.3109,1652.247,1640.2158,1638.8965,1638.6869,1641.7998,1632.4363,1641.4812
