,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,2066.484,2044.3975,2041.4547,2036.0145,2058.9634,2031.4362,2051.8628,2053.3672,2032.9517,2039.3053,2039.1709,2056.7988,2049.3687,2042.297,2019.7455,2060.7056,2030.7708,2040.2218,2049.8867,2047.2467,2043.4478,2039.6707,2029.0629,2035.402,2053.9272,2045.6613,2060.752,2058.4858,2035.5266,2044.1969,2044.6191
798,2073.4011,2052.8489,2048.096,2045.8223,2067.4575,2038.7396,2060.9478,2062.496,2042.9404,2049.2913,2046.625,2066.1155,2056.4753,2049.0676,2030.2722,2067.8408,2039.605,2050.6262,2057.7383,2057.0967,2051.4653,2048.0125,2040.0763,2045.5065,2061.802,2057.3533,2071.659,2066.2036,2044.1649,2053.374,2053.4373
799,2083.1416,2059.346,2054.4104,2054.7432,2077.711,2047.4653,2069.6108,2073.2402,2053.385,2060.1416,2054.389,2074.6653,2064.5767,2056.5847,2040.3447,2078.0378,2048.828,2059.022,2066.8816,2067.8882,2061.6401,2059.379,2050.567,2054.2568,2071.2354,2069.2166,2082.3638,2076.994,2053.912,2063.437,2062.9136
800,2093.2817,2069.4468,2062.863,2067.0469,2089.426,2057.501,2081.1848,2085.7163,2066.4946,2073.4285,2064.1501,2086.3916,2074.1826,2065.658,2053.77,2088.5547,2060.4192,2071.6316,2077.5706,2081.0278,2072.908,2071.4465,2064.59,2066.7554,2082.075,2084.421,2096.3884,2088.2593,2065.5532,2075.684,2074.5942
801,2102.2905,2080.0156,2071.2727,2079.4197,2100.328,2066.8682,2092.6912,2097.4143,2079.2114,2086.188,2073.623,2098.1624,2083.275,2074.3162,2067.1052,2097.8496,2071.6697,2084.6877,2087.6245,2093.6147,2083.2368,2082.2815,2078.5337,2079.4822,2092.192,2099.2998,2110.2275,2098.2773,2076.611,2087.4146,2085.8394
802,2106.164,2090.0266,2077.9678,2089.688,2106.7314,2072.4607,2101.8267,2104.5698,2088.3464,2094.9358,2080.456,2107.8535,2089.1084,2080.081,2077.655,2101.6912,2079.7673,2096.6428,2093.8757,2102.1501,2088.792,2087.3308,2089.6123,2090.507,2098.2175,2110.3723,2120.8953,2102.6448,2083.8176,2095.3647,2093.6516
803,2113.6052,2092.9834,2081.6658,2094.681,2113.9128,2078.5354,2106.9136,2111.9778,2094.9792,2102.0386,2085.3596,2112.691,2094.5833,2085.0774,2083.59,2109.5276,2085.6208,2100.7385,2100.1357,2109.253,2096.136,2095.8694,2095.7659,2095.1619,2104.8027,2117.7385,2127.351,2110.8418,2090.365,2101.9912,2099.7964
804,2114.0225,2102.0918,2086.9102,2103.058,2117.1255,2081.4368,2114.0508,2115.872,2101.3508,2107.7722,2090.152,2120.5369,2098.038,2088.6978,2091.8008,2109.7144,2091.2815,2111.3423,2103.644,2114.7607,2098.3713,2096.9888,2104.4263,2104.506,2107.9143,2125.7986,2135.4297,2111.401,2094.7437,2107.119,2105.012
805,2114.573,2101.9688,2086.9912,2103.1177,2117.5488,2081.788,2114.165,2116.2866,2101.6118,2108.0935,2090.3418,2120.605,2098.3225,2088.9397,2091.9385,2110.3032,2091.5107,2111.2485,2103.9858,2115.0908,2098.8442,2097.5955,2104.5635,2104.5032,2108.2964,2126.0513,2135.612,2112.003,2095.0747,2107.4272,2105.28
806,2117.3464,2102.1804,2087.8682,2104.1716,2119.9438,2083.7964,2115.3794,2118.7,2103.4863,2110.2104,2091.7185,2121.654,2100.0488,2090.4695,2093.3667,2113.2488,2093.1616,2111.7424,2106.0032,2117.2295,2101.3982,2100.714,2106.029,2105.334,2110.4773,2128.0366,2137.2507,2115.0466,2097.1152,2109.4233,2107.085
