,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.8170121,0.83156824,0.8398625,0.85441446,0.8802425,0.89741087,0.88616043,0.8865206,0.8895009,0.8893559,0.86998117,0.8616816,0.8508681,0.84363973,0.82982135,0.81992257,0.8159836,0.80129915,0.8012844,0.7791437,0.779304,0.76076865,0.7458607,0.7268414,0.72879803,0.73782027,0.7434789,0.7293551,0.73998547,0.7324647,0.81234497
1,0.8127911,0.8268108,0.83484674,0.84903103,0.8739762,0.8907269,0.8797744,0.8804682,0.88392717,0.8842057,0.8656182,0.85799414,0.8480927,0.8415382,0.8294476,0.82017,0.8161278,0.80296695,0.8024368,0.7813138,0.78219205,0.7649239,0.75040776,0.73561597,0.73718977,0.7460344,0.7514516,0.73764867,0.7483997,0.7410773,0.8125735
2,0.8074605,0.8208231,0.8285107,0.8421383,0.8658987,0.88208735,0.8714661,0.87248564,0.87648576,0.8772185,0.85951185,0.8525902,0.84358394,0.8376404,0.8263334,0.81783646,0.8142037,0.8018132,0.8014982,0.7812228,0.7822441,0.76660764,0.7524096,0.7387698,0.7399889,0.7515564,0.75686896,0.74292886,0.7528614,0.7467607,0.81039345
3,0.8009434,0.8135585,0.8208944,0.83397603,0.85642576,0.87159836,0.8604161,0.860448,0.86409533,0.86415946,0.846069,0.83835566,0.8284166,0.8213153,0.8093419,0.80009156,0.7953517,0.7826268,0.7810756,0.76069456,0.7606528,0.7427426,0.7279439,0.7139541,0.7140509,0.72653973,0.7288606,0.7154113,0.72782284,0.7201764,0.79293364
4,0.7976228,0.80979836,0.8169347,0.82966095,0.8514094,0.86670434,0.8569721,0.85832286,0.8637069,0.8656118,0.8499335,0.8447525,0.83795154,0.83293545,0.82212996,0.8156843,0.81354266,0.80227566,0.80465245,0.7841271,0.7871698,0.7756828,0.7622904,0.7464887,0.7484888,0.7581105,0.7623259,0.74917424,0.75361323,0.75092316,0.80729985
5,0.79552233,0.8074305,0.81438684,0.8266994,0.847865,0.8628781,0.8541501,0.8561499,0.8628177,0.86568034,0.85128486,0.84748507,0.8423089,0.8395318,0.83164716,0.82643807,0.82516915,0.81583244,0.8164319,0.8000725,0.80220306,0.7924938,0.78023386,0.7705817,0.7723366,0.77527153,0.775743,0.7668346,0.7660138,0.7680939,0.8153196
6,0.79527086,0.80716276,0.81395733,0.8260226,0.8469016,0.8617822,0.8531789,0.85551834,0.8624781,0.86551404,0.85131276,0.8476951,0.8425727,0.8398218,0.8319068,0.82663655,0.82539886,0.8159668,0.81680787,0.80049855,0.802778,0.7930672,0.7807153,0.770653,0.7724163,0.7753682,0.77541727,0.76686674,0.7660631,0.76809996,0.8152617
7,0.7970668,0.8092171,0.8161054,0.82826793,0.84949565,0.86462986,0.8560352,0.8573105,0.8637804,0.86641634,0.85157144,0.84724295,0.84103584,0.83730733,0.8282665,0.822049,0.8198834,0.80952126,0.81046176,0.79222244,0.794052,0.7832397,0.7697629,0.75702065,0.7580081,0.771075,0.7719959,0.76028705,0.76120985,0.76300997,0.8119182
8,0.80671316,0.8200064,0.82752883,0.8407469,0.8641043,0.880381,0.87085027,0.8718959,0.8769942,0.8786576,0.8620446,0.8562551,0.8482839,0.8432864,0.83267057,0.82496023,0.82196736,0.81010324,0.81070334,0.7906952,0.79204667,0.778034,0.76395214,0.7504762,0.7515954,0.76547337,0.7687844,0.7546569,0.761852,0.760857,0.8162192
9,0.8123807,0.82635593,0.834254,0.8481077,0.872738,0.88968337,0.87953526,0.8806045,0.8849161,0.8860271,0.8684101,0.8618216,0.85291636,0.8472848,0.83587587,0.8273826,0.8240202,0.8113815,0.81178766,0.7909964,0.79224825,0.7767489,0.76246065,0.7486822,0.75002885,0.76440537,0.7681556,0.7537962,0.76291764,0.76018405,0.819537
10,0.81496656,0.8292478,0.83729684,0.85139406,0.8765692,0.8937999,0.88378495,0.8850491,0.8894374,0.8906497,0.872995,0.8665246,0.8577503,0.852365,0.84104145,0.8326589,0.8295686,0.8169207,0.8176579,0.7967972,0.79837966,0.78332204,0.7692003,0.75549495,0.7571995,0.77125204,0.7762313,0.76173353,0.76552564,0.76661897,0.8247145
11,0.81620985,0.8306468,0.83874905,0.8529209,0.8783232,0.89568186,0.88571084,0.8869774,0.8913394,0.8925302,0.87476504,0.86824054,0.85935605,0.8539195,0.84247124,0.8339995,0.83089644,0.8181267,0.81901395,0.798029,0.79965913,0.78447264,0.7703475,0.7566205,0.758404,0.7734114,0.77765536,0.76309836,0.76713914,0.7688793,0.82625306
12,0.8184259,0.8331357,0.84134495,0.85564995,0.88146746,0.8990593,0.8894271,0.8907996,0.8954277,0.89685535,0.8792201,0.87296236,0.86430776,0.8591931,0.8478663,0.83955604,0.83674294,0.82398343,0.825277,0.8041888,0.8060714,0.79136103,0.7773244,0.76362437,0.7656474,0.78078663,0.7825049,0.76960886,0.77036273,0.7721241,0.83114356
13,0.8211334,0.83620715,0.844591,0.8591742,0.88558924,0.9035071,0.89299667,0.893962,0.8975207,0.89808214,0.87923396,0.87174743,0.8615829,0.8551494,0.8425379,0.8329703,0.8291416,0.81533664,0.81594205,0.79393506,0.7951249,0.77761376,0.76297235,0.7487399,0.7503507,0.7653531,0.769631,0.75463986,0.7655012,0.7616652,0.82606435
14,0.8242096,0.83967483,0.8482859,0.8632213,0.89035535,0.9085622,0.89772314,0.89856243,0.9016116,0.9018065,0.88233054,0.87430465,0.8634925,0.85659564,0.84342265,0.8332772,0.82912415,0.8147653,0.815006,0.7923961,0.79331255,0.77465916,0.7597259,0.74519813,0.7467378,0.7576183,0.763867,0.74823844,0.75899434,0.75273865,0.82599384
15,0.8258356,0.8415052,0.850245,0.8654132,0.89296967,0.911342,0.9004058,0.90104485,0.9038778,0.9038832,0.8840909,0.87581253,0.86473036,0.8576592,0.84429526,0.8339351,0.8296769,0.81513464,0.8153091,0.79252195,0.79309094,0.77443683,0.75949633,0.7439728,0.74559855,0.75608337,0.762449,0.74677825,0.75788575,0.7513695,0.8266949
16,0.82648957,0.8422314,0.85101235,0.8662691,0.89397264,0.9123831,0.9015961,0.90213585,0.90487397,0.9047977,0.8848841,0.87652457,0.8654026,0.8583256,0.8449433,0.8345804,0.830378,0.8158178,0.81601906,0.79328096,0.7939826,0.77544755,0.760612,0.74482626,0.7466066,0.75726926,0.7638254,0.74822164,0.7592501,0.7530998,0.8276354
17,0.82408065,0.83952373,0.8481599,0.8631876,0.89037234,0.908479,0.8975308,0.89808255,0.9009045,0.90082765,0.8810594,0.8727174,0.8616288,0.8544657,0.8411336,0.83079934,0.82646453,0.8120137,0.81201017,0.78941286,0.78983426,0.7712342,0.75631344,0.74164796,0.7431886,0.7535006,0.7597563,0.7443019,0.7556972,0.74883914,0.8239056
18,0.8229755,0.8382727,0.8468478,0.86178124,0.88873905,0.9067676,0.8959591,0.8966865,0.8997305,0.8998834,0.880461,0.87244695,0.86177146,0.8549508,0.8419777,0.83197874,0.8278913,0.8137337,0.81383294,0.7914923,0.7925645,0.7741532,0.7593671,0.74391305,0.7455045,0.75581527,0.76202834,0.74672985,0.7575263,0.7511438,0.8245642
