,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3491.144,3492.9226,3462.2012,3468.7104,3534.8025,3492.749,3487.6482,3439.3127,3485.2925,3492.441,3507.5325,3498.304,3485.903,3479.6277,3493.0833,3462.423,3552.7642,3513.047,3539.2585,3524.107,3441.8274,3502.0613,3487.4097,3452.4153,3425.8713,3530.6536,3475.1978,3440.6396,3456.964,3489.1519,3486.8489
2021-11-25,3455.743,3458.9238,3430.0278,3434.008,3499.1199,3458.0789,3453.562,3406.7896,3452.3528,3456.1306,3473.5825,3465.1821,3451.417,3444.1675,3460.177,3428.371,3519.6921,3477.8948,3505.346,3489.6826,3406.8123,3467.3733,3456.1833,3418.746,3392.4924,3496.7117,3440.707,3406.1062,3422.1277,3455.9062,3452.7803
2021-11-26,3451.5886,3455.2534,3426.1719,3430.2358,3494.8726,3454.3118,3449.9172,3403.2454,3448.7732,3451.8552,3469.8945,3461.5217,3447.4915,3439.8264,3456.444,3424.6228,3516.255,3473.9526,3501.5547,3486.0771,3402.947,3463.2341,3452.8052,3415.2747,3388.799,3492.9631,3436.9683,3402.2368,3417.9385,3452.3384,3448.9788
2021-11-27,3463.5322,3466.7708,3437.0042,3441.9875,3506.8918,3466.0488,3461.4727,3414.2556,3459.931,3464.0935,3481.389,3472.7317,3459.1423,3451.752,3467.5593,3436.1443,3527.4797,3485.8328,3513.021,3497.7595,3414.7917,3474.918,3463.384,3426.7107,3400.0913,3504.4458,3448.6492,3413.9062,3429.6658,3463.6028,3460.4988
2021-11-28,3453.492,3456.6694,3428.0085,3431.7146,3496.8718,3455.7883,3451.2903,3404.6436,3450.1746,3453.8293,3471.3394,3463.0095,3449.1895,3441.9685,3458.049,3426.1348,3517.4597,3475.609,3503.1353,3487.3665,3404.5168,3465.1912,3454.1145,3416.464,3390.306,3494.4863,3438.4248,3403.8599,3419.9456,3453.6956,3450.558
2021-11-29,3405.6404,3410.0864,3384.7856,3384.2146,3448.8809,3408.3784,3404.4705,3360.1807,3405.048,3404.8804,3424.903,3417.7654,3402.352,3394.5156,3413.372,3379.6567,3471.8506,3427.806,3456.948,3439.9233,3356.754,3418.5374,3411.3198,3369.9326,3344.7678,3448.1743,3391.2002,3356.9128,3373.173,3408.101,3404.1511
2021-11-30,3327.389,3334.3547,3314.2095,3306.948,3370.571,3331.3687,3328.301,3287.9255,3331.5603,3325.0198,3349.455,3344.0261,3325.9548,3316.9167,3340.6033,3304.078,3397.817,3350.0417,3381.7268,3362.8196,3279.0815,3342.3452,3341.6863,3294.348,3270.6523,3372.8262,3314.4106,3280.587,3296.7842,3334.006,3328.594
2021-12-01,3232.842,3243.2698,3229.189,3213.9697,3276.2742,3238.8855,3236.574,3201.1045,3242.9866,3228.8372,3258.815,3255.1128,3233.8342,3223.308,3253.0315,3213.2266,3308.8542,3256.5762,3291.1616,3270.0273,3185.7107,3250.5088,3257.8386,3203.4038,3181.4597,3282.1938,3222.0483,3188.924,3204.738,3244.932,3237.6545
2021-12-02,3129.4766,3143.8516,3136.6287,3112.4543,3173.628,3138.147,3136.2756,3106.4873,3146.0854,3124.054,3160.0479,3157.865,3133.1907,3121.306,3157.5747,3114.213,3211.7256,3154.8037,3192.328,3168.559,3083.9463,3150.4329,3166.205,3103.935,3084.1387,3183.3506,3121.2473,3089.1995,3104.5095,3147.7473,3138.4475
2021-12-03,3075.8518,3093.454,3088.4932,3060.9033,3120.2888,3087.0957,3085.52,3058.4453,3096.8098,3069.7998,3109.962,3108.214,3081.43,3067.8848,3108.6228,3063.85,3162.9912,3102.809,3141.8135,3117.4585,3032.1396,3098.4055,3119.684,3054.0352,3034.5095,3133.0056,3070.1284,3038.2815,3052.3074,3098.6228,3087.7603
