,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3426.2385,3438.9285,3499.513,3460.1165,3444.0337,3482.9075,3438.0928,3420.3489,3452.973,3498.8628,3476.4717,3483.4617,3432.4163,3444.7424,3482.0566,3433.6367,3456.6191,3473.9944,3441.2043,3468.771,3441.378,3487.4802,3435.9275,3499.1626,3442.2544,3445.315,3476.752,3447.7961,3487.0774,3486.106,3460.155
2021-11-25,3389.9724,3411.7114,3453.6777,3428.6978,3422.0913,3449.0034,3409.669,3407.4373,3415.976,3451.9695,3434.7075,3441.1562,3412.767,3415.3977,3446.5222,3413.6458,3425.3708,3436.814,3408.5212,3424.2793,3427.3245,3446.6052,3415.5889,3453.5076,3407.987,3400.7507,3425.6323,3415.2854,3440.7905,3452.8982,3426.192
2021-11-26,3383.9937,3418.703,3435.2883,3429.9595,3435.3154,3446.8406,3415.0698,3433.4043,3410.0361,3432.3247,3421.8572,3427.1248,3429.4702,3419.106,3442.793,3430.9224,3426.6638,3431.1074,3407.6365,3407.0537,3450.9023,3435.4036,3429.8594,3435.3552,3404.9536,3384.2566,3400.0903,3414.965,3421.5405,3451.4539,3423.7817
2021-11-27,3395.917,3429.5781,3448.5374,3441.37,3445.3577,3458.5627,3426.1104,3442.3667,3422.2288,3445.7405,3434.5894,3439.8489,3439.2783,3430.1902,3454.8315,3440.9487,3438.018,3443.406,3419.1362,3420.024,3459.8726,3448.0916,3439.5063,3448.5803,3416.6594,3397.3713,3414.023,3426.4995,3434.811,3463.0479,3435.4836
2021-11-28,3388.185,3406.9658,3454.6318,3425.239,3416.015,3446.3162,3405.2754,3398.4685,3414.1038,3453.1924,3434.417,3441.1638,3405.8845,3411.4163,3444.1401,3406.5596,3421.92,3434.8545,3405.5757,3425.0188,3418.9502,3445.9143,3409.359,3454.4097,3405.5225,3401.267,3428.1887,3412.1885,3441.9534,3450.0667,3423.572
2021-11-29,3343.1584,3348.249,3421.247,3372.2454,3352.1987,3396.7832,3348.0566,3321.434,3367.7847,3420.8354,3395.493,3403.947,3338.1914,3356.4114,3395.4011,3337.0767,3369.1304,3387.735,3355.2239,3391.2292,3345.2295,3404.8584,3345.8247,3420.7964,3357.2778,3365.7974,3401.8752,3360.8826,3409.6814,3400.0872,3374.4717
2021-11-30,3268.3093,3262.909,3354.1567,3291.0315,3264.113,3318.114,3263.683,3223.4126,3290.89,3354.2834,3324.3806,3334.5012,3246.9883,3274.0928,3316.649,3243.5771,3288.2595,3309.7915,3276.3237,3324.4487,3250.3042,3331.8403,3259.04,3353.5469,3279.8386,3297.0435,3339.8113,3280.985,3343.5706,3321.3088,3296.2407
2021-12-01,3177.4558,3167.9895,3264.5154,3197.3044,3169.9111,3225.2227,3168.833,3125.66,3197.572,3264.4524,3233.4968,3244.82,3151.3608,3180.5981,3222.659,3145.6462,3194.9578,3215.3914,3183.9385,3235.8452,3154.5725,3239.8445,3167.0056,3263.861,3187.7603,3206.655,3251.5017,3187.816,3254.4692,3228.723,3203.6611
2021-12-02,3079.285,3064.432,3168.5547,3095.4592,3066.6667,3124.5686,3065.4065,3017.6284,3096.589,3168.342,3135.7249,3148.446,3046.3364,3078.801,3120.9023,3038.0906,3093.5757,3113.2085,3083.7043,3140.858,3048.7993,3140.8264,3066.032,3167.8254,3087.964,3109.738,3157.485,3086.714,3159.0813,3128.3232,3103.3118
2021-12-03,3022.8594,3045.7554,3074.9426,3059.8176,3067.2327,3078.898,3041.862,3055.4175,3039.1743,3070.7769,3058.3035,3068.005,3056.8762,3050.6807,3070.037,3049.3916,3058.269,3055.9895,3042.148,3051.0776,3080.23,3068.1123,3070.6982,3074.864,3039.9617,3021.5425,3042.6406,3046.5437,3062.9504,3084.9658,3057.001
2021-12-04,3017.466,3034.6824,3074.7346,3051.2017,3053.6648,3071.765,3031.4424,3036.3184,3033.5305,3071.0654,3055.7212,3066.0034,3041.763,3041.0796,3063.4407,3033.8484,3049.6719,3050.161,3034.5212,3050.4854,3062.2588,3064.7563,3056.8887,3074.5593,3033.2385,3020.4954,3045.4812,3038.626,3063.1433,3077.5564,3049.9856
2021-12-05,2996.0967,3006.434,3059.2097,3025.8267,3022.8213,3048.1582,3003.8958,2998.8516,3011.422,3056.034,3037.3774,3048.5017,3009.0024,3014.6655,3040.2234,3000.2307,3024.3933,3027.662,3010.4531,3034.6921,3026.3289,3045.414,3026.1506,3058.9155,3010.1863,3003.926,3033.489,3014.1152,3048.1165,3053.694,3026.5432
