,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,5183.751,5290.516,5458.243,5510.504,5135.54,5597.7593,5463.2744,5380.5947,4929.2954,5222.5327,5087.1763,5119.753,5431.5195,5147.403,5526.417,5396.6084,5101.5923,5092.731,5332.6484,5239.6646,5099.881,5583.61,5085.7554,5427.5283,4957.7686,5267.4907,5489.187,5572.6587,4977.063,5461.0156,5285.649
2000-01-10,5011.27,5376.368,5482.4033,5529.617,5384.4336,5141.048,5084.1772,5324.2305,4945.7173,5585.333,4745.676,5072.3784,5143.3433,5143.064,5391.466,5565.997,5275.2705,5173.459,5448.261,4988.482,4384.816,5257.1016,5001.5845,5360.4785,5313.2036,5511.649,5409.938,5382.6274,4976.5234,5340.269,5225.006
2000-01-11,5522.904,5588.079,5614.068,5601.4165,5552.753,5617.1216,5552.9775,5569.2134,5565.704,5619.8105,5580.3667,5568.0283,5566.3843,5553.376,5647.3105,5618.449,5588.8394,5610.211,5558.7686,5533.2026,5509.7417,5634.2515,5477.5444,5613.813,5539.622,5571.2314,5581.6836,5583.4404,5565.4824,5611.14,5577.232
2000-01-12,5536.692,5638.481,5594.2407,5635.942,5619.55,5642.0034,5597.6895,5671.7134,5579.4316,5596.611,5576.116,5559.66,5643.1934,5594.106,5668.446,5697.4844,5623.3086,5625.2793,5587.09,5516.4297,5603.5293,5634.5884,5545.485,5594.589,5561.4565,5556.739,5542.074,5613.472,5543.0464,5637.967,5601.2134
2000-01-13,5768.347,5879.8477,5634.5684,5718.2246,5900.5957,5579.9814,5591.4214,5781.878,5736.5317,5926.397,5320.149,5675.7183,5758.3306,5408.8154,5795.992,5900.6855,6032.741,5306.324,5816.7607,5232.2285,5221.677,5590.8955,5512.27,5797.2783,5623.4023,5866.4854,5557.6753,5578.833,5162.808,5800.6626,5649.2505
2000-01-14,5926.007,5739.811,5737.333,5734.0244,5631.6294,5893.8833,5355.08,5899.0913,5671.893,5629.0093,5847.6914,5579.341,5992.9,5647.23,5968.018,5735.062,5886.844,5680.5693,5651.2974,5583.1235,5338.5786,5861.7183,5265.0347,5871.414,5628.164,5573.457,5682.0767,5745.433,5916.7866,5908.1235,5719.354
2000-01-15,5552.952,5614.163,5649.0596,5629.535,5575.971,5646.318,5578.548,5588.2896,5595.4604,5655.43,5612.7817,5600.787,5588.675,5579.7515,5677.5815,5641.18,5616.823,5640.164,5587.3486,5566.689,5528.053,5666.9937,5499.24,5648.7637,5568.4355,5605.7217,5619.202,5612.037,5599.864,5640.0264,5606.195
2000-01-16,5520.367,5588.4985,5608.6646,5600.518,5554.623,5615.4395,5553.0684,5573.999,5563.196,5614.105,5576.3237,5563.665,5569.045,5553.101,5645.249,5621.211,5587.9517,5607.7715,5557.392,5528.181,5514.0225,5630.484,5479.6704,5608.455,5537.7754,5566.2495,5574.638,5582.1787,5559.972,5609.6265,5575.515
2000-01-17,5504.4966,5576.613,5588.4185,5586.733,5545.122,5600.584,5541.1772,5568.5356,5547.477,5593.35,5558.2563,5545.21,5560.5474,5540.574,5629.618,5612.5806,5574.237,5592.009,5543.046,5508.908,5508.5454,5612.4683,5471.063,5588.263,5522.978,5546.5435,5552.029,5567.9077,5539.928,5595.0386,5560.7417
2000-01-18,5515.001,5604.177,5583.4214,5606.9385,5580.1865,5616.3022,5565.9556,5620.203,5557.921,5586.8145,5560.4043,5545.427,5600.2983,5563.5376,5643.6733,5653.458,5594.397,5603.118,5560.333,5505.1826,5555.943,5616.86,5506.4893,5583.551,5537.1855,5544.0425,5537.862,5586.0186,5533.6025,5611.649,5575.999
