,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3428.2295,3452.9956,3411.2341,3445.632,3456.5042,3394.5298,3471.502,3396.5476,3380.6272,3379.0437,3453.2522,3428.218,3411.7964,3397.2737,3474.1824,3404.3215,3398.0303,3418.927,3434.4185,3403.6182,3467.748,3400.0393,3337.998,3386.8152,3357.4321,3425.6272,3398.2878,3422.1465,3444.6443,3428.7715,3417.013
2021-11-25,3400.283,3430.6792,3395.3323,3424.037,3429.0347,3367.777,3447.8806,3379.7266,3362.3787,3380.485,3425.476,3399.8708,3383.9353,3373.3516,3444.9856,3384.7974,3388.196,3394.976,3411.0762,3370.394,3445.5225,3373.4128,3320.8115,3376.3618,3345.9438,3399.477,3391.113,3397.3184,3427.0662,3403.473,3395.839
2021-11-26,3407.0989,3449.2078,3420.927,3441.2837,3437.6619,3374.4768,3458.4653,3401.7856,3378.8406,3425.4783,3430.6616,3408.8953,3391.5288,3386.2065,3449.1042,3405.0903,3415.066,3403.6248,3420.8765,3379.8408,3460.2605,3384.204,3338.2996,3406.424,3366.259,3410.556,3426.2944,3410.9255,3447.619,3414.0493,3411.7002
2021-11-27,3418.2053,3460.2737,3430.8933,3451.8774,3448.9023,3385.1387,3468.6626,3411.486,3388.1104,3432.5193,3441.4336,3420.5159,3402.7354,3397.379,3460.2031,3415.4573,3423.0833,3413.6143,3430.8425,3393.2708,3470.6577,3395.5664,3347.3628,3415.1985,3373.7654,3421.7383,3435.0457,3422.061,3457.3367,3424.8433,3421.9392
2021-11-28,3395.5176,3422.9934,3386.1804,3416.802,3423.779,3363.1628,3442.4224,3371.5327,3355.705,3367.2832,3421.2114,3394.411,3378.9478,3367.2422,3440.8975,3376.862,3379.2615,3390.0598,3405.8782,3364.3303,3438.969,3367.5818,3313.9377,3366.4197,3338.7913,3393.6233,3380.2583,3390.845,3419.2444,3397.8525,3389.0667
2021-11-29,3338.2983,3347.063,3305.1704,3344.8093,3361.098,3305.8157,3381.6511,3296.7292,3290.77,3271.9016,3365.5159,3335.0493,3317.8901,3301.9019,3385.2415,3304.801,3305.1863,3333.7507,3347.2554,3294.8044,3371.4102,3301.2852,3248.473,3284.423,3276.3054,3328.6484,3295.5505,3321.5823,3346.4954,3334.4165,3321.4429
2021-11-30,3255.4783,3244.5796,3210.0876,3247.3735,3270.948,3222.3525,3296.1013,3198.9602,3203.6436,3161.2046,3283.36,3251.9956,3229.4153,3211.1355,3302.2485,3213.4204,3212.5105,3256.5376,3264.3857,3206.0996,3278.768,3212.167,3161.3735,3185.8096,3201.9177,3237.4795,3192.8147,3228.6826,3250.6313,3244.984,3231.215
2021-12-01,3162.9377,3136.9595,3115.4658,3144.8228,3171.4375,3129.422,3203.1885,3111.2957,3112.6018,3060.6758,3197.9602,3160.0242,3131.223,3113.5679,3208.2244,3119.0046,3121.5522,3171.9404,3174.0945,3117.5437,3180.2087,3126.406,3071.005,3092.606,3099.2446,3143.698,3095.031,3135.9595,3151.9873,3154.2395,3137.1443
2021-12-02,3041.4773,3018.7612,3010.9065,3031.923,3062.7456,3032.6255,3101.5347,3014.6377,3012.5608,2948.2483,3106.2788,3059.6252,3028.3433,3008.796,3105.8093,3015.1133,3020.8337,3091.8074,3075.3372,3020.9333,3072.113,3034.726,2971.614,2989.29,2989.8071,3041.8354,2986.3374,3034.3127,3043.3838,3054.8628,3034.2192
2021-12-03,3021.497,3029.7869,3047.2478,3022.8735,3047.0898,3013.8127,3094.6018,3039.4512,3024.2778,3042.7026,3085.1443,3043.5815,3011.8315,3008.4219,3078.7441,3033.0437,3064.2407,3077.145,3067.1265,3002.737,3075.4402,3022.028,2986.7373,3038.4216,3017.917,3031.6316,3050.4507,3035.896,3064.3477,3052.0007,3041.0078
2021-12-04,3007.791,3012.887,3028.7952,3008.5327,3034.9456,3003.6875,3082.2297,3023.55,3009.6604,3015.5642,3075.946,3032.5742,3001.3665,2995.8794,3068.9224,3017.104,3045.3591,3068.7283,3055.3008,2992.5078,3060.874,3011.605,2971.7556,3018.446,3000.1145,3019.6611,3027.7983,3022.4033,3047.3926,3039.3901,3026.6926
2021-12-05,2973.3254,2976.128,2992.5674,2974.3782,3005.7747,2977.5747,3052.905,2991.286,2978.2168,2968.8828,3051.5732,3004.8965,2974.8499,2967.2205,3042.1724,2983.645,3009.2898,3047.9893,3027.0156,2966.2576,3028.1963,2985.79,2940.0293,2980.8044,2964.0464,2990.7246,2986.463,2991.8938,3012.105,3010.1755,2995.2056
2021-12-06,2933.3535,2937.239,2958.1558,2935.2815,2972.5696,2945.8552,3019.465,2959.4785,2945.3035,2931.8577,3023.044,2971.8752,2943.0388,2935.5208,3008.4785,2949.461,2976.137,3017.52,2996.1536,2934.481,2992.6296,2951.9883,2907.3264,2946.795,2928.5466,2957.207,2950.678,2958.454,2976.367,2977.4827,2961.3916
2021-12-07,2925.1426,2937.2803,2966.2615,2929.2114,2964.965,2937.4485,3014.5183,2964.3064,2938.8447,2957.3826,3014.2766,2964.199,2935.3237,2932.7126,2997.3972,2951.9978,2986.4958,3008.7483,2991.0596,2926.2568,2990.6167,2941.9094,2909.1372,2958.8176,2934.061,2951.2603,2967.0981,2956.0923,2979.6926,2973.835,2960.212
2021-12-08,2917.383,3195.4019,2552.1414,2623.112,2673.0432,2905.8093,2919.4792,2541.2642,2656.9768,2489.5237,3091.476,2641.8528,3088.5872,2718.6487,2644.9734,2976.0212,3378.271,3198.45,2874.3015,3214.4011,3189.0356,2776.3938,3101.8206,2697.8477,3040.797,2707.7014,3650.2644,2956.2468,2826.1147,2856.2415,2903.4531
2021-12-09,3246.2788,2841.2373,3139.6802,2853.9277,2956.916,2663.689,3207.6082,3080.1523,2765.5564,2911.7412,2979.6116,3102.0627,2924.2563,2919.9758,2822.03,3116.6501,3364.5728,3128.658,3152.2256,2884.7354,2729.5393,3006.5068,2869.7097,3029.8462,3063.7544,2956.9587,2639.2424,3161.798,2972.7612,3081.237,2985.7642
