,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,5306.5327,5915.801,4737.1973,4884.4775,5749.2583,5510.128,5349.2817,4919.0513,5459.671,5466.8506,5619.7285,5583.0674,5314.4146,4894.787,5563.454,5350.512,5807.203,5546.9917,4522.5386,5627.3584,5384.747,5570.7627,5559.3286,5371.943,5213.624,5379.7534,5866.1304,5746.745,5504.4277,5707.22,5414.432
2000-01-10,5380.048,5790.1123,5934.499,5718.6235,5507.886,5328.683,5613.9243,5752.022,5422.2666,5535.371,5529.692,5749.652,5643.577,5315.95,5719.1616,5786.1943,5853.3853,5405.7554,5615.6973,5395.596,4973.861,5535.695,5391.695,5649.643,5275.0933,5616.4736,5252.904,5530.915,5646.9595,5511.6963,5546.1016
2000-01-11,5551.123,5793.029,5650.097,5758.156,5569.929,5608.197,5571.8374,5465.3804,5511.6934,5595.5967,5624.0557,5671.24,5664.1025,5577.642,5682.662,5618.088,5554.6787,5501.786,5476.5566,5565.9033,5725.5107,5626.924,5468.807,5577.6953,5391.03,5603.7856,5533.809,5617.6567,5645.421,5577.055,5592.6484
2000-01-12,5598.336,5879.214,5767.5527,5852.2314,5623.0464,5661.2515,5625.852,5574.623,5589.251,5755.364,5672.4326,5723.804,5717.398,5638.9033,5727.215,5718.6616,5666.4033,5564.0376,5527.726,5614.463,5803.4688,5686.861,5550.096,5692.025,5480.5234,5659.142,5661.68,5695.1914,5736.226,5636.2627,5669.975
2000-01-13,6396.9614,5908.7773,6411.499,6658.949,5759.4053,5997.413,6197.966,6307.0894,5466.775,6358.9316,5818.9414,5499.871,6247.4595,5926.25,6058.162,6120.095,5442.564,5230.007,5925.4106,5458.782,5757.4673,5835.4575,5443.7812,5669.2227,5572.28,5726.619,5307.482,5685.311,5761.7246,5623.6636,5852.477
2000-01-14,6005.3794,5929.845,5562.1514,5858.972,5734.0,5852.316,5406.0913,5320.585,5606.714,5892.9863,5789.0225,5701.188,5858.9097,5867.03,6088.4023,5600.3765,5722.249,5777.482,5473.182,5845.6562,6432.735,5863.311,5701.9326,5679.1353,5595.4473,5805.8833,5809.767,5923.4907,5817.211,5716.7847,5774.6084
2000-01-15,5577.265,5817.2495,5668.102,5779.7534,5596.7964,5635.226,5595.5093,5482.7983,5533.747,5609.097,5651.0537,5697.993,5691.4395,5601.5566,5710.933,5638.827,5573.0444,5525.415,5500.8184,5592.5234,5751.3843,5652.368,5490.3853,5595.8154,5409.986,5630.213,5550.147,5641.4995,5667.055,5602.681,5615.69
2000-01-16,5551.318,5796.105,5656.028,5762.1074,5570.443,5608.6875,5572.782,5470.8184,5514.4316,5604.936,5624.2314,5671.7295,5664.5737,5579.053,5682.4287,5622.55,5560.176,5503.298,5477.2393,5566.135,5727.835,5628.067,5471.855,5583.398,5394.9414,5604.5024,5540.643,5620.1865,5649.112,5578.128,5595.2573
2000-01-17,5539.2446,5787.007,5651.8906,5754.865,5558.2607,5596.4126,5562.4043,5466.6,5506.1025,5605.3594,5611.7437,5659.5825,5652.1416,5568.897,5669.0522,5616.0757,5555.5576,5493.348,5466.474,5553.8643,5717.422,5617.0034,5463.9707,5579.043,5388.9053,5592.673,5537.9355,5610.8706,5641.6646,5566.928,5586.377
2000-01-18,5565.283,5831.507,5710.599,5803.0425,5587.2275,5625.371,5591.39,5521.2896,5546.181,5683.7974,5638.4526,5688.2705,5681.2554,5601.3926,5694.09,5667.0337,5611.5615,5526.2827,5494.0913,5580.6123,5758.1855,5649.0615,5505.7783,5636.266,5434.312,5622.658,5601.4287,5651.169,5688.049,5598.659,5626.4766
2000-01-19,5645.859,5940.09,5834.013,5913.576,5673.699,5712.057,5673.3467,5637.1763,5644.315,5833.682,5721.3457,5774.1084,5768.635,5691.2217,5775.52,5781.424,5730.988,5614.756,5575.609,5663.0337,5862.8955,5738.658,5606.124,5757.375,5536.9263,5710.1997,5730.447,5752.2163,5796.095,5687.9697,5726.1123
2000-01-20,5715.1753,6005.4146,5884.2886,5972.845,5744.8022,5783.5757,5736.22,5685.67,5703.7607,5873.686,5792.629,5844.8887,5840.9478,5757.266,5849.1206,5838.217,5782.014,5677.7837,5641.526,5733.3506,5930.8477,5806.3022,5664.4717,5807.852,5588.7646,5780.236,5776.7544,5816.287,5854.889,5756.0615,5788.188
2000-01-21,5718.036,5982.013,5834.0527,5941.0894,5745.0513,5783.9863,5731.9336,5639.7676,5683.0176,5791.912,5795.878,5845.263,5841.5864,5748.327,5856.4614,5801.7095,5735.7427,5668.3794,5639.371,5736.0264,5915.2803,5800.54,5640.8506,5759.678,5556.888,5778.4937,5718.0728,5797.7437,5825.4824,5750.9717,5768.7876
2000-01-22,5696.922,5955.4824,5805.4443,5914.4844,5722.6685,5761.555,5711.034,5612.8223,5659.015,5758.5264,5774.2427,5823.056,5818.964,5725.246,5835.1353,5774.5356,5707.906,5646.13,5618.053,5714.5503,5889.907,5777.7617,5616.462,5731.5312,5532.454,5755.984,5688.5684,5772.843,5799.484,5728.2227,5744.2993
2000-01-23,5651.7026,5896.0933,5739.1377,5854.1787,5674.38,5713.1753,5665.5317,5550.4976,5605.322,5679.0483,5727.837,5775.155,5770.189,5674.6143,5789.776,5712.57,5643.6235,5597.251,5571.8423,5668.435,5832.322,5728.0723,5561.6787,5666.406,5476.8223,5707.237,5619.562,5717.4116,5740.6978,5678.658,5689.641
2000-01-24,5583.7544,5813.85,5653.735,5772.797,5602.4473,5640.995,5598.887,5469.873,5530.8555,5582.4263,5657.8394,5703.6914,5697.3545,5603.486,5719.3926,5629.9785,5560.1836,5526.939,5505.2104,5599.024,5750.881,5655.5825,5486.3584,5582.2188,5402.4385,5635.0815,5532.389,5639.7734,5660.954,5606.176,5613.4854
2000-01-25,5553.0864,5798.814,5659.387,5764.9688,5572.376,5610.622,5574.668,5473.957,5516.875,5609.2617,5626.0474,5673.6465,5666.522,5581.126,5684.1772,5625.5435,5563.3984,5505.39,5479.066,5567.9473,5730.372,5630.1416,5474.382,5586.681,5397.6167,5606.483,5544.228,5622.669,5651.8794,5580.187,5597.7173
2000-01-26,5519.1807,5754.994,5611.2075,5720.72,5536.187,5574.328,5540.674,5428.6304,5477.243,5552.1807,5591.1426,5637.705,5629.919,5544.8276,5649.4116,5580.196,5516.6167,5469.0215,5445.827,5533.2803,5687.6875,5593.0527,5434.026,5539.327,5356.8813,5569.9775,5494.2866,5581.6694,5608.699,5543.172,5557.402
2000-01-27,5486.422,5721.1353,5581.7227,5689.0977,5502.062,5540.029,5510.025,5400.4604,5446.4863,5524.278,5557.256,5603.751,5595.2563,5513.323,5614.419,5549.0386,5487.1953,5437.7544,5415.167,5499.7983,5652.6577,5559.9565,5403.4966,5509.967,5328.602,5536.159,5465.811,5548.9297,5577.3384,5509.933,5525.5845
2000-01-28,5476.75,5720.1646,5591.097,5691.49,5492.951,5530.791,5503.362,5408.6997,5445.429,5544.8647,5547.155,5594.616,5585.8438,5507.8564,5602.688,5553.2715,5495.2285,5432.6797,5407.6294,5490.002,5648.953,5553.149,5403.4834,5518.668,5332.0103,5527.785,5478.3438,5546.5923,5579.0854,5502.859,5523.783
