,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,5847.6753,5349.0054,5194.252,5183.8125,5707.278,5481.962,5614.9785,5415.913,5250.4985,5910.648,5687.6206,5471.083,5262.736,5413.3574,5990.9736,5773.678,5536.6426,5717.6953,5866.7993,5469.3506,5396.606,5547.706,5397.8975,5904.104,5330.559,5625.8657,5117.2554,5487.3657,5445.3647,5398.8203,5526.5825
2000-01-10,5384.164,5520.2524,5782.4443,5415.427,5392.93,5629.9395,5574.962,5583.087,5238.3247,5560.1206,5549.406,5388.394,5588.323,5622.99,5462.9536,5609.574,5261.468,5617.9976,5370.115,5864.628,5421.1294,5524.4814,5396.0356,5457.5273,5398.9663,5386.052,5205.0015,5827.792,5416.506,5247.723,5489.9575
2000-01-11,5626.0337,5621.9053,5604.1055,5615.8853,5593.852,5579.81,5555.3887,5653.2744,5568.2285,5637.5747,5603.9893,5544.3516,5494.6,5634.939,5637.2676,5585.83,5497.779,5701.73,5563.386,5634.1772,5648.612,5570.261,5634.3853,5586.0215,5645.013,5553.273,5572.659,5611.108,5569.9644,5620.3765,5598.859
2000-01-12,5671.497,5656.901,5623.342,5664.7705,5646.07,5618.353,5597.59,5731.9214,5617.018,5657.169,5647.06,5582.5986,5558.2847,5672.7065,5654.31,5684.687,5539.5083,5742.4727,5608.527,5663.0234,5672.0537,5613.4263,5669.9844,5633.3057,5678.0884,5600.5337,5645.9873,5664.1763,5626.765,5652.9224,5643.1685
2000-01-13,5485.797,5966.7617,6079.5645,6124.651,5565.7114,5753.394,5572.953,5989.899,5951.257,5429.3853,5600.401,5691.818,5811.806,5932.8906,5348.8667,5510.9287,5536.9434,5764.365,5340.955,5870.1216,5966.6406,5673.412,5945.293,5350.394,6032.214,5562.4116,6118.248,5816.2656,5780.295,5915.4097,5749.635
2000-01-14,5949.1577,5795.4946,5491.4536,5892.2256,5877.276,5605.5845,5613.9688,5819.6787,5957.322,5777.1704,5737.605,5770.7993,5489.1753,5723.187,5873.3438,5675.2446,5810.967,5862.8696,5836.876,5473.464,5937.788,5695.8154,5943.3213,5796.3345,5962.442,5801.446,6030.6704,5475.8765,5808.18,6061.516,5784.8755
2000-01-15,5653.1123,5649.8267,5634.6367,5643.046,5619.918,5606.9688,5581.9375,5676.1772,5594.02,5667.7783,5630.6997,5571.417,5517.3833,5663.105,5668.3735,5605.3306,5524.2437,5729.9917,5589.871,5663.5835,5678.2896,5597.593,5662.9185,5612.7144,5674.1553,5579.319,5595.7246,5636.8096,5595.2065,5649.0923,5625.7744
2000-01-16,5626.001,5621.06,5601.883,5616.0757,5594.398,5579.296,5555.1934,5655.9897,5568.5713,5635.4146,5603.8354,5543.828,5496.308,5634.255,5634.829,5590.3174,5497.562,5701.239,5563.4,5632.741,5646.776,5570.0425,5633.511,5586.1577,5643.8955,5553.4824,5574.992,5611.754,5570.918,5619.273,5598.7666
2000-01-17,5613.3223,5607.402,5586.0127,5603.518,5582.6094,5566.233,5542.646,5647.2437,5556.766,5619.742,5591.241,5530.8022,5486.8926,5620.5996,5618.532,5584.443,5485.0376,5687.6772,5551.034,5617.963,5631.5825,5557.1123,5619.548,5573.781,5629.4683,5541.4604,5565.8955,5600.209,5559.811,5605.0566,5586.1216
2000-01-18,5638.643,5627.8066,5599.19,5630.4927,5611.0425,5588.2427,5566.332,5687.9536,5583.5176,5633.0483,5615.366,5552.6577,5520.405,5642.367,5630.73,5634.413,5508.4873,5710.8853,5576.123,5635.6084,5646.668,5581.3633,5640.3213,5599.926,5649.1094,5567.5103,5604.0737,5629.003,5590.337,5624.388,5610.8677
2000-01-19,5719.3467,5701.5225,5664.5728,5714.074,5695.49,5663.54,5643.5645,5788.3613,5664.771,5698.182,5693.557,5627.567,5608.6475,5718.694,5695.3096,5745.414,5585.199,5789.7446,5655.596,5706.833,5714.014,5660.6396,5715.5146,5681.4536,5723.2944,5647.966,5700.4917,5713.531,5677.093,5697.4434,5690.381
2000-01-20,5790.738,5774.756,5744.0454,5785.783,5764.4956,5734.92,5713.483,5850.048,5732.9453,5776.8174,5763.922,5698.697,5669.5415,5792.654,5776.204,5798.9746,5654.886,5864.043,5725.463,5783.7114,5791.4126,5732.6123,5790.3555,5751.902,5799.6304,5716.7583,5762.4214,5781.6206,5744.107,5772.6533,5761.321
2000-01-21,5795.8413,5787.3184,5769.504,5788.8633,5764.217,5744.3853,5719.939,5829.6436,5734.4453,5801.6475,5770.041,5708.2324,5658.1978,5803.8335,5803.6846,5762.015,5661.5415,5873.507,5730.0557,5801.8833,5813.2383,5739.444,5803.317,5755.4067,5814.849,5719.4873,5745.492,5780.3774,5740.014,5787.701,5766.9365
