,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,5330.8413,5178.073,5144.1514,5161.204,5415.6167,5333.4487,5192.798,5426.4404,5587.375,5583.91,5465.716,5627.3823,5577.2734,5523.492,5419.3394,5363.332,5411.0996,5694.9565,5378.688,5273.818,5851.2974,5306.189,5578.815,5483.268,5596.7495,5658.5527,5530.3135,5512.207,5672.535,5366.695,5454.852
2000-01-10,5635.1597,5564.0547,5689.9653,5691.702,5460.2954,5461.4717,5693.891,5475.7275,5581.765,5662.5815,5682.8306,5791.4683,5168.9507,5063.536,5129.5947,5460.17,5592.8594,5554.414,5451.7666,5785.377,5597.5405,5635.5327,5551.933,5699.656,5596.897,5491.607,5428.32,5508.152,5461.064,5548.2515,5537.218
2000-01-11,5708.3726,5681.4243,5622.3467,5565.992,5600.614,5636.641,5517.409,5601.37,5585.324,5701.84,5595.2183,5597.074,5633.105,5563.2183,5642.931,5565.528,5584.2134,5638.44,5518.882,5636.394,5620.24,5648.158,5637.7227,5611.136,5669.083,5552.0327,5610.3105,5528.788,5613.593,5596.1216,5609.4507
2000-01-12,5726.631,5724.879,5684.4077,5614.091,5652.1655,5660.8,5581.097,5612.734,5643.5757,5750.3896,5660.1074,5616.4473,5694.7144,5611.3916,5686.9404,5631.4893,5647.8276,5709.237,5574.6807,5682.884,5661.416,5714.743,5673.612,5669.623,5732.119,5579.094,5659.8423,5590.6753,5665.8066,5656.2666,5658.9897
2000-01-13,6152.609,6265.9927,6191.5566,6049.7363,5870.192,5993.83,5930.89,5837.47,5673.267,5906.165,5813.348,5631.1567,5778.822,5629.795,5938.09,5857.0693,5849.759,5678.015,5745.6777,6079.386,5470.0405,6082.6763,5774.151,5829.374,5835.4585,5514.624,5774.8545,5637.3496,5638.8696,5917.491,5844.924
2000-01-14,5846.915,5878.223,5644.5537,5520.6274,5823.535,5863.099,5432.126,5786.4604,5678.621,5826.4277,5597.0957,5464.4116,6184.4214,6147.1357,6216.6445,5761.196,5666.5464,5819.004,5671.8457,5567.595,5722.7334,5753.7163,5799.776,5613.27,5833.485,5679.7217,5871.433,5640.6836,5850.376,5735.135,5763.227
2000-01-15,5739.815,5709.0015,5647.081,5591.451,5626.363,5667.0283,5541.003,5632.417,5610.225,5729.0127,5619.7163,5627.1235,5657.6973,5589.358,5671.0645,5590.067,5608.7437,5662.614,5543.4463,5663.5293,5648.1074,5672.4346,5666.1807,5636.502,5694.572,5580.9097,5636.534,5553.2266,5639.651,5621.4106,5635.876
2000-01-16,5705.9785,5681.197,5623.718,5566.327,5601.1514,5634.772,5519.023,5598.5513,5586.416,5702.0063,5596.811,5594.918,5634.4624,5563.48,5642.677,5567.1895,5585.714,5640.472,5519.845,5636.425,5619.823,5649.8916,5636.8765,5612.19,5670.434,5550.536,5610.6553,5530.1816,5614.14,5597.298,5609.7725
2000-01-17,5689.555,5668.1445,5613.1475,5554.669,5589.5063,5619.2246,5509.158,5582.006,5575.566,5689.427,5586.5073,5579.3213,5623.9473,5551.454,5629.3447,5556.922,5575.3325,5630.6416,5509.0596,5623.7656,5606.5,5639.7954,5622.965,5601.0957,5659.493,5535.9595,5598.647,5519.765,5602.357,5586.3267,5597.654
2000-01-18,5702.3823,5692.565,5646.1333,5581.047,5617.5776,5634.7466,5542.7803,5591.4707,5606.747,5716.2437,5620.8203,5592.5024,5656.6997,5577.9575,5654.107,5591.7573,5609.0405,5667.75,5539.0186,5649.589,5629.8657,5674.8955,5643.8696,5632.449,5693.0474,5552.681,5625.8115,5552.6304,5630.789,5618.4673,5624.848
2000-01-19,5768.4746,5772.481,5736.267,5661.2036,5700.972,5703.819,5632.3506,5651.412,5694.0977,5799.5625,5712.838,5657.191,5746.238,5659.2646,5735.361,5684.669,5700.071,5763.94,5623.8667,5731.196,5708.4243,5767.8926,5719.17,5720.753,5785.1934,5621.609,5708.3677,5642.1426,5715.2065,5707.9673,5707.7334
2000-01-20,5850.258,5845.092,5802.1333,5728.4883,5769.1597,5783.0645,5695.322,5731.976,5760.2573,5871.2744,5778.199,5735.415,5811.733,5728.287,5809.3936,5750.156,5765.4404,5828.622,5689.094,5802.7593,5781.7085,5832.712,5793.7866,5788.118,5853.0234,5697.039,5777.694,5707.2456,5784.1953,5775.181,5777.5605
2000-01-21,5877.406,5852.0327,5794.1685,5729.986,5768.914,5805.3335,5684.949,5762.861,5754.8516,5874.588,5768.1846,5760.2144,5803.8804,5730.6064,5816.673,5739.6016,5756.2827,5814.615,5684.7734,5807.3135,5790.419,5821.408,5806.45,5783.125,5845.3633,5715.6436,5779.2495,5699.0244,5783.9175,5769.0806,5779.3643
2000-01-22,5858.5615,5830.934,5771.403,5709.1816,5747.3735,5786.032,5662.49,5745.3574,5732.6406,5852.852,5745.0654,5741.879,5781.258,5709.4517,5795.2153,5716.2803,5733.3667,5790.681,5663.1357,5785.933,5769.554,5798.123,5786.179,5760.6416,5822.065,5696.6265,5757.816,5676.4346,5762.119,5746.3613,5757.834
