,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3426.2627,3424.6367,3429.2368,3407.4084,3419.5007,3434.668,3395.2246,3420.6157,3428.371,3421.6025,3406.2979,3398.5413,3403.57,3425.5237,3414.1091,3402.1143,3418.8357,3426.952,3412.3374,3424.6372,3418.2463,3427.1018,3413.1172,3408.652,3413.5566,3393.9944,3407.9697,3424.2634,3423.878,3407.9639,3415.973
2021-11-25,3439.2974,3437.2126,3443.9077,3421.4978,3433.9888,3447.9497,3410.1902,3434.662,3441.806,3434.2717,3421.2192,3411.74,3418.5603,3439.0122,3428.5144,3417.063,3433.344,3440.7097,3425.0464,3438.0115,3432.6792,3439.8909,3427.9858,3422.4644,3425.9883,3409.332,3422.0864,3438.483,3437.3613,3421.394,3429.8552
2021-11-26,3449.1003,3446.0562,3455.0845,3432.456,3445.0547,3458.1162,3421.3586,3445.3894,3451.1274,3443.669,3432.3916,3419.9321,3430.3965,3449.0225,3438.7246,3428.9685,3444.2605,3450.3923,3434.8127,3446.936,3442.968,3448.9998,3439.067,3433.183,3435.0835,3421.46,3432.7588,3449.2966,3447.6726,3431.5635,3440.1768
2021-11-27,3416.508,3411.6282,3424.3567,3405.584,3414.9502,3425.4084,3394.9336,3415.2332,3417.2822,3404.5112,3406.2905,3384.677,3403.6523,3415.435,3410.14,3403.8179,3416.2905,3419.7756,3401.5605,3410.9675,3415.2783,3413.9377,3415.0334,3407.341,3398.1484,3402.6814,3400.5425,3418.0693,3414.35,3401.2656,3409.655
2021-11-28,3346.8748,3341.4722,3358.866,3345.348,3347.3472,3356.283,3334.2131,3351.0996,3346.2327,3328.1921,3344.3965,3309.8164,3342.8677,3346.6836,3345.8057,3344.5806,3352.8176,3353.163,3334.5325,3337.2656,3352.4133,3342.0803,3355.9563,3348.9563,3325.8647,3351.1548,3332.771,3350.7,3345.3428,3336.3247,3343.647
2021-11-29,3254.013,3242.067,3272.3147,3264.2144,3260.0117,3263.1184,3247.9954,3266.03,3244.5564,3226.7346,3256.9253,3194.5122,3260.4858,3254.1978,3253.3242,3264.162,3264.2427,3258.416,3245.0063,3235.0007,3262.8333,3241.5986,3268.3757,3268.561,3231.1575,3277.2317,3244.3013,3259.5894,3252.3252,3247.6267,3252.6975
2021-11-30,3158.0842,3152.8113,3170.3625,3169.2034,3155.722,3164.5513,3149.5898,3168.7207,3144.2441,3142.2192,3154.7283,3114.0188,3164.7751,3149.223,3154.637,3172.9563,3167.5505,3152.0647,3154.0488,3127.3123,3157.3352,3143.9158,3172.3472,3176.91,3129.394,3187.7163,3137.442,3163.419,3157.921,3153.643,3155.5625
2021-12-01,3052.1035,3059.6577,3057.781,3051.6067,3050.0793,3061.934,3036.0593,3060.1106,3056.9175,3047.9434,3031.8013,3031.024,3040.5466,3049.483,3046.6252,3042.0745,3052.8372,3051.336,3049.2441,3049.376,3051.904,3052.5403,3046.3743,3051.5688,3046.0132,3047.7883,3043.5757,3055.3289,3053.105,3045.2043,3049.0647
2021-12-02,3053.0151,3059.6152,3059.6072,3054.3308,3051.0146,3062.938,3037.1501,3061.9043,3057.0017,3047.0642,3034.3164,3029.0054,3043.2632,3051.19,3047.8835,3044.9978,3055.1333,3052.523,3050.8098,3048.7327,3053.518,3052.6292,3049.0571,3054.6113,3046.2717,3051.9006,3044.5881,3056.406,3054.2605,3047.144,3050.3958
2021-12-03,3037.709,3042.7712,3046.2834,3042.938,3037.6213,3047.769,3024.9912,3048.7563,3039.6553,3028.8333,3022.0754,3010.143,3031.5396,3036.5544,3033.66,3034.1213,3042.418,3037.969,3036.7654,3030.799,3040.0867,3036.0496,3037.2827,3043.706,3030.174,3042.9553,3030.0552,3041.705,3039.605,3034.0305,3036.3005
2021-12-04,3005.1335,3011.6003,3013.8967,3013.6235,3004.1772,3014.1724,2994.9084,3016.9302,3004.6394,3000.203,2990.2407,2983.9531,3001.5144,3002.1174,3002.7432,3005.532,3010.2065,3003.1829,3003.544,2995.31,3006.9973,2999.736,3007.5361,3014.6226,2994.9968,3016.0403,2996.2449,3010.3188,3005.2654,3001.855,3004.3748
