,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,5642.828,5648.708,5652.583,5670.4136,5642.051,5644.4746,5648.741,5655.411,5645.8706,5640.972,5631.3037,5641.204,5643.2754,5648.484,5636.1304,5631.6147,5638.434,5636.1284,5623.837,5644.382,5630.5127,5653.5234,5665.8823,5614.392,5606.829,5660.129,5642.937,5669.4644,5645.342,5629.627,5642.849
2000-01-10,5614.9136,5621.0215,5614.7236,5635.9204,5610.8374,5612.329,5627.636,5618.1475,5620.461,5622.7876,5597.395,5621.6216,5608.203,5609.2695,5601.877,5590.186,5609.673,5614.35,5602.785,5616.744,5602.8438,5625.88,5628.429,5576.967,5579.545,5601.152,5622.361,5635.302,5624.3237,5609.3345,5612.5674
2000-01-11,5682.582,5688.854,5686.098,5707.6997,5680.8677,5682.1436,5695.4326,5690.4116,5688.8438,5689.5444,5668.817,5686.5444,5677.9946,5681.1895,5671.9375,5664.117,5679.6504,5681.264,5669.5757,5684.5757,5671.7744,5693.854,5704.23,5647.6,5644.923,5683.6494,5690.683,5705.492,5690.2188,5677.814,5682.2793
2000-01-12,5710.295,5714.218,5716.794,5740.158,5711.4277,5711.9736,5723.3506,5722.6865,5714.5586,5711.586,5702.7646,5707.4927,5709.171,5711.659,5702.592,5699.295,5709.981,5707.351,5694.8726,5710.4136,5701.3257,5719.0967,5737.164,5680.3833,5668.6675,5727.6885,5716.678,5734.989,5715.836,5704.2524,5711.2905
2000-01-13,5676.817,5676.6636,5685.428,5715.2295,5680.4077,5680.5103,5691.6104,5696.2764,5677.95,5673.536,5678.061,5664.2188,5680.6924,5678.7705,5672.4033,5678.4287,5681.5103,5672.114,5661.4624,5670.293,5671.0737,5679.663,5712.9185,5656.68,5629.283,5715.201,5684.8604,5702.246,5681.4927,5673.357,5679.972
2000-01-14,5631.0186,5630.7515,5645.879,5674.812,5634.2056,5635.9443,5644.2065,5657.5137,5630.1074,5625.0454,5634.465,5616.437,5638.7666,5638.262,5628.3057,5640.1616,5639.781,5626.1357,5616.813,5623.464,5625.806,5634.8286,5673.7876,5619.749,5585.2246,5683.5293,5640.582,5657.993,5632.6284,5628.3496,5636.4854
2000-01-15,5609.7524,5620.5264,5626.4683,5648.96,5610.3257,5614.871,5613.4946,5632.811,5615.058,5611.4814,5604.036,5607.997,5614.1567,5620.548,5605.5615,5609.104,5610.532,5605.9785,5594.9087,5609.7515,5601.648,5620.051,5645.047,5591.4556,5575.8813,5644.623,5618.2095,5638.298,5612.126,5602.99,5614.555
2000-01-16,5606.5596,5614.8877,5613.325,5626.1006,5602.6523,5605.846,5613.066,5612.326,5613.21,5610.4326,5586.0635,5614.177,5602.5312,5608.7275,5595.6353,5580.879,5598.5596,5604.0693,5591.506,5613.537,5593.122,5622.316,5622.5894,5569.7656,5577.8433,5597.644,5610.0005,5630.2974,5612.911,5593.8325,5604.8135
2000-01-17,5645.355,5652.922,5642.43,5660.7456,5639.8623,5642.916,5658.5977,5643.8916,5652.139,5655.322,5624.42,5655.246,5636.3247,5636.851,5630.4814,5612.4795,5635.9644,5645.5,5633.0273,5650.2085,5631.8877,5658.3027,5652.598,5600.684,5613.2354,5617.632,5652.0176,5665.136,5657.796,5636.956,5641.3643
2000-01-18,5737.157,5745.66,5738.631,5756.7607,5734.4385,5737.24,5752.7593,5741.7075,5746.7656,5749.023,5720.7505,5745.548,5730.196,5733.1465,5724.266,5711.9736,5732.094,5737.6567,5726.4854,5741.9966,5726.213,5751.815,5754.7593,5696.005,5702.173,5725.1743,5748.067,5759.723,5748.4795,5731.9565,5736.2876
