,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4588.493,4677.309,4599.5986,4660.313,4707.358,4662.806,4590.166,4677.6064,4693.054,4729.0176,4656.466,4598.674,4581.0103,4624.074,4663.691,4627.8057,4702.429,4706.9287,4685.214,4660.3213,4641.5312,4561.3994,4754.531,4671.528,4584.0713,4597.322,4663.6943,4653.301,4630.69,4583.6577,4647.8022
798,4584.748,4686.635,4590.402,4658.388,4688.544,4654.4336,4590.208,4686.27,4687.3745,4728.8945,4660.742,4604.127,4587.892,4633.3003,4664.3267,4626.6387,4698.1035,4708.549,4683.441,4669.3994,4646.5693,4561.209,4743.2188,4666.302,4587.578,4589.919,4671.1997,4655.3896,4621.9185,4590.4385,4647.539
799,4592.045,4683.8784,4601.1143,4664.7085,4707.5874,4665.2236,4594.7134,4683.1855,4696.3555,4732.54,4662.2397,4603.495,4586.173,4630.7334,4668.398,4632.0503,4706.3125,4712.231,4688.013,4665.9136,4647.097,4565.474,4755.34,4674.769,4589.447,4600.136,4670.1094,4658.6504,4633.0796,4589.885,4652.0303
800,4561.1475,4652.6333,4575.8203,4631.921,4675.994,4634.9126,4562.867,4657.8364,4664.132,4707.6196,4628.53,4578.346,4560.9023,4598.6973,4636.063,4600.4,4672.43,4677.5977,4665.5435,4641.131,4616.062,4536.4297,4731.634,4643.6934,4557.309,4569.002,4637.046,4624.4336,4602.3257,4556.987,4621.982
801,4524.5225,4617.3765,4545.0054,4593.429,4636.381,4598.3457,4525.648,4629.382,4625.695,4678.4727,4589.549,4549.69,4532.298,4562.5015,4597.979,4563.246,4632.2607,4637.3354,4639.0386,4613.394,4580.4697,4502.3984,4702.388,4606.659,4520.2188,4531.4277,4599.4175,4584.609,4565.187,4519.4526,4586.7925
802,4531.592,4637.3896,4544.7773,4602.8374,4629.0117,4600.6714,4536.7627,4646.697,4631.3276,4687.018,4605.4785,4563.7847,4547.8374,4582.6934,4610.079,4573.1074,4639.9634,4650.968,4645.112,4630.9185,4596.205,4512.3267,4699.532,4612.181,4534.8345,4535.252,4618.2783,4598.6133,4567.275,4537.544,4597.0024
803,4524.495,4612.937,4547.046,4592.472,4641.3696,4599.9,4524.307,4625.411,4626.263,4677.4756,4586.7188,4546.807,4528.929,4558.063,4596.364,4562.3203,4632.2476,4635.347,4638.6987,4609.307,4577.4814,4501.222,4705.205,4607.123,4517.6997,4532.1113,4595.515,4582.483,4566.8564,4515.8003,4585.599
804,4481.5786,4578.848,4507.559,4548.889,4586.691,4554.4624,4482.8438,4598.536,4579.608,4644.919,4545.4937,4517.9126,4500.8906,4522.8726,4553.9297,4520.255,4585.149,4591.374,4607.9785,4583.4634,4540.6235,4462.8247,4666.2856,4562.7114,4478.317,4486.918,4557.766,4538.9927,4520.5576,4477.7515,4546.2
805,4470.084,4570.0674,4496.8193,4537.29,4571.648,4542.167,4471.8423,4591.651,4567.0513,4636.277,4534.6733,4510.4004,4493.6455,4513.7974,4542.657,4509.059,4572.533,4579.7515,4599.696,4576.8633,4530.987,4452.633,4655.636,4550.7485,4467.966,4474.7573,4547.9624,4527.5093,4508.023,4467.847,4535.735
806,4480.8403,4584.794,4503.825,4549.4136,4578.321,4551.3403,4484.074,4603.9204,4577.893,4645.8027,4548.9307,4521.651,4505.363,4528.7983,4555.522,4520.861,4584.314,4593.5166,4607.887,4589.0376,4544.374,4463.8955,4661.412,4561.118,4481.327,4484.6484,4562.852,4541.3467,4517.249,4482.461,4547.226
