,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4676.0884,4720.603,4652.9126,4606.2627,4623.304,4679.8687,4686.186,4694.3496,4631.929,4570.6484,4738.604,4671.8105,4676.2427,4609.9087,4583.91,4597.82,4673.2124,4629.2964,4739.6543,4714.9624,4625.177,4727.8833,4617.363,4647.9346,4707.5376,4588.0327,4694.389,4670.267,4613.3877,4604.6675,4655.807
798,4673.5327,4715.2627,4649.613,4608.6514,4621.7437,4681.9424,4684.842,4694.702,4632.422,4575.3506,4737.816,4671.5376,4675.3765,4607.888,4581.559,4581.9995,4663.047,4628.694,4734.353,4714.331,4620.885,4723.5396,4622.3623,4646.263,4710.4644,4605.643,4693.545,4680.6553,4616.468,4606.9707,4655.382
799,4680.1455,4722.8394,4656.6543,4611.4204,4627.274,4685.081,4690.467,4697.683,4636.4585,4575.636,4742.949,4676.5454,4680.7334,4613.4194,4587.7144,4598.426,4675.217,4633.4756,4741.9795,4719.7715,4628.814,4731.637,4623.3945,4651.193,4712.998,4596.8457,4698.959,4676.515,4618.8545,4609.028,4660.0713
800,4647.5967,4698.6353,4625.1353,4579.03,4596.924,4651.8037,4658.136,4674.8496,4605.18,4548.1196,4711.1963,4642.8765,4647.8364,4585.321,4557.265,4568.7407,4644.988,4603.183,4717.211,4685.014,4596.446,4698.372,4589.0264,4625.6567,4679.339,4563.1133,4665.4775,4649.325,4585.395,4582.0947,4629.443
801,4609.2036,4669.6196,4587.8447,4541.4927,4561.2363,4613.187,4619.9185,4648.207,4568.4937,4516.0254,4673.9736,4603.4097,4608.879,4551.9263,4521.354,4531.0996,4608.277,4567.8003,4687.5386,4644.302,4558.0283,4658.899,4549.531,4595.58,4640.392,4526.078,4625.884,4618.899,4546.702,4550.9263,4593.49
802,4618.014,4672.7964,4595.567,4555.099,4570.2583,4626.793,4629.6587,4656.4927,4579.9224,4530.373,4684.2417,4614.9243,4619.6416,4559.599,4529.6357,4526.9414,4608.8394,4577.7017,4690.9497,4655.769,4565.0723,4666.2036,4566.387,4602.8203,4654.968,4555.123,4637.003,4638.3755,4561.359,4562.552,4603.769
803,4608.7075,4670.4077,4587.471,4539.34,4560.497,4611.103,4619.1157,4647.1367,4566.9375,4513.2886,4672.916,4601.965,4607.767,4551.491,4520.8765,4534.766,4610.4287,4566.7554,4688.291,4643.066,4558.124,4658.974,4546.417,4595.079,4638.005,4518.728,4624.6934,4614.3115,4544.2715,4549.0293,4592.3325
804,4564.278,4635.0806,4544.17,4498.8335,4519.8457,4569.2183,4575.3276,4617.636,4525.8906,4479.921,4630.9844,4557.5483,4563.87,4512.867,4479.5347,4484.243,4563.8423,4527.081,4652.254,4597.333,4512.904,4612.5483,4505.188,4560.6196,4596.2285,4487.316,4580.1997,4586.0337,4502.864,4515.5225,4551.972
805,4552.381,4625.554,4532.604,4488.153,4509.0137,4558.162,4563.661,4609.818,4514.9673,4471.1987,4619.8354,4545.7637,4552.198,4502.548,4468.497,4470.137,4551.1924,4516.5347,4642.541,4585.179,4500.773,4600.105,4494.3896,4551.4287,4585.2256,4479.48,4568.3745,4578.8125,4491.9634,4506.6367,4541.238
806,4564.191,4633.274,4543.744,4501.283,4520.201,4571.5396,4575.7207,4618.683,4527.2715,4483.362,4631.788,4558.879,4564.718,4512.796,4479.4907,4477.6387,4559.815,4527.9062,4650.489,4598.3306,4511.942,4611.594,4509.0444,4560.737,4599.0005,4497.6045,4581.1533,4592.267,4505.7065,4517.7725,4552.931
