,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.31513423,0.31482133,0.31282032,0.30743226,0.30049676,0.29764947,0.30024946,0.29588687,0.296987,0.29663864,0.2935521,0.29494435,0.2942971,0.29372513,0.2936985,0.29145557,0.2921974,0.29343927,0.28974974,0.28979743,0.29205316,0.2916879,0.28883925,0.2903623,0.28824055,0.28893006,0.29325044,0.29009545,0.290137,0.29127645,0.29566154
1,0.306288,0.3028581,0.3003395,0.29501116,0.28981408,0.2886967,0.29361895,0.29103577,0.29434836,0.29582497,0.29308137,0.29553077,0.29553154,0.29550397,0.2965903,0.2950157,0.2964915,0.29796457,0.29444718,0.2947218,0.29750142,0.2975841,0.29531443,0.29663026,0.2947278,0.29513952,0.2990511,0.29599765,0.29612833,0.29658645,0.29591253
2,0.2971058,0.29270115,0.2890354,0.28910977,0.2871716,0.28705913,0.29187033,0.2888532,0.29258463,0.293975,0.2919273,0.2947571,0.29503366,0.29555357,0.2960085,0.29466146,0.296291,0.2984053,0.29476905,0.2955826,0.2976562,0.29766393,0.29492632,0.2970121,0.29498765,0.2958207,0.29938233,0.29628372,0.29613474,0.29735863,0.29432276
3,0.2873268,0.29118913,0.28791535,0.2880002,0.28534317,0.28215954,0.2852135,0.28042856,0.2822839,0.28190565,0.27817762,0.27929598,0.27879205,0.27860218,0.2781399,0.27584356,0.27638587,0.27838004,0.27478102,0.2746785,0.27738357,0.27576566,0.27350116,0.27614152,0.27433038,0.27510664,0.27767783,0.27497587,0.27426103,0.27565455,0.27932134
4,0.28732473,0.29063797,0.28779748,0.2873926,0.28478995,0.28258875,0.28590012,0.2818199,0.2859959,0.28583476,0.283127,0.28565118,0.2862896,0.28798547,0.28956753,0.28872383,0.29064518,0.29279286,0.28962314,0.29073337,0.2935338,0.29386607,0.2923419,0.29495016,0.29217023,0.29291922,0.29632878,0.2935912,0.29371285,0.29448986,0.2894375
5,0.28595084,0.288247,0.2857148,0.2845725,0.28138945,0.27958557,0.2839926,0.2802195,0.28293496,0.28343695,0.2804222,0.28231475,0.28173253,0.28174865,0.28109908,0.27940413,0.27926877,0.28039902,0.27701738,0.2764644,0.27891266,0.27769732,0.27517942,0.27761155,0.27591383,0.276659,0.27919942,0.2763257,0.2757832,0.27735257,0.2802183
6,0.28283763,0.2848395,0.28123125,0.28127292,0.27776355,0.27446842,0.27768713,0.2724288,0.27425742,0.27375972,0.27011526,0.27178675,0.27149773,0.2719449,0.27261007,0.27069795,0.27155626,0.2733671,0.2691245,0.2692795,0.27154508,0.27126116,0.26884633,0.27089244,0.2684576,0.26922143,0.27252802,0.2697121,0.2691784,0.27057517,0.27315813
7,0.27950853,0.28354818,0.28153434,0.2794969,0.2747929,0.2721793,0.27587155,0.27161908,0.27455238,0.2746763,0.27179834,0.27470565,0.27480298,0.27584374,0.27713186,0.27606082,0.27766237,0.27955467,0.2760486,0.2768433,0.2795507,0.2797553,0.27779633,0.27995268,0.27752814,0.2783351,0.2821029,0.27899298,0.2793227,0.28066054,0.27740765
8,0.27923536,0.2795416,0.27726,0.27724767,0.276576,0.27683696,0.28190964,0.27864233,0.2836197,0.28378248,0.28173733,0.28452268,0.28494686,0.28630933,0.28661072,0.28581214,0.2868895,0.2895795,0.28576547,0.2866312,0.2890439,0.289141,0.28650844,0.2894315,0.28720754,0.28844228,0.2911079,0.2880969,0.28811935,0.28967836,0.2846745
9,0.27757844,0.2805809,0.2781217,0.2805881,0.28458327,0.28588143,0.29018018,0.28615493,0.2899116,0.28939474,0.2870985,0.28918716,0.28927267,0.29007024,0.29084113,0.28992906,0.29082727,0.29312557,0.28972667,0.290983,0.29318362,0.29294613,0.29034585,0.29385757,0.2911632,0.29228064,0.29485652,0.2920701,0.2915057,0.29338497,0.2889877
