,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4720.5845,4701.9673,4675.328,4632.2573,4740.0923,4707.512,4612.262,4698.482,4775.088,4665.912,4697.4214,4638.174,4658.4995,4633.5376,4769.7437,4655.246,4706.8506,4673.4155,4697.466,4691.229,4600.7837,4738.1265,4659.218,4731.566,4706.262,4668.906,4699.3066,4654.741,4710.7363,4749.402,4689.0044
798,4700.61,4697.8335,4659.4707,4618.3643,4737.8994,4693.9136,4601.649,4686.1235,4762.1304,4650.489,4688.3896,4630.173,4648.3228,4619.056,4750.217,4642.4756,4696.5337,4668.034,4689.618,4678.017,4585.614,4723.0654,4650.971,4714.4536,4690.301,4670.1953,4686.0415,4640.3877,4702.116,4740.058,4677.417
799,4720.636,4705.6323,4676.4116,4633.56,4743.9956,4708.7515,4614.481,4700.3315,4776.896,4666.8916,4700.332,4641.123,4660.621,4634.949,4769.833,4656.8506,4708.8706,4676.6724,4700.267,4692.827,4601.2837,4739.0483,4661.851,4731.8633,4707.3765,4673.924,4700.8184,4655.9707,4713.186,4752.086,4690.9116
800,4687.8315,4673.3193,4643.536,4602.277,4713.106,4678.381,4581.996,4667.6577,4743.554,4635.438,4665.2354,4607.6724,4628.577,4601.965,4738.086,4625.2407,4678.2534,4644.576,4668.099,4660.5537,4573.598,4708.574,4630.2305,4702.0347,4674.1187,4640.7593,4669.069,4624.4673,4681.805,4718.3584,4658.946
801,4647.035,4634.9004,4602.956,4563.8247,4676.702,4641.401,4542.5835,4627.788,4702.822,4596.5786,4623.624,4567.4863,4590.0044,4561.443,4698.327,4586.558,4641.0645,4607.456,4628.4824,4621.036,4539.1777,4670.908,4592.1494,4665.0317,4633.2524,4602.168,4630.156,4585.6953,4643.9653,4677.666,4620.075
802,4639.092,4641.1357,4598.829,4561.0713,4685.291,4639.55,4543.4663,4627.0244,4701.6934,4592.3833,4627.619,4571.268,4591.4663,4558.7046,4690.208,4585.0205,4641.5884,4614.2163,4629.611,4619.295,4533.921,4666.728,4595.053,4658.798,4630.097,4614.9653,4628.181,4582.841,4646.501,4680.2266,4619.8613
803,4652.289,4635.0312,4606.921,4567.1953,4676.1523,4644.344,4544.8013,4630.585,4705.792,4600.4575,4624.9326,4568.784,4591.974,4564.941,4703.5737,4589.538,4643.26,4607.5586,4630.7173,4624.1367,4543.1274,4674.7056,4593.062,4669.473,4637.062,4600.4434,4633.296,4589.2114,4645.53,4679.4043,4622.61
804,4595.8315,4588.581,4552.8276,4516.571,4634.349,4596.7896,4494.9395,4579.239,4653.124,4548.524,4574.1475,4519.52,4543.502,4511.681,4648.3447,4539.2847,4596.042,4563.9404,4578.99,4572.705,4496.2837,4624.305,4545.585,4618.7964,4583.8906,4558.057,4582.5093,4538.88,4598.5806,4628.825,4572.822
805,4580.291,4576.027,4538.0225,4502.742,4623.194,4583.818,4481.4067,4565.2617,4638.766,4534.3047,4560.439,4506.22,4530.518,4497.1367,4633.135,4525.5864,4583.2188,4552.247,4564.956,4558.682,4483.4214,4610.503,4532.8145,4604.8696,4569.4136,4546.8706,4568.656,4525.8223,4585.8794,4615.138,4559.312
806,4587.037,4587.1133,4545.9824,4510.668,4634.4033,4591.578,4490.7563,4574.1714,4647.752,4541.8467,4571.291,4516.7065,4539.904,4505.5425,4639.584,4533.967,4591.9385,4562.9976,4574.7466,4567.1875,4489.5923,4617.7754,4543.543,4611.3096,4577.5894,4559.9746,4576.945,4533.892,4595.415,4625.337,4568.2183
807,4614.669,4613.223,4573.3374,4536.5483,4658.5176,4616.073,4517.1543,4600.933,4675.132,4568.0493,4598.96,4543.5234,4565.5244,4532.8096,4666.5264,4559.959,4616.8584,4587.6025,4602.186,4593.747,4512.8555,4643.1777,4568.9785,4636.338,4604.601,4585.4097,4603.1064,4558.723,4620.7017,4652.5356,4594.259
808,4640.5293,4638.0957,4599.056,4560.9175,4681.5786,4639.1626,4542.1284,4626.198,4700.967,4592.6787,4625.234,4568.9854,4589.966,4558.4907,4691.7285,4584.473,4640.4243,4611.069,4628.1523,4618.79,4534.6724,4667.05,4593.107,4659.7925,4630.0273,4609.8525,4627.7666,4582.592,4644.678,4678.3193,4618.883
809,4639.527,4625.871,4594.997,4556.1323,4667.965,4634.014,4534.2183,4619.541,4694.44,4588.989,4614.4233,4558.582,4581.739,4553.316,4691.059,4578.6597,4633.211,4598.8228,4619.7573,4612.9897,4532.6543,4663.5664,4583.3994,4658.096,4625.264,4592.4263,4622.266,4577.985,4635.714,4668.8145,4611.9478
810,4600.202,4594.384,4557.609,4521.235,4640.0527,4601.296,4500.1465,4584.315,4658.2715,4553.075,4579.9785,4525.16,4548.6665,4516.615,4652.561,4544.118,4600.919,4569.516,4584.4277,4577.624,4500.137,4628.7036,4551.3525,4622.8726,4588.7246,4564.528,4587.3228,4543.52,4603.774,4634.3906,4577.85
811,4598.4507,4596.011,4556.7686,4520.7144,4642.2324,4600.9834,4500.497,4584.274,4658.1396,4552.212,4581.0796,4526.206,4549.2065,4516.1055,4650.764,4543.8887,4601.1763,4571.2607,4584.8423,4577.348,4499.005,4627.8394,4552.647,4621.516,4588.1143,4567.7197,4586.9893,4543.345,4604.5137,4635.1465,4577.9663
812,4594.4897,4584.787,4550.812,4514.4526,4630.3247,4594.6455,4492.1006,4576.6646,4650.5605,4546.638,4570.607,4516.1055,4540.615,4509.4194,4647.105,4536.9316,4593.4185,4560.202,4576.0,4570.332,4494.8906,4622.498,4541.886,4617.405,4581.7314,4553.176,4580.219,4536.597,4595.5503,4625.596,4570.192
813,4574.0635,4572.9536,4532.622,4497.8687,4620.934,4579.359,4477.19,4560.648,4633.9683,4529.082,4556.6475,4502.527,4526.631,4492.035,4626.986,4520.9424,4579.1753,4549.5317,4560.7095,4553.902,4478.471,4605.4165,4529.572,4599.425,4564.269,4545.2515,4563.894,4521.4233,4582.1865,4611.1313,4554.96
814,4591.5903,4590.2485,4550.172,4514.534,4637.0586,4595.1733,4494.386,4577.992,4651.6934,4545.8804,4574.836,4520.15,4543.3384,4509.6025,4644.055,4537.746,4595.3916,4565.877,4578.5024,4571.063,4493.3037,4621.696,4546.8667,4615.3525,4581.6484,4562.4585,4580.784,4537.486,4598.749,4628.937,4571.8853
815,4610.578,4608.136,4568.955,4532.3,4653.568,4611.986,4512.4937,4596.355,4670.482,4563.8735,4593.802,4538.532,4560.9126,4528.32,4662.571,4555.5835,4612.486,4582.7295,4597.3223,4589.291,4509.2847,4639.139,4564.305,4632.548,4600.1924,4579.8564,4598.74,4554.527,4616.0864,4647.5864,4589.752
816,4649.439,4654.3257,4610.0015,4571.927,4698.177,4650.0117,4555.456,4638.7666,4713.614,4603.0244,4640.9487,4584.164,4603.3403,4570.1816,4700.204,4596.2275,4652.829,4626.866,4642.1255,4630.705,4542.9873,4677.016,4607.1157,4668.409,4641.3574,4629.485,4639.3555,4593.6616,4658.4053,4692.9893,4631.437
817,4724.404,4722.8574,4683.826,4641.653,4761.9873,4716.5127,4626.194,4710.6514,4787.127,4673.7666,4714.95,4655.7246,4672.454,4643.628,4773.3374,4666.128,4719.6377,4692.3135,4714.176,4702.149,4605.9526,4745.608,4675.0605,4736.212,4714.947,4696.402,4709.757,4663.806,4725.9897,4765.701,4701.43
818,4777.043,4767.27,4734.6934,4689.4736,4803.585,4762.9927,4673.991,4759.5483,4837.193,4722.5566,4765.4863,4703.515,4720.1147,4693.4834,4824.513,4713.83,4764.8413,4737.253,4760.2085,4750.937,4649.471,4792.937,4720.57,4784.01,4766.3677,4739.2866,4757.7944,4712.263,4771.8125,4814.5093,4749.0522
819,4796.6895,4781.298,4753.5347,4706.9336,4816.304,4779.9863,4690.6265,4776.9404,4855.0767,4740.6826,4782.5713,4719.59,4736.9717,4710.0415,4844.3613,4730.9746,4780.6426,4751.85,4775.6504,4768.51,4665.7666,4810.545,4735.945,4802.4424,4785.3965,4751.5137,4774.748,4730.04,4787.657,4831.1235,4765.814
820,4797.7705,4783.561,4754.906,4708.334,4818.609,4781.3374,4692.3853,4778.574,4856.7173,4741.9736,4784.653,4721.614,4738.699,4711.638,4845.3477,4732.491,4782.2754,4753.963,4777.592,4770.044,4666.793,4811.7866,4737.824,4803.4507,4786.7896,4754.28,4776.262,4731.43,4789.467,4833.084,4767.455
821,4803.705,4788.91,4760.8457,4713.934,4823.6465,4786.7793,4698.038,4784.374,4862.608,4747.6675,4790.6636,4727.3877,4744.386,4717.1504,4851.264,4738.0967,4787.6167,4759.348,4783.1636,4775.7744,4671.811,4817.308,4743.238,4809.015,4792.7954,4759.5327,4781.8164,4737.106,4794.9517,4838.882,4773.0605
822,4807.71,4792.526,4764.8555,4717.7163,4827.0527,4790.4546,4701.857,4788.3027,4866.5854,4751.5117,4794.7246,4731.289,4748.228,4720.8735,4855.257,4741.882,4791.2246,4762.988,4786.9385,4779.644,4675.199,4821.0356,4746.8955,4812.7695,4796.85,4763.086,4785.5674,4740.9385,4798.657,4842.799,4776.847
823,4802.3765,4783.908,4758.665,4711.561,4818.429,4784.5024,4694.6216,4781.4253,4859.6157,4745.6445,4786.4077,4723.227,4741.074,4714.1685,4850.21,4735.3813,4784.4746,4754.802,4779.232,4773.046,4670.359,4815.377,4739.3916,4807.7837,4790.5693,4753.0186,4779.0913,4734.7866,4791.3325,4834.916,4769.98
824,4774.2485,4754.2256,4729.5415,4683.738,4789.889,4757.5015,4665.3774,4752.0576,4829.7905,4717.803,4754.604,4692.6045,4711.7954,4686.0527,4822.4746,4707.1504,4756.9414,4725.475,4749.8237,4744.2383,4646.1963,4788.4136,4710.734,4781.4272,4761.1,4722.0435,4751.0796,4706.69,4762.614,4804.399,4741.3345
825,4724.767,4703.652,4678.797,4635.3784,4741.4375,4710.5586,4614.9287,4701.4175,4778.1353,4669.269,4699.961,4640.4785,4661.2417,4636.803,4773.729,4658.209,4709.411,4675.344,4699.705,4694.28,4603.9497,4741.3965,4661.5,4735.1997,4709.7603,4669.802,4702.348,4657.9385,4713.179,4751.918,4691.817
826,4698.7817,4697.671,4658.053,4617.144,4737.9336,4692.717,4600.7915,4685.08,4761.0283,4649.1055,4687.8135,4629.605,4647.547,4617.7876,4748.3955,4641.379,4695.6924,4667.8584,4689.0557,4676.8784,4584.225,4721.713,4650.361,4712.899,4688.8755,4670.6226,4684.8926,4639.12,4701.4727,4739.348,4676.4614
827,4737.8174,4726.8813,4694.752,4651.3486,4764.8027,4725.99,4634.025,4719.516,4796.3765,4684.368,4722.0845,4662.0723,4680.0894,4653.7524,4786.359,4675.181,4727.2036,4697.3022,4720.3696,4711.4937,4616.2183,4755.948,4681.462,4747.7783,4725.953,4697.2886,4719.107,4673.782,4732.594,4772.8496,4709.8257
828,4742.4683,4730.0996,4698.993,4655.285,4767.7324,4729.821,4637.797,4723.4487,4800.4185,4688.4463,4725.971,4665.713,4683.908,4657.889,4790.804,4679.054,4730.784,4700.6396,4723.8833,4715.462,4619.9404,4759.9097,4684.96,4751.9116,4730.2373,4700.132,4723.0327,4677.7764,4736.194,4776.626,4713.644
829,4742.8086,4730.606,4699.381,4655.6675,4768.237,4730.191,4638.235,4723.8716,4800.8457,4688.8145,4726.4697,4666.197,4684.343,4658.294,4791.132,4679.4536,4731.194,4701.1245,4724.3467,4715.869,4620.2476,4760.265,4685.4097,4752.2324,4730.6304,4700.7134,4723.4297,4678.157,4736.635,4777.1,4714.0635
830,4758.1074,4751.092,4716.158,4672.05,4788.432,4746.0566,4656.5767,4741.733,4818.9517,4704.779,4747.075,4686.104,4702.573,4675.626,4805.8647,4696.4497,4748.3716,4720.882,4743.438,4733.1606,4633.7437,4775.6914,4703.99,4766.5127,4747.631,4723.6665,4740.3477,4694.591,4754.9683,4796.727,4731.712
831,4810.0757,4804.417,4769.4067,4722.8213,4839.559,4795.339,4709.6284,4794.9473,4873.225,4755.7017,4804.5864,4740.985,4755.7246,4727.553,4856.922,4747.8613,4798.3457,4773.7026,4796.2017,4785.636,4678.044,4825.0195,4755.8096,4814.9517,4801.505,4778.874,4791.581,4745.889,4806.977,4851.9526,4783.775
832,4893.3145,4889.501,4854.9756,4804.3477,4921.122,4874.3545,4794.6123,4880.8027,4960.276,4837.5483,4896.4463,4829.5244,4840.8926,4809.493,4939.194,4830.348,4878.418,4858.0713,4881.4956,4869.84,4749.308,4904.3086,4838.7666,4892.957,4888.076,4867.1685,4873.404,4828.278,4890.233,4940.331,4867.247
833,4954.3813,4935.5674,4918.663,4863.225,4962.796,4931.799,4850.245,4940.1616,5020.3574,4898.846,4953.435,4882.208,4897.328,4864.9927,5009.234,4888.01,4931.3057,4906.27,4934.4116,4928.9624,4804.5635,4963.868,4891.4014,4955.6226,4952.39,4908.079,4930.4067,4888.264,4943.079,4995.6733,4923.518
834,4950.2656,4934.5435,4914.503,4859.586,4962.2656,4928.236,4847.4873,4936.8154,5016.9736,4894.798,4951.0615,4880.3696,4894.4414,4862.035,5003.8296,4884.6724,4928.622,4904.8,4932.184,4925.5083,4800.6987,4959.9146,4889.176,4950.999,4948.202,4908.3057,4927.131,4884.499,4940.6763,4993.2583,4920.529
835,4960.81,4945.04,4925.833,4870.3003,4972.2207,4938.6445,4858.4004,4947.991,5028.291,4905.652,4962.725,4891.256,4905.408,4872.6177,5015.23,4895.428,4938.926,4915.3203,4943.0225,4936.5,4810.234,4970.438,4899.7676,4961.5327,4959.66,4918.945,4937.7915,4895.3486,4951.294,5004.4956,4931.304
836,4970.107,4954.361,4935.829,4879.76,4981.07,4947.8325,4868.055,4957.867,5038.291,4915.227,4973.0566,4900.9053,4915.1084,4881.88,5025.261,4904.93,4948.039,4924.6533,4952.622,4946.209,4818.6377,4979.7197,4909.147,4970.81,4969.7686,4928.4194,4947.2104,4904.9253,4960.6924,5014.4453,4940.828
837,4994.8384,4985.1914,4962.9326,4905.9883,5011.2,4972.998,4896.6865,4986.132,5066.923,4941.066,5004.8174,4931.3096,4943.6963,4908.952,5050.0684,4931.8965,4974.9097,4954.6577,4982.091,4973.6777,4840.713,5004.7114,4937.8467,4994.4824,4997.217,4962.2637,4974.0034,4931.3213,4989.1143,5044.785,4968.55
838,5079.683,5082.4067,5055.228,4994.543,5105.7603,5058.237,4990.9688,5080.433,5162.4346,5029.6353,5107.685,5029.2886,5038.9473,4998.574,5137.8696,5022.1494,5062.5835,5050.672,5077.932,5065.7197,4916.819,5090.046,5031.2944,5077.7344,5090.6343,5067.0957,5063.596,5020.645,5082.048,5143.697,5060.4785
839,5147.322,5124.3774,5125.2627,5058.3286,5141.4575,5121.0557,5048.0957,5143.2534,5226.0005,5097.3306,5164.3745,5078.723,5100.3174,5055.072,5221.043,5083.5737,5119.7437,5095.917,5130.4424,5128.8477,4978.7563,5152.143,5084.3564,5152.918,5164.007,5099.6357,5124.209,5086.8086,5135.3125,5199.8364,5119.6177
840,5143.205,5141.4385,5123.091,5058.2734,5160.6797,5120.1567,5054.4517,5146.2314,5229.0527,5094.962,5174.967,5091.2373,5104.6577,5059.808,5209.473,5085.65,5124.059,5110.0825,5140.2124,5130.676,4974.475,5151.3936,5092.857,5144.1245,5160.9067,5125.1313,5126.4854,5085.3,5143.39,5208.38,5123.8267
841,5204.8086,5189.6133,5186.997,5117.549,5204.5796,5178.0635,5111.1084,5206.299,5289.855,5156.5835,5233.379,5144.1714,5164.136,5114.9775,5280.3594,5143.917,5179.4946,5160.155,5194.477,5190.389,5030.0923,5208.146,5147.209,5209.1104,5226.733,5169.59,5184.11,5147.141,5197.414,5266.598,5181.2354
842,5206.2637,5192.841,5188.7764,5119.396,5207.8857,5179.7827,5113.519,5208.476,5292.0625,5158.271,5236.2617,5147.0854,5166.434,5117.1787,5281.4106,5145.9478,5181.683,5163.091,5197.1562,5192.4395,5031.344,5209.844,5149.763,5210.2607,5228.522,5173.545,5186.14,5148.9136,5199.9155,5269.258,5183.4487
843,5210.367,5194.7993,5192.8022,5123.011,5209.388,5183.366,5116.5835,5211.9546,5295.581,5162.1704,5239.205,5149.547,5169.7896,5120.251,5286.4355,5149.371,5184.7603,5165.4272,5199.8667,5195.9663,5035.1006,5213.348,5152.5566,5214.746,5232.646,5174.6987,5189.5127,5152.7886,5202.7144,5272.319,5186.7026
844,5241.952,5239.977,5228.0874,5157.747,5254.854,5216.433,5156.3516,5250.2627,5334.3975,5195.9116,5284.267,5193.441,5209.1636,5157.487,5316.185,5185.699,5221.15,5209.168,5241.73,5232.888,5063.031,5245.89,5193.17,5243.896,5268.376,5226.9204,5225.6685,5187.487,5242.7007,5315.1177,5224.6475
845,5321.501,5312.2993,5310.929,5235.534,5322.3184,5292.0156,5233.8057,5330.558,5415.693,5275.6587,5366.468,5268.9897,5289.3896,5232.2036,5403.6387,5263.195,5296.4644,5283.194,5317.697,5312.1616,5134.7524,5320.029,5268.3276,5324.8525,5352.9263,5297.0137,5302.4175,5268.039,5317.532,5396.235,5302.1943
846,5383.547,5379.4165,5377.317,5299.0615,5390.649,5353.235,5300.905,5397.954,5483.951,5339.4,5439.7725,5338.2256,5357.5415,5297.5444,5468.159,5327.762,5359.04,5351.577,5385.629,5378.033,5190.2866,5380.158,5335.1504,5385.775,5420.8257,5369.4644,5366.494,5332.881,5382.2437,5467.776,5367.993
847,5466.533,5456.384,5464.1978,5380.95,5468.695,5432.67,5383.4355,5482.954,5570.0156,5422.991,5527.9478,5419.7065,5442.685,5378.961,5558.437,5410.001,5438.823,5431.556,5467.1245,5461.778,5265.0024,5458.0967,5419.224,5469.654,5511.4165,5446.528,5447.6504,5418.871,5460.5234,5555.364,5450.607
848,5507.9614,5490.0645,5507.1274,5420.9385,5502.936,5471.6616,5422.2104,5525.452,5611.3022,5464.3633,5568.6,5456.5015,5483.2188,5415.909,5605.265,5450.0464,5477.271,5467.4624,5504.581,5502.2305,5302.6963,5496.322,5458.1704,5512.678,5556.564,5477.8623,5486.726,5462.8354,5496.935,5596.3486,5490.0737
849,5513.378,5495.0444,5512.8257,5426.3047,5508.014,5476.8696,5427.6055,5531.234,5616.9355,5469.846,5574.374,5461.814,5488.7896,5421.0317,5611.207,5455.468,5482.468,5472.6743,5509.9,5507.8154,5307.6045,5501.4316,5463.594,5518.1943,5562.51,5482.855,5492.0396,5468.689,5502.086,5602.072,5495.4893
850,5519.6543,5502.2,5519.596,5432.8047,5515.1787,5483.124,5434.5386,5538.292,5623.9526,5476.3438,5582.033,5469.0317,5495.809,5427.5776,5617.686,5462.1313,5489.046,5479.812,5516.9766,5514.6367,5313.232,5507.5767,5470.615,5524.3354,5569.472,5490.549,5498.621,5475.491,5508.879,5609.471,5502.2886
851,5541.393,5527.489,5543.155,5455.504,5540.8467,5504.934,5459.009,5562.976,5648.582,5498.9414,5609.207,5494.7397,5520.499,5450.6562,5639.8535,5485.464,5511.634,5505.265,5542.093,5538.49,5332.6855,5529.008,5495.4233,5545.437,5593.6367,5518.473,5521.6963,5499.061,5532.955,5635.613,5526.157
852,5603.5117,5595.638,5609.9766,5519.5244,5610.338,5566.595,5526.877,5632.435,5717.3296,5563.0864,5683.8657,5564.9995,5589.349,5514.767,5704.4277,5551.053,5574.6685,5574.8823,5611.2617,5605.6084,5388.9077,5589.5044,5564.229,5606.495,5662.4673,5592.511,5586.361,5566.3613,5599.2725,5708.0,5592.81
853,5654.75,5629.536,5662.0527,5567.9053,5644.304,5613.4414,5570.4,5683.1885,5764.3545,5612.6245,5727.962,5604.8506,5635.8276,5556.5034,5765.119,5597.542,5619.7256,5613.256,5652.5605,5655.0786,5437.2803,5635.447,5608.4897,5661.4487,5717.909,5618.712,5631.966,5621.5312,5638.935,5753.7,5638.5474
854,5625.835,5602.68,5631.6406,5538.569,5617.2676,5585.653,5541.642,5652.3447,5734.614,5584.1245,5697.134,5575.969,5606.125,5529.196,5733.373,5569.143,5592.017,5585.1035,5623.9463,5625.045,5410.6323,5608.184,5579.219,5631.9844,5686.174,5592.178,5603.6245,5590.2827,5611.486,5723.1904,5609.612
855,5609.145,5587.323,5614.0938,5522.0527,5601.719,5569.622,5525.0728,5634.556,5717.47,5567.238,5679.419,5559.343,5589.004,5513.461,5715.0293,5552.771,5576.048,5568.9,5607.4688,5607.7217,5395.246,5592.457,5562.3545,5614.9653,5667.858,5576.9473,5587.284,5572.246,5595.678,5705.6147,5592.9365
856,5599.4365,5578.3164,5603.8696,5512.4165,5592.541,5560.2744,5515.3633,5624.172,5707.4434,5557.401,5669.013,5549.5664,5578.9863,5504.244,5704.4023,5543.15,5566.7007,5559.364,5597.793,5597.6123,5386.3066,5583.2856,5552.4717,5605.092,5657.197,5567.888,5577.736,5561.753,5586.397,5695.3105,5583.183
857,5587.8203,5565.13,5591.3457,5500.398,5579.3345,5548.707,5502.558,5611.1235,5694.5405,5545.382,5654.8774,5536.129,5566.018,5492.1543,5692.394,5530.7607,5554.55,5546.1167,5584.7163,5584.9995,5375.795,5571.922,5539.4316,5593.7153,5644.3125,5553.7266,5565.5728,5549.164,5573.859,5681.647,5570.6074
858,5568.712,5546.485,5571.113,5481.247,5560.4233,5530.1636,5482.996,5590.4473,5674.461,5525.926,5633.7554,5516.517,5545.9277,5473.609,5671.747,5511.143,5535.784,5526.6484,5565.1016,5565.0234,5358.2715,5553.722,5519.518,5574.449,5623.281,5534.632,5546.4976,5528.4985,5555.046,5660.8584,5551.067
859,5575.498,5562.247,5579.478,5490.0396,5576.2036,5538.3076,5494.7793,5600.3286,5685.283,5533.847,5648.121,5530.9927,5557.0654,5484.5205,5676.1963,5520.6064,5545.493,5541.0483,5578.182,5574.581,5363.7456,5561.773,5531.5366,5579.5093,5631.267,5554.9478,5556.2734,5535.97,5567.565,5673.678,5561.6357
860,5625.64,5611.097,5632.5728,5540.293,5625.817,5586.9663,5546.1055,5654.581,5737.968,5584.9023,5703.5376,5582.605,5609.78,5533.1787,5730.382,5571.9263,5594.637,5592.124,5629.6436,5627.046,5409.732,5609.529,5583.7866,5630.0693,5686.458,5605.0356,5606.3247,5590.1997,5616.923,5728.222,5612.902
861,5597.017,5554.2256,5598.6523,5505.936,5569.7437,5554.42,5502.002,5615.8403,5696.595,5552.2104,5650.8877,5531.0835,5567.433,5492.1597,5708.28,5533.831,5555.452,5540.0483,5581.545,5589.916,5385.7744,5577.409,5538.816,5606.664,5653.3696,5535.0044,5568.564,5558.8384,5570.8755,5680.4404,5572.4346
862,5492.2324,5474.0044,5490.387,5405.029,5486.711,5456.2847,5405.7573,5508.249,5594.3784,5448.2734,5550.715,5439.8496,5466.3906,5400.3306,5588.479,5433.864,5461.538,5451.0596,5488.105,5485.831,5288.512,5481.2266,5441.5703,5496.948,5539.2144,5461.1626,5470.807,5445.8813,5481.026,5578.842,5473.7554
