,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4643.413,4654.1694,4604.148,4674.5146,4623.4395,4683.7295,4704.9536,4710.531,4732.8647,4721.052,4662.0957,4615.5303,4703.1196,4680.8906,4673.852,4602.9175,4691.506,4683.0894,4648.3306,4678.064,4699.2524,4727.619,4651.874,4709.676,4730.753,4659.4673,4684.3755,4677.0225,4677.9546,4690.4507,4676.6885
798,4621.647,4651.095,4613.52,4692.7007,4606.553,4686.3374,4683.145,4680.214,4713.036,4682.5825,4637.2554,4593.2417,4672.007,4623.136,4664.1523,4585.054,4715.5225,4614.0386,4678.7935,4707.0957,4665.077,4722.8594,4623.3267,4623.069,4715.7314,4615.577,4644.588,4610.204,4645.721,4687.8193,4655.8364
799,4642.851,4658.298,4611.222,4683.934,4623.8936,4689.0503,4704.616,4707.933,4731.853,4716.4414,4661.021,4613.8994,4700.4263,4671.6094,4676.327,4603.3096,4701.91,4670.96,4660.75,4690.2407,4695.746,4731.367,4648.686,4693.2363,4732.1367,4653.54,4679.552,4664.385,4674.925,4694.736,4676.2954
800,4612.143,4624.466,4576.5273,4646.8193,4593.8213,4655.8696,4672.25,4677.886,4707.369,4687.52,4629.009,4589.8403,4669.764,4644.747,4643.5015,4572.0923,4667.1724,4646.07,4622.132,4651.0444,4665.9365,4697.495,4625.5864,4670.681,4698.505,4625.222,4650.0054,4646.629,4644.862,4660.4927,4645.849
801,4573.263,4584.465,4537.229,4605.873,4556.356,4617.407,4631.434,4638.6196,4676.0005,4648.4673,4588.192,4558.6743,4629.676,4605.48,4603.771,4533.1367,4629.8086,4607.551,4581.111,4609.147,4626.4126,4657.2183,4594.6646,4632.5283,4657.1343,4586.1313,4610.036,4616.738,4605.3145,4620.0903,4607.398
802,4562.559,4593.192,4558.4814,4636.6177,4550.238,4631.4946,4621.2803,4619.2925,4665.043,4620.763,4574.926,4545.1636,4609.7915,4558.1074,4605.6724,4526.4536,4665.461,4548.4097,4624.436,4651.276,4603.198,4664.2983,4574.6357,4555.316,4654.074,4552.888,4581.257,4557.2837,4584.1055,4629.4014,4597.5044
803,4579.3057,4584.0806,4532.6265,4598.204,4560.778,4615.1475,4637.4175,4647.5684,4681.6523,4660.2017,4595.2144,4565.1675,4638.8667,4623.797,4605.6636,4537.8486,4620.271,4629.7573,4569.247,4597.7383,4636.673,4657.4106,4603.319,4660.728,4660.7856,4599.718,4622.194,4638.4956,4614.904,4619.5435,4613.144
804,4523.752,4537.726,4494.04,4562.6836,4509.555,4573.68,4579.705,4586.803,4635.5127,4595.135,4535.7876,4517.948,4576.7505,4547.6895,4555.9,4484.3755,4592.0347,4548.1274,4540.5347,4567.243,4573.435,4609.7886,4552.7974,4569.725,4606.2446,4531.5586,4555.35,4567.695,4552.7534,4573.011,4558.578
805,4508.375,4525.32,4484.06,4553.7637,4495.473,4562.738,4563.7603,4569.8,4622.6826,4576.7627,4519.297,4504.777,4559.37,4525.831,4542.406,4469.6626,4585.2197,4524.4766,4533.778,4559.972,4555.658,4596.9966,4538.5537,4543.0835,4591.334,4512.207,4536.4673,4546.9707,4535.325,4560.578,4543.49
806,4513.7783,4537.4165,4500.133,4573.3647,4502.069,4576.2544,4569.789,4572.437,4626.2915,4576.579,4524.2964,4507.4756,4562.0103,4519.182,4552.188,4476.422,4605.618,4513.771,4557.5547,4583.559,4557.0703,4608.6104,4539.0435,4526.2993,4599.836,4510.1997,4536.141,4534.1826,4537.4033,4572.953,4549.0645
807,4540.2617,4563.984,4525.767,4599.7915,4527.428,4601.5957,4597.537,4599.478,4647.773,4603.757,4552.1636,4528.863,4589.614,4547.1987,4578.8066,4502.8223,4629.454,4541.7183,4583.574,4610.213,4584.4385,4635.422,4560.538,4554.619,4627.7095,4537.6094,4563.9795,4556.377,4564.703,4599.7485,4575.2314
808,4564.933,4589.3477,4550.6587,4625.727,4551.188,4625.976,4623.4263,4624.4033,4667.6978,4628.5483,4578.0635,4548.6367,4615.0557,4572.156,4604.0034,4527.5405,4653.103,4566.2256,4609.532,4636.73,4609.542,4660.9663,4580.1914,4578.909,4653.9434,4562.4385,4589.3574,4575.432,4589.81,4625.3564,4599.6304
809,4566.5073,4574.9453,4526.2354,4593.2974,4549.302,4607.517,4624.202,4632.904,4670.846,4643.885,4581.363,4553.901,4623.862,4603.4097,4595.198,4525.843,4617.3467,4607.1646,4566.888,4594.8955,4621.145,4647.858,4590.7856,4634.563,4648.8657,4582.26,4605.403,4618.1953,4599.7817,4610.4155,4600.6265
810,4527.5654,4543.9224,4501.58,4571.5327,4513.7114,4580.2905,4583.8306,4589.674,4638.33,4597.0137,4539.555,4520.4355,4579.6616,4547.3325,4561.276,4488.6626,4600.982,4546.3247,4550.837,4577.524,4575.895,4615.829,4554.508,4565.794,4611.2563,4532.8066,4557.2246,4564.7417,4555.4443,4579.3213,4562.4287
811,4525.147,4546.1484,4506.7925,4579.0186,4512.385,4583.79,4581.5527,4585.1978,4635.826,4590.5396,4536.5327,4517.3228,4575.0566,4536.16,4561.873,4487.2056,4609.6274,4532.34,4561.3257,4587.7314,4570.4897,4617.659,4549.8315,4547.492,4610.6724,4525.009,4550.496,4550.648,4550.52,4581.6875,4560.2026
812,4523.032,4533.4224,4487.5312,4554.3486,4508.104,4568.5186,4578.755,4587.6133,4635.3457,4597.4688,4535.3994,4518.2617,4577.606,4553.5586,4552.8467,4482.9253,4583.057,4556.168,4529.9277,4556.7905,4574.9287,4605.767,4554.304,4581.049,4603.979,4534.889,4557.817,4576.378,4553.8823,4568.5796,4557.7417
813,4501.7686,4522.676,4484.1357,4555.649,4489.996,4561.3955,4557.0586,4561.3354,4616.858,4566.565,4511.936,4498.4487,4550.6997,4511.465,4538.36,4463.894,4588.5444,4507.7124,4538.308,4564.1523,4546.341,4593.972,4530.8647,4522.558,4586.062,4500.835,4525.939,4531.0957,4526.432,4558.017,4537.1025
814,4518.407,4540.4077,4501.927,4574.4653,4506.149,4578.617,4574.5474,4577.876,4630.2397,4582.7476,4529.3364,4511.6255,4567.575,4527.1406,4555.764,4480.697,4605.9365,4522.719,4557.528,4583.723,4562.887,4611.775,4543.766,4536.837,4604.0103,4516.8726,4542.4937,4542.3516,4543.0396,4575.9253,4553.5796
815,4536.6187,4558.598,4519.4277,4592.472,4523.5713,4595.9463,4593.6245,4596.505,4645.0205,4601.504,4548.508,4526.352,4586.5913,4546.5513,4574.0186,4498.836,4622.147,4542.129,4575.205,4601.8403,4581.7554,4630.1406,4558.5913,4556.5737,4623.145,4535.809,4561.7075,4557.8164,4561.8525,4594.2705,4571.5713
816,4571.6895,4607.178,4575.179,4656.0195,4560.0083,4646.2773,4631.114,4626.5303,4671.8706,4625.984,4584.0386,4551.332,4617.1465,4558.816,4617.992,4536.547,4684.9297,4546.159,4646.7896,4673.6113,4609.611,4677.992,4579.226,4548.7363,4665.7305,4556.832,4586.506,4552.3843,4590.988,4643.6475,4606.6953
817,4643.7275,4677.395,4641.6875,4723.599,4628.592,4712.6714,4706.524,4700.9663,4730.395,4701.676,4660.072,4610.0444,4693.1704,4638.791,4689.032,4607.9033,4745.103,4627.0703,4712.041,4740.657,4685.278,4749.042,4638.792,4632.6016,4740.7534,4633.683,4664.05,4617.838,4666.3037,4714.493,4677.798
818,4694.589,4723.229,4682.6147,4763.374,4676.249,4754.882,4759.593,4755.134,4772.096,4758.345,4714.148,4652.4546,4748.538,4702.1714,4736.756,4657.507,4778.935,4693.328,4747.8257,4777.8833,4741.001,4795.7524,4682.964,4704.405,4792.1772,4692.1934,4722.169,4673.633,4721.427,4760.676,4727.868
819,4714.881,4737.3867,4692.244,4770.4614,4694.399,4766.566,4780.5503,4778.5254,4789.2153,4784.512,4736.1494,4670.417,4772.4854,4735.0986,4753.125,4676.458,4782.8403,4729.905,4750.6943,4781.53,4765.7993,4810.582,4702.972,4746.9834,4810.96,4720.242,4749.083,4706.576,4745.5737,4774.834,4747.7017
820,4715.6025,4739.8535,4695.778,4774.8916,4695.4585,4769.4355,4781.402,4778.5107,4789.589,4783.7534,4736.7305,4670.563,4772.4556,4732.6353,4754.9775,4677.531,4787.547,4726.376,4756.229,4786.995,4765.457,4812.9185,4702.5425,4741.8667,4812.457,4719.0015,4748.2686,4702.6543,4745.407,4777.3716,4748.475
821,4721.435,4745.384,4700.9233,4780.0415,4700.985,4774.621,4787.5044,4784.603,4794.333,4790.016,4742.9043,4675.3594,4778.6836,4739.392,4760.629,4683.274,4792.0723,4733.291,4761.101,4792.018,4771.6714,4818.528,4707.4414,4749.1646,4818.473,4725.397,4754.686,4708.3267,4751.583,4782.956,4754.2266
822,4725.369,4749.1226,4704.408,4783.532,4704.714,4778.13,4791.622,4788.71,4797.5312,4794.2344,4747.069,4678.5933,4782.8813,4743.935,4764.447,4687.1504,4795.1436,4737.936,4764.4097,4795.428,4775.859,4822.3193,4710.742,4754.061,4822.536,4729.7017,4759.008,4712.132,4755.7456,4786.732,4758.107
823,4721.135,4739.8403,4692.11,4768.581,4699.5903,4767.781,4786.908,4786.558,4794.7207,4794.2207,4743.1274,4676.4326,4780.7236,4748.782,4756.936,4681.9116,4779.6025,4745.875,4746.2954,4777.467,4774.6304,4813.3916,4710.246,4766.552,4815.944,4731.0645,4759.103,4721.68,4754.012,4777.221,4753.748
824,4694.624,4708.71,4658.992,4732.4277,4673.209,4736.7246,4758.8467,4761.4497,4773.8696,4770.905,4715.682,4656.136,4755.1074,4729.161,4727.367,4654.585,4745.101,4729.172,4707.583,4738.3623,4750.1157,4782.376,4691.456,4753.606,4786.0728,4708.8228,4735.34,4711.427,4729.0674,4745.638,4727.3975
825,4647.695,4655.736,4603.874,4672.99,4626.9673,4684.425,4709.2974,4716.0796,4736.652,4727.793,4666.885,4619.6753,4708.81,4690.467,4676.3887,4606.6313,4689.0254,4694.304,4645.009,4674.977,4705.3726,4729.4434,4656.9277,4723.4497,4734.1177,4667.0034,4691.337,4687.6646,4683.7896,4691.9673,4680.825
826,4619.572,4651.055,4614.828,4694.977,4604.997,4686.9062,4681.08,4677.214,4711.115,4678.6973,4634.8613,4591.0537,4668.928,4617.158,4663.3945,4583.405,4718.405,4606.8306,4682.403,4710.557,4661.6587,4722.6406,4620.4565,4613.9478,4714.4077,4611.1035,4640.5674,4603.172,4642.514,4687.8325,4653.858
827,4658.016,4680.8853,4637.916,4714.779,4639.991,4712.7856,4720.922,4720.236,4743.2354,4725.67,4676.2266,4624.3096,4712.9336,4673.9897,4696.3467,4619.922,4732.749,4668.7856,4696.096,4725.5806,4706.797,4753.5117,4656.6694,4684.514,4751.231,4660.824,4688.8413,4657.889,4686.7,4717.739,4691.5366
828,4662.552,4684.147,4640.223,4716.569,4644.067,4715.518,4725.6094,4725.422,4747.0537,4731.433,4681.1343,4628.2993,4718.241,4681.17,4700.0684,4624.178,4733.8457,4676.726,4697.003,4726.657,4712.281,4756.9165,4661.0894,4693.704,4755.468,4666.9824,4694.7686,4665.007,4692.0464,4721.002,4695.972
829,4662.8374,4684.6914,4640.9194,4717.4023,4644.394,4716.114,4725.923,4725.6025,4747.254,4731.5044,4681.4077,4628.465,4718.4233,4680.994,4700.5225,4624.515,4734.703,4676.392,4697.9966,4727.6455,4712.4146,4757.4434,4661.17,4693.138,4755.8774,4666.9844,4694.837,4664.577,4692.206,4721.558,4696.2637
830,4676.062,4706.5415,4667.715,4748.9,4658.888,4739.515,4740.259,4735.3994,4756.911,4737.6943,4694.448,4637.002,4728.3643,4679.071,4719.3774,4639.441,4766.624,4669.1797,4734.806,4764.3394,4720.702,4778.746,4666.875,4678.228,4773.446,4670.872,4700.99,4653.3,4701.344,4743.858,4709.6304
831,4725.098,4762.3433,4726.102,4812.0103,4707.302,4794.756,4792.0625,4782.608,4795.6846,4782.335,4745.398,4674.984,4776.5435,4718.646,4772.9165,4689.629,4826.319,4704.435,4801.5225,4831.8604,4767.157,4834.4956,4702.681,4708.145,4827.9565,4714.025,4746.543,4676.8706,4748.407,4800.445,4758.3096
832,4804.1353,4851.1387,4818.467,4911.362,4785.121,4882.3975,4875.532,4859.1865,4858.169,4855.262,4827.654,4736.5083,4854.728,4784.518,4858.4263,4770.2563,4919.981,4763.9185,4906.0454,4937.7,4842.696,4923.318,4760.981,4760.1216,4915.4043,4784.836,4820.9663,4717.5996,4824.8447,4890.547,4836.7275
833,4873.3325,4897.2305,4847.859,4930.9106,4846.645,4919.513,4946.9756,4939.8945,4916.6436,4946.4375,4902.933,4798.382,4937.4146,4900.8276,4912.821,4834.3945,4928.3413,4893.8447,4909.92,4944.3237,4928.5137,4971.8193,4830.2764,4912.615,4978.6167,4882.969,4914.7285,4835.273,4908.3145,4936.6533,4904.281
834,4867.6196,4896.5205,4850.465,4935.8853,4842.2114,4920.316,4941.2363,4931.896,4911.436,4936.237,4896.3994,4792.4897,4929.194,4885.495,4910.3193,4829.72,4934.8496,4875.4985,4918.165,4952.183,4919.505,4970.6733,4822.7676,4889.5786,4974.7026,4871.3325,4904.184,4817.532,4899.809,4936.0537,4898.8096
