,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,222.96014,248.67279,232.48251,230.38976,225.43301,241.36551,236.77469,185.18451,227.04305,207.28229,241.98027,221.25772,213.95677,222.7878,271.14392,215.26303,214.92978,247.26826,239.9133,247.05836,230.0708,203.3804,202.26112,203.68616,205.97655,246.38231,210.44638,226.30383,187.8643,241.00134,225.01735
2000-01-10,198.44469,240.9142,224.67506,235.11378,197.82979,227.6152,247.46964,250.44432,240.7976,233.09259,208.03807,229.9409,260.65326,204.95175,201.73404,238.63057,181.21262,148.82265,224.74886,252.23541,194.13235,247.3314,239.50621,195.01396,241.00716,252.21378,195.00496,240.85,202.23334,216.69502,222.37845
2000-01-11,209.17221,227.08603,215.24188,226.35078,214.46129,223.46948,213.51764,219.42352,220.77187,211.43855,224.67099,212.20929,212.60568,212.48366,225.34938,204.89755,203.09851,230.5631,220.49252,217.53856,223.21718,215.08823,223.00151,220.1196,209.46399,232.44527,214.42082,211.8278,219.8155,230.03198,218.14249
2000-01-12,201.79874,215.04472,206.62071,215.7178,206.87694,215.49849,206.88248,207.78397,209.97429,199.53793,212.08376,200.33603,211.21635,206.10985,211.9471,201.45929,195.5092,207.33066,212.56418,210.28671,207.94722,205.46843,212.32314,204.45027,203.02348,218.06728,208.31418,207.05014,205.7011,218.11938,208.16814
2000-01-13,204.74176,213.96918,208.42917,215.75075,209.56601,217.84375,210.40533,207.08366,210.03558,198.56805,210.53069,199.45007,219.159,209.91496,209.61879,207.79462,198.37392,196.64992,214.94441,213.2675,204.11707,206.4571,212.27083,200.2354,206.6857,214.88988,212.31926,212.08641,202.82542,217.08347,208.83559
2000-01-14,206.74652,217.38297,210.81247,218.74182,211.6352,220.03207,212.18803,210.37352,213.07352,201.93748,214.10939,202.81175,219.3598,211.61867,213.4435,208.61089,200.44093,203.43674,217.11864,215.23767,208.50262,209.13997,215.27605,204.74347,208.41122,219.00989,213.94348,213.31062,206.86473,220.45944,211.62576
2000-01-15,207.6332,218.48747,211.7539,219.77457,212.5272,220.94203,213.03679,211.46051,214.12416,203.03409,215.23903,203.91106,219.95757,212.4589,214.60652,209.31375,201.34369,205.0646,218.02623,216.11487,209.75885,210.13026,216.30809,206.01636,209.24956,220.21797,214.76959,214.0676,208.06519,221.55368,212.63158
2000-01-16,208.51802,219.31848,212.61809,220.61101,213.4019,221.81161,213.92416,212.29875,214.97655,203.86467,216.06288,204.74858,220.89513,213.3557,215.413,210.2442,202.23718,205.7686,218.89575,216.9943,210.55463,210.98691,217.13904,206.80371,210.1366,221.01233,215.6663,214.96756,208.87053,222.37852,213.4825
2000-01-17,209.646,220.33447,213.70769,221.64627,214.51445,222.9139,215.06181,213.32814,216.03192,204.8815,217.06487,205.775,222.14449,214.50816,216.38478,211.46663,203.37486,206.51973,219.99843,218.11594,211.4963,212.05809,218.16663,207.7306,211.27544,221.95949,216.82085,216.13777,209.83482,223.38759,214.54291
2000-01-18,214.74928,223.47493,218.23233,225.28816,219.46489,227.69377,220.42522,216.66217,219.75421,208.06595,219.96931,209.0259,229.62582,220.03511,218.88062,218.22542,208.48148,204.97897,224.79279,223.21227,213.29932,216.19818,221.74738,209.33282,216.69833,224.03691,222.4323,222.2071,212.09033,226.51921,218.52
2000-01-19,219.64018,228.91597,223.24312,230.5188,224.3491,232.62021,225.203,222.06705,225.0772,213.48483,225.47273,214.46754,233.73651,224.80922,224.44998,222.64772,213.4407,211.75485,229.71098,228.05994,219.13182,221.34615,226.96451,215.19922,221.44484,229.716,227.15996,226.72925,217.77278,231.91447,223.70163
2000-01-20,226.39008,234.58597,229.6468,236.42207,230.9852,239.15753,232.07011,227.85591,231.09393,219.17604,231.01157,220.21901,241.71793,231.79367,229.73683,230.30048,220.23344,214.87085,236.25294,234.7775,224.07877,227.55911,232.81615,220.02455,228.33794,234.76628,234.174,233.94896,222.95517,237.55058,229.81696
2000-01-21,229.27592,239.62569,233.1102,240.81711,233.97314,242.32265,234.61623,232.70926,235.55438,224.15909,236.30652,225.18118,241.83783,234.21437,235.419,231.36082,223.20596,225.0869,239.39738,237.60861,230.61281,231.48674,237.24052,226.7487,230.79916,240.89574,236.47069,235.64244,228.96107,242.53604,233.90587
2000-01-22,231.5799,241.69478,235.33272,242.92786,236.24635,244.57266,236.9399,234.80722,237.70415,226.23367,238.3473,227.2729,244.39151,236.56905,237.40057,233.85808,225.52698,226.60802,241.64777,239.89915,232.52863,233.67313,239.33722,228.63615,233.12747,242.82376,238.82777,238.03522,230.92546,244.59193,236.0689
2000-01-23,234.06319,244.13211,237.78546,245.35117,238.70859,247.02713,239.41353,237.2571,240.17058,228.672,240.77876,229.72575,246.88275,239.06213,239.80779,236.37416,228.03384,228.95184,244.10072,242.36464,234.94379,236.13057,241.74954,231.04012,235.59865,245.21669,241.31244,240.50383,233.34314,247.01198,238.51715
2000-01-24,236.5016,246.59035,240.2118,247.77728,241.13019,249.44637,241.83267,239.72192,242.63919,231.13019,243.23924,232.19664,249.24641,241.49596,242.25719,238.78925,230.49678,231.47533,246.51793,244.7845,237.42566,238.57533,244.16638,233.51724,238.01315,247.66551,243.73433,242.89316,235.812,249.45238,240.95786
2000-01-25,236.31651,247.69766,240.38654,248.51857,241.02113,249.44524,241.45639,240.71202,243.38551,232.20587,244.50047,233.24748,247.43881,241.03079,243.76482,237.51233,230.3436,235.68007,246.50633,244.5802,239.42432,239.01897,244.93437,235.63524,237.58911,249.44429,243.20259,242.02267,237.49988,250.54166,241.50212
2000-01-26,234.2352,246.25781,238.49817,246.91882,238.99217,247.47328,239.29356,239.20714,241.75362,230.7497,243.13704,231.76848,244.59322,238.81102,242.53534,234.8947,228.25893,235.76262,244.53073,242.50438,238.41846,237.25208,243.3553,234.69405,235.40575,248.3535,240.9587,239.63269,236.34648,249.10706,239.79001
2000-01-27,230.8832,243.39995,235.30719,243.95705,235.69356,244.22153,235.89034,236.29323,238.73628,227.87901,240.33815,228.87091,240.68745,235.35283,239.85054,231.13365,224.8869,234.06546,241.27718,239.16988,235.88792,234.1447,240.4163,232.21852,231.98988,245.7789,237.48933,236.07056,233.70839,246.26595,236.7288
2000-01-28,223.7447,223.62282,224.53499,258.20212,226.08385,236.83481,243.88013,279.26794,234.13968,252.00043,216.77304,219.69202,246.04291,243.4078,201.54558,221.07425,253.60217,213.85216,277.31805,227.90968,229.16818,300.9716,260.4899,263.66284,252.02567,236.35898,242.60312,255.93582,302.67322,240.15837,243.58589
2000-01-29,261.4525,238.98834,264.8433,247.03731,259.58383,255.00371,273.1527,208.7501,218.83162,206.2014,267.9339,211.9396,225.16103,257.33566,260.10275,217.88905,300.75137,275.95728,246.96034,237.984,253.30598,258.5078,225.07756,239.61646,227.28914,249.01273,273.79037,258.87024,256.2535,261.12982,247.9571
