,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,267.11182,175.56459,211.10928,185.09993,199.27484,217.71732,249.76854,201.92953,221.30667,220.51765,210.63235,240.04556,180.53107,210.21617,197.31401,206.09409,175.02243,232.60983,230.68373,198.91725,161.50574,210.8521,208.84293,182.77905,214.5184,180.10007,199.81253,238.09207,231.23059,205.16792,208.81227
2000-01-10,204.1805,212.83774,217.00916,247.74286,186.18697,220.0605,174.93164,201.72333,208.36789,219.26434,233.83162,209.58018,195.46004,180.44113,188.42865,199.13258,223.01486,209.8202,248.08075,188.42998,267.6337,201.43842,215.33958,210.31151,195.06631,184.70271,216.70842,227.60739,201.95886,186.2634,209.18517
2000-01-11,222.1986,209.41087,209.648,203.85449,199.55896,201.98946,213.311,201.34729,215.09598,213.04877,210.69664,200.1519,206.13033,192.27463,213.93747,211.57204,202.97421,210.83392,210.23691,210.7178,207.30733,208.7795,214.1937,208.15703,212.01285,206.09177,206.84167,214.54701,221.17693,208.69943,208.8932
2000-01-12,206.47093,195.6578,198.0944,194.0222,186.17708,193.72408,201.71036,190.76741,199.75673,201.2418,196.62436,190.10385,197.93057,183.22742,196.58743,199.2721,192.12926,198.65254,199.45113,200.55823,197.10188,196.36996,202.09364,196.31737,198.20123,196.12708,197.17184,203.41771,206.14696,194.30573,196.98042
2000-01-13,202.40755,193.35612,197.59032,195.05362,184.26556,196.07321,201.1858,191.20609,196.01984,200.5309,193.98235,190.95317,200.33005,185.01675,191.196,198.15466,192.37192,197.66888,199.62636,201.23766,197.78642,195.19109,201.09125,195.63184,195.85493,197.04266,198.3734,203.25732,202.66544,191.43288,196.21849
2000-01-14,206.93066,197.28172,200.85432,197.79669,188.07755,198.34415,204.46364,194.17368,200.42612,203.871,198.00609,193.76138,202.58148,187.52087,196.20746,201.64352,195.41924,201.12097,202.65831,204.08122,200.64282,198.71185,204.52084,198.98055,199.79861,199.82631,201.06706,206.39392,206.97849,195.55249,199.58978
2000-01-15,208.2185,198.481,201.94525,198.81027,189.26358,199.28275,205.55792,195.22517,201.6954,204.97433,199.21648,194.78528,203.5167,188.50253,197.57516,202.77104,196.4851,202.2447,203.71446,205.10602,201.67235,199.84637,205.63568,200.08852,201.00107,200.84612,202.07495,207.4638,208.2327,196.78055,200.70045
2000-01-16,209.02649,199.31819,202.79779,199.68819,190.11247,200.17552,206.41205,196.09987,202.5071,205.82509,200.04321,195.66115,204.4096,189.39815,198.37166,203.61809,197.36018,203.09639,204.57779,205.9729,202.54335,200.69547,206.47893,200.94446,201.83832,201.72246,202.958,208.31902,209.04677,197.60834,201.55424
2000-01-17,209.98058,200.3282,203.84695,200.78601,191.14128,201.30653,207.46295,197.187,203.46942,206.86975,201.03638,196.7544,205.54138,190.52629,199.29663,204.65358,198.44562,204.1391,205.64798,207.05309,203.62878,201.73285,207.51115,201.9959,202.84787,202.81703,204.06409,209.37535,210.01494,198.60031,202.60204
2000-01-18,211.73602,202.968,207.32617,205.03568,193.99939,206.1871,210.94019,201.16779,205.38142,210.25233,203.4844,200.91684,210.44432,195.17836,200.43127,207.84514,202.34348,207.4083,209.46614,211.10345,207.69937,204.90697,210.73607,205.41196,205.46846,207.00969,208.40886,213.01392,212.04716,200.95361,205.97572
2000-01-19,217.69458,208.71924,212.77505,210.30351,199.73712,211.25587,216.4034,206.54648,211.29073,215.73602,209.24521,206.2119,215.50258,200.38844,206.61206,213.39542,207.7677,212.958,214.83218,216.37952,213.00072,210.48387,216.23761,210.92282,211.22932,212.2927,213.67055,218.40317,217.9148,206.77261,211.48943
