,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,187.45119,192.80144,215.16325,198.6542,166.4558,137.21126,194.5591,165.72543,213.7662,139.46713,195.2584,126.79001,212.2136,178.22316,278.77795,108.55747,186.9087,159.42577,113.86682,178.2135,154.71953,188.42822,215.09518,224.1163,195.79889,170.27739,164.5174,176.95457,223.24388,221.00868,182.78835
2000-01-10,180.77339,229.5827,191.69214,197.84001,121.811356,195.25215,241.89137,288.84357,228.37831,174.72464,274.7265,228.44823,207.60005,185.76009,247.30731,157.68655,231.58879,238.46304,184.87479,184.3439,208.14471,236.21683,157.42346,195.15005,148.45758,202.21848,230.15657,222.54727,183.13264,183.6776,205.29048
2000-01-11,196.3622,191.3399,180.41623,193.62727,152.59567,179.08768,182.58913,188.89964,181.03445,152.6032,193.66515,174.88998,193.99162,179.72165,214.1313,165.60103,211.0554,195.33078,158.52097,193.29643,178.42973,176.66786,162.13655,198.60492,176.81735,176.7143,193.387,195.48917,193.26752,190.02324,184.00993
2000-01-12,187.62038,187.08958,175.27176,185.78152,149.38017,174.5422,179.55484,187.21616,179.90324,148.90549,191.74307,173.94073,192.61157,177.06483,210.00818,165.5029,205.69044,190.19038,158.16461,186.02115,172.27438,173.54652,160.83162,196.11018,174.52914,173.9814,192.01616,192.25706,187.17332,185.18977,180.47043
2000-01-13,189.59587,192.77122,180.33183,188.56024,156.24544,180.18593,186.3722,195.20155,188.45132,155.60114,199.47493,182.6651,200.8112,184.20427,215.66937,175.07498,210.43927,195.18791,167.56026,189.22456,176.54071,180.49533,169.39294,203.20479,182.13365,181.15677,200.15161,198.8987,191.30971,190.56306,186.91588
2000-01-14,192.0092,193.833,181.66,190.70294,156.98825,181.33191,187.0654,195.48676,188.56767,156.48396,199.83304,182.72589,201.00632,184.78348,216.69626,174.87602,211.83713,196.51666,167.43884,191.19624,178.17209,181.20978,169.55768,203.73903,182.5985,181.75595,200.3453,199.65155,192.92683,191.79648,187.75974
2000-01-15,192.97223,194.57693,182.45436,191.626,157.7011,182.10233,187.75793,196.11642,189.17667,157.2336,200.47095,183.32744,201.61914,185.45816,217.4268,175.44453,212.63475,197.30699,168.02213,192.08878,179.01808,181.91827,170.18414,204.39536,183.26463,182.43997,200.9534,200.35284,193.75925,192.57895,188.47943
2000-01-16,193.8633,195.50333,183.38585,192.53099,158.67007,183.04778,188.70784,197.08229,190.15791,158.22246,201.4289,184.3129,202.58363,186.412,218.34116,176.45172,213.55096,198.23158,169.03134,192.99329,179.9458,182.88853,171.18039,205.33173,184.2382,183.40341,201.91046,201.2998,194.66864,193.51877,189.42984
2000-01-17,194.98811,196.71353,184.5953,193.68195,159.94637,184.28119,189.95995,198.3672,191.46819,159.52138,202.70122,185.63037,203.86925,187.67253,219.53632,177.80565,214.73802,199.43185,170.3857,194.14854,181.1419,184.16714,172.50932,206.57014,185.52837,184.67625,203.18619,202.54623,195.84036,194.74205,190.67836
2000-01-18,199.70181,203.17633,190.81168,198.8018,167.10336,190.80893,197.01389,205.99161,199.40099,166.68954,210.18172,193.65761,211.57938,194.88156,225.93843,186.29219,220.75359,205.59103,178.80489,199.44942,187.00082,191.36372,180.51303,213.68411,193.02217,191.94199,210.83762,209.51143,201.56339,201.12888,197.57321
2000-01-19,204.84506,207.72105,195.52496,203.85472,171.65309,195.48032,201.4544,210.27203,203.6525,171.39923,214.46872,197.897,215.8033,199.2754,230.4123,190.47946,225.43936,210.27435,183.0438,204.40582,191.8679,195.90024,184.85553,217.978,197.43513,196.38777,215.02957,213.97174,206.34308,205.82426,202.09834
2000-01-20,211.46895,215.24065,202.96976,210.71751,179.67905,203.1237,209.33765,218.46628,212.05095,179.52924,222.56238,206.35747,224.02356,207.2412,237.84373,199.23938,232.71991,217.65776,191.78748,211.34,199.15067,203.94333,193.36266,225.8122,205.61745,204.42674,223.18864,221.80243,213.47205,213.3804,209.9171
2000-01-21,214.97395,216.67831,204.81168,213.808,180.622,204.68439,210.20741,218.70935,212.03235,180.67876,222.91891,206.25465,224.12856,207.93715,239.2291,198.73378,234.66966,219.50058,191.40007,214.17027,201.45848,204.83932,193.41505,226.44229,206.13257,205.1518,223.29263,222.76299,215.75993,215.07501,211.01596
2000-01-22,217.26907,219.15355,207.28346,216.15842,183.23357,207.20499,212.76958,221.33801,214.71246,183.33322,225.52126,208.95049,226.75826,210.51662,241.67339,201.50421,237.09421,221.95253,194.17145,216.53015,203.90295,207.45303,196.13356,228.97618,208.77141,207.75618,225.90283,225.31279,218.15395,217.57458,213.5689
2000-01-23,219.79611,221.68063,209.84126,218.70409,185.85121,209.78625,215.333,223.9127,217.31485,186.00974,228.08005,211.5612,229.32216,213.08214,244.16591,204.15314,239.61508,224.49101,196.8314,219.06305,206.4739,210.06839,198.7794,231.49176,211.379,210.34834,228.44775,227.87181,220.67406,220.14668,216.1425
