,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,1390.751,1389.921,1391.0496,1392.9437,1385.274,1385.1229,1392.6698,1393.1141,1392.2543,1387.1486,1381.5977,1386.9825,1385.891,1387.0806,1390.8572,1392.1241,1385.4354,1389.0123,1397.092,1393.0281,1389.6516,1396.8523,1395.4642,1392.1417,1395.6697,1387.8348,1390.9779,1387.6841,1396.3243,1389.1488,1390.3699
2021-11-25,1389.7515,1388.3622,1389.3151,1392.0411,1384.7103,1384.1354,1391.1674,1391.3651,1391.3065,1386.2477,1380.2037,1385.6097,1385.5613,1385.7869,1389.7018,1390.6202,1384.8077,1388.0713,1395.8898,1391.2749,1387.7483,1395.5881,1394.3539,1390.9142,1394.7047,1386.5183,1389.8331,1386.2452,1394.5117,1387.7217,1389.1355
2021-11-26,1390.5598,1389.6959,1390.8173,1392.754,1385.1045,1384.9329,1392.4478,1392.8783,1392.0637,1386.9619,1381.3843,1386.7681,1385.7361,1386.8713,1390.6544,1391.9021,1385.2657,1388.8215,1396.887,1392.7921,1389.4078,1396.6401,1395.2637,1391.935,1395.4774,1387.6235,1390.7748,1387.4672,1396.0839,1388.9303,1390.1635
2021-11-27,1391.1206,1390.1862,1391.2678,1393.3499,1385.7462,1385.4933,1392.9462,1393.3406,1392.6442,1387.5437,1381.8865,1387.2869,1386.4052,1387.3966,1391.2074,1392.4008,1385.8788,1389.4064,1397.4315,1393.2522,1389.8427,1397.1937,1395.8245,1392.4761,1396.0598,1388.1489,1391.334,1387.9679,1396.5424,1389.4446,1390.7009
2021-11-28,1388.6886,1386.8936,1387.7278,1391.0378,1383.9512,1383.082,1389.7399,1389.7605,1390.2749,1385.2523,1378.8594,1384.2736,1384.9728,1384.5099,1388.5203,1389.1908,1384.0123,1387.043,1394.6755,1389.6686,1386.0358,1394.3207,1393.204,1389.6818,1393.6587,1385.2235,1388.6571,1384.866,1392.8593,1386.3451,1387.8995
2021-11-29,1382.9303,1380.1193,1380.735,1385.3259,1378.8368,1377.3557,1383.0642,1382.6633,1384.5361,1379.6241,1372.4359,1377.807,1380.2954,1378.2079,1382.4111,1382.5074,1378.8993,1381.2957,1388.495,1382.5743,1378.7042,1387.9323,1387.1642,1383.4584,1387.8654,1378.8635,1382.5409,1378.3364,1385.6232,1379.7683,1381.6793
2021-11-30,1375.0609,1371.5,1372.0452,1377.3745,1371.3107,1369.5208,1374.5138,1373.8265,1376.6145,1371.8082,1364.1224,1369.3885,1373.1035,1369.9298,1374.2223,1373.9474,1371.4797,1373.3488,1380.2655,1373.7482,1369.7355,1379.4634,1379.015,1375.2002,1379.8829,1370.527,1374.3231,1369.9225,1376.6615,1371.2579,1373.4374
2021-12-01,1363.0847,1358.1207,1358.4612,1365.3414,1360.0875,1357.6044,1361.2665,1360.0228,1364.5974,1359.9705,1351.2788,1356.4094,1362.4982,1357.197,1361.699,1360.686,1360.3704,1361.2987,1367.6536,1359.9584,1355.651,1366.4757,1366.5748,1362.5358,1367.7693,1357.6965,1361.7656,1356.909,1362.6409,1358.1138,1360.7913
2021-12-02,1347.023,1340.5836,1340.7896,1349.1223,1344.7084,1341.6205,1343.8652,1342.0579,1348.4385,1344.023,1334.3485,1339.2748,1347.7817,1340.3369,1345.012,1343.2668,1345.2015,1345.0872,1350.8795,1342.0153,1337.4243,1349.2354,1349.964,1345.7145,1351.4913,1340.7184,1345.023,1339.7809,1344.4248,1340.7953,1344.0004
2021-12-03,1340.3735,1336.2986,1337.5082,1341.7255,1335.8384,1334.9521,1339.3291,1338.6437,1341.3796,1336.8345,1329.5042,1334.1249,1337.963,1334.9108,1338.8486,1338.7218,1336.9042,1337.9442,1344.9459,1338.632,1334.771,1343.3147,1343.5767,1339.8984,1344.4388,1335.3383,1338.7478,1335.0626,1341.2012,1335.8534,1338.2528
2021-12-04,1335.6813,1331.8916,1333.3143,1336.8273,1330.7485,1330.271,1334.888,1334.3645,1336.5729,1332.0365,1325.0789,1329.5887,1332.773,1330.3606,1334.1558,1334.2748,1331.9885,1333.1082,1340.2899,1334.3629,1330.6218,1338.5758,1338.8447,1335.263,1339.6112,1330.7761,1334.0186,1330.6304,1336.9181,1331.3329,1333.6389
2021-12-05,1332.67,1329.2297,1330.8479,1333.6465,1327.343,1327.2635,1332.187,1331.8433,1333.4681,1328.9249,1322.36,1326.7866,1329.235,1327.5275,1331.1863,1331.5698,1328.7212,1329.9812,1337.3586,1331.8491,1328.2323,1335.6034,1335.8358,1332.3528,1336.496,1327.9407,1331.0208,1327.9185,1334.4106,1328.5573,1330.7456
2021-12-06,1331.8378,1328.9343,1330.7631,1332.666,1326.0308,1326.4236,1331.8352,1331.7422,1332.5548,1327.977,1321.9288,1326.2992,1327.7048,1326.974,1330.4755,1331.2164,1327.5189,1329.0531,1336.6976,1331.7532,1328.2959,1334.9615,1335.0763,1331.718,1335.588,1327.4006,1330.2892,1327.5201,1334.3567,1328.1196,1330.1238
2021-12-07,1338.5648,1337.813,1340.2499,1339.0958,1331.1654,1333.0858,1340.4983,1341.3413,1339.1227,1334.343,1330.1367,1334.4738,1331.9277,1334.833,1337.8412,1339.8866,1332.8248,1335.6118,1344.2396,1341.3564,1338.4585,1342.7982,1342.2781,1339.3488,1342.2351,1335.3589,1337.6295,1335.9169,1344.2156,1336.5154,1337.7722
2021-12-08,1340.304,1338.1918,1340.1027,1341.2008,1334.111,1334.846,1341.0192,1341.2296,1341.0624,1336.3729,1330.8638,1335.3359,1335.4274,1335.8651,1339.2676,1340.4106,1335.5004,1337.5869,1345.5406,1341.2323,1337.9318,1344.043,1343.8268,1340.5839,1344.1584,1336.3551,1339.1072,1336.559,1343.9811,1337.2517,1338.9755
2021-12-09,1342.5449,1340.6864,1342.6344,1343.4504,1336.2133,1337.0747,1343.4897,1343.8005,1343.3091,1338.5869,1333.261,1337.7572,1337.4169,1338.2418,1341.6062,1342.884,1337.5833,1339.84,1347.8964,1343.8013,1340.5546,1346.4652,1346.1506,1342.9479,1346.4229,1338.75,1341.4515,1338.9866,1346.5927,1339.7023,1341.337
2021-12-10,1347.5603,1346.5614,1348.6965,1348.4187,1340.6731,1342.0575,1349.2809,1349.9495,1348.3016,1343.4841,1338.8384,1343.3672,1341.5042,1343.7136,1346.9136,1348.6813,1342.0469,1344.8403,1353.268,1349.9481,1346.9052,1352.007,1351.3997,1348.3518,1351.4606,1344.2721,1346.7631,1344.6533,1352.8615,1345.4055,1346.7396
2021-12-11,1352.5508,1351.6487,1353.6985,1353.5393,1345.7533,1347.0306,1354.3632,1355.0413,1353.366,1348.5103,1343.8358,1348.4546,1346.5266,1348.763,1352.0063,1353.77,1347.0051,1349.9279,1358.3563,1355.0321,1351.9747,1357.2134,1356.4996,1353.4377,1356.5557,1349.3468,1351.8832,1349.6866,1357.9968,1350.5139,1351.8097
2021-12-12,1357.1892,1356.3223,1358.2727,1358.3125,1350.5232,1351.6545,1359.038,1359.7,1358.081,1353.1935,1348.4407,1353.148,1351.2654,1353.428,1356.7272,1358.4508,1351.6514,1354.6655,1363.0674,1359.6829,1356.5957,1362.0319,1361.2319,1358.1447,1361.2981,1354.0337,1356.6317,1354.3213,1362.6904,1355.2219,1356.5005
2021-12-13,1361.2665,1360.3673,1362.207,1362.524,1354.7704,1355.7202,1363.0906,1363.7097,1362.2341,1357.3232,1352.4424,1357.2329,1355.5121,1357.496,1360.8618,1362.5085,1355.7787,1358.8402,1367.1874,1363.6847,1360.5535,1366.2428,1365.3821,1362.2584,1365.4744,1358.1187,1360.7926,1358.3448,1366.7241,1359.3137,1360.5985
2021-12-14,1364.63,1363.6418,1365.3674,1366.0138,1358.3285,1359.0756,1366.3779,1366.9331,1365.6692,1360.7432,1355.6982,1360.5621,1359.0952,1360.8197,1364.2578,1365.8002,1359.2266,1362.2941,1370.5654,1366.9009,1363.715,1369.6923,1368.7961,1365.6287,1368.9272,1361.4543,1364.2126,1361.6145,1369.9609,1362.6432,1363.9547
2021-12-15,1365.8823,1364.3783,1365.8883,1367.4253,1360.0616,1360.3339,1367.169,1367.4806,1367.0094,1362.113,1356.559,1361.4866,1361.037,1361.8053,1365.4025,1366.5928,1360.8384,1363.6514,1371.66,1367.4413,1364.0969,1370.7808,1369.9891,1366.6979,1370.2644,1362.4287,1365.3809,1362.4468,1370.4646,1363.5225,1365.0098
2021-12-16,1367.8032,1366.5537,1368.1077,1369.3479,1361.8359,1362.2445,1369.3202,1369.7344,1368.9325,1364.0055,1358.6403,1363.5875,1362.6998,1363.8629,1367.4178,1368.7465,1362.6,1365.5793,1373.6925,1369.6936,1366.4053,1372.8752,1371.9888,1368.7402,1372.204,1364.503,1367.4008,1364.5576,1372.7565,1365.6522,1367.0497
2021-12-17,1369.3243,1368.0032,1369.4939,1370.9341,1363.4723,1363.7625,1370.7787,1371.1497,1370.4902,1365.5587,1360.09,1365.0728,1364.3606,1365.3496,1368.9463,1370.2068,1364.1808,1367.1464,1375.2097,1371.105,1367.7827,1374.4231,1373.528,1370.2526,1373.7692,1365.9941,1368.9412,1366.0112,1374.1746,1367.1348,1368.5549
2021-12-18,1371.7993,1370.8057,1372.3523,1373.4119,1365.7596,1366.2246,1373.5499,1374.0527,1372.9689,1367.9977,1362.7715,1367.7799,1366.5049,1368.0006,1371.5436,1372.9813,1366.4513,1369.631,1377.8285,1374.0062,1370.7555,1377.1223,1376.1049,1372.8843,1376.2688,1368.6667,1371.5441,1368.7305,1377.1267,1369.8789,1371.1835
2021-12-19,1374.7754,1373.988,1375.5345,1376.4357,1368.6694,1369.1888,1376.7142,1377.29,1375.9734,1370.9681,1365.8595,1370.9128,1369.3195,1371.0906,1374.6202,1376.1493,1369.3092,1372.6465,1380.9142,1377.2393,1374.0208,1380.2921,1379.1732,1375.9768,1379.295,1371.7765,1374.6339,1371.8508,1380.404,1373.0387,1374.2688
2021-12-20,1377.5094,1376.7307,1378.2124,1379.2556,1371.4956,1371.9153,1379.4591,1380.0199,1378.7566,1373.7329,1368.5646,1373.6727,1372.1332,1373.8351,1377.4021,1378.8976,1372.0573,1375.4437,1383.6879,1379.9636,1376.7231,1383.1313,1381.9629,1378.7487,1382.0945,1374.5332,1377.4332,1374.5732,1383.1522,1375.8069,1377.0302
2021-12-21,1378.2948,1377.0259,1378.312,1380.1807,1372.7249,1372.707,1379.806,1380.1383,1379.6189,1374.6259,1368.983,1374.1438,1373.5621,1374.3666,1378.0792,1379.245,1373.1818,1376.3206,1384.3182,1380.0753,1376.6877,1383.7473,1382.6847,1379.3558,1382.9515,1375.052,1378.1306,1374.9624,1383.226,1376.2347,1377.6248
2021-12-22,1380.2003,1379.3049,1380.6771,1382.061,1374.3845,1374.6007,1382.0483,1382.5371,1381.5125,1376.4799,1371.1359,1376.3077,1375.0616,1376.4711,1380.1094,1381.49,1374.8479,1378.2162,1386.3757,1382.4738,1379.1758,1385.8755,1384.6887,1381.429,1384.8638,1377.1772,1380.1619,1377.1527,1385.6747,1378.4382,1379.6976
2021-12-23,1375.0964,1372.1843,1372.9609,1377.2607,1370.7992,1369.5455,1375.1309,1374.7382,1376.5691,1371.7157,1364.6295,1369.8481,1372.3247,1370.3038,1374.4196,1374.5651,1371.0757,1373.2893,1380.5209,1374.666,1370.8383,1379.7633,1379.1565,1375.4855,1379.8503,1370.9221,1374.5006,1370.4751,1377.639,1371.7777,1373.7351
2021-12-24,1370.0974,1367.1515,1368.0406,1372.1088,1365.6469,1364.5618,1370.0958,1369.7223,1371.4824,1366.6641,1359.6702,1364.79,1367.2026,1365.2765,1369.3286,1369.5242,1366.063,1368.1771,1375.4431,1369.6606,1365.8679,1374.5651,1374.0527,1370.4106,1374.734,1365.8718,1369.3782,1365.4832,1372.588,1366.7028,1368.6788
2021-12-25,1368.2858,1366.1285,1367.3456,1370.0564,1363.103,1362.7417,1368.9895,1368.9873,1369.5385,1364.6744,1358.456,1363.4807,1364.3396,1363.8729,1367.683,1368.416,1363.7025,1366.2068,1373.8744,1368.9371,1365.3854,1373.007,1372.3334,1368.8799,1372.7948,1364.4858,1367.6968,1364.313,1371.9211,1365.4618,1367.1698
