,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,193.67078,205.8788,202.68759,179.60953,150.56503,202.96526,190.26868,185.1817,201.46033,175.0356,197.81111,177.8416,170.19286,197.3529,213.18182,182.66379,151.2525,235.7821,214.23639,225.59705,174.18628,166.42032,199.7226,174.10797,264.51605,214.52571,222.10881,180.18806,157.76921,200.11604,193.56322
2000-01-10,196.00621,224.87132,217.54756,201.27943,197.4892,217.37823,218.30069,215.19199,237.31482,199.78745,215.94319,186.13748,233.68347,231.34486,217.64351,204.69046,229.8214,201.5111,190.97923,198.21294,220.65077,201.43292,213.88458,230.23718,204.60849,175.59573,260.7647,206.76187,220.9365,233.6952,213.45674
2000-01-11,197.68811,186.61462,200.94296,193.28941,194.66986,201.91254,191.10345,195.97337,197.82391,199.29504,193.23172,192.19344,207.00195,192.93057,192.21323,189.4425,200.68095,194.47513,190.98349,191.4068,186.06783,188.7304,195.88884,195.81937,198.8494,187.80652,191.39694,196.32997,184.35782,191.19841,194.01064
2000-01-12,191.72371,183.7528,199.15787,186.71753,186.24728,195.86993,187.93976,194.3609,191.52986,192.72372,189.56236,188.30054,197.36378,188.60149,187.1041,186.21956,192.56276,188.21655,186.0739,189.64563,185.14388,184.19441,190.53955,191.11957,192.58209,183.5424,186.23482,192.89679,182.8439,187.696,189.3489
2000-01-13,196.26527,190.87407,207.06357,190.70654,188.6467,200.25525,194.79054,202.39832,195.75684,196.68233,195.93445,194.45161,198.69702,194.45671,192.32324,193.02037,195.29373,192.40988,191.54834,197.63466,193.86395,189.8484,195.55052,196.64833,196.80632,189.48888,191.39966,199.45062,191.0949,194.21901,194.91934
2000-01-14,197.83713,191.51141,207.37926,192.46243,190.96123,201.8527,195.51923,202.66228,197.42894,198.43887,196.81697,195.4022,201.37898,195.5371,193.63828,193.76697,197.51482,194.0728,192.80115,197.9417,193.91801,190.99178,196.93808,197.84077,198.47096,190.54884,192.73085,200.26224,191.32613,195.05087,196.10011
2000-01-15,198.68074,192.20471,208.01395,193.33267,191.91812,202.69473,196.22597,203.28793,198.28613,199.30728,197.54486,196.13887,202.39151,196.29877,194.43846,194.47655,198.4616,194.9246,193.59692,198.57893,194.51672,191.76175,197.74942,198.61937,199.32542,191.30954,193.533,200.97784,191.95471,195.77136,196.87741
2000-01-16,199.62218,193.17232,208.97913,194.26402,192.82855,203.62595,197.18904,204.25334,199.22054,200.23541,198.49757,197.08603,203.28586,197.2492,195.3836,195.43904,199.38277,195.85278,194.55305,199.55095,195.49947,192.70743,198.69165,199.56473,200.25748,192.2644,194.47661,201.931,192.93474,196.72672,197.82417
2000-01-17,200.83804,194.44955,210.2622,195.46118,193.98196,204.8274,198.45757,205.53821,200.42418,201.42825,199.74792,198.3271,204.40738,198.49092,196.61166,196.70634,200.55319,197.04836,195.79764,200.84341,196.81342,193.94102,199.91382,200.7966,201.4582,193.51268,195.70218,203.18404,194.24005,197.98209,199.05821
2000-01-18,206.872,201.70627,217.84612,201.21373,198.96033,210.74962,205.57831,213.17984,206.29219,207.15363,206.61777,205.07828,208.85735,205.12856,202.95291,203.80327,205.7205,202.87544,202.29642,208.49265,204.82361,200.47186,206.1531,207.2722,207.31516,200.2089,202.01334,210.13426,202.03699,204.92818,205.55777
