,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,1391.2555,1403.3495,1392.8108,1393.683,1389.218,1392.967,1389.7533,1391.3896,1392.517,1397.9774,1393.1737,1388.6865,1390.9849,1395.7129,1389.4363,1392.8293,1390.3,1389.7273,1396.356,1392.739,1390.7084,1394.3258,1392.742,1392.1257,1391.6204,1390.6553,1391.6566,1393.3289,1396.3829,1393.3531,1392.7255
2021-11-25,1391.4661,1403.3706,1392.8615,1393.8911,1389.6133,1393.0897,1390.0243,1391.7522,1392.8896,1398.0795,1392.9099,1389.1273,1391.1796,1396.2931,1389.4458,1392.5662,1390.6139,1389.8256,1397.124,1392.6484,1390.8523,1394.2914,1393.1849,1392.8444,1392.2561,1391.103,1391.9254,1393.7997,1396.4845,1393.4319,1392.965
2021-11-26,1391.1248,1403.2029,1392.6692,1393.5491,1389.0983,1392.83,1389.6248,1391.264,1392.3915,1397.8362,1393.0146,1388.566,1390.8514,1395.5968,1389.2932,1392.6699,1390.171,1389.5887,1396.253,1392.5906,1390.5731,1394.1794,1392.6226,1392.0182,1391.509,1390.5369,1391.5251,1393.2083,1396.2435,1393.2128,1392.5935
2021-11-27,1391.9078,1403.9839,1393.4377,1394.3467,1389.9058,1393.6074,1390.4222,1392.0874,1393.2183,1398.6256,1393.735,1389.3973,1391.6415,1396.467,1390.0508,1393.3914,1390.9899,1390.3622,1397.1377,1393.3317,1391.3492,1394.9349,1393.4493,1392.9047,1392.3794,1391.3606,1392.3373,1394.0531,1397.0236,1393.9868,1393.3943
2021-11-28,1391.2471,1403.0035,1392.5236,1393.6633,1389.5275,1392.8044,1389.846,1391.6333,1392.7766,1397.7719,1392.3484,1389.0658,1390.9446,1396.3224,1389.0809,1392.0046,1390.4586,1389.5227,1397.294,1392.213,1390.5844,1393.8931,1393.1276,1392.9745,1392.3289,1391.0505,1391.738,1393.7552,1396.1813,1393.1134,1392.7598
2021-11-29,1387.2893,1398.577,1388.2444,1389.6179,1385.8981,1388.656,1385.9606,1387.8319,1388.9807,1393.503,1387.5464,1385.4169,1386.9065,1392.8044,1384.7594,1387.198,1386.5592,1385.3356,1394.17,1387.7323,1386.4982,1389.4718,1389.5105,1389.7152,1388.9506,1387.4619,1387.7628,1390.1055,1391.9652,1388.8735,1388.7767
2021-11-30,1380.3951,1391.2217,1381.084,1382.5826,1379.2408,1381.5925,1379.0853,1380.9441,1382.0852,1386.2747,1380.0432,1378.652,1379.906,1386.0245,1377.597,1379.6859,1379.5903,1378.2488,1387.7302,1380.4727,1379.5022,1382.2181,1382.7942,1383.1335,1382.3094,1380.785,1380.7434,1383.2887,1384.8247,1381.7316,1381.7928
2021-12-01,1370.5446,1380.5941,1370.7559,1372.5269,1369.8395,1371.446,1369.2974,1371.1908,1372.3265,1375.8779,1369.0369,1369.1213,1369.8926,1376.553,1367.2423,1368.6671,1369.6914,1368.0543,1378.8594,1369.9191,1369.4657,1371.7052,1373.3352,1374.029,1373.0708,1371.3857,1370.7455,1373.7006,1374.5547,1371.4462,1371.8292
2021-12-02,1356.4338,1365.5537,1356.1129,1358.1278,1356.1995,1356.995,1355.2214,1357.0822,1358.2013,1361.0917,1353.7148,1355.2578,1355.5654,1362.6493,1352.5978,1353.3264,1355.4204,1353.5575,1365.6372,1355.0825,1355.1514,1356.8765,1359.5712,1360.5209,1359.4467,1357.702,1356.3744,1359.7291,1359.9479,1356.8379,1357.5331
2021-12-03,1343.6735,1353.2424,1343.9385,1345.1495,1342.6489,1344.5176,1342.1055,1343.3586,1344.4004,1348.4744,1342.9846,1341.2373,1342.731,1347.7104,1340.6818,1342.5768,1341.8754,1341.1986,1350.0583,1343.6458,1342.6493,1345.0906,1345.6158,1345.0248,1344.3822,1343.7831,1343.0343,1345.4298,1347.4777,1344.5121,1344.4402
