,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,1371.296,1350.266,1364.1521,1362.6636,1369.1456,1367.7214,1365.0728,1353.0918,1373.5071,1357.2001,1366.5614,1374.3835,1369.0831,1363.3188,1352.6174,1369.6956,1363.93,1369.6187,1359.3552,1366.323,1373.8296,1378.3057,1366.4255,1372.5193,1358.8304,1355.9966,1368.7754,1360.071,1363.4861,1389.042,1365.8761
2021-11-25,1372.228,1351.1893,1365.0613,1363.5212,1370.0522,1368.6451,1365.9937,1353.9727,1374.4363,1358.0518,1367.5337,1375.3549,1369.9801,1364.2655,1353.4828,1370.5977,1364.7944,1370.5255,1360.247,1367.3081,1374.7605,1379.278,1367.411,1373.4133,1359.7782,1356.8486,1369.7931,1360.8463,1364.3666,1389.9364,1366.789
2021-11-26,1372.8052,1351.7537,1365.5756,1364.0398,1370.6139,1369.2164,1366.5677,1354.4901,1374.9905,1358.6082,1368.126,1375.944,1370.5166,1364.8352,1354.0059,1371.1715,1365.3256,1371.0602,1360.7609,1367.8851,1375.2751,1379.8761,1368.0139,1373.9412,1360.3328,1357.3772,1370.4115,1361.4362,1364.9918,1390.5604,1367.3502
2021-11-27,1370.3835,1349.1648,1362.7808,1361.1243,1368.2129,1366.8031,1363.7971,1351.8472,1372.4325,1355.8788,1365.2815,1373.6018,1367.6232,1362.6626,1351.3372,1368.6536,1362.9062,1368.7721,1357.9467,1365.1097,1372.1631,1377.6418,1365.551,1371.2482,1357.6927,1354.7557,1367.5236,1358.5892,1362.2157,1387.9983,1364.7233
2021-11-28,1364.625,1343.0698,1357.1259,1354.6956,1362.4695,1360.815,1357.7887,1345.8103,1366.6014,1349.548,1358.6895,1367.7837,1361.0665,1357.1086,1345.043,1362.6124,1357.3995,1363.4939,1352.2439,1358.503,1366.0682,1372.3354,1359.4161,1365.2942,1351.5331,1348.8116,1360.7446,1352.1179,1355.8264,1381.6011,1358.6748
2021-11-29,1356.8458,1334.7332,1349.3574,1346.2902,1354.501,1352.4844,1349.7,1337.609,1358.7838,1341.3076,1349.7467,1359.303,1352.4595,1349.3522,1336.6342,1354.5104,1349.79,1356.0074,1344.5804,1349.147,1357.9382,1365.0995,1350.7643,1357.1184,1343.0498,1340.5825,1351.4677,1344.3126,1348.0912,1374.0425,1350.5204
2021-11-30,1344.7074,1322.1185,1337.1722,1334.3932,1342.039,1339.7239,1337.1465,1325.3191,1346.7815,1328.9766,1336.3896,1345.841,1340.0074,1337.3177,1324.405,1342.0413,1338.2728,1343.9985,1332.9152,1335.3647,1345.7941,1352.7004,1337.3444,1344.8663,1330.344,1328.6229,1337.5338,1332.703,1335.9711,1361.588,1338.08
2021-12-01,1327.6304,1305.6599,1321.1097,1318.7368,1325.3983,1322.3765,1320.4888,1309.4526,1329.9324,1313.0817,1319.0042,1328.8353,1323.8938,1320.099,1308.6996,1325.7173,1322.4299,1327.8773,1316.8909,1317.763,1329.699,1335.2765,1319.907,1329.0092,1313.4999,1313.2386,1319.4236,1316.8541,1319.0382,1343.5908,1321.4872
2021-12-02,1321.3362,1299.3398,1315.2975,1312.798,1318.895,1315.6841,1314.1891,1303.2239,1323.7184,1306.7086,1312.2844,1322.0934,1317.5936,1313.7211,1302.3832,1319.3928,1316.4008,1321.8145,1311.0719,1310.784,1323.7216,1328.8655,1313.1368,1322.658,1307.1305,1307.2716,1312.4144,1310.3885,1312.791,1336.6144,1315.1241
2021-12-03,1316.504,1294.6437,1310.6104,1308.5415,1314.2532,1310.6528,1309.3724,1298.8597,1318.9368,1302.2925,1307.3679,1316.8843,1313.3135,1308.6896,1297.9086,1314.7067,1311.867,1317.1041,1306.5485,1305.574,1319.3776,1323.5349,1307.9729,1318.1644,1302.3035,1302.8696,1307.2385,1305.9159,1308.463,1331.7103,1310.406
2021-12-04,1313.3513,1291.7328,1307.611,1306.0557,1311.1974,1307.4565,1306.3683,1296.0858,1315.8734,1299.3262,1304.3566,1313.4639,1310.6979,1305.4918,1294.9817,1311.6066,1309.0421,1314.1384,1303.4606,1302.5453,1316.2719,1319.8553,1304.7467,1315.1985,1299.28,1300.3757,1304.0693,1303.7866,1305.2416,1328.562,1307.4077
2021-12-05,1312.0723,1291.2101,1306.888,1305.3556,1310.6156,1306.3536,1305.6844,1295.7406,1315.042,1298.767,1303.8353,1313.06,1310.3107,1304.0721,1294.4645,1310.7465,1307.9369,1313.2125,1302.4095,1302.0511,1315.7805,1318.3766,1304.1686,1314.0304,1298.7759,1300.0573,1303.512,1303.3434,1304.3523,1327.3754,1306.6534
2021-12-06,1319.5671,1298.1315,1313.9258,1312.0876,1317.6868,1313.9677,1312.8367,1302.3629,1322.2843,1305.883,1311.1423,1320.3635,1317.0167,1311.6846,1301.4319,1318.0063,1314.942,1320.339,1309.6292,1309.4987,1322.9454,1326.3933,1311.5476,1321.5028,1305.8507,1306.4333,1311.1315,1309.9095,1311.6536,1335.2198,1313.8458
