,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,212.0901,218.82806,219.7994,213.34561,207.75272,211.03456,201.07106,211.5207,214.8696,215.5633,210.31194,219.69547,208.94667,215.27802,213.80693,221.7513,206.95755,225.27567,222.79494,224.42607,217.29953,209.76065,213.6355,211.93724,213.87555,217.01083,214.09349,214.36926,201.64996,219.9534,214.29019
2000-01-10,193.55861,201.53285,203.71939,197.16745,192.26692,193.37202,185.75237,194.33699,196.85204,197.14856,193.80507,202.74269,194.0506,199.2556,195.94252,204.2235,192.97563,208.82912,206.54698,209.39995,200.46039,191.64983,197.40077,193.59186,197.34311,198.85825,197.3643,198.27406,185.18437,200.76921,197.47916
2000-01-11,188.20584,196.6029,199.06133,192.01367,187.56828,188.46278,181.52026,189.36441,191.25922,191.42665,189.06758,197.52922,190.00014,192.9984,190.534,198.65976,188.93536,203.95541,201.13947,205.24748,194.11717,185.86427,192.74678,188.06168,192.15503,193.07895,192.77069,192.48264,180.3369,195.19066,192.34521
2000-01-12,193.37552,201.39673,203.57394,196.96716,192.10219,193.21814,185.7759,194.11427,196.49521,196.71446,193.78185,202.28157,194.21555,198.26384,195.74318,203.95663,192.89107,208.82063,206.08102,209.388,199.99144,191.00562,197.29688,193.41173,196.6497,198.26405,197.45956,197.47995,184.97447,200.2979,197.19962
2000-01-13,194.83388,202.71074,204.83678,198.23163,193.21307,194.55652,187.01752,195.43935,197.96611,198.12181,195.1227,203.6226,195.40886,199.56992,197.12456,205.43161,193.97977,210.22609,207.35358,210.5596,201.48996,192.40796,198.55754,194.91573,197.87776,199.77876,198.73384,198.84975,186.221,201.74901,198.53029
2000-01-14,195.69809,203.53757,205.58931,199.00957,194.0096,195.3809,187.7173,196.14543,198.768,198.86305,195.8948,204.39032,196.11852,200.41788,198.013,206.29369,194.61635,210.76888,208.23686,211.2614,202.5314,193.24643,199.32457,195.80296,198.6229,200.5002,199.50807,199.52242,186.98338,202.57552,199.3116
2000-01-15,196.71089,204.54329,206.4167,199.79999,194.82356,196.48982,188.78174,196.91643,199.6872,199.66089,197.05292,205.18105,197.19676,201.34596,198.97424,207.29187,195.41142,212.10829,209.3909,212.25417,203.37129,194.02592,200.26627,196.83304,199.02496,201.28683,200.58722,199.98186,187.87146,203.33165,200.2206
2000-01-16,198.14003,206.09859,207.6628,200.92126,196.1456,197.97064,190.28435,197.98447,200.84692,200.61224,198.62616,206.0889,198.79803,202.04,200.40541,208.63072,196.52165,213.36519,210.64732,213.62158,204.47334,194.85419,201.61394,198.25182,199.52063,202.031,202.28929,200.19724,189.07391,204.27872,201.39986
2000-01-17,204.94257,212.35909,213.4483,206.5635,201.53212,204.43872,196.07678,204.08075,207.30505,207.04645,204.70137,211.84387,204.32281,207.93736,207.02165,215.0499,201.52121,219.52501,216.87003,219.10518,211.21631,200.88878,207.50513,204.7328,204.90558,208.32143,208.61856,205.35272,194.83136,210.76277,207.42758
2000-01-18,210.26303,217.0406,217.79982,210.91562,205.7774,209.54396,200.6064,209.00679,212.35329,211.93793,209.35114,216.19978,208.73105,212.08496,212.08588,219.56543,205.53603,223.91347,221.4292,223.47548,215.9943,205.50621,212.03407,209.71211,209.02641,213.00883,213.5427,209.4621,199.41997,215.94255,212.04222
