,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,1396.674,1376.4475,1388.7076,1388.4916,1393.7108,1393.6718,1390.5115,1378.3956,1398.6544,1382.7087,1394.4496,1400.8352,1395.4882,1388.378,1378.0259,1395.4028,1387.6357,1393.4048,1383.8422,1394.453,1398.611,1403.0492,1393.6406,1397.8287,1385.3385,1380.7838,1397.7535,1384.351,1389.1995,1414.1709,1391.487
2019-06-21,1402.6162,1382.8638,1394.5491,1395.1982,1399.1038,1399.9648,1396.5625,1384.7297,1404.4207,1388.9993,1401.3737,1407.0878,1402.2549,1394.1387,1384.4376,1401.6014,1393.3217,1398.7538,1389.7555,1401.3956,1404.5424,1408.2902,1400.137,1404.1036,1391.8147,1386.983,1404.9066,1390.5101,1395.2089,1419.6268,1397.6416
2019-06-22,1411.9622,1392.7365,1403.5735,1404.7356,1407.554,1409.852,1405.8566,1394.1713,1413.4072,1398.4843,1411.8647,1417.3794,1412.1632,1403.32,1394.0155,1411.1898,1402.1943,1407.4445,1398.7606,1412.1173,1413.4283,1417.087,1410.5255,1413.6802,1401.717,1396.2756,1415.8566,1399.0579,1404.1836,1427.9642,1407.0853
2019-06-23,1424.5629,1405.7328,1415.0845,1416.8281,1419.2443,1422.9143,1418.2046,1406.2614,1425.5612,1410.7607,1425.5216,1431.0978,1424.7136,1416.1786,1406.1721,1423.9686,1413.9194,1419.4142,1410.663,1426.0054,1425.0338,1429.866,1424.4369,1426.058,1414.8352,1408.2628,1430.1882,1410.0027,1416.5784,1440.0309,1419.6034
2019-06-24,1434.0198,1415.3645,1423.4409,1425.6412,1428.0671,1432.579,1427.4213,1414.9039,1434.8037,1419.7341,1435.5902,1441.2072,1433.8424,1426.0504,1415.0537,1433.4727,1422.6146,1428.5465,1419.4237,1436.1697,1433.5918,1439.6665,1434.7926,1435.113,1424.6055,1417.0614,1440.776,1418.1781,1426.0336,1448.9609,1428.8909
2019-06-25,1437.269,1418.6312,1426.2457,1428.618,1431.1654,1435.8462,1430.61,1417.7886,1438.0476,1422.734,1438.9934,1444.576,1436.8971,1429.2999,1418.034,1436.6992,1425.5541,1431.8014,1422.3953,1439.5449,1436.4888,1443.1187,1438.3098,1438.1454,1427.9602,1420.0023,1444.3594,1420.9233,1429.2012,1452.0427,1432.0435
2019-06-26,1437.2032,1418.5889,1426.216,1428.6506,1431.1167,1435.7756,1430.5839,1417.772,1438.0164,1422.7124,1438.9648,1444.4778,1436.9084,1429.2047,1418.0288,1436.6527,1425.498,1431.7197,1422.3826,1439.5023,1436.4901,1443.0117,1438.2224,1438.1177,1427.9236,1419.9984,1444.3177,1420.98,1429.1892,1452.0278,1432.0085
2019-06-27,1437.6896,1419.1282,1426.7126,1429.221,1431.5242,1436.2937,1431.0942,1418.3177,1438.4956,1423.2296,1439.556,1444.9692,1437.5033,1429.663,1418.5728,1437.1544,1425.9773,1432.1472,1422.8846,1440.0979,1436.9941,1443.4065,1438.7449,1438.6477,1428.4553,1420.5425,1444.9222,1421.5917,1429.6437,1452.4823,1432.5222
2019-06-28,1439.2762,1420.849,1428.2356,1431.0354,1432.8915,1437.9546,1432.7386,1420.0134,1440.0691,1424.905,1441.4127,1446.6335,1439.3258,1431.1453,1420.2625,1438.8069,1427.4803,1433.5797,1424.4956,1441.9421,1438.6119,1444.8287,1440.4731,1440.3286,1430.2144,1422.199,1446.8422,1423.2262,1431.2344,1453.9952,1434.1669
2019-06-29,1441.838,1423.5685,1430.663,1433.645,1435.0747,1440.66,1435.2622,1422.6035,1442.5016,1427.4941,1444.3044,1449.4352,1442.063,1433.6609,1422.8611,1441.428,1429.9333,1435.8779,1426.9679,1444.9205,1441.0504,1447.2192,1443.31,1442.9534,1432.9097,1424.7761,1449.8573,1425.6716,1433.6633,1456.2733,1436.7484
