,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,1120.3693,1108.2346,1125.7191,1106.45,1116.0587,1109.4199,1111.1572,1121.645,1132.0217,1135.3243,1129.8014,1131.5693,1112.6572,1132.4363,1122.0151,1120.1426,1105.8685,1120.2502,1117.5507,1129.3424,1111.9852,1131.8595,1125.8807,1124.2827,1128.7028,1127.769,1122.2804,1135.5037,1120.351,1110.9398,1121.5864
798,1123.4025,1110.721,1128.2245,1109.032,1118.6006,1112.1096,1113.7262,1124.5638,1134.8718,1138.5002,1132.399,1134.8767,1115.2289,1134.915,1124.4274,1122.8906,1108.77,1122.4254,1120.8011,1132.2737,1114.6439,1134.4019,1128.9052,1127.3613,1131.2001,1130.2634,1125.1555,1138.3191,1122.974,1113.3595,1124.3116
799,1126.066,1113.3586,1130.9493,1111.6586,1121.18,1114.7328,1116.6492,1127.2742,1137.4521,1141.2756,1135.1097,1137.5308,1117.96,1137.5331,1127.0004,1125.7172,1111.3969,1125.1646,1123.3936,1134.9991,1117.2893,1137.0349,1131.6503,1129.9559,1133.8629,1132.9252,1127.884,1140.9977,1125.602,1116.2008,1126.9935
800,1126.6824,1114.219,1131.8684,1112.464,1121.968,1115.4835,1117.6924,1127.9824,1138.0922,1141.9105,1135.9733,1138.0073,1118.8518,1138.3817,1127.8462,1126.5988,1112.0482,1126.2543,1123.8499,1135.713,1118.0724,1137.8647,1132.3347,1130.4966,1134.7377,1133.8003,1128.6277,1141.731,1126.3887,1117.2527,1127.7732
801,1129.1727,1116.4292,1134.1201,1114.7174,1124.1841,1117.789,1120.049,1130.4332,1140.4607,1144.5128,1138.2654,1140.6296,1121.1387,1140.5807,1129.9954,1129.0083,1114.4596,1128.3483,1126.4211,1138.1755,1120.3704,1140.1008,1134.8507,1132.9835,1136.9625,1136.0233,1131.0636,1144.119,1128.6628,1119.5056,1130.1177
802,1135.652,1122.2635,1140.0743,1120.6459,1130.0135,1123.8348,1126.3018,1136.837,1146.6375,1151.281,1144.3075,1147.4071,1127.1747,1146.3827,1135.6704,1135.353,1120.7476,1133.9484,1133.0642,1144.6102,1126.4056,1145.9922,1141.4138,1139.4343,1142.8376,1141.8931,1137.4393,1150.3706,1134.6396,1125.4979,1136.271
803,1139.1791,1126.0684,1144.041,1124.37,1133.6671,1127.4874,1130.6277,1140.5261,1150.1072,1154.9464,1148.1908,1150.7493,1131.1141,1150.1515,1139.3887,1139.3783,1124.2792,1138.1444,1136.3179,1148.3214,1130.1205,1149.7529,1145.1096,1142.7948,1146.6862,1145.7406,1141.1915,1154.0588,1138.3422,1129.7518,1140.02
804,1139.2189,1126.5546,1144.5973,1124.7621,1134.047,1127.7833,1131.3269,1140.7112,1150.2223,1154.9749,1148.6534,1150.5427,1131.6198,1150.6244,1139.874,1139.8268,1124.3958,1139.0004,1136.0991,1148.5106,1130.4655,1150.186,1145.2384,1142.7264,1147.1881,1146.2439,1141.4326,1154.3014,1138.7006,1130.4988,1140.3441
805,1138.2163,1125.7179,1143.7523,1123.8971,1133.1954,1126.8857,1130.4567,1139.7418,1149.2778,1153.9257,1147.7811,1149.4575,1130.7546,1149.7908,1139.0621,1138.9053,1123.4342,1138.2544,1135.0333,1147.537,1129.5767,1149.3326,1144.236,1141.7126,1146.3473,1145.4042,1140.4758,1153.3641,1137.8229,1129.6758,1139.4342
806,1139.5533,1126.7379,1144.7684,1124.9751,1134.2577,1128.0276,1131.4767,1141.0035,1150.521,1155.3276,1148.8539,1150.9575,1131.8086,1150.8094,1140.0491,1140.047,1124.6998,1139.0745,1136.51,1148.8036,1130.6963,1150.3861,1145.554,1143.0876,1147.3694,1146.4246,1141.7089,1154.5707,1138.9249,1130.6222,1140.5868
807,1139.0605,1126.4758,1144.5254,1124.6676,1133.9532,1127.6721,1131.2675,1140.5753,1150.0824,1154.8076,1148.5658,1150.3418,1131.5385,1150.5442,1139.799,1139.7296,1124.253,1138.9797,1135.8999,1148.3745,1130.3613,1150.0979,1145.0907,1142.5535,1147.1102,1146.1664,1141.3052,1154.1776,1138.6,1130.4528,1140.2343
808,1137.0271,1124.6853,1142.704,1122.8394,1132.155,1125.7982,1129.3656,1138.5789,1148.1511,1152.6824,1146.7085,1148.1924,1129.687,1148.7632,1138.0592,1137.7759,1122.287,1137.2966,1133.7915,1146.369,1128.4954,1148.2853,1143.039,1140.5193,1145.3087,1144.3668,1139.323,1152.2341,1136.7533,1128.6367,1138.3293
809,1137.7339,1125.0405,1143.0288,1123.2638,1132.5759,1126.2961,1129.6348,1139.1865,1148.7767,1153.4291,1147.1018,1149.0872,1130.0526,1149.1229,1138.3966,1138.212,1122.9243,1137.3942,1134.6786,1146.9775,1128.9615,1148.6799,1143.6997,1141.2908,1145.6587,1144.7152,1139.8923,1152.7885,1137.2045,1128.8466,1138.8218
810,1136.9641,1124.4615,1142.4532,1122.6498,1131.9706,1125.6433,1129.0594,1138.4626,1148.0623,1152.6215,1146.4918,1148.2189,1129.4542,1148.5447,1137.8367,1137.5623,1122.1969,1136.9371,1133.8235,1146.251,1128.3225,1148.0807,1142.9423,1140.4968,1145.0787,1144.1364,1139.186,1152.0977,1136.5758,1128.3148,1138.1633
811,1136.4052,1123.8936,1141.8652,1122.0873,1131.4183,1125.0848,1128.4253,1137.8894,1147.5184,1152.0396,1145.9095,1147.6698,1128.8665,1147.9813,1137.2826,1136.956,1121.6434,1136.336,1133.2877,1145.6744,1127.7578,1147.5156,1142.3635,1139.9558,1144.505,1143.5629,1138.6072,1151.529,1136.0142,1127.6959,1137.5914
