,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,1353.6067,1371.1064,1364.8049,1383.2728,1372.778,1359.6471,1374.1207,1363.5009,1378.0901,1383.6012,1374.6232,1368.3595,1362.2848,1353.676,1360.2102,1355.821,1346.0955,1352.0051,1350.3821,1341.2732,1345.1404,1344.4968,1349.3893,1345.53,1340.3967,1346.8002,1338.432,1351.8258,1337.795,1350.2577,1357.3109
1,1346.4934,1364.5487,1358.2327,1377.3375,1366.0278,1353.2897,1366.9657,1356.1799,1370.687,1375.6968,1365.9757,1360.4487,1353.2411,1346.6643,1353.3766,1349.0535,1339.5283,1345.2572,1344.2256,1334.3683,1339.1005,1338.241,1343.3297,1339.8943,1334.2966,1340.8325,1332.776,1345.663,1332.4967,1344.7095,1350.6313
2,1334.8308,1352.2595,1346.0792,1366.2914,1353.5702,1342.8969,1355.6661,1345.2878,1359.7025,1364.3175,1354.9597,1349.5134,1343.2091,1336.8607,1343.584,1339.7379,1330.6647,1336.9749,1335.9845,1326.4918,1331.5408,1330.3904,1335.486,1332.5747,1326.7454,1333.0999,1325.2677,1337.6487,1325.5271,1336.1182,1341.1095
3,1316.3652,1332.4646,1326.8234,1346.0203,1333.3187,1324.1324,1336.5104,1326.2848,1341.6306,1346.3309,1339.3491,1333.6785,1327.8368,1320.8822,1326.8965,1323.4325,1314.8525,1321.0225,1319.8376,1310.9266,1315.1322,1313.785,1318.9591,1316.3606,1310.9856,1315.9801,1308.4163,1319.7106,1308.4154,1318.0653,1323.8138
4,1309.8826,1325.5089,1320.0872,1339.044,1326.1344,1317.6824,1329.7091,1319.9054,1335.5916,1340.1393,1333.8907,1328.9958,1322.7938,1316.746,1321.4955,1320.4601,1311.7103,1319.2433,1317.1935,1309.8732,1314.5377,1313.3539,1317.4543,1315.7574,1310.0548,1317.0436,1310.2776,1322.5304,1311.1819,1317.3524,1320.5212
5,1304.6775,1319.9458,1314.7804,1333.8043,1320.6027,1313.5936,1326.0377,1317.0067,1334.0988,1339.0197,1331.793,1329.6932,1322.154,1318.4015,1321.218,1323.5875,1316.7875,1324.7642,1323.1862,1315.9106,1320.3588,1320.9966,1326.03,1319.9678,1318.161,1326.1167,1320.2,1329.935,1318.5673,1318.6731,1322.3354
6,1300.5875,1316.0858,1311.0853,1329.5804,1316.9233,1309.1576,1322.6385,1313.9092,1331.1285,1335.865,1330.9991,1327.6443,1322.6692,1316.5483,1318.824,1322.6804,1313.8002,1323.214,1319.9802,1315.1208,1318.322,1318.307,1323.7815,1317.9437,1315.4512,1323.4962,1317.6228,1326.7333,1316.3889,1316.5607,1319.7684
7,1298.375,1313.5698,1308.4818,1326.8732,1314.4419,1307.3931,1320.5338,1311.9685,1328.3043,1333.7068,1328.8844,1327.0039,1322.3962,1316.2272,1319.0635,1322.0703,1314.2736,1322.7273,1319.8525,1314.7653,1318.1665,1318.6776,1323.4897,1318.2294,1315.6434,1324.4213,1318.0988,1327.7888,1317.2714,1316.8273,1318.9841
8,1307.1276,1322.509,1317.3639,1336.2494,1323.6105,1315.8207,1329.3616,1320.4336,1337.0344,1342.2626,1337.424,1333.536,1328.8009,1322.8213,1326.1641,1328.4244,1320.7662,1329.2413,1327.3198,1321.267,1324.3525,1325.1355,1330.3594,1323.9735,1322.0051,1330.7551,1324.6102,1334.2137,1322.8787,1323.0829,1326.2968
9,1308.4491,1323.8453,1318.7903,1337.6223,1325.219,1317.213,1331.2701,1322.4225,1339.3586,1344.7572,1340.098,1336.1981,1332.0773,1325.9413,1328.0306,1331.9225,1323.1783,1333.2181,1330.2432,1325.5306,1327.8468,1329.2047,1334.8319,1326.014,1325.1791,1335.2246,1328.9827,1338.0176,1326.0288,1325.4224,1329.0712
10,1310.1941,1325.5919,1320.5837,1339.2805,1327.1963,1318.9469,1333.4707,1324.8383,1341.7622,1347.2162,1343.1808,1339.3568,1335.6013,1329.5018,1330.9424,1335.5566,1325.9381,1337.2035,1333.1163,1329.8597,1331.5597,1333.2021,1338.293,1328.7346,1328.4557,1339.2573,1332.9731,1342.1095,1329.6787,1328.4728,1332.0691
