,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.85220397,0.86322147,0.8592542,0.8708812,0.8642738,0.8560069,0.8651192,0.8584331,0.8676182,0.8710879,0.86543554,0.86149204,0.85766757,0.8522476,0.8563614,0.8535981,0.84747505,0.8511957,0.85017383,0.844439,0.84687376,0.84646857,0.84954876,0.8471191,0.8438872,0.8479187,0.8426503,0.8510828,0.8422493,0.8500955,0.85453594
1,0.84772563,0.85909283,0.85511637,0.86714447,0.8600241,0.85200435,0.86061454,0.853824,0.8629574,0.86611146,0.85999125,0.8565116,0.85197383,0.84783316,0.85205907,0.84933734,0.8433405,0.8469473,0.8462978,0.8400918,0.84307116,0.84253,0.84573376,0.8435709,0.8400467,0.8441616,0.8390894,0.8472028,0.83891356,0.84660244,0.8503307
2,0.84038305,0.8513558,0.8474648,0.86019003,0.852181,0.84546125,0.85350055,0.8469666,0.8560418,0.8589473,0.85305583,0.8496269,0.8456578,0.84166104,0.84589386,0.8434725,0.83776015,0.84173286,0.8411094,0.83513296,0.8383117,0.8375875,0.8407955,0.8389627,0.8352926,0.83929324,0.83436227,0.8421571,0.83452564,0.84119356,0.8443359
3,0.8287575,0.83889335,0.83534175,0.8474277,0.83943105,0.83364755,0.84144044,0.83500266,0.84466404,0.8476233,0.8432277,0.83965755,0.83597976,0.83160126,0.83538777,0.8332069,0.82780516,0.8316896,0.83094364,0.8253335,0.8279812,0.82713306,0.8303906,0.82875454,0.82537055,0.82851505,0.82375294,0.83086365,0.8237524,0.8298278,0.8334468
4,0.82467616,0.8345142,0.8311007,0.8430356,0.83490795,0.82958674,0.83715856,0.8309863,0.840862,0.84372514,0.83979124,0.8367095,0.8328048,0.8289972,0.8319874,0.83133554,0.8258269,0.83056945,0.82927895,0.8246702,0.8276069,0.8268616,0.82944316,0.82837486,0.8247846,0.82918453,0.8249248,0.832639,0.82549417,0.829379,0.83137393
5,0.8213991,0.8310118,0.82775974,0.83973676,0.8314253,0.82701254,0.8348471,0.82916135,0.8399222,0.84302026,0.83847046,0.83714855,0.832402,0.8300395,0.83181274,0.8333045,0.82902336,0.8340453,0.8330518,0.8284713,0.8312717,0.83167326,0.83484226,0.8310256,0.8298881,0.8348968,0.83117175,0.8373008,0.8301438,0.8302105,0.83251613
6,0.8188242,0.8285816,0.8254334,0.8370775,0.82910883,0.8242197,0.83270705,0.8272112,0.8380522,0.8410342,0.83797073,0.8358586,0.8327263,0.82887274,0.83030546,0.8327334,0.8271426,0.8330693,0.8310334,0.8279741,0.82998943,0.82998,0.8334266,0.82975125,0.828182,0.833247,0.8295492,0.835285,0.8287724,0.82888055,0.83089995
7,0.8174312,0.8269976,0.82379425,0.83537304,0.8275466,0.8231088,0.8313819,0.82598937,0.8362741,0.8396754,0.8366393,0.8354554,0.83255446,0.82867056,0.83045626,0.8323493,0.8274406,0.8327629,0.83095306,0.82775015,0.82989156,0.8302133,0.83324295,0.82993114,0.82830304,0.8338294,0.8298489,0.83594954,0.82932794,0.8290484,0.8304063
8,0.82294166,0.8326255,0.82938623,0.84127617,0.83331895,0.8284147,0.8369397,0.83131886,0.8417704,0.84506196,0.8420156,0.8395679,0.8365867,0.8328221,0.83492666,0.8363497,0.8315283,0.836864,0.8356543,0.83184355,0.83378613,0.83427906,0.8375679,0.8335475,0.8323083,0.8378171,0.8339484,0.83999455,0.8328582,0.8329868,0.83501023
9,0.8237736,0.8334668,0.83028424,0.84214056,0.83433163,0.8292912,0.8381413,0.832571,0.8432337,0.8466325,0.84369916,0.84124386,0.8386495,0.83478636,0.8361018,0.838552,0.83304685,0.83936775,0.83749473,0.83452785,0.8359861,0.836841,0.84038377,0.8348322,0.8343065,0.84063095,0.83670115,0.84238935,0.8348415,0.83445966,0.83675694
10,0.82487226,0.8345664,0.8314134,0.8431845,0.83557653,0.8303828,0.8395268,0.8340919,0.8447469,0.84818065,0.84564006,0.8432325,0.8408681,0.837028,0.837935,0.84084,0.8347844,0.84187686,0.8393037,0.83725333,0.8383236,0.8393577,0.8425628,0.836545,0.8363694,0.8431699,0.8392135,0.8449656,0.83713937,0.8363801,0.8386443
11,0.8281251,0.8379666,0.83478355,0.84661496,0.8391535,0.83361757,0.8431821,0.83768445,0.84842986,0.8520143,0.84949327,0.8468423,0.8447322,0.8409374,0.8415519,0.8447535,0.83818704,0.8460064,0.84300524,0.8415438,0.8421666,0.84384537,0.84686005,0.83980095,0.8403142,0.84763074,0.843657,0.84952843,0.84082997,0.83988404,0.8424381
12,0.8313308,0.8413118,0.8381053,0.8499523,0.84262764,0.83668166,0.8466855,0.84101534,0.8517696,0.8553697,0.85296065,0.84989303,0.8480368,0.8442085,0.8449434,0.84794104,0.8412658,0.8487737,0.84568226,0.84449005,0.8450717,0.846257,0.8492912,0.8426869,0.8424902,0.8503158,0.8456937,0.8519327,0.8435191,0.8430089,0.84544367
13,0.83436596,0.8444178,0.8412428,0.85305834,0.84576344,0.8396349,0.84960985,0.84370744,0.8544213,0.85831213,0.8553238,0.85220516,0.85016584,0.8461422,0.84778297,0.84968245,0.8437554,0.85043067,0.8482642,0.84576064,0.84677553,0.8483172,0.8515887,0.84507847,0.84456444,0.8520913,0.84744906,0.8541945,0.8456762,0.84579766,0.8478527
14,0.8370887,0.8472988,0.84405565,0.8559009,0.8488219,0.84222996,0.85238934,0.84622097,0.85690355,0.8610136,0.85761863,0.8544718,0.8523489,0.84829307,0.8503139,0.85169315,0.8459774,0.8522668,0.8505852,0.8474816,0.8485776,0.8501897,0.85383064,0.8472769,0.84651685,0.8539865,0.84934986,0.85618913,0.8476156,0.84803224,0.85015136
15,0.839587,0.8498957,0.84662473,0.858631,0.85154843,0.844754,0.8549659,0.84874773,0.8592217,0.8634867,0.8595569,0.85640204,0.85423887,0.850168,0.85243845,0.8535587,0.8478421,0.85401285,0.8526674,0.849179,0.85028046,0.8519423,0.85587025,0.8492587,0.84829533,0.8557488,0.85104513,0.85801876,0.84936166,0.85007924,0.8522476
16,0.8402513,0.8505598,0.8473178,0.8592602,0.85225713,0.8453816,0.85570073,0.849506,0.8600278,0.8643255,0.8604653,0.85732746,0.855191,0.85112303,0.85324883,0.8545532,0.8487413,0.85504746,0.85355735,0.8502395,0.851267,0.8530201,0.85687953,0.8500184,0.84922886,0.85680306,0.8520683,0.8590937,0.8502822,0.8509222,0.8531221
17,0.84149206,0.8518228,0.8486042,0.86053693,0.85361356,0.84662116,0.8570863,0.8509309,0.8614717,0.86587155,0.8619824,0.8588873,0.8568088,0.8527727,0.8546518,0.8563281,0.8503531,0.8569257,0.8552649,0.85220915,0.8530482,0.8551247,0.85884,0.851359,0.851064,0.8589963,0.8542036,0.861166,0.8518945,0.8523729,0.85474354
18,0.8425188,0.85287964,0.8496667,0.86152744,0.8547046,0.84751153,0.8580313,0.85184586,0.8623056,0.8666249,0.86265576,0.859491,0.8572968,0.8531544,0.85529673,0.85649294,0.85002005,0.85679704,0.8547167,0.85185087,0.85293484,0.85432774,0.85795325,0.8515651,0.8504802,0.8577186,0.8528507,0.86011064,0.8510849,0.85250896,0.85489756
19,0.84404576,0.85441613,0.85117036,0.86314136,0.85631216,0.8491485,0.8597721,0.85368353,0.8642441,0.8688808,0.8648602,0.8618432,0.8598267,0.85581195,0.8573173,0.8596716,0.8530375,0.86029804,0.8583799,0.8560383,0.85653937,0.8595735,0.86285096,0.8540218,0.855189,0.8630785,0.8590721,0.8657712,0.8549465,0.8552191,0.85793865
