,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3227.1682,3245.7668,3226.356,3263.8723,3253.3135,3281.7627,3197.4363,3224.7595,3291.0337,3227.2102,3234.2458,3159.6035,3221.7292,3253.9055,3220.6077,3276.6125,3224.2456,3169.6648,3273.745,3221.2754,3296.0735,3298.5693,3207.0496,3282.195,3189.8228,3214.865,3268.4114,3258.712,3209.1494,3182.959,3236.7375
2000-01-10,3255.2954,3271.0146,3201.193,3178.8313,3231.108,3245.328,3250.9163,3262.136,3303.9702,3330.7935,3288.572,3340.7505,3259.808,3242.1943,3236.6113,3190.1138,3267.3623,3263.815,3230.441,3269.0146,3287.117,3350.0408,3233.486,3342.5732,3325.3594,3256.5112,3200.917,3315.9995,3278.4363,3305.2048,3267.1636
2000-01-11,3275.0334,3245.763,3256.4373,3232.7266,3261.8433,3262.3613,3236.9133,3269.719,3234.4756,3268.7847,3250.073,3267.774,3248.79,3244.0125,3249.5212,3265.737,3256.8364,3238.245,3267.738,3257.551,3252.2654,3245.5288,3249.5315,3231.8923,3239.3047,3242.5078,3258.95,3237.0393,3255.5332,3240.9001,3251.4597
2000-01-12,3244.8108,3240.9192,3231.5156,3221.9937,3246.1396,3242.6846,3243.2515,3254.0498,3241.189,3240.7693,3238.5967,3250.557,3239.2437,3238.1875,3238.0547,3235.478,3238.2695,3232.9202,3244.9832,3233.6445,3246.2756,3237.9854,3231.3066,3231.1648,3226.9338,3232.2075,3239.0532,3241.563,3225.6636,3245.3647,3238.493
2000-01-13,3255.7988,3270.5903,3246.5005,3247.434,3267.887,3261.9956,3280.9412,3275.8208,3278.666,3253.606,3262.9917,3271.389,3265.2485,3266.8418,3262.9897,3246.7444,3257.881,3261.9373,3261.5854,3249.2961,3275.3364,3265.4946,3251.192,3263.7449,3251.3389,3257.6406,3257.6213,3277.8782,3237.157,3281.5027,3262.1685
2000-01-14,3282.7996,3287.9485,3271.5327,3267.078,3289.4033,3285.2522,3293.947,3297.325,3291.3027,3279.877,3282.688,3293.5757,3284.3003,3284.436,3282.9277,3273.9043,3280.4792,3279.341,3285.805,3273.9097,3293.2366,3283.7957,3273.6616,3279.4788,3271.6821,3276.9683,3280.6873,3291.5608,3264.1401,3295.1418,3282.6062
2000-01-15,3294.4114,3293.5479,3281.9023,3274.0862,3297.585,3294.4414,3296.8672,3305.4973,3294.0688,3290.997,3289.807,3302.1438,3290.9878,3290.2295,3290.115,3285.5671,3289.3376,3285.0156,3295.6646,3284.0303,3299.1387,3290.0115,3282.4382,3284.0854,3279.1006,3283.831,3289.849,3294.907,3275.7021,3298.484,3290.1284
2000-01-16,3297.1558,3293.5881,3284.0808,3274.7524,3298.7817,3296.054,3295.7192,3306.69,3292.888,3293.5034,3290.5598,3303.4988,3291.5325,3290.3792,3290.859,3288.3113,3290.8398,3285.1118,3297.6116,3286.102,3299.2979,3290.3418,3283.9036,3283.6887,3279.939,3284.4563,3291.4937,3293.9526,3278.4058,3297.538,3291.0344
2000-01-17,3294.3245,3286.7004,3280.3804,3268.782,3293.6135,3291.408,3287.0945,3301.517,3284.3154,3290.267,3284.8228,3298.5261,3285.443,3283.716,3284.9978,3285.4146,3286.1345,3278.3694,3293.559,3282.2573,3292.5398,3283.926,3279.1401,3276.1719,3274.1917,3278.492,3287.0176,3285.626,3275.4607,3289.2522,3285.4487
2000-01-18,3299.0493,3312.5437,3289.6003,3289.819,3310.4827,3305.412,3322.0479,3318.4116,3319.1428,3297.0308,3304.793,3314.3162,3307.19,3308.476,3305.4543,3290.3862,3300.5981,3303.5437,3304.6055,3292.2502,3317.6382,3307.364,3293.905,3305.3286,3294.0154,3299.5945,3300.3123,3319.0369,3280.7014,3322.492,3304.5183
2000-01-19,3322.377,3340.035,3300.615,3261.5576,3334.0671,3300.5662,3355.9036,3323.5796,3263.859,3350.5771,3323.9814,3390.8992,3357.4353,3322.7864,3348.558,3294.0903,3290.564,3397.298,3319.2249,3329.7974,3289.203,3268.4373,3292.6604,3280.777,3367.6582,3329.3772,3308.3438,3281.363,3345.8518,3404.4817,3323.1975
2000-01-20,3326.8252,3378.4753,3351.7605,3383.9912,3407.2988,3387.4268,3403.2112,3340.8801,3351.671,3271.886,3318.883,3286.9883,3351.4224,3401.3965,3388.7944,3399.7437,3338.2593,3364.2944,3371.5322,3314.4905,3375.797,3283.0562,3320.101,3286.5964,3291.1775,3357.796,3399.855,3308.9011,3301.488,3359.819,3347.4604
2000-01-21,3376.1792,3360.0134,3360.6672,3344.3079,3370.7393,3370.9255,3356.1743,3378.5947,3352.2156,3371.875,3359.5295,3376.604,3359.915,3356.7373,3360.8445,3367.9548,3364.1758,3351.2102,3373.172,3362.0483,3366.7468,3357.7722,3357.0735,3347.8237,3350.6194,3353.1714,3365.3328,3355.227,3357.7397,3358.5925,3361.466
2000-01-22,3344.689,3316.1726,3326.4602,3303.186,3332.0845,3333.5217,3307.1982,3339.9412,3303.7341,3338.99,3319.458,3338.3997,3318.6377,3313.7793,3320.033,3336.0474,3326.941,3308.012,3337.8733,3327.4475,3323.1394,3315.4902,3319.6685,3302.1597,3310.0706,3312.292,3328.8599,3307.1855,3325.7283,3310.7654,3321.5986
2000-01-23,3291.9233,3250.3535,3270.7642,3240.1794,3271.703,3274.1775,3236.0728,3279.558,3233.4194,3284.618,3257.8516,3278.3792,3255.646,3249.0598,3257.332,3282.6646,3268.0774,3243.0479,3281.0168,3271.3801,3257.429,3251.4172,3260.6104,3234.4814,3247.5627,3249.729,3270.8337,3237.071,3272.2683,3240.955,3259.9856
2000-01-24,3172.2341,3164.8955,3165.0212,3189.3806,3182.9001,3213.9812,3107.9019,3155.3147,3202.0,3168.08,3161.4976,3092.5212,3145.8667,3174.874,3145.6604,3219.2803,3158.3843,3089.8823,3209.6467,3158.5972,3216.2852,3221.231,3139.6958,3197.9194,3115.374,3140.1655,3201.8884,3170.6826,3151.7903,3094.3518,3164.2432
2000-01-25,3142.7942,3107.3088,3078.8293,3030.3943,3089.4495,3108.2427,3067.6248,3122.951,3121.63,3213.244,3142.3052,3202.0652,3109.2874,3081.7434,3085.7788,3075.8677,3130.992,3103.3596,3102.7493,3144.4622,3124.8977,3193.419,3097.5798,3172.2354,3175.2532,3105.6736,3069.0127,3135.9246,3163.2742,3126.7095,3120.8352
2000-01-26,3109.493,3088.6902,3092.2249,3073.2102,3100.8203,3097.7249,3084.5613,3108.6387,3084.5327,3102.9338,3092.6262,3105.3333,3091.1138,3087.9878,3089.5933,3098.7756,3094.9768,3082.4187,3104.1765,3094.0566,3093.7354,3088.3687,3087.6538,3076.7468,3078.4116,3084.6501,3096.9111,3084.223,3088.9792,3088.7183,3091.743
2000-01-27,3091.2803,3084.6,3076.9639,3065.8418,3090.689,3085.3572,3086.706,3098.5083,3086.9033,3085.9404,3084.8643,3094.3533,3084.42,3083.3716,3081.8164,3080.5305,3083.2476,3078.0737,3090.1199,3079.3667,3089.0037,3082.7878,3076.1084,3074.9534,3070.1243,3077.5386,3084.4426,3085.3462,3070.9568,3089.825,3083.135
2000-01-28,3090.699,3085.197,3076.6309,3066.1682,3090.784,3085.2793,3087.8176,3098.6042,3088.0203,3085.4668,3085.1436,3094.3823,3084.7937,3083.9163,3082.1099,3079.9543,3083.208,3078.6414,3089.8882,3079.0793,3089.5542,3083.2559,3076.0854,3075.7393,3070.3792,3077.8772,3084.3403,3086.3723,3070.3975,3090.8455,3083.3547
