,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3937.1802,3981.1904,3953.5706,3957.79,3950.999,3958.6199,3953.54,3933.6455,3966.1982,3960.7612,3956.5266,3935.4873,3954.3965,3940.7322,3957.7683,3953.2522,3938.9849,3959.11,3949.7437,3950.4722,3949.802,3930.5535,3952.4648,3948.767,3988.2947,3962.3137,3968.8926,3960.854,3937.051,3929.0322,3952.5999
2021-11-25,3936.7297,3981.7676,3949.2085,3958.7786,3949.8142,3956.899,3952.105,3934.3223,3964.9006,3960.2617,3956.3848,3935.0273,3948.6006,3938.4084,3957.9197,3952.6416,3940.7036,3955.7214,3953.2092,3951.1443,3946.0115,3927.0864,3952.5854,3947.2446,3984.3384,3958.701,3965.2278,3965.1719,3937.302,3928.907,3951.571
2021-11-26,3952.0767,3998.1006,3959.1396,3976.074,3963.2734,3970.859,3965.8794,3949.8943,3978.6587,3975.3071,3971.8933,3949.3982,3956.8198,3951.274,3974.2244,3967.0698,3957.674,3966.3706,3972.8274,3968.1472,3957.004,3938.1438,3968.2812,3960.649,3995.117,3970.21,3976.2104,3986.4639,3953.6914,3943.6846,3965.814
2021-11-27,3965.1597,4011.0698,3971.3184,3989.4612,3975.4658,3983.9575,3978.5637,3962.1423,3991.2087,3988.1892,3984.8323,3961.687,3968.8904,3964.019,3987.5508,3979.5457,3970.1255,3978.2566,3985.871,3981.5781,3969.5386,3950.436,3981.1377,3973.1223,4007.6243,3983.0076,3988.623,4000.1135,3966.9983,3956.007,3978.5168
2021-11-28,3953.4292,3997.9238,3966.2554,3975.3071,3965.6677,3974.1,3968.6736,3949.5308,3981.244,3976.7231,3972.7805,3950.7239,3966.0588,3955.3923,3974.696,3968.6301,3955.7725,3972.0273,3968.3596,3967.8508,3963.29,3943.936,3968.7761,3963.5747,4001.6472,3976.2434,3982.3047,3980.763,3954.0151,3944.5159,3968.0073
2021-11-29,3927.6833,3971.3716,3946.3225,3947.495,3942.457,3949.627,3944.7383,3924.3188,3957.4434,3951.4365,3947.0166,3926.5854,3947.8044,3932.2446,3947.8496,3944.2744,3929.086,3951.6863,3938.7014,3940.27,3942.0598,3922.8599,3942.9106,3940.1614,3980.6387,3954.3054,3961.1912,3949.0205,3927.1072,3919.9727,3943.6213
2021-11-30,3888.11,3931.375,3912.7158,3905.8867,3906.1973,3911.0664,3907.2036,3886.4324,3920.2368,3912.5527,3907.6675,3889.4707,3915.684,3895.262,3907.0479,3906.7314,3889.714,3918.186,3896.0898,3898.7483,3906.899,3888.1746,3903.609,3903.8376,3945.6917,3918.1921,3926.3162,3903.875,3886.2964,3882.5098,3905.726
2021-12-01,3829.6023,3872.582,3862.113,3844.822,3852.3914,3853.7922,3851.4934,3830.7627,3865.095,3855.1143,3849.6157,3834.6277,3866.9192,3840.1848,3846.873,3851.2563,3832.0686,3867.99,3834.0544,3837.664,3854.1382,3836.1921,3845.7056,3849.9294,3893.209,3864.0461,3874.0466,3838.3252,3826.1562,3827.2751,3849.6016
2021-12-02,3741.8525,3784.599,3786.3208,3753.4487,3771.6672,3767.9963,3767.9968,3747.434,3782.5603,3769.1067,3762.6597,3752.4556,3793.8647,3757.7122,3756.621,3768.2148,3745.697,3792.8398,3741.0276,3746.1064,3775.101,3758.3218,3759.003,3769.163,3814.5964,3782.8843,3795.8333,3740.0737,3736.0107,3744.6084,3765.526
2021-12-03,3788.2854,3838.3813,3798.5222,3812.1575,3808.8833,3804.4565,3805.0425,3799.291,3820.1287,3814.3223,3810.83,3795.6914,3794.43,3788.0425,3808.6729,3810.9297,3806.5479,3811.6155,3817.7683,3802.4873,3793.151,3778.0044,3808.8828,3804.794,3831.3215,3803.2397,3814.4683,3825.862,3788.7434,3790.5112,3805.8486
