,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3937.2087,3952.7957,3965.9688,3954.5378,3949.4739,3978.2688,3948.722,3954.33,3961.7944,3948.1775,3962.665,3950.693,3958.837,3941.9524,3951.7378,3960.982,3962.3901,3958.5044,3937.623,3946.08,3967.651,3947.611,3946.611,3944.4258,3953.8333,3954.6748,3951.577,3960.8115,3967.5044,3935.956,3953.78
2021-11-25,3934.1948,3946.1096,3960.4456,3947.7432,3942.7097,3974.8523,3941.964,3948.8535,3956.0,3941.4744,3955.5544,3946.5208,3954.4358,3938.1396,3946.2407,3956.739,3955.4187,3953.046,3935.411,3942.3743,3960.7136,3941.1997,3939.3372,3944.3364,3947.3757,3950.5999,3945.1406,3955.9324,3961.8667,3929.6057,3948.4778
2021-11-26,3945.899,3953.266,3969.1057,3953.9539,3949.17,3985.672,3948.3242,3956.9138,3964.1638,3948.1572,3961.694,3956.5059,3963.8706,3948.0454,3954.5974,3966.8254,3961.5125,3961.5537,3947.5212,3952.824,3967.104,3947.9365,3945.8271,3959.4353,3954.0864,3961.0474,3951.802,3965.2664,3970.5847,3936.313,3956.9658
2021-11-27,3958.3203,3965.2747,3981.297,3965.279,3960.674,3997.7292,3959.7393,3968.567,3976.1924,3959.789,3973.248,3968.561,3975.6802,3959.7083,3966.5137,3979.0286,3972.9023,3973.5603,3959.5474,3964.8389,3978.7075,3959.3464,3957.8203,3971.9968,3965.5183,3973.3967,3963.1743,3977.4275,3982.9282,3947.6433,3968.8137
2021-11-28,3951.0298,3963.8296,3977.9514,3964.6423,3959.8223,3991.382,3958.9624,3965.6614,3973.404,3958.7253,3972.8635,3963.3376,3971.0295,3954.3232,3963.3892,3973.7695,3972.4666,3970.2935,3951.4404,3958.9612,3978.0183,3958.059,3957.2625,3960.229,3964.2803,3967.7505,3961.9612,3973.1536,3979.6084,3946.341,3965.465
2021-11-29,3929.2434,3946.611,3959.182,3948.9011,3943.6934,3970.7344,3943.0044,3947.922,3955.237,3942.278,3956.9863,3943.4634,3951.881,3934.8691,3945.1433,3953.6716,3956.7773,3951.8276,3929.6277,3938.693,3961.8665,3941.7576,3940.6743,3935.1814,3947.983,3947.1892,3945.7622,3953.788,3960.6511,3930.137,3947.158
2021-11-30,3893.8582,3915.4363,3926.514,3919.8923,3914.1167,3936.7822,3913.6943,3916.8564,3923.2837,3912.2627,3927.5356,3910.1228,3919.4746,3902.435,3913.2922,3919.9382,3927.7158,3919.6707,3894.7998,3905.1018,3932.1265,3912.1826,3910.0193,3897.0166,3918.3796,3912.8765,3916.3245,3920.694,3927.6128,3900.7551,3915.3591
2021-12-01,3841.0684,3867.939,3877.1055,3875.5547,3868.9514,3886.0005,3868.922,3869.8162,3874.8599,3866.4673,3882.4702,3860.0562,3870.725,3854.5505,3865.092,3869.2766,3883.2573,3871.0298,3843.0254,3854.78,3886.6782,3867.1072,3863.1436,3840.854,3873.25,3861.4033,3871.4434,3870.8171,3877.6318,3855.9775,3867.3088
2021-12-02,3762.2341,3796.9756,3803.2996,3809.3074,3801.4685,3810.1614,3802.0264,3799.5452,3802.5212,3798.0447,3815.1338,3785.278,3797.9114,3783.0725,3793.0889,3793.6099,3816.8281,3798.3691,3765.7144,3779.6255,3818.7717,3799.7607,3793.1025,3757.01,3805.8232,3784.5266,3804.3882,3796.316,3802.9692,3789.0776,3795.5317
2021-12-03,3785.9414,3790.5283,3806.5996,3799.4219,3792.498,3829.351,3792.769,3801.165,3803.0903,3790.037,3803.6587,3798.5796,3806.7507,3795.7432,3795.5505,3806.9233,3805.8113,3801.4722,3794.1606,3796.4019,3808.834,3793.1853,3784.9465,3804.0186,3798.9648,3799.6995,3797.4666,3804.5166,3805.9565,3782.6733,3799.2239
2021-12-04,3800.668,3806.48,3822.2195,3814.688,3807.9424,3843.869,3808.1143,3816.1843,3818.6582,3805.591,3819.3147,3813.4395,3821.769,3810.0178,3810.8623,3821.974,3821.2266,3816.864,3808.0989,3811.0063,3824.4634,3808.368,3800.3801,3817.5676,3814.192,3814.8313,3812.6199,3819.8118,3821.792,3797.743,3814.3584
2021-12-05,3810.349,3817.7458,3833.0183,3825.5608,3818.9167,3853.5142,3819.0264,3826.6052,3829.487,3816.6184,3830.4968,3823.4658,3832.0315,3819.6047,3821.4668,3832.133,3832.2302,3827.5083,3817.116,3820.7703,3835.5903,3819.1018,3811.2222,3825.8625,3824.9639,3825.0012,3823.3418,3830.2651,3832.7483,3808.3938,3824.8052
2021-12-06,3815.9116,3824.6262,3839.4998,3832.2441,3825.6511,3859.1096,3825.727,3832.8792,3836.0193,3823.373,3837.3865,3829.3618,3838.1316,3825.2195,3827.841,3838.1086,3839.0068,3833.8992,3822.2207,3826.466,3842.4285,3825.6624,3817.816,3830.309,3831.5513,3830.9614,3829.899,3836.4792,3839.3286,3814.9023,3831.0671
