,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3941.641,3984.096,3943.4304,3957.7131,3961.0476,3955.175,3976.9946,3947.414,3972.3367,3945.1748,3945.337,3945.6956,3947.4822,3970.3687,3941.386,3944.8926,3978.261,3947.3782,3943.6619,3969.7349,3943.6914,3958.4866,3963.723,3966.1218,3974.4277,3972.2805,3924.655,3973.016,3942.0566,3970.4,3956.936
2021-11-25,3935.2993,3975.6802,3938.3523,3952.5337,3954.5806,3947.9485,3968.811,3939.3457,3964.679,3938.5374,3939.1929,3938.1646,3940.7766,3963.5244,3933.9846,3941.928,3969.0244,3938.9502,3937.55,3963.758,3938.9087,3951.1982,3957.4321,3957.2202,3967.1382,3964.3894,3919.0405,3964.4944,3933.8486,3964.3596,3950.022
2021-11-26,3941.8142,3979.6975,3946.3718,3960.8123,3961.1438,3953.5488,3973.2588,3943.7742,3969.8564,3944.7817,3945.9534,3943.4128,3946.852,3969.7056,3939.3733,3952.9045,3972.088,3943.0786,3944.4639,3970.926,3947.4087,3956.7915,3964.262,3960.6577,3972.6914,3969.3462,3926.3381,3968.6714,3938.185,3971.385,3955.9849
2021-11-27,3952.979,3990.688,3957.6274,3972.375,3972.4631,3964.7644,3984.3928,3954.7886,3981.1152,3955.992,3957.1406,3954.6147,3957.9858,3981.0522,3950.573,3964.68,3983.0383,3954.1711,3955.749,3982.2976,3958.7935,3968.0576,3975.6404,3971.6108,3983.9238,3980.6343,3937.4878,3979.8901,3949.2502,3982.6968,3967.2156
2021-11-28,3951.8215,3992.776,3954.5059,3969.1138,3971.3457,3964.873,3985.9995,3956.3386,3981.8237,3955.2307,3955.6677,3955.189,3957.3987,3980.4692,3950.9568,3957.9287,3986.3843,3956.1797,3954.1362,3980.402,3955.1123,3968.2107,3974.2046,3974.4553,3984.1094,3981.661,3935.2654,3981.9194,3950.9595,3980.9524,3966.8467
2021-11-29,3935.942,3979.3591,3937.1553,3951.2522,3955.285,3949.7937,3972.0579,3942.5195,3967.0972,3939.5603,3939.541,3940.4465,3941.952,3964.7368,3936.087,3937.3853,3973.8833,3942.57,3937.781,3963.735,3937.2026,3953.0935,3957.8452,3961.6062,3969.0588,3967.112,3918.675,3968.1523,3937.1814,3964.471,3951.4175
2021-11-30,3907.0571,3952.674,3906.9766,3920.2207,3926.0315,3921.4678,3944.7488,3915.4817,3938.9844,3910.7734,3910.429,3912.4058,3913.455,3935.7026,3907.9485,3903.925,3947.9802,3915.583,3908.3462,3933.926,3906.3936,3924.662,3928.2698,3935.4229,3940.7295,3939.097,3889.2517,3940.857,3910.1008,3934.8965,3922.793
2021-12-01,3863.006,3911.3467,3861.3308,3873.2961,3881.4065,3878.021,3902.564,3873.7231,3895.7458,3866.7927,3866.092,3869.3022,3869.8833,3891.3076,3864.7336,3853.972,3907.6038,3873.8096,3863.541,3888.6033,3859.8948,3881.0452,3883.2136,3894.7148,3897.2632,3895.9436,3844.5862,3898.6064,3868.243,3889.904,3878.9836
2021-12-02,3797.1743,3849.556,3793.129,3803.184,3814.7144,3813.0837,3839.5012,3811.2976,3831.1152,3801.06,3799.8333,3804.8696,3804.7627,3824.9583,3800.138,3779.361,3847.232,3811.356,3796.585,3820.8738,3790.423,3815.8513,3815.8801,3833.8447,3832.2957,3831.4333,3777.842,3835.4397,3805.6606,3822.6685,3813.5042
2021-12-03,3790.1519,3825.7068,3796.2932,3806.7217,3807.2979,3799.3599,3818.0195,3790.2522,3814.1965,3791.9038,3794.434,3788.7085,3794.7756,3814.7168,3784.984,3800.9578,3816.8474,3787.807,3791.8093,3817.4827,3796.3848,3801.829,3810.0623,3806.0876,3818.1514,3812.8086,3776.4202,3811.6404,3783.708,3818.543,3802.2688
2021-12-04,3805.0576,3841.3738,3810.723,3821.5278,3822.4277,3814.7227,3833.7305,3805.7827,3829.8027,3806.9956,3809.2744,3804.2004,3809.8164,3830.046,3800.4126,3814.9822,3832.8406,3803.5874,3806.7397,3832.4458,3810.8162,3817.2776,3825.176,3821.9343,3833.561,3828.5554,3790.9795,3827.599,3799.3625,3833.4712,3817.5073
2021-12-05,3815.6082,3852.863,3820.6946,3831.7522,3833.1443,3825.7544,3845.1926,3817.1094,3841.0823,3817.7275,3819.7407,3815.3813,3820.5327,3840.9695,3811.525,3824.2244,3844.7163,3815.1484,3817.2527,3842.9485,3820.721,3828.3752,3835.842,3833.643,3844.636,3839.9734,3801.153,3839.2905,3810.7966,3843.968,3828.392
2021-12-06,3822.0627,3860.0857,3826.6777,3837.8843,3839.7039,3832.5796,3852.3708,3824.2002,3848.0947,3824.3171,3826.1248,3822.3262,3827.1235,3847.6885,3818.4158,3829.5466,3852.25,3822.4106,3823.6584,3849.3306,3826.6309,3835.2446,3842.3523,3841.0454,3851.4922,3847.0908,3807.3132,3846.6345,3817.9634,3850.355,3835.0989
2021-12-07,3845.3782,3878.9502,3852.6606,3864.6436,3863.2712,3854.389,3872.1226,3843.7913,3869.2307,3847.222,3849.8835,3843.5212,3849.656,3870.633,3839.848,3861.1443,3869.441,3841.576,3847.7866,3873.9893,3853.5752,3857.098,3866.4385,3858.8801,3873.2395,3867.883,3831.9492,3866.0198,3837.4553,3874.7012,3857.5461
2021-12-08,3853.381,3892.6624,3857.2007,3869.209,3871.4873,3864.7253,3885.091,3856.5496,3880.6895,3855.9836,3857.3386,3854.6914,3858.6646,3879.8357,3850.6697,3859.595,3885.3843,3855.2349,3855.0754,3880.8447,3857.2163,3867.563,3874.1338,3873.9216,3883.7292,3879.9446,3838.0156,3879.8293,3850.5515,3881.7803,3867.0334
2021-12-09,3871.242,3905.9858,3877.7864,3890.4272,3889.5208,3880.9883,3899.258,3870.6174,3896.2256,3873.3896,3875.6482,3870.3213,3875.727,3897.2056,3866.5479,3885.731,3896.9885,3868.8125,3873.713,3899.9844,3878.7297,3883.8418,3892.674,3886.1938,3899.9172,3895.1052,3857.2598,3893.5647,3864.4849,3900.6296,3883.9504
2021-12-10,3906.6414,3938.8506,3914.678,3928.3577,3925.3762,3915.766,3932.8608,3903.8845,3930.7703,3908.6897,3911.312,3904.7744,3910.6816,3932.817,3901.11,3926.4675,3928.953,3902.0427,3909.766,3936.4827,3916.3647,3918.7515,3928.9087,3918.478,3934.7017,3929.548,3893.2678,3927.1736,3897.8162,3936.8481,3919.071
2021-12-11,3944.4355,3977.2996,3952.029,3966.7065,3963.7146,3954.221,3971.614,3942.2073,3969.607,3946.7957,3949.0623,3943.366,3948.5916,3971.4553,3939.6196,3964.1992,3967.748,3940.811,3947.7964,3974.702,3953.9397,3957.3992,3967.3276,3957.0908,3973.247,3968.6082,3930.601,3966.3818,3936.377,3974.9219,3957.3958
2021-12-12,3977.675,4011.7544,3984.4883,4000.0232,3997.4436,3988.2947,4006.2468,3976.448,4004.136,3980.3872,3982.2004,3977.6494,3982.0437,4005.5557,3973.7944,3996.2825,4002.7598,3975.5337,3981.1553,4008.1724,3986.4888,3991.651,4001.0647,3991.841,4007.415,4003.3967,3963.2212,4001.4988,3970.8557,4008.2922,3991.259
