,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3141.363,3236.9536,3275.6553,3256.7815,3341.4624,3242.6128,3246.088,3254.7747,3218.7024,3202.5696,3141.2397,3143.994,3197.5054,3233.8525,3217.7737,3133.9666,3246.2268,3165.3452,3217.7412,3318.1985,3243.7024,3284.1855,3254.2346,3137.8157,3199.8667,3248.4927,3150.8096,3296.5847,3295.0156,3226.6816,3225.673
2000-01-10,3153.7073,3239.0173,3369.8406,3259.5132,3252.2651,3388.4265,3091.7986,3312.9536,3434.502,3257.8235,3285.6028,3213.7944,3334.529,3275.3887,3345.2705,3268.9097,3267.179,3342.904,3153.7654,3280.1143,3345.4429,3274.7017,3395.3564,3160.8093,3285.5374,3223.3188,3192.535,3414.6235,3256.9463,3407.8228,3282.8132
2000-01-11,3245.8005,3289.0598,3247.5784,3243.1301,3255.2988,3252.4158,3274.9038,3252.8845,3265.055,3245.0894,3248.9521,3241.9585,3251.6836,3261.5076,3238.541,3227.5042,3282.4548,3246.3513,3241.6167,3262.9932,3241.644,3252.2283,3255.1904,3271.3208,3270.3835,3261.9421,3232.8105,3264.0984,3243.3926,3266.9646,3254.4917
2000-01-12,3233.4983,3268.1804,3240.4424,3235.9507,3242.6648,3236.6155,3255.1653,3233.457,3247.575,3231.6335,3237.4597,3224.8665,3237.851,3247.4138,3221.9915,3229.4902,3258.2695,3225.5618,3230.3796,3252.4019,3235.8765,3236.216,3243.332,3248.476,3254.3555,3243.542,3223.3977,3243.0854,3223.4248,3256.0225,3239.9531
2000-01-13,3257.3237,3286.0999,3267.824,3264.1665,3266.7275,3258.3594,3274.172,3252.3306,3268.374,3254.873,3261.8704,3245.7888,3260.6326,3270.6086,3243.2356,3264.126,3273.9314,3243.811,3255.226,3277.9136,3264.4753,3257.9841,3268.0583,3265.0242,3276.0002,3263.8635,3249.0286,3261.5442,3242.1406,3281.1406,3262.5554
2000-01-14,3277.351,3309.5776,3285.772,3282.5361,3287.1057,3279.9468,3297.3328,3275.2039,3290.736,3275.4617,3281.5842,3267.9282,3281.2808,3291.638,3265.132,3278.8572,3298.7485,3267.3784,3274.9587,3297.489,3282.001,3279.737,3288.1843,3289.286,3297.706,3286.6687,3267.8071,3285.3713,3265.331,3300.787,3283.6301
2000-01-15,3284.67,3318.983,3291.8333,3288.7244,3294.5676,3288.1606,3306.502,3284.2512,3299.3875,3283.0889,3288.7097,3276.4658,3288.9731,3299.4736,3273.5303,3282.8293,3308.9624,3276.7983,3282.0564,3304.4595,3287.7664,3288.0256,3295.475,3299.1687,3305.9834,3295.5645,3274.398,3294.8945,3274.5374,3307.8228,3291.5354
2000-01-16,3285.51,3320.731,3292.126,3289.0093,3295.4363,3289.366,3308.125,3285.8462,3300.768,3284.048,3289.4636,3277.807,3289.9749,3300.4949,3274.8152,3282.1423,3311.0605,3278.5332,3282.7795,3305.1108,3287.9104,3289.251,3296.2595,3301.1252,3307.2122,3297.0405,3274.9348,3296.648,3276.1868,3308.5134,3292.608
2000-01-17,3279.8955,3316.3933,3285.743,3282.4336,3289.7637,3284.197,3303.547,3281.3025,3295.7998,3278.5571,3283.7222,3272.814,3284.586,3295.0078,3269.7537,3274.1772,3307.2102,3274.1199,3276.9404,3299.125,3281.2603,3284.0737,3290.4417,3297.084,3302.0635,3292.1729,3268.9329,3292.1846,3271.6743,3302.6145,3287.2532
2000-01-18,3299.2173,3328.9443,3309.1414,3306.5752,3309.2422,3301.052,3317.2712,3294.9595,3311.519,3297.1555,3303.708,3288.7104,3302.7092,3313.4578,3286.0317,3305.651,3317.1692,3286.9836,3297.3616,3320.2534,3305.986,3300.915,3310.6487,3308.0676,3318.7913,3307.3064,3290.3696,3305.1978,3285.0967,3323.3306,3305.0938
2000-01-19,3427.5942,3393.3186,3308.0315,3319.4077,3246.9695,3332.1013,3355.8472,3297.476,3373.5305,3353.8718,3438.3682,3395.304,3382.2507,3363.5474,3319.3765,3432.4924,3359.8762,3385.911,3347.5286,3290.93,3333.5103,3287.9294,3337.0457,3418.957,3411.6472,3329.007,3393.05,3273.858,3228.3147,3387.7502,3350.8267
2000-01-20,3466.93,3422.9138,3272.9849,3377.381,3388.4185,3231.9375,3546.0466,3270.389,3200.546,3347.4634,3346.7927,3365.82,3290.2144,3369.9011,3230.6997,3378.7969,3354.3948,3240.8862,3465.1545,3384.345,3296.3328,3339.6104,3248.6572,3427.8765,3368.0803,3392.4602,3406.5,3186.6946,3293.4072,3257.0747,3338.9568
2000-01-21,3354.9622,3395.2195,3358.5305,3357.1082,3365.978,3361.506,3382.5347,3359.4023,3374.306,3354.5745,3358.4897,3350.8286,3360.342,3372.1643,3347.422,3345.0576,3387.542,3353.4907,3352.1575,3374.532,3354.0444,3361.8416,3366.5923,3376.7434,3379.5994,3371.4143,3342.328,3372.4385,3350.463,3377.8477,3363.9822
2000-01-22,3315.2356,3359.1023,3316.6377,3314.03,3325.7449,3322.795,3345.5125,3322.733,3336.0051,3315.046,3318.386,3312.5688,3321.2466,3332.3516,3309.0054,3297.9775,3352.7817,3316.9604,3311.585,3333.3826,3311.1926,3322.9834,3325.8547,3341.4727,3340.903,3333.2861,3301.6453,3335.4956,3313.7285,3337.0562,3324.757
2000-01-23,3253.981,3301.4226,3253.238,3248.8699,3263.6726,3262.3242,3286.731,3264.5361,3275.797,3253.8455,3256.7393,3252.5,3260.6104,3270.6025,3248.815,3228.7815,3296.4321,3258.6892,3249.297,3270.3735,3246.656,3262.2512,3263.1946,3284.6406,3280.4077,3273.143,3239.568,3276.569,3255.3218,3274.5051,3263.784
2000-01-24,3068.3723,3171.17,3198.3794,3177.3198,3267.586,3171.7478,3178.6433,3188.0642,3148.763,3130.1528,3067.4897,3074.1218,3125.7278,3160.8064,3147.5933,3046.4521,3183.3093,3098.744,3143.122,3242.4697,3164.5093,3213.0933,3179.3748,3074.2463,3129.0222,3179.0312,3075.9375,3229.5369,3228.2563,3151.6914,3153.8245
2000-01-25,3006.3506,3106.8862,3213.5776,3098.7734,3103.0886,3245.6267,2955.9424,3178.8533,3293.7632,3111.7505,3136.7358,3072.813,3190.012,3128.143,3203.957,3091.2961,3141.0923,3209.361,3003.0693,3127.0598,3185.1792,3131.423,3244.3079,3032.6558,3142.8508,3083.5486,3041.234,3279.9546,3122.5083,3256.3696,3137.9392
2000-01-26,3087.9268,3126.393,3092.5818,3084.0664,3095.0571,3091.0674,3111.479,3091.2537,3101.7793,3085.5925,3091.399,3079.5508,3092.9038,3099.821,3076.6885,3073.046,3117.879,3082.4888,3082.9915,3103.6917,3086.1301,3089.955,3094.776,3107.643,3108.6392,3097.4119,3077.4004,3098.413,3080.4404,3108.1763,3093.888
2000-01-27,3079.6968,3113.3674,3087.236,3078.66,3086.6213,3080.87,3099.0825,3079.0444,3090.6345,3076.707,3083.6194,3068.6213,3083.8154,3090.5671,3066.0684,3072.757,3103.0107,3069.505,3075.3447,3096.3962,3081.5398,3079.6292,3086.7673,3093.523,3098.3123,3085.7441,3070.7905,3085.2888,3067.916,3100.6882,3084.394
2000-01-28,3079.9385,3113.2202,3087.7112,3079.1543,3086.8591,3080.961,3098.9944,3078.962,3090.655,3076.9011,3083.8982,3068.6555,3083.9875,3090.7424,3066.1257,3073.67,3102.7148,3069.3682,3075.6414,3096.7278,3082.0842,3079.7148,3087.0435,3093.2864,3098.3945,3085.7263,3071.1584,3085.1514,3067.814,3100.9998,3084.5417
