,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3258.1865,3369.924,3399.0154,3232.113,3188.2407,3282.7769,3167.3108,3285.7334,3174.7798,3202.76,3192.3025,3250.802,3170.0593,3251.1804,3118.736,3378.438,3003.765,3177.2188,3215.93,3345.5813,3375.0664,3286.1404,3191.7156,3167.1504,3172.3657,3256.768,3245.6628,3183.2368,3044.0332,3241.2146,3227.6064
2000-01-10,3303.6846,3118.5776,3142.3694,3310.245,3329.4167,3182.588,3289.1655,3270.6553,3263.1045,3192.8403,3294.8743,3203.3403,3392.6807,3373.86,3372.2908,3265.5305,3341.1921,3257.5405,3254.858,3214.587,3265.8704,3336.9807,3164.7158,3224.303,3306.0952,3349.303,3403.7642,3192.0972,3337.6362,3341.118,3276.509
2000-01-11,3246.7517,3239.1458,3241.6887,3243.6377,3245.5623,3233.0466,3222.7405,3236.2148,3252.9646,3247.3474,3245.7554,3242.3523,3214.561,3250.7463,3250.2808,3237.0457,3273.0056,3245.3518,3243.4426,3226.0708,3237.6196,3255.4622,3245.447,3238.9087,3240.386,3234.582,3255.294,3244.9758,3231.6404,3265.608,3242.9211
2000-01-12,3247.1003,3230.079,3246.0815,3234.2983,3244.9304,3226.6392,3219.0098,3229.3455,3244.0244,3244.1902,3254.6807,3239.2258,3211.096,3240.162,3244.112,3239.094,3254.3035,3242.7297,3245.9272,3232.7078,3224.9546,3254.1677,3239.4026,3240.4583,3234.383,3230.2073,3249.1265,3245.4182,3242.586,3262.5664,3239.767
2000-01-13,3280.7188,3257.1797,3282.4875,3261.4326,3277.673,3255.9739,3250.1963,3257.8076,3271.5508,3275.8313,3295.1113,3270.8186,3241.5283,3265.3003,3271.371,3273.3916,3273.2737,3273.4968,3280.046,3269.6763,3249.426,3286.7783,3268.6775,3274.146,3262.9578,3260.7124,3278.1665,3277.7322,3282.499,3292.7236,3270.6228
2000-01-14,3296.1672,3276.3928,3296.3105,3280.8635,3293.424,3274.3157,3267.4585,3276.071,3290.8772,3292.8877,3307.5308,3287.8394,3258.2449,3284.696,3288.5652,3287.9265,3295.6702,3289.7595,3294.1802,3282.1365,3270.023,3302.94,3286.7217,3288.7527,3280.643,3278.1204,3296.1882,3292.5017,3293.2112,3309.0076,3287.314
2000-01-15,3300.5527,3283.0632,3299.7126,3287.6306,3298.0212,3280.3955,3272.8862,3282.1892,3297.5618,3298.1836,3309.9526,3293.1216,3263.483,3291.612,3294.284,3291.8308,3304.485,3294.7583,3297.9153,3284.861,3277.5488,3307.7417,3292.6694,3292.7437,3286.4814,3283.6726,3302.145,3296.679,3294.884,3314.0645,3292.5044
2000-01-16,3300.0376,3283.5454,3298.7693,3288.138,3297.6125,3280.5903,3272.7976,3282.4412,3298.0251,3298.0332,3308.5168,3292.9692,3263.38,3292.2676,3294.4846,3291.142,3306.0083,3294.5688,3297.1875,3283.6946,3278.4136,3307.3994,3292.8298,3292.112,3286.6477,3283.6555,3302.3206,3296.1724,3293.2612,3313.9233,3292.3647
2000-01-17,3292.2915,3277.209,3290.42,3281.7905,3290.0576,3273.7642,3265.5718,3275.812,3291.591,3290.7083,3299.285,3285.6538,3256.3308,3286.3687,3288.1396,3283.2559,3301.4497,3287.451,3289.347,3275.2378,3272.6465,3299.8694,3286.0217,3284.362,3280.0015,3276.5803,3295.5657,3288.7278,3284.169,3306.9417,3285.221
2000-01-18,3322.566,3300.021,3323.8906,3304.5876,3319.3813,3299.04,3292.9653,3300.2234,3314.81,3318.6099,3337.144,3313.522,3283.0906,3307.158,3311.5916,3314.4333,3315.3174,3314.6572,3320.4373,3309.596,3292.487,3328.9575,3311.3062,3314.9036,3304.6624,3303.254,3320.6157,3317.8486,3321.9065,3333.5312,3312.4172
2000-01-19,3343.7463,3201.4465,3199.428,3347.2556,3408.0693,3281.685,3381.6787,3282.4382,3424.597,3396.4084,3425.11,3337.2927,3358.668,3334.9067,3472.8232,3204.3584,3614.3672,3412.949,3378.5972,3222.0706,3186.7192,3330.938,3397.0098,3418.2644,3402.3572,3311.8174,3361.2095,3410.5652,3539.362,3390.0105,3359.2048
2000-01-20,3377.6296,3513.8677,3542.5076,3329.8054,3342.3542,3448.6353,3332.0564,3362.2993,3398.3938,3479.4705,3420.4966,3458.2534,3206.7134,3267.4707,3282.1104,3400.6816,3316.1716,3406.4077,3421.2964,3441.964,3350.3296,3355.7646,3490.0906,3441.3103,3336.3242,3289.4297,3269.5813,3477.598,3343.8867,3359.8472,3382.0916
2000-01-21,3364.0854,3353.0781,3360.444,3358.2278,3361.8474,3349.3274,3339.9707,3350.4097,3368.0913,3364.9988,3369.313,3359.801,3328.6094,3360.8965,3358.7305,3353.2134,3378.3145,3358.7937,3358.1062,3342.1736,3349.7388,3372.6794,3360.753,3353.9941,3353.1106,3350.762,3370.0042,3357.4883,3349.1648,3377.7646,3357.7966
2000-01-22,3317.5605,3310.5586,3312.2146,3315.5227,3316.0103,3305.1228,3294.639,3307.162,3325.0608,3319.3372,3317.903,3314.2034,3284.4631,3320.3027,3317.5583,3306.669,3341.9192,3314.649,3312.0337,3294.36,3308.9463,3326.6658,3316.8325,3308.021,3310.2031,3306.0251,3326.3582,3312.8442,3299.5754,3334.2432,3313.2322
2000-01-23,3248.8271,3245.8176,3241.7915,3250.4497,3248.0999,3238.4397,3226.833,3241.8027,3259.5884,3251.168,3243.7158,3246.1475,3218.464,3258.0925,3255.4067,3238.2559,3284.2693,3248.8228,3244.4116,3225.0156,3246.0269,3258.3545,3250.646,3240.3499,3245.5144,3238.975,3260.5427,3246.9104,3228.4858,3269.2588,3246.6829
2000-01-24,3171.8557,3291.5388,3309.3875,3153.3389,3103.292,3201.0708,3083.2383,3205.8948,3095.3408,3118.176,3096.457,3166.3926,3088.303,3176.6165,3042.512,3292.011,2937.1672,3095.4565,3130.291,3256.5396,3300.1191,3200.86,3110.4993,3081.718,3093.034,3174.019,3164.9631,3100.3015,2951.5247,3160.5344,3145.0815
2000-01-25,3128.4062,2959.7324,2959.6628,3151.11,3157.2615,3017.0261,3118.9658,3109.0776,3102.5837,3021.2292,3099.7769,3032.3066,3227.3652,3223.3914,3218.4126,3089.7869,3207.3386,3091.6494,3080.877,3033.335,3114.3503,3164.0015,3000.1973,3050.7178,3145.4878,3182.0295,3240.602,3023.4316,3149.189,3177.724,3109.2341
2000-01-26,3090.7295,3078.107,3087.9055,3081.3418,3089.9353,3071.5442,3062.7002,3077.1135,3090.3203,3087.3987,3090.3494,3082.7454,3059.078,3093.0999,3099.371,3084.2375,3113.583,3091.443,3093.1624,3078.1628,3075.2246,3098.0156,3085.633,3087.1228,3083.9575,3075.3433,3096.073,3095.371,3086.2517,3112.9539,3086.6094
2000-01-27,3089.499,3071.6345,3088.9324,3074.6838,3088.156,3066.5205,3059.1785,3071.876,3083.87,3084.2043,3093.8967,3079.563,3055.7566,3085.803,3094.5608,3083.9592,3101.7708,3088.5815,3093.1624,3080.4934,3066.717,3095.8835,3080.8308,3086.6003,3079.1965,3071.4788,3091.2014,3094.2283,3090.9985,3109.859,3083.4365
2000-01-28,3090.3396,3072.0488,3089.956,3075.0896,3088.9465,3067.064,3059.8438,3072.3857,3084.2964,3084.8972,3095.1492,3080.2551,3056.4116,3086.1252,3095.059,3084.8633,3101.71,3089.2673,3094.0747,3081.595,3066.9624,3096.6538,3081.383,3087.4768,3079.7324,3072.1091,3091.7444,3095.0376,3092.295,3110.5168,3084.1099
2000-01-29,3093.678,3074.9055,3093.5,3077.9553,3092.2146,3070.0957,3063.013,3075.3381,3087.1943,3088.1,3099.0112,3083.4517,3059.5007,3088.815,3097.8806,3088.2395,3103.9282,3092.3752,3097.4246,3085.154,3069.6216,3099.9202,3084.402,3090.8005,3082.6821,3075.2207,3094.7434,3098.2456,3096.071,3113.5713,3087.2349
2000-01-30,3095.4949,3077.0408,3095.178,3080.1152,3094.0544,3072.1643,3064.9893,3077.3894,3089.348,3090.0586,3100.5798,3085.4055,3061.4155,3090.9543,3099.82,3089.973,3106.3142,3094.25,3099.115,3086.7002,3071.8755,3101.797,3086.4404,3092.5337,3084.6812,3077.2048,3096.779,3099.9866,3097.4675,3115.4443,3089.1523
2000-01-31,3089.6257,3072.6824,3088.6624,3075.7637,3088.3801,3067.3132,3059.7065,3072.707,3084.9133,3084.6746,3093.181,3080.0317,3056.252,3086.9983,3095.3218,3083.92,3103.761,3088.997,3093.0752,3079.9968,3068.123,3096.168,3081.585,3086.6042,3079.9456,3072.0676,3091.9683,3094.343,3090.0771,3110.3162,3083.9053
2000-02-01,3118.6538,3094.8774,3120.6145,3097.9456,3116.5154,3091.766,3086.112,3096.3545,3107.4805,3111.5432,3129.1926,3106.847,3082.0476,3107.3062,3118.0146,3113.7454,3117.6816,3115.1821,3122.805,3112.725,3087.5679,3124.1196,3106.0347,3115.8499,3103.8008,3097.7974,3116.2063,3122.2512,3125.9082,3135.9119,3110.095
2000-02-02,3107.5146,3091.748,3106.0332,3095.004,3106.2903,3086.2686,3078.3198,3091.4062,3104.1724,3103.234,3110.4304,3098.5503,3074.3188,3105.7825,3113.0544,3101.3394,3123.273,3106.8396,3110.1685,3096.5437,3087.5916,3114.316,3100.3206,3103.928,3098.2983,3090.6252,3110.6494,3111.502,3106.053,3128.047,3102.0542
2000-02-03,3066.0657,3056.1462,3062.095,3059.286,3065.7017,3048.5278,3038.9175,3054.645,3068.0635,3063.4197,3062.602,3058.8152,3035.9114,3072.234,3077.9321,3059.4517,3095.4578,3068.2139,3068.6118,3052.4436,3054.3918,3073.7368,3062.7478,3062.679,3061.5874,3051.9282,3073.3237,3071.684,3059.3284,3090.0808,3063.2007
2000-02-04,3041.7195,3028.1904,3039.3188,3031.0232,3041.1135,3021.2842,3012.713,3027.6616,3039.8545,3037.416,3040.9731,3032.874,3010.5156,3044.33,3052.3982,3036.0996,3064.828,3043.2927,3045.8054,3031.2751,3025.105,3048.6963,3035.8823,3039.3625,3035.245,3025.666,3046.501,3048.342,3039.862,3065.2168,3037.7522
