,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3246.306,3234.7703,3246.2517,3260.5667,3225.5173,3194.937,3221.632,3240.0256,3244.6155,3246.2524,3212.7434,3247.9724,3243.28,3241.4304,3239.0742,3240.2517,3240.5808,3229.2537,3250.9744,3213.0747,3225.4614,3231.408,3233.9768,3229.694,3232.909,3238.551,3241.4512,3216.2207,3248.395,3231.4111,3234.9663
2000-01-10,3195.0378,3183.574,3192.093,3208.2412,3187.235,3145.5803,3182.7222,3195.8376,3204.3555,3197.9214,3168.645,3210.438,3197.8599,3193.6418,3192.2888,3192.0847,3194.132,3189.4219,3217.1777,3175.1128,3186.6494,3186.909,3186.3933,3174.745,3188.3535,3199.8892,3196.9153,3179.901,3209.2456,3178.9255,3190.3777
2000-01-11,3194.5647,3179.6091,3188.8438,3204.93,3192.5864,3144.579,3184.4963,3190.7834,3206.2395,3196.294,3166.6265,3216.46,3196.6895,3191.538,3193.5078,3187.8552,3198.2542,3190.445,3217.928,3178.4102,3192.0557,3184.0403,3185.5466,3170.4949,3189.4365,3203.534,3201.5188,3182.3035,3212.6047,3173.8372,3190.5337
2000-01-12,3230.198,3213.88,3224.548,3240.9873,3222.945,3178.608,3214.2693,3226.341,3237.2454,3230.2095,3197.95,3246.5244,3226.9243,3224.8276,3228.8655,3219.9106,3232.222,3220.7466,3249.7686,3207.9565,3221.6562,3213.9353,3217.365,3206.6526,3220.8538,3233.1711,3234.52,3212.4814,3244.1523,3206.604,3222.8774
2000-01-13,3247.8684,3231.1382,3243.299,3259.5093,3235.6648,3195.6638,3226.4082,3244.3994,3250.0833,3245.7148,3212.6802,3257.7744,3240.3516,3243.1099,3246.3333,3235.822,3248.9104,3233.4907,3262.4888,3219.269,3233.7954,3227.7585,3234.1555,3225.4417,3234.6033,3244.269,3250.9888,3224.0627,3257.237,3223.5828,3237.8623
2000-01-14,3252.6812,3236.8813,3249.7842,3265.323,3237.3938,3200.5,3230.5605,3248.691,3254.965,3251.798,3215.6877,3260.103,3247.2058,3248.8164,3250.8643,3241.2573,3251.3,3237.8977,3262.9766,3222.7927,3235.4827,3233.1714,3238.9873,3232.0088,3239.4146,3247.08,3254.329,3226.3408,3258.6113,3231.3604,3242.142
2000-01-15,3250.688,3236.106,3246.4924,3263.6802,3236.8206,3198.335,3232.487,3245.807,3254.127,3251.21,3218.0227,3260.0725,3249.1797,3248.6992,3247.2427,3242.3972,3247.656,3237.6777,3263.9956,3224.4944,3236.4573,3234.5002,3238.9995,3229.6362,3238.8582,3249.2664,3249.0957,3228.142,3259.288,3230.485,3241.664
2000-01-16,3240.924,3223.7124,3232.6938,3250.7546,3235.0466,3188.3635,3227.9417,3236.926,3250.1833,3242.4517,3208.6992,3259.2473,3240.8267,3236.6113,3238.404,3230.7727,3241.9812,3233.0107,3262.8938,3222.7053,3233.4292,3224.638,3229.081,3215.7944,3232.6616,3245.751,3243.7263,3224.4695,3255.4255,3217.1523,3234.2092
2000-01-17,3272.9614,3252.7373,3261.9363,3279.843,3264.8296,3218.4888,3255.2065,3266.946,3277.9277,3271.4966,3238.4211,3289.1843,3267.9485,3266.371,3268.7537,3258.493,3274.0664,3260.59,3292.8552,3250.9497,3263.166,3250.557,3258.2932,3245.355,3261.2258,3274.5183,3274.7705,3251.986,3286.6348,3242.823,3263.3108
2000-01-18,3310.2493,3286.0583,3297.9404,3313.92,3296.6316,3253.8687,3287.1604,3301.1177,3311.71,3306.1943,3267.499,3323.1704,3300.6672,3301.9722,3304.6055,3289.2012,3309.352,3292.582,3324.3564,3283.003,3293.2803,3279.8308,3292.4956,3280.9683,3295.109,3305.9521,3313.3528,3282.7153,3318.9763,3275.7144,3296.6545
2000-01-19,3346.4863,3323.6729,3337.3357,3350.085,3322.3152,3289.1265,3315.305,3331.9436,3340.6616,3341.3396,3300.3618,3347.2053,3331.2534,3333.898,3334.7915,3324.3735,3340.6099,3321.5977,3346.9026,3308.8635,3319.806,3312.2126,3324.5615,3320.7158,3325.3142,3332.2795,3342.6248,3310.7642,3346.847,3312.944,3327.873
2000-01-20,3322.8477,3303.095,3318.1821,3329.4836,3295.3452,3267.362,3288.2166,3310.2546,3313.9277,3316.4788,3277.739,3317.763,3303.1584,3310.5764,3312.2957,3303.4045,3316.6013,3296.002,3319.4314,3279.6125,3293.7258,3290.8625,3301.946,3301.2144,3299.9148,3303.5564,3319.6497,3284.159,3320.2827,3293.6326,3303.6907
2000-01-21,3275.601,3261.4329,3276.4978,3286.8806,3247.8574,3223.2996,3241.7974,3266.8948,3268.7131,3272.503,3233.3652,3269.0178,3259.0376,3264.1191,3266.5916,3262.7288,3268.2747,3252.6975,3270.4753,3232.1091,3246.6885,3250.9326,3256.3901,3259.9136,3255.4734,3256.3909,3272.9182,3237.4888,3271.3625,3256.6743,3258.8042
2000-01-22,3204.4739,3197.8875,3208.315,3220.542,3180.5059,3156.2305,3175.6736,3201.6196,3200.1846,3203.7712,3174.2825,3199.3926,3193.2659,3194.3667,3194.9336,3203.1858,3198.1492,3186.9028,3205.4092,3165.3506,3181.7988,3192.637,3189.085,3193.3926,3189.3987,3190.666,3200.2646,3172.6975,3204.1223,3195.9072,3192.4807
2000-01-23,3111.5022,3108.0422,3115.5889,3127.7727,3098.436,3067.8281,3092.9932,3118.197,3115.012,3111.787,3089.612,3119.8584,3111.6328,3109.1865,3105.609,3117.6553,3110.8032,3104.2268,3128.338,3082.989,3100.015,3110.6804,3103.4634,3098.9673,3105.288,3108.9016,3116.6216,3090.897,3120.5737,3108.87,3107.045
2000-01-24,3066.4954,3065.1104,3070.2356,3081.8232,3059.4612,3024.9702,3055.618,3074.2725,3076.0806,3069.2646,3047.4897,3080.2224,3072.846,3066.7705,3059.7944,3077.6133,3066.946,3066.6052,3089.9348,3046.1409,3060.7236,3073.0913,3062.4702,3052.5935,3065.713,3071.046,3073.565,3055.0557,3080.959,3065.3162,3065.941
2000-01-25,3037.6294,3035.4543,3040.1243,3051.1606,3037.6982,2997.2842,3032.074,3043.164,3052.7412,3041.4866,3019.4287,3058.5852,3046.83,3038.8228,3032.036,3048.1777,3041.9343,3043.3208,3064.2583,3023.9946,3039.095,3047.3755,3035.8665,3020.8042,3040.7866,3048.097,3049.604,3032.6052,3057.3416,3035.321,3039.7703
2000-01-26,3036.8467,3034.8103,3039.7224,3050.1,3036.4917,2996.7454,3030.0522,3042.2312,3051.6472,3040.5725,3018.3118,3056.6804,3043.939,3037.1067,3031.0984,3046.5815,3041.5225,3042.2031,3061.7883,3021.8638,3038.149,3046.2173,3034.0647,3020.684,3039.5107,3045.7542,3049.3374,3030.5227,3056.2737,3034.6465,3038.5156
2000-01-27,3038.477,3036.6582,3041.9504,3051.351,3036.692,2998.3738,3029.734,3044.335,3051.6682,3041.5986,3020.0132,3056.292,3041.765,3036.3145,3032.5796,3049.2383,3042.676,3042.3206,3062.4636,3021.5698,3038.4443,3046.963,3034.0647,3023.0183,3040.2927,3044.5403,3050.5989,3031.072,3056.8984,3037.643,3039.3203
2000-01-28,3041.409,3039.5674,3044.5232,3056.1526,3038.3574,3000.9185,3032.3489,3047.7654,3052.6096,3043.2336,3023.282,3061.8467,3052.6125,3044.2034,3035.618,3053.3923,3044.8289,3043.709,3066.3665,3023.6575,3039.9978,3048.7996,3039.6028,3025.4712,3042.6262,3050.5764,3052.522,3031.7349,3059.2292,3038.9854,3042.5317
