,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4286.2007,4224.055,4264.7666,4191.2505,4293.295,4259.353,4253.9385,4278.6953,4281.052,4182.6865,4278.456,4219.911,4197.105,4260.7593,4266.632,4273.305,4210.1045,4274.683,4258.2656,4281.015,4263.384,4285.588,4300.4985,4276.5386,4269.1157,4250.2354,4255.732,4256.825,4205.49,4192.6567,4253.053
2024-02-04,4285.8857,4222.5786,4261.2075,4192.1064,4291.808,4257.5405,4250.934,4275.6167,4280.727,4183.2324,4278.496,4219.487,4196.459,4264.086,4266.0215,4272.6733,4210.679,4272.026,4258.069,4280.5244,4265.313,4285.4,4299.7896,4273.6084,4268.66,4250.927,4253.7656,4258.4795,4205.896,4192.631,4252.4873
2024-02-05,4286.733,4222.793,4261.2104,4192.2163,4292.8374,4257.5977,4250.9062,4275.7886,4281.304,4184.0347,4279.065,4219.7896,4196.6377,4265.171,4266.5,4273.035,4211.015,4272.3086,4258.4673,4281.061,4266.3994,4286.2295,4301.13,4273.7,4269.0283,4251.4927,4254.886,4259.2393,4206.1196,4192.6313,4252.9775
2024-02-06,4284.3755,4223.376,4264.204,4191.154,4290.905,4258.9497,4253.527,4277.8535,4279.791,4181.09,4277.2705,4219.21,4196.6284,4259.006,4265.5327,4272.4478,4209.491,4273.675,4257.4004,4279.814,4261.4087,4283.8193,4297.5776,4275.8877,4268.273,4249.1567,4253.075,4255.491,4205.0845,4192.6523,4251.9375
2024-02-07,4282.6895,4221.689,4260.987,4191.7446,4287.8604,4257.219,4250.86,4274.7905,4278.543,4180.255,4276.366,4218.326,4195.749,4260.2144,4264.19,4271.2783,4209.455,4270.809,4256.5635,4278.4834,4261.353,4282.277,4294.72,4273.09,4267.252,4248.8447,4249.445,4255.7275,4205.081,4192.6284,4250.616
2024-02-08,4284.916,4221.006,4257.8213,4192.8335,4289.58,4255.772,4248.0986,4272.5537,4279.9614,4183.116,4278.0845,4218.8438,4195.703,4266.391,4265.0625,4271.786,4210.9604,4269.276,4257.5664,4279.6333,4266.288,4284.564,4298.055,4270.749,4267.935,4251.1367,4251.0083,4259.4507,4206.1055,4192.6064,4251.5625
2024-02-09,4284.624,4222.7075,4262.343,4191.656,4290.629,4258.0293,4251.9404,4276.3267,4279.903,4181.767,4277.569,4219.1357,4196.3774,4261.276,4265.4473,4272.294,4209.9556,4272.4224,4257.491,4279.819,4262.948,4284.1255,4297.861,4274.399,4268.214,4249.795,4252.5923,4256.7275,4205.4062,4192.6387,4251.8804
2024-02-10,4279.657,4222.17,4264.1504,4190.552,4285.162,4258.6123,4253.6484,4276.8647,4276.5757,4176.6304,4274.107,4217.521,4195.625,4253.0054,4262.863,4270.427,4207.63,4272.0737,4255.1826,4276.8237,4255.3843,4279.2,4290.1113,4275.3447,4266.219,4246.014,4246.8164,4251.2812,4203.844,4192.65,4249.205
2024-02-11,4276.1284,4219.159,4258.7393,4191.455,4279.2,4255.6562,4249.187,4271.5737,4274.0044,4174.5693,4272.1206,4215.787,4194.0,4254.1484,4260.213,4268.1646,4207.294,4267.0234,4253.4497,4274.1475,4254.401,4275.927,4284.2095,4270.5664,4264.2017,4245.026,4239.7954,4251.0557,4203.655,4192.6094,4246.5825
2024-02-12,4278.151,4217.6646,4253.639,4193.005,4280.071,4253.221,4244.7935,4267.6567,4275.2236,4177.696,4273.8384,4216.062,4193.5957,4262.0913,4260.7344,4268.314,4209.099,4264.0347,4254.3296,4275.01,4260.343,4278.079,4287.106,4266.6284,4264.6226,4247.671,4240.2456,4255.6484,4204.891,4192.5737,4247.201
