,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4331.9507,4285.673,4225.8843,4358.3745,4289.767,4293.7944,4295.961,4218.4395,4271.9805,4340.2837,4273.1934,4262.6963,4311.7827,4220.409,4221.6543,4295.2075,4210.208,4276.6646,4288.901,4327.4854,4287.4663,4294.802,4231.286,4206.6997,4197.0386,4246.414,4260.84,4267.879,4205.6265,4316.75,4270.5034
2024-02-04,4328.1353,4285.234,4227.006,4356.5073,4285.71,4288.586,4295.2173,4216.523,4271.671,4337.486,4274.8384,4261.601,4309.0703,4217.7017,4220.156,4294.8774,4203.768,4274.4937,4292.2476,4326.23,4282.3516,4291.7573,4227.1772,4205.7466,4198.6567,4245.657,4264.119,4270.201,4207.913,4313.163,4269.127
2024-02-05,4329.0347,4285.9087,4227.9863,4357.62,4285.758,4288.6914,4296.4346,4217.064,4272.2544,4338.8804,4275.416,4262.717,4310.91,4217.7515,4220.679,4296.074,4203.397,4275.104,4293.272,4327.4585,4282.0635,4292.181,4227.4575,4206.2495,4199.086,4246.38,4265.3584,4271.7944,4208.6553,4313.635,4269.8423
2024-02-06,4329.4673,4284.189,4224.0044,4355.75,4289.0317,4292.7583,4293.293,4217.0054,4270.709,4336.9224,4272.2397,4260.1855,4307.502,4219.882,4220.3223,4292.647,4209.978,4275.045,4287.277,4324.714,4287.269,4293.436,4230.056,4205.496,4196.392,4244.78,4258.755,4264.902,4204.429,4315.2017,4268.788
2024-02-07,4324.5337,4282.6753,4223.395,4352.2227,4285.29,4287.881,4290.6074,4214.38,4269.465,4332.0864,4272.7695,4257.3506,4302.009,4217.355,4218.102,4290.3687,4204.777,4272.0747,4288.6035,4321.5483,4283.128,4289.9854,4225.8823,4203.8022,4197.142,4242.9,4259.664,4264.3613,4205.2666,4311.1836,4266.36
2024-02-08,4323.794,4284.2817,4227.295,4353.8506,4281.813,4283.5483,4293.547,4214.2705,4270.9155,4333.7183,4275.9453,4259.676,4305.0337,4215.0864,4218.316,4293.616,4197.9346,4271.9453,4294.619,4324.064,4277.7144,4288.526,4223.047,4204.44,4199.8545,4244.3647,4266.256,4271.147,4209.4995,4309.3794,4267.2505
2024-02-09,4327.9097,4284.2886,4225.07,4355.3154,4286.932,4290.084,4293.4976,4216.267,4270.832,4336.138,4273.383,4260.157,4306.98,4218.4893,4219.794,4293.0586,4206.427,4274.2065,4289.5283,4324.6562,4284.452,4292.05,4228.043,4205.242,4197.448,4244.737,4261.0757,4266.8945,4205.9883,4313.555,4268.4165
2024-02-10,4324.4175,4280.427,4218.556,4349.536,4288.721,4292.1143,4286.51,4213.9717,4267.459,4329.128,4269.0425,4253.9614,4297.233,4219.575,4217.3853,4285.9824,4211.9707,4271.624,4281.612,4317.864,4288.814,4291.0415,4228.4487,4202.6826,4194.019,4240.746,4251.8906,4256.0537,4200.323,4312.5386,4264.788
2024-02-11,4315.382,4277.3286,4216.727,4342.689,4282.3896,4283.8276,4280.997,4209.1133,4264.889,4319.844,4269.46,4248.275,4286.485,4215.2866,4213.212,4281.1694,4203.5293,4266.129,4283.0024,4311.5347,4282.0854,4284.891,4221.1978,4199.418,4194.928,4236.9907,4252.403,4253.8364,4201.1235,4305.396,4260.118
2024-02-12,4312.5317,4278.67,4221.199,4343.2573,4276.703,4276.658,4283.4834,4207.94,4266.149,4319.893,4273.5083,4249.9604,4287.9614,4211.5435,4212.5947,4284.191,4193.1978,4264.795,4290.798,4313.32,4273.902,4281.7593,4216.117,4199.5176,4198.504,4238.015,4260.73,4261.825,4206.5723,4301.6235,4260.231
2024-02-13,4316.1606,4276.9897,4215.5645,4342.5664,4283.899,4285.732,4280.368,4209.437,4264.5693,4319.8667,4268.4004,4247.8545,4286.139,4216.28,4213.3887,4280.398,4206.2593,4266.498,4280.9604,4311.0923,4284.248,4285.733,4222.552,4199.404,4193.9897,4236.737,4250.225,4251.757,4199.6963,4306.408,4260.106
2024-02-14,4309.1616,4273.734,4212.2783,4336.2534,4280.3574,4280.998,4274.5366,4205.5386,4261.8135,4311.5693,4267.276,4242.1606,4276.014,4213.84,4209.89,4274.993,4202.5522,4262.0947,4279.319,4304.7944,4281.2744,4281.409,4217.9624,4196.453,4193.4775,4233.01,4247.6025,4246.825,4198.3945,4301.436,4255.9004
2024-02-15,4300.82,4265.7173,4199.328,4323.8574,4282.721,4283.491,4260.0493,4200.237,4254.8315,4296.3594,4258.942,4229.1494,4255.258,4215.193,4204.4326,4260.4487,4211.8135,4256.137,4264.232,4290.5454,4288.542,4278.384,4217.4575,4190.9004,4186.987,4224.6196,4229.8916,4225.419,4187.5547,4298.2144,4248.051
2024-02-16,4284.7188,4264.1436,4204.664,4316.2886,4265.164,4260.9854,4257.4146,4192.198,4253.7773,4284.8296,4266.349,4224.925,4244.3784,4203.4907,4198.171,4259.5986,4183.732,4247.0293,4279.221,4285.7075,4266.249,4265.402,4199.7856,4186.9907,4194.2026,4221.68,4244.6953,4236.251,4197.828,4282.911,4242.4263
2024-02-17,4290.14,4269.108,4212.535,4324.059,4264.0146,4259.843,4266.3823,4195.596,4258.0947,4294.4067,4271.349,4233.0137,4257.352,4202.858,4201.6494,4268.5703,4178.513,4250.858,4288.2485,4294.5664,4262.162,4267.4907,4200.406,4190.479,4198.0693,4226.899,4255.34,4249.238,4204.314,4285.1597,4247.357
2024-02-18,4301.246,4272.8237,4214.6,4332.375,4271.941,4270.1978,4272.993,4201.5605,4261.173,4305.7373,4270.687,4239.8813,4270.3813,4208.2236,4206.7734,4274.3086,4189.192,4257.593,4286.2573,4302.1924,4270.667,4275.0947,4209.4365,4194.466,4196.83,4231.436,4254.4004,4251.6377,4203.1357,4293.998,4253.0415
2024-02-19,4307.1396,4276.926,4220.3315,4339.2935,4272.7573,4271.5083,4280.3843,4205.054,4264.709,4314.4795,4273.933,4246.722,4281.7656,4208.8745,4210.134,4281.525,4187.81,4261.534,4291.959,4309.715,4269.6123,4278.0347,4211.662,4197.616,4199.193,4235.872,4261.403,4260.8916,4207.2817,4297.292,4257.514
